# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
328558317,34.160,-459.696,-3.416
328566660,23.424,-399.672,-0.976
328575003,9.760,-328.424,23.424
328583347,8.784,-247.416,53.680
328591689,-9.760,-153.232,122.976
328600039,-76.128,-90.280,309.880
328608382,-180.072,-72.224,638.304
328616725,-302.560,-98.576,1137.528
328625067,-342.576,-110.288,1698.240
328633409,-330.864,7.320,2236.016
328641760,-303.536,241.560,2687.904
328650102,-302.072,584.136,2960.208
328658444,-277.672,556.320,3322.304
328666786,-189.344,651.968,3438.448
328675137,20.496,293.288,3223.240
328683478,-5.856,696.376,2094.008
328691820,104.432,550.464,1909.544
328700162,-40.016,190.808,1493.768
328708513,-158.112,176.656,1073.112
328716855,-34.160,53.192,850.096
328725196,-49.776,-134.688,625.616
328733539,-106.384,-192.760,416.264
328741890,-94.184,-281.576,288.408
328750232,-51.728,-355.264,194.224
328758574,-33.672,-441.640,115.168
328766916,-16.592,-531.920,12.688
328775260,2.440,-570.960,-60.512
328783610,23.424,-594.872,-114.680
328791951,51.728,-611.464,-178.120
328800294,89.304,-598.288,-219.112
328808637,126.392,-566.568,-224.480
328816980,145.424,-494.344,-192.760
328825332,173.728,-403.576,-146.888
328833675,201.056,-318.176,-57.584
328842018,208.864,-243.512,43.432
328850361,177.632,-160.064,177.144
328858704,102.480,-115.168,373.808
328867045,-15.616,-142.008,620.736
328875396,-169.336,-202.032,1011.136
328883737,-274.744,-203.008,1455.216
328892080,-268.400,-91.744,1848.056
328900423,-238.144,93.696,2314.096
328908772,-221.064,311.344,2664.480
328917114,-200.568,451.400,2973.384
328925457,-138.592,475.800,3151.992
328933799,-41.968,464.088,3030.480
328942149,-6.832,604.632,2610.800
328950491,-153.720,105.408,2135.976
328958834,-4.880,423.096,1504.992
328967176,-55.632,72.224,1401.048
328975519,-169.824,-18.056,1016.992
328983870,-127.368,-65.392,781.288
328992212,-74.664,-243.024,629.032
329000553,-110.288,-285.968,492.392
329008895,-111.752,-334.768,411.872
329017246,-60.024,-385.520,324.032
329025588,-20.008,-443.592,253.272
329033931,-15.616,-514.840,169.824
329042273,-6.832,-572.424,93.208
329050624,23.424,-609.024,27.328
329058966,49.776,-627.080,-29.768
329067310,57.584,-639.280,-82.472
329075652,75.152,-651.480,-131.272
329083994,100.528,-637.328,-159.088
329092344,93.696,-616.832,-161.040
329100685,84.912,-547.536,-168.360
329109027,99.064,-458.232,-165.432
329117370,104.432,-385.032,-116.144
329125720,109.312,-316.712,-43.920
329134063,104.920,-202.032,41.968
329142407,117.120,-94.672,187.392
329150749,87.352,10.736,303.536
329159092,-12.200,40.992,520.696
329167442,-160.552,8.784,959.896
329175784,-284.016,20.008,1479.616
329184126,-345.504,66.368,1954.440
329192469,-363.560,178.608,2418.040
329200811,-394.304,284.992,2849.432
329209162,-297.680,498.736,3207.624
329217505,-246.928,580.720,3376.960
329225847,-41.968,553.392,3219.336
329234190,108.824,618.296,2845.528
329242540,52.216,670.024,2112.064
329250882,148.352,607.072,2019.832
329259224,-72.712,102.480,1615.280
329267566,-143.472,198.128,1179.496
329275916,-53.680,163.480,946.720
329284259,7.320,-18.056,802.760
329292602,-78.080,-118.096,606.584
329300945,-98.088,-210.328,486.048
329309287,-77.104,-287.920,376.248
329317631,-58.560,-346.968,264.984
329325981,-44.408,-443.592,149.816
329334325,-38.552,-534.848,39.528
329342667,-23.912,-611.952,-65.392
329351011,7.320,-662.704,-161.528
329359354,44.896,-681.248,-224.968
329367697,84.912,-683.688,-284.992
329376040,94.184,-672.464,-332.816
329384390,114.680,-625.128,-319.152
329392733,126.392,-544.120,-270.840
329401076,128.832,-450.424,-199.592
329409418,121.512,-378.688,-137.128
329417767,99.552,-289.872,-88.328
329426109,103.944,-212.280,-17.080
329434450,84.424,-149.816,113.704
329442793,16.592,-92.720,307.928
329451144,-135.176,-58.560,618.296
329459486,-305.000,-55.144,1080.920
329467827,-389.424,-84.424,1667.496
329476177,-350.872,2.440,2188.680
329484519,-269.376,177.144,2630.320
329492862,-232.288,432.368,2927.512
329501204,-119.072,558.760,3204.696
329509547,71.736,762.256,3305.224
329517897,52.216,749.080,3179.808
329526240,164.456,500.688,2699.128
329534582,111.752,677.344,2194.048
329542925,154.696,466.528,1958.832
329551268,-34.160,191.784,1448.872
329559611,-96.624,224.480,1039.440
329567961,21.472,86.376,860.344
329576303,-4.880,-69.784,678.808
329584646,-68.808,-146.400,514.352
329592988,-81.496,-247.416,368.440
329601338,-62.952,-339.160,249.856
329609679,-52.216,-438.712,151.280
329618022,-27.328,-527.528,47.336
329626365,16.592,-564.616,-46.848
329634716,62.464,-581.208,-117.120
329643058,98.088,-598.776,-157.136
329651401,129.808,-614.880,-199.104
329659744,156.160,-610.488,-246.928
329668088,165.920,-608.048,-278.648
329676430,150.792,-575.840,-274.256
329684778,138.104,-511.424,-228.872
329693121,134.200,-425.536,-181.048
329701464,111.264,-349.896,-131.272
329709813,80.032,-294.752,-34.160
329718154,59.536,-216.672,40.016
329726495,73.688,-68.808,109.800
329734846,63.440,43.920,205.936
329743186,-34.648,108.336,404.064
329751528,-181.536,125.416,798.856
329759871,-330.864,113.216,1293.200
329768220,-430.416,174.704,1827.560
329776562,-459.696,226.432,2466.352
329784904,-426.512,423.584,2990.952
329793255,-309.880,626.592,3302.296
329801597,-270.840,807.640,3517.504
329809940,121.024,968.192,3459.432
329818282,226.432,1058.472,2911.896
329826624,345.992,915.488,2887.496
329834974,41.968,557.784,2294.088
329843316,-83.448,466.528,1655.296
329851659,-171.776,290.360,1317.112
329860002,-125.416,283.528,1002.352
329868345,-154.696,73.688,812.520
329876697,-240.584,-71.248,529.480
329885039,-261.568,-163.480,323.544
329893382,-214.232,-283.528,184.952
329901725,-154.696,-371.856,79.544
329910067,-125.904,-475.312,-28.792
329918418,-104.432,-551.928,-130.784
329926760,-76.616,-604.144,-196.176
329935103,-30.256,-643.672,-217.648
329943446,18.544,-648.064,-256.688
329951789,55.632,-628.056,-295.240
329960132,82.960,-601.704,-297.680
329968481,107.360,-546.072,-291.824
329976823,132.736,-456.768,-279.624
329985166,150.304,-364.536,-249.856
329993508,155.184,-269.864,-176.656
330001859,154.696,-162.992,-94.184
330010199,140.544,-43.432,-4.880
330018541,87.840,33.672,150.304
330026891,-75.640,53.680,415.776
330035234,-256.200,18.056,830.576
330043576,-372.344,-4.880,1361.032
330051919,-426.024,140.544,2009.096
330060262,-281.576,355.264,2663.992
330068612,-144.936,605.120,3017.792
330076953,-59.048,978.440,3241.296
330085295,33.672,936.472,3499.936
330093637,4.880,1134.112,3221.288
330101988,372.832,810.568,3253.496
330110331,16.592,704.672,2838.696
330118673,-4.392,622.688,2136.952
330127016,-93.696,516.304,1615.280
330135359,-113.216,398.696,1242.936
330143709,-150.792,213.744,1010.648
330152052,-211.304,68.808,706.136
330160394,-206.424,2.928,488.976
330168738,-163.480,-105.896,360.144
330177080,-122.000,-199.592,240.584
330185424,-97.112,-335.256,151.768
330193775,-77.592,-451.888,9.760
330202117,-62.464,-529.480,-119.560
330210460,-31.232,-605.120,-203.496
330218803,-0.976,-672.464,-258.152
330227145,33.672,-713.456,-305.976
330235490,51.728,-716.384,-367.952
330243832,75.640,-689.056,-427.976
330252183,98.088,-645.136,-428.464
330260526,109.800,-590.968,-381.616
330268868,105.408,-495.320,-307.928
330277210,116.144,-379.664,-239.608
330285561,173.728,-257.664,-160.552
330293903,168.360,-162.016,-61.000
330302246,126.392,-82.472,51.240
330310588,52.704,3.416,244.000
330318930,-81.984,71.248,544.608
330327280,-230.824,64.904,976.976
330335622,-300.608,84.424,1518.656
330343965,-325.496,236.680,2042.280
330352307,-314.760,285.480,2764.520
330360658,-301.096,493.368,3222.752
330369000,-236.192,686.616,3460.408
330377341,-45.872,806.664,3507.744
330385691,13.664,810.568,3389.648
330394033,-113.704,653.920,2669.848
330402377,206.424,743.712,2315.072
330410719,33.672,490.440,1958.344
330419060,-142.984,188.856,1403.488
330427404,-251.808,187.880,1055.056
330435755,-105.408,79.544,888.648
330444097,-152.744,-121.024,749.568
330452439,-207.888,-168.360,592.920
330460782,-170.800,-212.280,538.752
330469132,-117.120,-261.568,480.680
330477475,-98.576,-331.352,346.480
330485817,-69.784,-418.704,205.936
330494159,-44.408,-495.808,95.160
330502502,-18.544,-561.688,7.320
330510851,8.784,-614.392,-79.544
330519192,46.360,-659.288,-168.848
330527535,71.248,-678.320,-235.704
330535885,90.280,-676.856,-285.480
330544227,128.344,-651.480,-320.128
330552568,143.472,-570.472,-317.688
330560919,142.496,-496.784,-270.352
330569261,141.032,-415.776,-209.840
330577602,145.424,-328.912,-157.136
330585944,166.896,-251.808,-74.664
330594294,177.632,-163.968,2.928
330602636,122.000,-72.224,132.736
330610978,42.456,-31.232,355.264
330619327,-87.352,-6.344,691.496
330627669,-239.608,-38.552,1176.080
330636012,-326.472,-74.664,1776.808
330644354,-276.208,70.760,2208.200
330652704,-165.432,260.592,2564.440
330661047,-112.728,499.712,2859.680
330669391,-97.112,495.320,3172.000
330677733,-130.296,471.408,3464.312
330686076,0.488,418.216,3340.848
330694418,185.440,623.664,2904.576
330702769,-23.424,569.008,2135.000
330711112,206.424,591.944,1894.416
330719455,-22.936,65.880,1545.984
330727798,-160.064,136.640,1006.256
330736142,-82.472,61.488,769.088
330744484,-21.960,-125.904,600.728
330752828,-87.352,-205.936,422.120
330761179,-111.264,-299.144,288.408
330769522,-70.760,-380.640,202.032
330777865,-53.192,-462.624,109.800
330786207,-33.672,-553.392,-13.176
330794549,-3.416,-625.128,-125.904
330802892,28.792,-664.168,-208.864
330811243,62.952,-691.496,-280.112
330819584,105.408,-704.672,-354.288
330827926,146.400,-680.272,-406.504
330836276,176.168,-629.032,-406.504
330844617,181.536,-569.008,-378.688
330852959,177.144,-438.712,-335.256
330861301,191.784,-325.008,-277.184
330869651,182.024,-249.856,-203.496
330877993,153.232,-185.440,-105.408
330886335,106.872,-85.888,-17.080
330894678,30.256,-2.928,161.528
330903028,-57.096,23.424,426.512
330911371,-186.416,30.744,820.816
330919713,-251.320,17.568,1297.104
330928056,-266.448,133.712,1831.952
330936406,-286.456,329.400,2270.176
330944748,-269.376,550.464,2712.304
330953092,-253.760,580.232,3200.304
330961436,-159.576,774.456,3554.104
330969779,-126.392,522.160,3615.104
330978121,128.344,795.440,3341.336
330986463,51.240,824.232,2561.024
330994814,228.384,787.144,2437.072
331003157,92.232,423.584,2059.848
331011498,-160.064,283.040,1426.912
331019841,-181.536,249.856,1063.840
331028191,-79.056,194.712,826.672
331036532,-142.008,-15.128,649.528
331044875,-220.088,-171.776,392.840
331053217,-230.824,-310.856,189.832
331061568,-195.688,-454.328,46.360
331069911,-162.992,-563.640,-92.720
331078252,-105.408,-640.256,-206.424
331086594,-39.528,-654.896,-282.552
331094945,38.064,-629.032,-342.088
331103287,105.896,-594.384,-396.744
331111628,148.840,-577.792,-415.288
331119971,164.944,-583.648,-403.088
331128314,163.968,-558.760,-390.888
331136664,180.560,-482.632,-370.880
331145006,203.984,-382.104,-330.376
331153350,217.160,-281.088,-253.272
331161691,194.224,-163.968,-156.648
331170042,136.640,-96.136,-9.272
331178385,13.664,-44.896,235.704
331186727,-107.360,-61.976,607.072
331195070,-250.832,-86.864,1105.808
331203412,-322.080,-30.744,1662.128
331211762,-295.728,157.136,2171.600
331220103,-238.632,404.552,2645.448
331228445,-201.544,616.344,3042.192
331236795,-133.224,719.800,3325.232
331245137,26.840,756.888,3368.664
331253481,-10.248,753.960,3216.896
331261824,40.016,501.664,2651.792
331270166,183.976,637.816,2076.928
331278510,122.000,578.280,1833.416
331286860,-29.280,108.824,1426.912
331295203,-194.712,185.440,971.608
331303547,-58.072,82.472,818.864
331311889,-55.144,-119.560,660.752
331320232,-137.128,-197.152,486.048
331328574,-154.208,-295.728,370.880
331336923,-117.120,-374.784,268.400
331345264,-92.232,-443.592,169.824
331353613,-99.064,-556.320,47.824
331361955,-90.280,-638.304,-56.120
331370298,-68.808,-667.096,-105.408
331378639,-15.128,-659.288,-160.552
331386989,67.344,-598.288,-209.840
331395331,148.840,-525.576,-215.208
331403673,195.688,-451.888,-197.152
331412023,204.960,-396.744,-182.024
331420365,192.272,-343.552,-164.456
331428708,190.320,-278.648,-148.352
331437049,183.000,-203.496,-109.800
