# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
415496804,-9.760,-265.960,1103.856
415497585,-4.880,-312.320,1075.064
415505936,34.648,-306.952,1053.104
415514279,82.472,-300.120,1054.568
415522622,54.656,-306.952,1056.520
415530965,49.288,-301.584,1050.664
415539314,59.536,-321.592,1064.816
415547656,60.512,-328.424,1050.176
415555998,55.632,-314.272,993.080
415564346,83.936,-328.424,947.696
415572688,89.792,-342.576,923.296
415581039,91.256,-345.016,872.544
415589381,92.720,-357.704,837.408
415597724,105.408,-368.440,776.408
415606067,115.168,-362.584,705.648
415614415,116.144,-363.560,648.552
415622758,134.200,-374.784,583.160
415631101,146.400,-367.952,504.104
415639451,147.376,-370.392,441.152
415647792,148.352,-398.696,382.104
415656135,136.152,-401.136,255.712
415664485,102.480,-400.648,125.904
415672828,66.368,-427.000,-62.952
415681170,43.432,-462.136,-221.064
415689520,-2.928,-576.328,-395.768
415697864,-76.616,-631.472,-546.072
415706207,-164.456,-654.408,-619.272
415714549,-230.336,-703.696,-794.464
415722900,-230.336,-638.792,-971.120
415731243,-266.448,-540.216,-1094.096
415739586,-249.368,-450.424,-1125.816
415747930,-274.256,-298.656,-1142.896
415756280,-251.808,-118.584,-1009.184
415764622,-209.352,135.176,-854.488
415772965,-211.304,355.264,-595.360
415781308,-229.360,575.840,-279.136
415789659,-243.024,697.840,9.272
415798003,-405.528,767.624,357.216
415806345,-517.768,788.120,766.160
415814688,-500.200,806.176,1165.344
415823038,-503.616,915.488,1590.880
415831380,-466.040,1013.088,2057.896
415839722,-305.000,1103.368,2388.760
415848073,-132.736,1191.696,2531.256
415856416,-67.832,1205.360,2801.608
415864757,-47.824,1149.728,3167.608
415873100,-11.224,1068.720,3384.280
415881451,68.320,1004.792,3430.640
415889792,128.832,964.776,3461.384
415898141,176.168,960.384,3437.960
415906484,144.936,883.768,3385.256
415914826,122.488,776.408,3328.160
415923177,134.200,1001.864,3294.976
415931519,-51.728,262.544,3248.128
415939861,-221.552,926.712,2858.216
415948204,-80.520,676.856,2815.760
415956556,8.296,593.896,2423.408
415964899,-7.320,534.360,2138.416
415973243,-62.952,345.992,1786.568
415981584,-113.704,299.632,1478.152
415989928,-129.320,214.720,1228.784
415998280,-86.864,241.072,1029.680
416006623,-26.352,194.712,863.760
416014967,-166.408,68.320,825.696
416023309,227.896,-310.856,323.544
416031652,-277.672,-166.896,352.824
416040002,-158.112,-78.568,232.776
416048345,-3.904,-61.976,191.296
416056687,-56.120,-156.648,254.248
416065037,-112.728,-230.824,262.544
416073378,-74.664,64.904,155.184
416081728,-109.800,-20.984,135.176
416090070,-137.128,-71.736,116.144
416098413,-160.552,-3.416,82.472
416106762,-168.848,101.992,49.776
416115104,-140.544,49.288,42.456
416123447,-148.840,-56.608,-67.832
416131798,-169.824,-113.216,-175.680
416140140,-195.688,-188.856,-262.056
416148482,-257.664,-317.688,-313.784
416156825,-268.888,-403.576,-390.888
416165175,-248.880,-334.280,-538.264
416173518,-198.616,-317.200,-554.856
416181861,-278.648,-387.472,-356.240
416190203,-331.352,-412.848,-369.904
416198553,-332.816,-71.736,-508.008
416206896,-247.904,-528.504,-316.712
416215239,-500.688,-199.592,-424.560
416223589,-422.608,-8.296,-401.136
416231932,-321.104,-192.272,14.152
416240274,-411.872,-87.352,133.224
416248617,-461.648,92.232,227.896
416256968,-402.600,159.576,400.160
416265310,-344.040,146.400,556.320
416273653,-349.896,242.536,669.048
416282004,-343.552,164.944,841.800
416290347,-329.400,279.136,964.288
416298689,-293.288,457.744,1051.640
416307031,-269.376,599.264,1228.296
416315382,-173.240,910.120,1495.232
416323724,-61.976,933.544,1933.944
416332066,-232.776,695.888,2324.832
416340417,-70.760,283.528,2928.000
416348760,47.824,280.112,3535.072
416357102,-231.312,648.064,3678.056
416365445,-98.088,714.920,3631.696
416373796,137.128,638.304,3620.960
416382138,93.696,507.032,3698.552
416390487,-78.568,294.752,3693.184
416398828,-198.128,329.400,3550.688
416407171,-291.336,396.744,3388.184
416415521,-316.224,364.536,3101.728
416423864,-311.344,435.784,2649.840
416432206,-392.352,447.984,2312.632
416440555,-381.128,485.072,2042.280
416448897,-318.664,417.728,2008.120
416457239,-307.440,401.136,1801.696
416465589,-340.624,427.000,1546.472
416473932,-275.720,450.912,1346.880
416482274,-346.968,398.696,1124.840
416490623,-437.248,342.088,704.184
416498965,-372.344,183.000,409.432
416507308,-431.880,163.968,183.000
416515659,-511.912,151.280,-173.240
416524001,-456.280,0.000,-588.040
416532344,-401.136,-100.040,-1049.200
416540688,-388.936,-195.688,-1531.832
416549032,-468.968,-398.696,-1939.312
416557383,-657.824,-661.240,-2285.792
416565725,-730.048,-893.040,-2415.600
416574067,-724.680,-1015.528,-2347.768
416582410,-643.184,-1018.944,-2320.440
416590761,-551.440,-950.624,-2194.536
416599104,-441.640,-783.728,-2019.832
416607446,-428.464,-465.064,-1735.816
416615797,-394.304,-134.200,-1333.704
416624139,-309.880,167.872,-953.064
416632480,-321.104,368.440,-402.600
416640831,-305.976,547.536,82.960
416649174,-340.136,729.560,522.648
416657516,-346.968,909.632,896.456
416665859,-368.928,1070.184,1290.272
416674210,-372.832,1174.128,1788.520
416682550,-333.792,1223.416,2349.232
416690893,-374.784,962.336,2854.800
416699242,-507.032,1632.360,3419.904
416707584,-275.720,1196.576,4192.408
416715927,-194.712,653.920,4795.576
416724278,-412.848,873.032,5048.360
416732619,-560.224,569.008,5182.560
416740962,-428.464,181.536,5030.792
416749312,-433.832,451.400,4543.768
416757654,-393.328,385.520,4185.088
416765997,-378.688,336.720,3706.848
416774348,-403.088,455.792,3153.456
416782690,-484.584,508.008,2727.432
416791032,-436.272,669.536,2330.200
416799383,-406.504,651.480,1966.640
416807725,-464.088,513.864,1666.032
416816068,-537.776,503.616,1434.720
416824410,-508.496,515.328,1132.648
416832761,-438.224,459.208,949.160
416841104,-405.040,423.584,825.696
416849447,-410.896,354.776,684.176
416857790,-403.576,359.168,513.376
416866133,-370.392,303.536,336.720
416874484,-347.456,264.984,121.512
416882826,-255.712,252.784,-80.032
416891170,-146.888,119.560,-478.240
416899520,-80.520,-101.992,-767.136
416907863,-47.824,39.040,-1146.800
416916207,-33.672,133.224,-1528.416
416924548,13.664,-309.392,-1931.016
416932899,-89.304,-624.640,-1902.712
416941242,-200.568,-833.016,-1889.048
416949584,-274.256,-939.888,-2020.320
416957926,-210.328,-1009.672,-2115.480
416966277,-93.696,-917.928,-2056.920
416974619,-5.368,-718.336,-2026.176
416982962,-32.208,-562.176,-1795.352
416991311,-20.496,-386.984,-1400.072
416999652,-27.328,-215.208,-931.592
417008002,-4.880,-35.624,-463.600
417016345,68.808,175.192,30.744
417024687,110.776,385.520,548.024
417033030,68.808,587.552,1336.144
417041381,7.808,385.520,2296.040
417049724,-85.888,930.616,2698.152
417058066,82.960,285.480,3304.248
417066410,-72.224,251.808,3900.584
417074761,70.760,371.368,3784.440
417083104,407.968,81.496,3574.600
417091447,444.080,208.864,3392.576
417099790,504.104,220.088,3116.368
417108133,535.824,222.040,2928.976
417116484,545.584,267.912,2791.360
417124828,540.216,260.104,2765.984
