# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
84035657,196.664,-270.352,-613.416
84043999,175.680,-228.384,-664.168
84052341,209.840,-116.632,-700.280
84060685,212.768,-19.520,-607.560
84069035,162.016,140.056,-518.744
84077378,24.888,402.600,-364.048
84085721,-153.232,586.088,103.944
84094064,-423.096,962.336,675.392
84102405,-657.336,1457.656,1419.592
84110756,-767.136,2071.560,2261.880
84119099,-798.368,2580.056,3042.680
84127441,-774.456,3058.784,3666.832
84135783,-903.288,3042.680,4355.888
84144126,-1091.656,3580.456,4798.992
84152475,-1254.160,3197.376,4961.496
84160817,-1243.424,3537.024,4263.168
84169159,-1343.464,3008.520,4013.800
84177509,-1178.032,2698.640,3113.440
84185851,-1211.216,1996.408,2580.056
84194192,-1141.432,1604.056,2062.288
84202534,-1058.960,1320.040,1817.312
84210885,-1084.824,899.384,1586.976
84219225,-1108.736,386.984,1544.032
84227567,-928.664,62.952,1408.856
84235910,-722.728,87.352,1019.920
84244259,-631.960,162.504,651.480
84252601,-506.544,165.920,184.464
84260943,-573.888,-501.664,-171.288
84269293,-549.488,-253.272,-1063.352
84277635,-542.656,-482.144,-1754.360
84285979,-627.568,-246.928,-2336.544
84294321,-265.960,-371.368,-2727.920
84302664,-0.976,-565.592,-2923.120
84311007,140.056,-744.688,-3107.096
84319358,180.072,-972.096,-3092.944
84327701,-12.688,-1049.688,-2768.912
84336044,-60.024,-1199.504,-2661.552
84344387,-45.872,-1124.840,-2442.928
84352729,44.408,-793.488,-2207.224
84361073,120.536,-300.608,-2033.496
84369416,276.208,-395.768,-1722.152
84377759,184.952,352.824,-1256.112
84386110,310.856,1061.400,-1377.624
84394453,312.320,1490.352,-723.216
84402796,-77.592,1860.744,360.632
84411138,-517.280,2221.864,1370.792
84419480,-772.016,2527.352,2237.968
84427823,-852.048,2591.768,3233.000
84436174,-916.952,2513.200,4683.824
84444516,-921.832,2585.424,5306.024
84452858,-828.624,3028.040,5590.040
84461201,-800.320,3292.048,5798.416
84469544,-794.952,3430.152,5188.416
84477894,-744.200,3571.184,4190.456
84486235,-454.816,3258.376,3565.328
84494578,-715.896,3019.256,2713.768
84502919,-709.552,2422.432,2242.360
84511270,-636.352,1758.264,2047.648
84519613,-586.576,1381.040,1700.680
84527955,-597.800,1003.816,1341.024
84536298,-784.216,746.152,1195.112
84544640,-783.240,-2.928,1162.904
84552983,-685.152,45.872,718.824
84561334,-551.928,285.968,437.248
84569676,-737.368,-1511.824,633.912
84578020,-798.368,-482.632,-1238.056
84586362,-486.536,399.672,-1480.104
84594704,-840.824,812.032,312.808
84603055,-337.696,-328.424,-992.592
84611398,-309.880,-976.488,-2238.456
84619741,-94.184,-827.160,-3374.032
84628082,128.344,-976.000,-3888.384
84636424,149.328,-1311.744,-3932.304
84644775,162.992,-1702.632,-3822.016
84653117,463.600,-2323.856,-4082.608
84661458,-182.512,-911.096,-2942.152
84669801,-125.416,-1130.208,-2033.496
84678150,-61.976,-517.768,-1396.168
84686492,36.112,-624.640,-745.664
84694834,110.776,326.472,-936.472
84703176,338.184,791.536,-886.696
84711526,307.928,815.448,-166.408
84719868,-5.368,1151.680,224.480
84728208,-194.712,1646.512,577.304
84736559,-321.592,2092.544,1188.768
84744901,-438.224,2481.968,1857.328
84753243,-502.152,2587.864,2844.064
84761592,-610.000,2917.752,3619.008
84769934,-662.216,3034.872,4183.136
84778276,-865.224,3236.904,4895.616
84786618,-935.008,3276.920,5246.488
84794962,-893.040,3149.064,5077.152
84803313,-826.672,3149.064,4446.656
84811655,-681.736,2859.680,3821.040
84819999,-842.776,2553.216,3083.184
84828341,-803.736,2177.944,2552.728
84836684,-692.960,1731.424,2145.248
84845027,-531.920,1423.984,1801.696
84853370,-503.616,1186.328,1535.248
84861713,-575.840,479.704,1765.584
84870064,-615.368,428.464,1137.040
84878405,-528.016,637.328,585.600
84886750,-487.024,378.200,161.040
84895093,-471.896,462.624,-376.248
84903435,-407.968,-140.056,-546.560
84911778,-845.216,-913.536,-878.888
