# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
383531305,-112.728,-28.792,999.424
383535521,-126.880,-31.720,1002.352
383543864,-140.544,-39.040,986.736
383552215,-133.712,-35.136,964.776
383560557,-118.584,-23.912,947.208
383568900,-107.360,-24.888,940.864
383577243,-110.776,-23.424,950.624
383585593,-117.120,-25.376,972.584
383593937,-126.880,-22.936,990.152
383602279,-129.808,-20.984,1007.232
383610622,-122.976,-29.768,1010.160
383618973,-120.536,-28.792,1000.400
383627315,-121.024,-24.400,984.296
383635657,-120.536,-22.448,975.024
383644007,-134.688,-25.864,990.640
383652349,-151.768,-31.232,1014.064
383660692,-144.448,-33.672,1028.704
383669034,-126.880,-30.256,1027.728
383677385,-113.216,-25.376,1019.432
383685727,-113.704,-18.544,1014.064
383694070,-123.952,-18.056,1011.624
383702420,-127.856,-11.712,998.936
383710762,-128.344,-11.224,1001.376
383719105,-133.224,-15.128,1026.752
383727448,-133.224,-17.568,1053.592
383735798,-116.144,-20.008,1051.152
383744139,-103.456,-19.520,1034.560
383752482,-110.776,-15.616,1017.480
383760826,-118.096,-13.176,1000.888
383769177,-119.072,-14.640,991.128
383777520,-114.192,-16.592,986.736
383785863,-103.944,-11.712,981.368
383794206,-102.480,-9.760,979.904
383802556,-110.288,-12.688,991.128
383810899,-113.704,-18.544,1007.232
383819240,-106.384,-16.592,1016.992
383827590,-96.136,-12.688,1017.968
383835933,-93.696,-10.736,1016.992
383844275,-95.648,-8.784,1010.648
383852618,-92.720,-10.736,1006.744
383860969,-88.328,-11.224,1001.864
383869312,-85.400,-11.224,988.200
383877654,-87.840,-12.688,982.832
383885997,-92.232,-16.104,986.248
383894347,-98.576,-17.080,1001.376
383902688,-95.160,-21.960,1021.872
383911031,-82.960,-21.472,1040.904
383919380,-75.152,-20.496,1053.104
383927722,-74.664,-23.424,1071.160
383936064,-81.496,-24.888,1101.904
383944415,-87.352,-28.304,1131.184
383952756,-85.888,-24.888,1144.360
383961099,-83.448,-8.296,1143.872
383969450,-82.472,0.976,1156.072
383977792,-73.200,9.272,1162.904
383986134,-61.976,14.152,1165.832
383994477,-61.000,20.984,1170.224
384002828,-63.928,21.472,1192.672
384011170,-50.264,18.544,1217.560
384019513,-46.848,16.592,1227.320
384027856,-37.088,19.032,1216.584
384036206,-58.560,27.816,1193.160
384044549,-92.720,34.648,1167.296
