# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
9181004,-57.096,-6.344,991.128
9189347,-52.216,-2.440,984.296
9197697,-45.384,-1.464,977.464
9206038,-41.968,-6.344,966.240
9214380,-41.968,-16.592,946.720
9222730,-43.920,-30.744,925.736
9231072,-46.360,-46.360,907.680
9239413,-43.920,-54.656,890.600
9247763,-43.432,-62.952,872.056
9256105,-45.384,-74.664,856.928
9264448,-42.944,-79.544,841.800
9272791,-49.776,-84.424,833.504
9281134,-55.144,-87.840,818.864
9289476,-57.584,-88.328,796.904
9297820,-64.416,-93.696,774.944
9306170,-78.568,-103.456,756.888
9314512,-99.552,-121.024,737.856
9322857,-120.048,-146.400,709.552
9331199,-148.840,-164.944,699.304
9339541,-165.432,-203.984,680.760
9347884,-180.560,-226.432,648.552
9356236,-176.656,-240.096,623.176
9364579,-162.016,-206.912,602.192
9372922,-142.984,-166.408,588.040
9381263,-114.192,-112.240,567.544
9389606,-89.792,-42.944,558.760
9397956,-63.440,18.544,557.296
9406299,-36.600,90.768,572.912
9414641,-13.664,192.760,565.592
9422983,-21.960,285.480,610.976
9431326,-88.816,324.520,784.216
9439677,-139.080,367.952,906.704
9448019,-165.920,438.224,1030.168
9456361,-204.960,513.864,1197.064
9464704,-239.608,578.280,1412.272
9473047,-246.928,644.160,1541.592
9481397,-210.816,767.136,1697.752
9489740,-343.552,817.888,1738.256
9498083,-249.856,780.312,1920.768
9506425,-272.304,732.976,2011.048
9514768,-332.328,729.072,2021.784
9523111,-363.072,692.472,2109.624
9531461,-324.032,704.184,2027.152
9539804,-351.360,654.408,1952.976
9548146,-373.808,633.424,1860.744
9556489,-353.312,614.880,1721.664
9564832,-332.328,588.040,1540.128
9573175,-298.656,544.120,1415.200
9581525,-274.256,427.000,1396.168
9589866,-275.720,357.704,1364.936
9598209,-286.944,308.416,1326.384
9606559,-289.872,255.712,1283.440
9614901,-280.112,221.552,1162.904
9623244,-253.760,180.560,1018.456
9631585,-246.440,147.376,883.768
9639935,-244.488,82.960,756.888
9648278,-233.264,18.056,640.744
9656620,-185.928,-42.944,554.856
9664963,-146.888,-100.528,522.160
9673304,-130.784,-146.888,522.160
9681654,-114.192,-172.264,527.040
9689996,-98.088,-199.104,526.064
9698339,-76.616,-221.552,502.152
9706680,-53.680,-244.976,474.336
9715030,-39.040,-266.936,447.984
9723372,-27.328,-291.336,424.072
9731714,-9.760,-307.928,385.032
9740063,12.200,-306.464,331.352
9748405,34.160,-306.952,269.864
9756747,47.824,-314.272,211.792
9765089,47.336,-318.176,157.136
9773439,42.456,-321.592,98.088
9781783,54.168,-343.064,24.400
9790126,73.200,-388.936,-39.528
9798468,63.440,-319.152,-14.640
9806812,61.976,-224.480,-3.904
9815154,64.904,-142.496,28.792
9823504,44.896,-77.592,132.248
9831847,-10.736,-39.040,318.664
9840191,-74.664,75.152,479.704
9848534,-97.600,111.264,578.280
9856877,-172.264,183.488,720.288
9865219,-295.728,259.616,897.920
9873563,-283.040,295.728,1104.344
9881913,-262.544,397.232,1226.344
9890254,-278.160,494.832,1391.776
9898597,-297.192,553.880,1597.224
9906940,-316.224,630.496,1750.456
9915282,-366.488,690.032,1891.488
9923633,-415.776,697.352,1995.920
9931975,-417.240,719.800,2002.752
9940317,-427.488,723.216,1947.608
9948666,-400.160,810.080,1928.088
9957008,-463.112,768.112,1905.640
9965349,-397.720,976.976,1764.120
9973692,-301.096,707.112,1781.200
9982042,-334.768,853.512,1626.016
9990383,-355.264,539.240,1635.776
9998726,-339.160,591.944,1568.920
10007068,-362.584,424.560,1454.728
10015418,-321.592,471.408,1281.000
10023762,-300.120,405.528,1224.880
10032103,-284.016,285.480,1151.680
10040445,-271.328,219.600,1125.816
10048789,-259.128,189.344,1122.400
10057132,-224.480,166.408,1083.848
10065483,-195.200,131.760,1024.312
10073828,-176.656,102.480,957.944
10082169,-149.816,94.672,861.320
10090511,-116.632,73.688,769.576
10098854,-93.696,55.632,677.832
10107196,-88.328,35.624,598.288
10115548,-70.760,8.296,519.232
10123890,-57.584,-10.248,436.272
10132232,-47.824,-34.160,362.096
10140575,-20.984,-81.008,323.056
10148917,-12.200,-117.608,312.808
10157267,-10.248,-142.984,315.248
10165610,-4.392,-162.016,321.592
10173952,-0.488,-179.096,329.400
10182300,2.440,-203.984,343.552
10190644,11.224,-221.552,333.304
10198986,17.080,-230.824,297.192
10207329,38.064,-240.584,232.288
10215671,49.776,-241.072,167.872
10224021,65.880,-250.344,133.224
10232363,82.960,-273.768,160.064
10240706,78.080,-282.552,231.800
10249048,70.272,-300.120,335.744
10257390,66.368,-245.952,424.072
10265734,69.784,-171.288,540.216
10274084,54.656,-120.048,662.704
10282427,38.552,-145.912,784.704
10290769,-16.592,-33.672,854.000
10299112,-22.936,11.224,880.352
10307455,-21.472,49.776,914.512
10315806,-56.120,83.936,980.880
10324145,-121.024,116.632,1028.216
10332487,-184.952,133.712,1086.288
10340837,-256.688,108.336,1199.016
10349179,-327.448,110.288,1292.712
10357522,-372.832,145.912,1341.024
10365865,-412.848,173.240,1409.832
10374208,-441.640,200.080,1544.032
10382551,-448.960,236.680,1647.976
10390901,-403.088,508.008,1726.056
10399244,-532.408,373.320,1833.416
10407587,-483.608,715.408,1757.288
10415929,-377.224,456.768,1886.608
10424279,-393.328,511.912,1853.912
10432622,-415.776,535.336,1882.216
10440964,-429.928,439.688,1942.728
10449304,-398.208,519.232,1951.024
10457655,-362.096,411.384,2003.728
10465997,-343.064,438.712,1912.960
10474340,-281.576,476.776,1738.744
10482682,-272.304,481.168,1585.024
10491025,-265.960,414.800,1420.568
10499368,-271.816,331.840,1286.368
10507719,-272.792,252.296,1196.088
10516061,-270.840,190.320,1108.736
10524403,-264.496,137.128,1003.328
10532747,-247.904,93.696,872.544
10541089,-220.088,69.784,732.000
10549440,-181.048,27.816,632.448
10557783,-144.448,-29.768,556.808
10566125,-116.632,-66.856,497.760
10574468,-92.720,-114.680,463.112
10582811,-85.888,-162.016,456.280
10591154,-87.840,-197.152,460.672
10599497,-81.496,-227.896,450.424
10607848,-70.760,-252.296,427.976
10616189,-61.000,-279.136,403.576
10624533,-58.560,-303.048,373.808
10632875,-61.000,-316.224,334.280
10641217,-48.800,-346.480,291.824
10649567,-35.624,-381.616,269.864
10657909,-20.496,-412.848,237.656
10666251,0.000,-426.512,184.464
10674594,21.472,-443.592,138.104
10682944,17.080,-428.952,129.320
10691286,16.104,-413.824,155.184
10699629,22.448,-399.672,182.024
10707971,15.616,-367.464,257.176
10716321,17.568,-329.888,357.704
10724662,11.712,-268.400,438.712
10733005,0.976,-199.104,510.936
10741347,-20.496,-123.464,570.960
10749697,-39.040,-16.104,609.512
10758038,-65.880,5.368,669.048
10766380,-131.272,162.504,741.272
10774730,-178.120,203.496,832.528
10783072,-219.112,275.720,958.432
10791413,-267.912,288.896,1138.992
10799756,-306.464,311.832,1308.328
10808106,-323.056,372.344,1384.944
10816448,-374.784,430.904,1436.184
10824790,-438.224,400.648,1557.696
10833133,-492.392,564.616,1698.728
10841477,-624.152,358.680,1939.800
10849820,-655.384,744.200,1938.336
10858170,-549.000,530.456,2195.512
10866512,-509.472,499.712,2088.152
10874854,-541.680,576.816,1989.576
10883197,-552.416,425.536,1939.800
10891540,-537.776,441.152,1718.736
10899891,-529.968,390.888,1607.960
10908234,-500.200,385.032,1522.560
10916577,-457.744,325.496,1419.104
10924918,-446.032,307.440,1341.512
10933260,-412.848,259.128,1325.896
10941611,-353.312,220.576,1284.416
10949953,-290.360,203.008,1222.928
10958296,-273.768,157.136,1171.688
10966639,-246.928,124.440,1130.696
10974981,-209.352,96.624,1072.624
10983330,-187.880,95.160,947.696
10991673,-160.064,67.344,803.736
11000014,-118.584,17.080,680.272
11008357,-86.864,-20.984,569.984
11016708,-61.488,-57.584,469.456
11025051,-16.104,-122.000,405.528
11033394,10.736,-166.408,392.840
11041738,16.592,-187.880,398.696
11050080,34.160,-210.816,414.800
11058423,43.920,-227.408,432.368
11066766,65.392,-237.656,441.152
11075116,83.936,-240.584,417.240
11083460,99.064,-246.440,390.888
11091802,100.528,-259.128,383.080
11100145,113.704,-267.424,365.024
11108487,114.680,-276.696,368.440
11116837,106.872,-281.576,390.400
11125180,95.160,-269.376,428.464
11133523,94.672,-250.832,453.352
11141866,91.744,-217.160,473.360
11150208,77.592,-183.488,512.400
11158550,49.288,-145.912,532.896
11166901,20.984,-87.352,521.184
11175243,-17.568,-13.176,528.504
11183584,-45.384,51.240,567.544
11191926,-112.240,106.872,628.056
11200275,-159.088,160.552,722.728
11208619,-252.296,186.904,859.368
11216961,-311.832,203.984,1014.064
11225303,-395.768,214.720,1221.952
11233654,-494.832,229.360,1488.400
11241996,-525.576,416.264,1700.192
11250338,-658.312,186.904,1971.520
11258679,-680.272,453.352,1951.024
11267029,-585.600,513.376,2079.368
11275370,-552.416,445.056,2033.496
11283714,-560.712,533.384,1892.952
11292063,-588.040,430.416,1866.112
11300405,-572.424,428.952,1770.952
11308748,-570.472,366.488,1682.136
11317089,-521.672,406.992,1542.568
11325438,-460.184,330.864,1444.968
11333781,-417.728,276.696,1376.648
