# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
344567820,-28.304,-34.648,1006.744
344575104,-27.816,-33.672,1006.256
344583454,-27.816,-34.160,1004.304
344591796,-27.816,-34.160,1005.280
344600138,-27.816,-34.160,1005.280
344608488,-27.328,-34.160,1006.256
344616831,-27.816,-33.672,1006.744
344625173,-27.816,-34.160,1006.256
344633524,-27.328,-33.672,1005.768
344641866,-27.328,-33.672,1004.304
344650209,-27.816,-34.160,1005.280
344658552,-27.816,-34.160,1006.256
344666902,-28.304,-34.160,1007.232
344675243,-28.792,-34.160,1007.720
344683585,-27.816,-34.160,1007.232
344691935,-27.816,-34.160,1005.768
344700276,-27.328,-34.648,1004.304
344708619,-27.816,-34.160,1004.792
344716969,-27.816,-33.184,1004.792
344725311,-27.816,-33.672,1005.280
344733655,-28.304,-33.184,1005.280
344742005,-27.816,-33.184,1005.768
344750347,-27.816,-33.184,1007.232
344758690,-27.816,-33.184,1004.792
344767033,-28.304,-33.672,1003.816
344775376,-27.816,-34.160,1005.768
344783726,-28.304,-34.160,1007.232
344792069,-28.792,-34.160,1005.280
344800412,-29.280,-34.648,1004.792
344808755,-28.792,-35.136,1006.744
344817106,-28.304,-35.136,1005.768
344825449,-28.304,-35.624,1003.816
344833791,-28.304,-35.624,1005.280
344842133,-27.816,-33.672,1006.744
344850484,-27.328,-33.184,1006.744
344858826,-27.328,-33.672,1006.256
344867169,-28.304,-33.672,1005.768
344875519,-28.792,-33.184,1004.792
344883862,-28.792,-33.184,1004.792
344892205,-27.816,-33.184,1006.256
344900547,-26.840,-33.184,1007.232
344908897,-27.816,-33.184,1006.744
344917240,-26.840,-34.160,1005.280
344925583,-27.328,-34.160,1006.256
344933925,-27.328,-34.648,1005.768
344942275,-27.816,-34.648,1005.768
344950617,-29.280,-34.160,1005.280
344958958,-28.792,-34.160,1007.232
344967308,-29.280,-33.672,1008.208
344975649,-29.280,-34.160,1005.768
344984000,-29.280,-34.160,1005.280
344992342,-28.304,-33.672,1005.768
345000684,-28.304,-34.160,1004.792
345009027,-27.328,-34.160,1005.768
345017370,-27.816,-33.672,1005.280
345025721,-27.328,-33.672,1005.768
345034064,-27.816,-34.160,1005.280
345042408,-27.328,-33.672,1003.816
345050751,-27.328,-33.672,1006.744
345059101,-28.792,-33.184,1008.208
345067444,-28.304,-33.184,1007.720
345075787,-28.304,-33.672,1006.256
345084130,-27.816,-32.696,1008.208
345092472,-28.304,-33.184,1007.232
345100823,-27.816,-34.160,1002.352
345109166,-27.816,-33.184,1001.864
345117509,-27.816,-33.672,1005.768
345125851,-28.792,-33.672,1005.768
345134203,-28.304,-34.160,1003.816
345142545,-28.304,-34.648,1005.280
345150888,-28.304,-34.160,1007.720
345159236,-27.816,-34.648,1007.232
345167579,-26.840,-35.624,1005.768
345175921,-27.328,-35.136,1006.744
345184269,-27.816,-35.136,1006.744
345192611,-28.304,-34.648,1005.768
345200954,-27.816,-34.160,1006.744
345209304,-27.816,-33.672,1006.256
345217647,-29.280,-34.160,1005.280
345225990,-27.816,-33.184,1003.816
345234332,-27.328,-33.184,1004.792
345242682,-27.816,-33.184,1004.792
345251025,-28.304,-32.696,1005.768
345259367,-27.816,-34.160,1006.256
345267717,-27.816,-33.672,1006.744
345276060,-27.816,-34.160,1006.256
345284402,-27.816,-35.136,1005.280
345292752,-28.304,-35.136,1005.280
345301094,-28.792,-34.648,1006.256
345309437,-29.280,-34.648,1005.768
345317779,-28.792,-33.672,1005.768
345326130,-28.304,-33.184,1006.256
345334473,-27.816,-33.184,1004.304
345342816,-26.840,-33.672,1003.816
345351159,-27.328,-33.184,1004.304
345359502,-26.352,-33.672,1005.768
345367853,-27.328,-34.160,1005.768
345376196,-28.304,-33.672,1006.744
345384538,-28.792,-33.184,1006.744
345392881,-29.768,-33.672,1006.744
345401232,-29.280,-33.184,1006.256
