# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
19903737,-24.888,37.088,1003.816
19907766,-25.376,35.136,1006.744
19916109,-25.864,36.112,1006.256
19924451,-24.888,37.088,1005.280
19932793,-23.424,37.088,1005.768
19941136,-24.888,36.600,1009.184
19949487,-24.888,37.576,1006.256
19957830,-23.912,38.064,1004.792
19966171,-24.400,38.064,1003.328
19974514,-23.912,39.040,1002.840
19982857,-24.400,40.016,1003.328
19991207,-24.888,40.016,1005.280
19999550,-24.888,40.992,1003.328
20007891,-24.888,40.504,1003.816
20016234,-24.400,38.064,1004.792
20024584,-21.960,38.064,1005.768
20032925,-21.472,37.088,1006.256
20041268,-21.472,36.600,1005.280
20049610,-22.448,36.112,1007.720
20057960,-22.936,35.136,1006.744
20066303,-24.400,36.112,1005.768
20074646,-24.888,36.112,1005.280
20082988,-25.376,36.600,1004.792
20091331,-26.840,38.064,1002.840
20099674,-27.816,39.040,1003.328
20108023,-27.328,39.040,1003.328
20116364,-26.352,39.528,1005.280
20124707,-23.912,40.016,1005.280
20133049,-23.424,38.552,1005.280
20141399,-21.472,38.552,1005.280
20149741,-21.472,38.064,1007.720
20158084,-21.960,38.552,1007.232
20166427,-22.936,37.088,1006.256
20174770,-24.400,37.088,1004.304
20183121,-25.376,37.088,1004.792
20191463,-25.864,37.088,1005.280
20199806,-26.840,37.576,1004.792
20208149,-26.352,37.576,1003.328
20216492,-25.376,37.576,1003.328
20224834,-23.424,37.088,1004.792
20233184,-22.448,37.576,1005.280
20241526,-21.472,38.064,1004.304
20249869,-21.960,38.064,1005.768
20258211,-22.448,38.064,1004.304
20266554,-23.912,39.040,1005.768
20274905,-25.376,39.040,1006.744
20283247,-26.352,39.528,1005.768
20291589,-26.352,39.040,1004.792
20299932,-25.864,38.552,1004.304
20308274,-25.376,38.064,1003.328
20316625,-23.912,37.088,1004.792
20324968,-23.424,37.576,1005.280
20333310,-22.936,37.576,1005.280
20341652,-21.960,37.088,1006.256
20349995,-22.936,37.576,1006.256
20358346,-23.424,37.088,1005.280
20366689,-24.888,37.088,1005.280
20375031,-25.376,37.576,1005.768
20383374,-25.864,38.552,1005.280
20391716,-25.864,38.552,1004.304
20400059,-25.864,39.040,1004.792
20408411,-24.888,39.528,1004.792
20416753,-24.400,39.040,1004.304
20425095,-22.936,38.552,1006.744
20433437,-21.960,39.040,1005.280
20441779,-22.448,39.528,1005.280
20450128,-23.912,38.552,1006.256
20458471,-22.448,35.624,1004.792
20466813,-22.936,35.136,1004.304
20475161,-22.936,36.600,1003.328
20483504,-23.912,37.576,1001.864
20491845,-24.888,39.528,1002.352
20500188,-25.864,40.504,1004.304
20508538,-27.816,40.992,1007.720
20516880,-28.792,40.016,1008.208
20525221,-27.816,39.040,1007.720
20533571,-25.864,38.552,1006.744
20541914,-21.960,37.576,1005.280
20550256,-21.472,36.600,1005.280
20558597,-20.984,35.624,1007.232
20566940,-20.984,35.624,1006.744
20575289,-22.448,35.136,1003.816
20583631,-23.424,36.112,1002.352
20591972,-24.400,36.112,1004.304
20600322,-25.376,36.600,1004.304
20608664,-23.912,37.576,1002.352
20617006,-22.936,38.552,1003.328
20625348,-22.448,39.040,1005.768
20633699,-22.448,39.528,1007.720
20642041,-22.448,38.552,1007.720
20650384,-22.936,38.064,1006.744
20658726,-22.448,38.064,1006.744
20667070,-22.448,39.040,1005.768
20675412,-24.400,39.040,1002.352
20683763,-26.352,38.552,1003.816
20692105,-28.792,39.528,1007.232
20700447,-29.280,39.528,1005.280
20708788,-28.304,39.040,1002.352
20717140,-26.840,38.064,1002.352
20725484,-23.912,36.112,1005.280
20733826,-21.960,37.576,1005.768
20742167,-20.984,37.576,1006.256
20750511,-20.984,37.088,1005.768
20758853,-22.448,36.600,1007.232
20767202,-23.912,38.064,1007.232
20775545,-24.888,39.040,1004.792
20783886,-24.888,40.016,1004.304
20792229,-24.888,39.528,1004.792
