# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
5708511,-38,-81,2059
5716862,-34,-82,2064
5725204,-30,-78,2059
5733545,-30,-80,2057
5741896,-31,-78,2061
5750239,-36,-80,2059
5758582,-42,-80,2059
5766931,-46,-85,2061
5775274,-47,-82,2059
5783617,-43,-84,2052
5791960,-40,-83,2051
5800310,-36,-80,2055
5808653,-34,-79,2056
5816995,-32,-79,2061
5825338,-31,-78,2064
5833689,-33,-78,2063
5842032,-34,-79,2062
5850375,-37,-82,2061
5858718,-40,-84,2060
5867069,-42,-84,2055
5875412,-42,-85,2058
5883755,-42,-84,2057
5892098,-40,-84,2057
5900448,-39,-85,2057
5908791,-35,-82,2058
5917134,-33,-80,2060
5925478,-33,-81,2063
5933821,-33,-79,2064
5942172,-35,-77,2064
5950514,-36,-78,2062
5958857,-39,-81,2056
5967207,-40,-79,2055
5975549,-41,-82,2054
5983892,-41,-84,2054
5992235,-42,-82,2059
6000585,-41,-81,2062
6008927,-38,-83,2062
6017270,-34,-80,2061
6025620,-33,-82,2060
6033961,-33,-81,2060
6042303,-33,-82,2057
6050654,-35,-81,2058
6058997,-38,-84,2057
6067340,-42,-82,2059
6075682,-43,-80,2060
6084034,-43,-82,2060
6092377,-40,-80,2058
6100719,-37,-79,2057
6109063,-34,-79,2059
6117406,-32,-79,2060
6125756,-32,-79,2060
6134100,-33,-80,2061
6142444,-33,-81,2059
6150786,-38,-82,2061
6159137,-40,-84,2057
6167478,-42,-84,2058
6175819,-42,-83,2058
6184170,-41,-82,2060
6192513,-40,-80,2056
6200855,-39,-79,2054
6209207,-36,-78,2056
6217548,-36,-78,2060
6225891,-36,-79,2065
6234241,-35,-79,2062
6242583,-35,-82,2062
6250926,-35,-82,2061
6259268,-36,-82,2060
6267618,-38,-81,2057
6275961,-38,-83,2053
6284304,-38,-84,2052
6292654,-40,-82,2057
6300995,-40,-81,2060
6309338,-40,-80,2060
6317688,-40,-81,2060
6326031,-39,-81,2060
6334373,-37,-80,2060
6342715,-36,-80,2061
6351065,-36,-80,2061
6359406,-35,-79,2056
6367757,-37,-81,2056
6376099,-39,-81,2059
6384442,-39,-82,2059
6392784,-38,-83,2059
6401137,-39,-84,2059
6409480,-39,-81,2059
6417823,-37,-79,2058
6426166,-37,-80,2057
6434509,-36,-81,2059
6442861,-36,-80,2060
6451203,-36,-82,2061
6459546,-38,-82,2061
6467889,-40,-82,2061
6476240,-39,-81,2059
6484583,-38,-83,2059
6492925,-38,-82,2058
6501267,-38,-80,2059
6509618,-37,-82,2057
6517960,-37,-81,2057
6526302,-36,-79,2058
6534653,-36,-82,2059
6542995,-37,-81,2057
6551338,-37,-80,2059
6559688,-37,-80,2059
6568029,-39,-81,2060
6576371,-37,-80,2060
6584719,-37,-81,2058
6593062,-38,-82,2057
6601412,-38,-81,2058
6609754,-39,-80,2058
6618097,-37,-82,2059
6626439,-39,-82,2059
6634789,-37,-80,2059
6643132,-39,-79,2062
6651475,-36,-80,2059
6659826,-35,-80,2059
6668169,-36,-80,2057
6676511,-37,-81,2057
6684854,-37,-83,2056
6693205,-38,-82,2057
6701548,-38,-81,2062
6709891,-39,-82,2060
6718235,-39,-82,2062
6726578,-40,-82,2060
6734928,-37,-81,2058
6743271,-37,-82,2055
6751614,-36,-81,2058
6759956,-38,-81,2059
6768306,-38,-80,2060
6776648,-38,-83,2060
6784998,-37,-82,2059
6793339,-37,-82,2057
6801680,-36,-81,2058
6810031,-36,-82,2060
6818374,-35,-82,2061
6826716,-36,-79,2059
6835059,-36,-80,2059
6843409,-35,-82,2061
6851751,-37,-82,2059
6860094,-38,-82,2056
6868444,-39,-84,2058
6876786,-40,-82,2060
6885129,-39,-80,2061
6893479,-38,-82,2058
6901820,-38,-82,2056
6910163,-40,-79,2057
6918513,-39,-80,2060
6926856,-39,-79,2060
6935197,-38,-80,2058
6943548,-37,-81,2061
6951890,-37,-81,2061
6960233,-37,-82,2059
6968583,-36,-83,2058
6976926,-37,-83,2058
6985268,-37,-82,2058
6993611,-39,-83,2057
7001962,-39,-81,2059
7010306,-39,-81,2058
