# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
3506268,-620,274,1910
3514619,-611,283,1907
3522962,-610,308,1914
3531304,-625,296,1914
3539654,-638,305,1925
3547997,-630,308,1933
3556340,-629,298,1935
3564688,-607,303,1938
3573031,-625,311,1942
3581374,-653,289,1938
3589725,-671,263,1933
3598068,-664,259,1927
3606410,-647,287,1919
3614753,-642,292,1927
3623104,-651,261,1955
3631446,-659,241,1969
3639789,-660,241,1962
3648132,-652,249,1951
3656479,-651,264,1945
3664823,-644,279,1933
3673174,-637,282,1920
3681516,-640,269,1916
3689860,-647,258,1907
3698209,-647,274,1884
3706551,-649,280,1881
3714894,-651,262,1895
3723237,-652,270,1915
3731586,-661,284,1924
3739928,-651,278,1928
3748278,-650,286,1944
3756621,-645,297,1952
3764963,-634,298,1967
3773313,-629,298,1978
3781655,-641,307,1963
3789997,-641,306,1951
3798348,-633,297,1949
3806689,-627,296,1953
3815033,-629,298,1949
3823383,-631,296,1932
3831725,-628,304,1912
3840067,-635,310,1900
3848417,-638,299,1906
3856760,-628,287,1927
3865103,-632,289,1941
3873445,-632,291,1930
3881797,-631,298,1921
3890140,-637,295,1930
3898481,-641,285,1939
3906832,-638,284,1943
3915174,-621,292,1941
3923516,-619,297,1940
3931867,-629,287,1940
3940210,-629,280,1930
3948553,-627,279,1922
3956897,-630,275,1917
3965240,-626,280,1913
3973591,-631,291,1909
3981934,-634,289,1916
3990277,-646,273,1936
3998628,-646,269,1940
4006972,-639,284,1933
4015314,-640,288,1942
4023657,-639,281,1951
4032007,-632,294,1941
4040349,-624,299,1938
4048690,-620,297,1939
4057042,-612,305,1934
4065384,-606,315,1926
4073725,-597,311,1922
4082076,-603,302,1938
4090418,-613,293,1939
4098760,-615,296,1927
4107110,-618,309,1916
4115451,-631,295,1926
4123802,-643,279,1929
4132144,-640,279,1926
4140487,-628,293,1921
4148830,-626,297,1926
4157180,-621,287,1935
4165524,-619,284,1940
4173867,-624,289,1941
4182210,-622,298,1936
4190561,-622,295,1942
4198904,-628,285,1952
4207247,-629,287,1957
4215597,-626,284,1958
4223941,-627,286,1936
4232285,-623,295,1917
4240627,-625,294,1908
4248970,-626,280,1909
4257320,-627,268,1922
4265663,-637,268,1930
4274006,-638,272,1933
4282349,-632,286,1931
4290699,-635,301,1932
4299042,-633,298,1942
4307390,-639,296,1948
4315733,-630,305,1951
4324076,-623,310,1955
4332418,-627,304,1957
4340767,-626,290,1957
4349110,-630,285,1957
4357460,-628,284,1955
4365801,-621,287,1935
4374151,-616,288,1917
4382493,-608,299,1911
4390837,-606,305,1922
4399178,-613,290,1923
4407529,-620,275,1918
4415872,-631,280,1919
4424214,-630,279,1927
4432564,-620,285,1927
4440907,-620,291,1929
4449249,-617,289,1938
4457600,-610,289,1931
4465942,-602,301,1908
4474285,-597,306,1898
4482635,-596,302,1895
4490979,-600,302,1903
4499321,-600,302,1914
4507664,-608,298,1910
4516014,-631,293,1913
4524357,-665,277,1933
4532700,-676,256,1957
4541044,-671,268,1976
4549394,-668,287,1976
4557737,-662,295,1975
4566080,-652,294,1988
4574422,-651,289,1986
4582773,-653,293,1965
4591115,-637,295,1955
4599458,-629,289,1932
4607809,-628,301,1928
4616151,-616,310,1933
4624494,-613,302,1937
4632845,-622,282,1935
4641187,-621,270,1929
4649529,-629,273,1914
4657878,-628,274,1899
4666220,-619,274,1893
4674563,-615,291,1891
4682913,-613,300,1905
4691255,-613,301,1929
4699604,-618,306,1942
4707946,-626,310,1947
4716288,-622,300,1952
4724639,-621,283,1964
4732982,-632,281,1949
4741324,-629,285,1925
4749667,-614,287,1914
4758018,-606,298,1917
4766360,-611,305,1922
4774704,-608,310,1930
4783048,-622,302,1941
4791398,-654,284,1946
4799741,-661,270,1953
4808085,-657,275,1954
4816427,-653,288,1948
4824778,-649,281,1953
4833122,-641,273,1946
4841464,-631,287,1916
4849814,-617,301,1902
4858157,-613,300,1925
4866500,-609,299,1945
4874843,-604,307,1950
4883194,-613,297,1947
4891536,-631,279,1949
4899879,-634,268,1945
4908221,-631,282,1925
4916572,-635,292,1914
4924914,-625,281,1913
4933256,-619,280,1909
4941607,-614,299,1904
4949949,-615,308,1904
4958291,-619,297,1917
4966641,-618,285,1930
4974985,-623,295,1943
4983328,-629,293,1962
4991678,-630,284,1976
5000021,-632,288,1968
5008363,-625,295,1943
5016712,-617,297,1933
5025054,-625,291,1935
5033396,-628,281,1947
5041746,-630,277,1953
5050090,-627,286,1938
5058432,-619,302,1919
5066775,-620,304,1915
5075126,-609,299,1922
5083468,-608,294,1928
5091812,-606,287,1928
5100162,-612,291,1912
5108505,-619,287,1909
5116847,-633,275,1925
5125198,-627,285,1939
5133540,-625,307,1944
5141884,-620,306,1945
5150226,-628,283,1945
5158577,-629,276,1932
5166920,-621,283,1908
5175264,-610,282,1891
5183605,-611,284,1884
5191956,-620,284,1886
5200299,-623,276,1906
5208641,-639,280,1939
5216991,-654,273,1970
5225334,-658,270,2000
5233676,-663,283,1995
5242027,-665,297,1981
5250369,-668,287,1981
5258711,-657,279,1974
5267062,-639,298,1955
5275404,-624,306,1939
5283746,-610,301,1928
5292089,-605,307,1926
5300440,-606,306,1934
5308783,-628,288,1933
5317126,-635,270,1923
5325477,-638,266,1924
5333820,-637,265,1930
5342163,-622,276,1944
5350506,-611,289,1941
5358849,-609,300,1919
5367200,-607,300,1912
5375541,-602,294,1924
5383885,-615,298,1931
5392236,-617,296,1934
5400579,-614,293,1943
5408921,-622,292,1944
5417272,-612,304,1928
5425614,-610,306,1926
5433957,-611,289,1938
5442301,-613,278,1937
5450644,-612,276,1922
5458995,-614,286,1905
5467337,-614,287,1896
5475679,-618,284,1917
5484029,-616,286,1931
