A_X [mg]	A_Y [mg]	A_Z [mg]
-717	6	-692
-717	7	-692
-717	7	-692
-717	7	-691
-717	7	-692
-717	6	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-691
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-691
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	7	-692
-717	6	-692
-717	7	-692
-717	7	-691
-718	7	-691
-719	6	-690
-721	6	-688
-722	7	-687
-723	6	-685
-723	6	-686
-722	6	-685
-723	6	-685
-723	6	-685
-723	6	-686
-722	6	-686
-723	6	-686
-722	6	-687
-721	7	-688
-720	7	-689
-718	7	-691
-718	6	-691
-717	6	-690
-717	6	-693
-715	7	-694
-713	7	-695
-713	7	-696
-712	6	-700
-710	5	-699
-710	7	-698
-712	9	-697
-713	10	-697
-713	8	-695
-717	6	-691
-726	5	-686
-736	5	-676
-734	7	-674
-725	9	-679
-719	9	-687
-714	7	-697
-713	6	-698
-714	7	-695
-719	9	-691
-723	9	-686
-726	8	-683
-726	7	-682
-726	6	-682
-727	8	-681
-731	10	-680
-729	9	-679
-727	8	-679
-729	6	-681
-726	7	-683
-722	8	-686
-724	8	-683
-727	9	-683
-732	7	-679
-730	6	-676
-732	7	-676
-735	9	-675
-740	8	-671
-738	7	-667
-736	6	-670
-733	5	-679
-730	6	-682
-728	7	-676
-732	10	-670
-739	11	-673
-738	6	-671
-735	1	-670
-738	2	-673
-736	7	-674
-734	12	-669
-740	11	-666
-745	4	-665
-741	0	-667
-738	1	-671
-735	8	-672
-737	12	-669
-741	10	-665
-742	5	-666
-740	1	-665
-746	0	-662
-751	4	-658
-749	9	-657
-743	11	-659
-743	8	-662
-749	2	-663
-751	-1	-657
-752	0	-652
-754	7	-655
-751	11	-653
-747	9	-656
-750	3	-656
-750	0	-654
-755	1	-654
-756	7	-652
-755	9	-646
-756	7	-645
-757	4	-651
-754	2	-655
-751	4	-650
-759	5	-646
-766	6	-643
-765	5	-638
-760	5	-640
-759	4	-648
-760	4	-646
-760	4	-644
-763	5	-639
-768	6	-637
-769	4	-637
-766	2	-635
-763	2	-640
-764	3	-645
-762	6	-638
-767	6	-632
-771	5	-632
-775	2	-634
-771	1	-632
-766	4	-629
-774	6	-631
-775	7	-633
-770	5	-627
-771	3	-627
-774	2	-632
-778	2	-631
-772	4	-621
-773	6	-622
-781	6	-628
-776	5	-626
-775	2	-621
-782	0	-621
-781	2	-622
-778	3	-620
-779	6	-621
-780	6	-620
-782	6	-617
-783	4	-614
-784	2	-615
-786	1	-616
-786	3	-612
-786	5	-611
-786	5	-611
-786	3	-612
-787	2	-613
-789	1	-610
-789	1	-610
-789	4	-609
-790	6	-605
-790	5	-604
-795	3	-602
-797	1	-605
-792	0	-606
-791	3	-602
-794	5	-604
-798	5	-601
-795	2	-599
-792	1	-599
-797	2	-598
-801	2	-600
-801	2	-593
-800	1	-591
-801	1	-596
-799	2	-596
-798	1	-599
-799	2	-592
-805	4	-588
-806	2	-589
-804	0	-586
-803	0	-589
-805	1	-591
-808	3	-585
-809	4	-583
-808	2	-580
-809	-1	-583
-807	-2	-588
-806	0	-585
-808	4	-583
-810	5	-582
-811	3	-579
-811	0	-580
-812	-1	-577
-813	0	-579
-815	4	-574
-815	5	-572
-816	2	-571
-817	0	-573
-816	-2	-577
-813	-1	-571
-818	1	-570
-819	4	-573
-818	5	-569
-818	1	-565
-822	0	-567
-825	-1	-565
-818	-1	-565
-818	-1	-564
-823	0	-560
-828	1	-563
-826	2	-561
-821	1	-561
-822	1	-562
-828	0	-560
-829	0	-559
-824	-1	-553
-827	-1	-555
-830	0	-558
-829	0	-556
-829	0	-553
-830	0	-548
-833	0	-553
-832	0	-551
-830	0	-550
-835	0	-548
-834	0	-544
-833	0	-547
-834	0	-549
-833	0	-547
-835	0	-546
-838	0	-540
-838	-1	-539
-837	-1	-541
-837	0	-542
-837	0	-541
-839	0	-537
-841	-1	-533
-842	-3	-538
-840	-4	-539
-839	-2	-537
-842	0	-533
-843	1	-529
-846	0	-530
-844	-3	-532
-843	-4	-532
-844	-3	-528
-847	-2	-524
-849	0	-525
-847	-1	-527
-844	-1	-527
-847	-3	-528
-850	-3	-523
-850	-2	-521
-850	0	-520
-850	0	-519
-852	-2	-522
-851	-3	-519
-854	-4	-522
-859	-6	-529
-854	-5	-521
-855	-2	-515
-858	6	-514
-857	9	-520
-850	2	-510
-855	-7	-512
-864	-11	-518
-869	-6	-516
-858	2	-511
-856	10	-508
-858	10	-511
-852	0	-512
-853	-7	-513
-858	-8	-515
-858	0	-511
-856	4	-509
-853	6	-512
-855	1	-513
-858	-4	-517
-853	-5	-511
-850	-1	-513
-852	5	-518
-858	5	-514
-856	0	-509
-851	-7	-510
-858	-8	-518
-859	-2	-514
-855	5	-510
-850	7	-510
-852	4	-514
-858	-6	-520
-850	-9	-511
-850	-5	-519
-861	2	-510
-858	7	-509
-853	3	-513
-852	-4	-511
-857	-8	-518
-858	-5	-515
-855	1	-509
-853	4	-514
-855	3	-512
-857	-2	-513
-855	-5	-515
-851	-3	-517
-857	0	-510
-861	1	-507
-856	2	-512
-853	0	-513
-853	-4	-512
-856	-4	-517
-855	-2	-517
-852	0	-509
-855	2	-513
-857	-1	-514
-855	-4	-512
-855	-5	-514
-855	-3	-513
-857	0	-512
-853	0	-515
-850	0	-513
-856	-2	-515
-856	-4	-512
-856	-2	-514
-854	-2	-515
-853	0	-509
-859	-1	-514
-857	-2	-512
-851	-2	-513
-853	-3	-517
-857	-2	-510
-858	-1	-515
-854	-1	-514
-852	0	-511
-857	-2	-516
-857	-2	-511
-853	0	-514
-855	-1	-511
-858	0	-509
-856	-1	-518
-855	-2	-511
-853	-2	-511
-854	-2	-519
-856	-1	-510
-856	-1	-511
-842	-1	-532
-818	0	-551
-825	0	-540
-856	0	-510
-860	-1	-514
-852	-3	-521
-852	-4	-510
-856	-2	-509
-856	0	-520
-850	0	-520
-823	0	-543
-812	-1	-554
-833	0	-537
-864	0	-504
-867	0	-506
-846	-1	-523
-851	-3	-510
-860	-2	-511
-856	-1	-517
-854	0	-511
-851	0	-512
-857	-2	-516
-860	-3	-513
-851	-2	-514
-852	0	-512
-859	0	-513
-856	-1	-515
-852	-2	-512
-854	-2	-513
-858	-1	-515
-856	-1	-513
-852	0	-512
-855	-1	-514
-858	-2	-514
-855	-2	-513
-852	-1	-512
-855	-1	-513
-857	-1	-514
-854	-1	-513
-864	-2	-497
-898	-5	-463
-874	-2	-492
-850	0	-509
-850	-1	-517
-870	-3	-497
-876	-2	-497
-860	-2	-500
-870	-3	-483
-872	-3	-502
-858	-2	-518
-850	-1	-513
-852	5	-514
-868	3	-503
-863	0	-503
-856	-4	-515
-855	-10	-512
-858	-11	-510
-872	-14	-513
-867	-9	-506
-854	-2	-510
-849	1	-506
-855	0	-507
-863	-5	-510
-863	-10	-510
-856	-10	-509
-853	-6	-508
-856	-1	-509
-861	0	-509
-861	-3	-509
-856	-7	-508
-856	-8	-510
-857	-7	-511
-860	-4	-508
-858	-1	-509
-856	-2	-508
-856	-5	-510
-857	-7	-510
-859	-7	-510
-858	-5	-510
-856	-2	-509
-856	-2	-509
-858	-4	-510
-858	-7	-510
-857	-7	-510
-856	-5	-511
-856	-3	-510
-858	-3	-509
-857	-4	-511
-857	-6	-510
-856	-7	-511
-857	-5	-511
-857	-4	-510
-857	-3	-510
-857	-3	-510
-857	-5	-510
-856	-6	-512
-856	-5	-511
-857	-4	-510
-856	-3	-512
-856	-3	-511
-856	-5	-510
-856	-5	-512
-857	-5	-512
-856	-4	-511
-856	-3	-511
-856	-3	-511
-857	-4	-512
-856	-5	-511
-856	-5	-512
-856	-4	-512
-856	-3	-511
-856	-3	-512
-856	-4	-511
-856	-5	-512
-856	-5	-512
-856	-4	-512
-855	-3	-511
-855	-3	-512
-856	-4	-512
-856	-4	-511
-856	-4	-512
-854	-3	-514
-855	-3	-511
-856	-3	-511
-857	-4	-513
-855	-4	-514
-855	-4	-511
-856	-4	-512
-857	-3	-514
-855	-3	-512
-854	-4	-512
-855	-4	-514
-856	-4	-513
-855	-4	-512
-856	-3	-512
-856	-3	-514
-856	-3	-513
-854	-4	-513
-855	-4	-513
-856	-3	-514
-856	-3	-512
-855	-3	-513
-855	-3	-514
-855	-4	-513
-855	-4	-512
-855	-3	-513
-855	-2	-514
-855	-3	-513
-855	-3	-513
-855	-3	-513
-856	-3	-513
-856	-3	-514
-854	-3	-514
-854	-3	-514
-855	-3	-514
-856	-3	-513
-854	-3	-514
-854	-3	-514
-855	-3	-514
-855	-3	-515
-854	-3	-514
-855	-3	-513
-855	-3	-514
-856	-3	-513
-855	-3	-512
-854	-3	-514
-855	-3	-515
-853	-3	-515
-854	-4	-513
-854	-3	-515
-854	-3	-515
-854	-3	-514
-854	-3	-514
-855	-3	-515
-855	-3	-515
-852	-3	-515
-852	-3	-516
-854	-3	-515
-855	-3	-513
-857	-3	-511
-854	-3	-515
-854	-3	-515
-854	-3	-514
-855	-3	-515
-854	-3	-516
-853	-3	-515
-854	-3	-514
-855	-3	-515
-854	-3	-516
-853	-4	-515
-854	-3	-515
-855	-3	-516
-854	-3	-514
-854	-3	-514
