A_X [mg]	A_Y [mg]	A_Z [mg]
-722	42	-684
-721	43	-684
-727	43	-684
-728	41	-679
-728	40	-673
-734	45	-682
-733	45	-697
-722	42	-683
-720	40	-678
-723	42	-685
-715	43	-687
-717	44	-696
-711	43	-688
-716	43	-689
-717	43	-690
-717	43	-689
-718	42	-689
-717	43	-689
-715	43	-689
-714	43	-692
-712	43	-692
-712	43	-692
-713	43	-692
-713	43	-692
-715	43	-692
-715	43	-691
-716	43	-691
-715	43	-692
-715	43	-693
-712	43	-694
-707	43	-696
-707	43	-697
-712	43	-696
-715	43	-693
-716	42	-692
-714	42	-692
-712	43	-693
-710	43	-696
-710	43	-697
-711	43	-696
-711	43	-696
-712	43	-695
-712	43	-696
-712	43	-695
-712	43	-696
-711	40	-697
-710	42	-698
-708	43	-697
-709	44	-697
-711	44	-697
-716	46	-703
-719	47	-709
-714	48	-706
-710	46	-704
-705	44	-702
-705	41	-700
-705	39	-705
-706	42	-708
-711	45	-712
-716	45	-720
-714	44	-721
-710	43	-719
-701	43	-719
-696	46	-721
-689	47	-722
-691	46	-723
-688	44	-724
-679	42	-725
-671	42	-729
-665	44	-731
-659	45	-730
-660	46	-732
-663	46	-734
-663	46	-738
-659	45	-743
-655	45	-747
-652	45	-748
-648	45	-746
-645	45	-745
-644	47	-745
-639	47	-744
-633	45	-742
-621	44	-735
-617	44	-734
-625	45	-750
-644	46	-756
-659	46	-756
-663	46	-757
-656	47	-762
-650	49	-765
-647	48	-758
-644	46	-751
-642	45	-751
-644	45	-752
-647	45	-755
-648	45	-757
-650	46	-756
-650	49	-755
-648	48	-755
-645	47	-755
-645	45	-754
-646	45	-754
-647	45	-755
-648	46	-756
-649	47	-756
-648	47	-756
-647	47	-756
-646	46	-755
-646	45	-755
-646	44	-756
