A_X [mg]	A_Y [mg]	A_Z [mg]
-721	42	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	42	-684
-722	42	-684
-722	43	-684
-722	43	-684
-722	42	-684
-722	42	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	42	-684
-722	42	-684
-722	43	-683
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	42	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-683
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-683
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-683
-722	43	-683
-722	43	-684
-721	43	-684
-722	43	-683
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	42	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	42	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	42	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-721	43	-683
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	42	-684
-721	43	-684
-722	43	-684
-722	43	-683
-722	43	-684
-722	43	-684
-721	43	-684
-721	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-683
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	42	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	42	-684
-722	42	-684
-721	42	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
