A_X [mg]	A_Y [mg]	A_Z [mg]
-720	5	-689
-720	6	-689
-720	6	-689
-720	6	-688
-720	5	-688
-720	5	-689
-720	5	-688
-720	6	-689
-720	6	-689
-720	6	-689
-720	5	-689
-720	6	-689
-720	5	-689
-720	5	-689
-720	6	-689
-720	6	-688
-720	6	-689
-720	5	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	5	-689
-720	6	-689
-720	6	-689
-720	5	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-688
-720	6	-689
-720	6	-689
-720	6	-689
-720	5	-688
-720	6	-689
-720	5	-689
-720	6	-688
-720	5	-689
-720	5	-689
-720	5	-689
-720	6	-689
-720	6	-688
-720	6	-689
-720	5	-689
-720	6	-689
-720	5	-689
-720	5	-688
-720	6	-689
-720	5	-689
-720	6	-689
-720	6	-688
-720	5	-689
-720	6	-689
-720	5	-689
-720	5	-689
-720	6	-689
-720	6	-689
-720	5	-689
-720	6	-689
-720	5	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	6	-689
-720	5	-689
-720	5	-689
-720	6	-689
-716	7	-696
-707	7	-702
-703	9	-703
-713	7	-697
-719	4	-689
-722	2	-688
-725	2	-685
-726	5	-679
-727	7	-682
-730	4	-679
-734	3	-672
-733	6	-682
-721	8	-689
-713	6	-690
-717	3	-690
-721	5	-692
-724	6	-687
-726	6	-680
-727	5	-680
-727	4	-683
-724	6	-686
-724	7	-683
-726	6	-682
-723	5	-685
-722	5	-687
-726	7	-686
-728	6	-681
-726	1	-681
-724	-3	-685
-726	-6	-685
-731	-4	-688
-729	0	-687
-729	5	-688
-730	5	-689
-731	0	-689
-734	-2	-684
-737	0	-679
-740	1	-674
-743	2	-671
-746	0	-670
-749	-2	-664
-752	-2	-656
-756	-1	-647
-760	-1	-640
-765	-2	-637
-769	-3	-634
-772	-3	-631
-775	-2	-628
-779	-2	-623
-782	-3	-617
-785	-5	-612
-787	-5	-608
-791	-5	-603
-797	-5	-597
-801	-4	-595
-802	-5	-595
-802	-5	-592
-802	-6	-589
-805	-6	-585
-809	-6	-577
-813	-6	-572
-814	-7	-570
-815	-7	-571
-816	-8	-569
-820	-8	-566
-823	-9	-560
-822	-9	-552
-807	-9	-540
-816	-9	-533
-839	-9	-528
-850	-9	-538
-839	-7	-561
-824	-6	-574
-820	-7	-569
-828	-9	-562
-826	-11	-557
-819	-10	-563
-817	-7	-565
-822	-5	-561
-830	-5	-556
-831	-8	-556
-828	-11	-557
-828	-11	-555
-832	-9	-551
-831	-7	-552
-825	-6	-558
-823	-6	-561
-826	-7	-561
-827	-8	-559
-825	-10	-560
-825	-11	-559
-827	-9	-557
-828	-6	-555
-827	-5	-556
-826	-7	-558
-827	-10	-559
-826	-11	-559
-826	-9	-558
-827	-7	-557
-827	-6	-557
-825	-6	-558
-826	-8	-558
-827	-10	-557
-828	-10	-558
-826	-9	-558
-826	-7	-558
-827	-6	-558
-827	-7	-558
-827	-8	-558
-826	-10	-558
-827	-10	-558
-827	-8	-558
-826	-7	-558
-826	-7	-558
-827	-8	-558
-827	-9	-558
-827	-9	-557
-827	-9	-558
-827	-8	-558
-826	-7	-558
-827	-7	-558
-827	-8	-557
-827	-9	-558
-826	-9	-558
-827	-9	-558
-827	-7	-558
-826	-7	-557
-826	-7	-558
-827	-8	-558
-827	-9	-558
-826	-9	-558
-827	-9	-558
-826	-7	-558
-827	-7	-558
-826	-8	-558
-827	-8	-558
-827	-9	-558
-826	-9	-558
-826	-8	-557
-827	-7	-557
-826	-7	-558
-826	-8	-558
-827	-9	-558
-827	-8	-558
-827	-8	-558
-827	-8	-558
-827	-8	-557
-826	-8	-558
-826	-8	-558
-827	-8	-558
-827	-9	-558
-827	-8	-558
-827	-8	-558
-827	-7	-558
-827	-7	-558
-826	-8	-558
-827	-8	-558
-827	-8	-558
-826	-8	-558
-826	-8	-558
-826	-8	-558
-827	-8	-558
-826	-8	-558
-826	-9	-558
-826	-9	-558
-827	-8	-558
-826	-8	-558
-827	-8	-558
-826	-8	-558
-826	-9	-558
-826	-9	-558
-827	-8	-558
-826	-8	-558
-826	-8	-558
-827	-8	-558
-826	-8	-558
-826	-8	-558
-827	-8	-558
-827	-8	-557
-826	-8	-558
-826	-8	-558
-826	-8	-558
-826	-8	-558
-827	-8	-558
-827	-9	-557
-827	-8	-558
-826	-8	-557
-827	-8	-558
-826	-8	-558
-827	-8	-558
-826	-9	-558
-827	-9	-558
-827	-8	-558
-826	-7	-558
-826	-7	-558
-826	-8	-558
-827	-9	-558
-827	-10	-558
-826	-8	-558
-827	-7	-557
-827	-7	-558
-826	-9	-558
-826	-9	-558
-827	-9	-557
-827	-8	-558
-826	-8	-558
-826	-7	-558
-827	-7	-558
-826	-8	-558
-827	-9	-558
-827	-9	-558
-827	-9	-557
-826	-8	-557
-826	-8	-558
-826	-8	-558
-827	-8	-558
-827	-9	-558
-827	-9	-558
-826	-8	-557
-827	-8	-558
-827	-8	-558
-827	-8	-558
-827	-8	-558
-827	-9	-557
-827	-9	-558
-827	-8	-557
-827	-8	-558
-827	-8	-558
-826	-8	-558
