A_X [mg]	A_Y [mg]	A_Z [mg]
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-722	43	-684
-722	43	-684
-721	43	-684
-721	43	-684
-722	43	-684
-721	43	-684
-721	43	-685
-721	43	-685
-721	43	-685
-721	43	-685
-721	43	-685
-721	43	-685
-721	43	-685
-720	43	-685
-720	43	-686
-719	43	-686
-719	43	-686
-719	43	-687
-720	43	-686
-720	43	-686
-719	43	-686
-719	43	-687
-719	43	-686
-718	43	-687
-718	43	-688
-717	43	-690
-713	43	-694
-710	44	-696
-709	45	-697
-708	45	-697
-709	44	-694
-712	43	-691
-718	42	-690
-720	42	-688
-719	42	-686
-718	43	-685
-720	44	-686
-721	45	-687
-719	42	-686
-720	40	-684
-721	40	-685
-721	42	-686
-720	45	-686
-718	46	-685
-720	44	-686
-722	40	-687
-721	39	-687
-719	42	-683
-721	45	-684
-721	45	-684
-721	43	-684
-720	40	-685
-720	39	-685
-722	41	-686
-720	45	-683
-719	45	-685
-720	42	-687
-719	40	-688
-718	38	-688
-716	42	-688
-719	44	-691
-718	44	-690
-715	43	-686
-716	40	-687
-720	40	-689
-722	42	-688
-720	43	-686
-719	42	-683
-721	41	-685
-723	39	-688
-719	40	-686
-719	42	-683
-722	44	-684
-723	44	-685
-723	39	-685
-722	39	-681
-724	42	-681
-725	43	-683
-722	43	-679
-723	40	-681
-724	40	-682
-723	41	-685
-723	42	-685
-721	44	-681
-722	43	-684
-721	41	-685
-718	41	-682
-722	41	-687
-722	42	-683
-723	42	-681
-726	42	-682
-729	41	-682
-727	39	-679
-726	38	-677
-727	40	-678
-728	43	-679
-729	43	-678
-726	42	-675
-727	39	-681
-728	37	-681
-725	39	-681
-722	43	-682
-722	45	-682
-721	43	-682
-721	40	-687
-717	39	-690
-715	40	-690
-715	42	-689
-714	44	-688
-718	43	-688
-721	44	-687
-721	41	-686
-717	39	-683
-723	39	-685
-725	41	-684
-723	43	-682
-722	43	-680
-725	42	-682
-725	42	-685
-721	41	-682
-720	42	-679
-728	41	-685
-725	42	-682
-720	41	-682
-721	40	-683
-726	41	-686
-723	44	-681
-721	44	-678
-727	43	-681
-730	39	-683
-724	37	-678
-723	40	-676
-737	45	-677
-744	46	-672
-739	43	-657
-743	36	-655
-746	32	-670
-740	33	-687
-728	39	-694
-719	44	-698
-709	46	-702
-700	44	-704
-698	41	-700
-701	43	-696
-708	43	-692
-716	40	-688
-722	34	-692
-727	28	-703
-715	29	-700
-705	38	-698
-703	46	-696
-704	49	-690
-716	42	-685
-724	33	-682
-721	29	-695
-710	32	-705
-703	40	-705
-698	46	-700
-698	46	-700
-705	42	-704
-710	36	-702
-709	32	-698
-702	35	-702
-697	42	-710
-696	47	-710
-701	46	-702
-703	38	-702
-702	32	-708
-701	33	-714
-693	40	-708
-693	48	-703
-700	47	-709
-699	40	-712
-697	33	-711
-692	33	-713
-691	41	-713
-694	48	-712
-696	47	-707
-696	42	-709
-692	35	-720
-687	35	-721
-686	39	-718
-689	44	-715
-690	46	-718
-687	42	-719
-686	38	-719
-684	35	-721
-681	38	-725
-682	43	-724
-681	46	-720
-683	44	-720
-681	40	-726
-679	38	-726
-680	40	-724
-681	43	-722
-679	44	-727
-675	43	-731
-671	42	-729
-676	40	-728
-678	41	-730
-677	40	-730
-674	42	-729
-670	44	-732
-670	43	-736
-670	42	-733
-671	41	-733
-671	41	-735
-670	42	-735
-669	42	-734
-665	44	-738
-663	43	-743
-665	41	-738
-665	42	-737
-665	41	-742
-661	42	-743
-658	42	-742
-660	41	-742
-663	42	-742
-662	41	-744
-657	41	-745
-656	42	-745
-657	42	-746
-657	43	-747
-656	42	-744
-654	42	-748
-653	43	-751
-653	41	-746
-654	42	-749
-650	42	-754
-648	43	-754
-648	42	-751
-650	41	-753
-649	41	-755
-645	42	-756
-643	43	-756
-645	44	-754
-647	42	-758
-645	42	-757
-643	43	-756
-641	43	-761
-640	44	-762
-639	44	-763
-637	44	-760
-639	43	-761
-639	42	-764
-636	43	-766
-633	43	-767
-632	44	-764
-633	44	-765
-633	43	-768
-632	43	-767
-632	42	-766
-634	42	-763
-634	43	-768
-626	43	-775
-623	45	-769
-626	46	-769
-628	45	-774
-627	44	-774
-621	42	-774
-621	43	-773
-623	44	-775
-623	46	-774
-621	45	-774
-618	43	-778
-618	43	-780
-616	44	-780
-616	44	-780
-617	45	-777
-618	44	-777
-617	43	-781
-614	42	-782
-611	43	-783
-611	45	-782
-613	45	-784
-610	44	-787
-606	42	-786
-606	42	-787
-606	44	-786
-607	45	-786
-609	45	-784
-604	43	-788
-602	42	-793
-599	44	-789
-603	46	-790
-603	45	-794
-598	46	-793
-597	45	-792
-596	44	-792
-600	44	-795
-597	43	-796
-593	44	-795
-593	46	-796
-594	47	-797
-594	46	-796
-590	43	-798
-589	43	-800
-591	43	-802
-589	45	-800
-586	47	-800
-587	47	-802
-589	45	-801
-587	41	-805
-582	42	-807
-579	45	-804
-581	48	-806
-582	47	-808
-580	44	-807
-578	44	-806
-579	45	-806
-581	45	-808
-577	47	-810
-574	47	-807
-574	47	-810
-576	45	-813
-574	43	-812
-569	45	-810
-568	47	-816
-571	48	-814
-572	48	-812
-571	45	-813
-574	44	-805
-567	43	-821
-560	46	-826
-560	49	-815
-566	50	-811
-564	47	-820
-562	45	-823
-560	43	-816
-564	45	-817
-561	48	-826
-554	50	-823
-555	49	-817
-556	45	-825
-559	45	-828
-553	45	-826
-552	46	-821
-554	47	-826
-553	47	-829
-549	48	-824
-551	49	-824
-551	47	-830
-550	47	-830
-556	45	-830
-547	45	-827
-542	47	-834
-542	50	-835
-547	50	-829
-545	43	-837
-542	39	-836
-545	40	-825
-547	43	-827
-546	49	-832
-544	50	-833
-543	48	-831
-545	45	-826
-552	41	-827
-549	41	-831
-542	44	-832
-545	49	-830
-546	50	-828
-549	46	-829
-547	41	-829
-545	41	-833
-547	44	-830
-547	49	-827
-544	48	-831
-545	44	-831
-546	43	-829
-549	44	-828
-547	46	-825
-543	46	-832
-545	46	-834
-544	47	-830
-546	45	-829
-548	45	-828
-547	45	-830
-546	46	-830
-543	47	-831
-547	47	-829
-546	45	-831
-546	44	-830
-548	43	-830
-543	45	-832
-545	47	-831
-545	47	-828
-543	46	-831
-548	44	-832
-544	45	-829
-547	46	-829
-548	48	-828
-545	48	-829
-546	45	-831
-546	46	-828
-548	45	-829
-546	45	-831
-544	47	-830
-545	46	-832
-546	47	-829
-548	47	-828
-546	45	-829
-545	45	-831
-546	45	-831
-546	47	-828
-549	48	-827
-542	47	-834
-545	46	-831
-547	46	-827
-548	46	-830
-548	46	-829
-545	46	-829
-543	45	-833
-550	46	-827
-547	46	-829
-545	45	-830
-546	46	-827
-543	45	-832
-546	45	-833
-544	47	-829
-546	47	-828
-548	47	-829
-548	45	-827
-545	43	-832
-544	45	-832
-550	48	-824
-552	48	-824
-557	47	-816
-568	44	-807
-556	39	-822
-537	39	-843
-539	47	-835
-546	55	-826
-548	54	-829
-548	45	-827
