A_X [mg]	A_Y [mg]	A_Z [mg]
-89	1125	-194
18	1177	-147
-16	1101	-145
-9	1005	-69
-349	1115	-214
-473	975	-262
-182	665	-70
-205	797	-104
-36	778	-93
-200	857	-86
-189	955	-121
-86	1018	-19
-357	903	-86
17	884	438
45	1316	101
-58	1128	-222
221	915	-74
108	1143	-19
199	1068	-215
124	1215	-352
-40	894	96
-310	907	-6
-77	1039	-25
-90	1073	7
-298	1161	-51
-391	892	154
-486	957	63
-201	1077	-49
-129	422	-144
-252	673	-73
-89	1294	-49
-216	1422	-112
-165	1141	-5
8	974	-58
27	1147	-100
-214	1156	-129
-131	259	-77
-16	338	-93
70	1014	-328
246	1233	-355
-61	979	-200
89	984	-247
127	1116	-257
77	987	-348
-22	1308	-289
-12	1138	-364
32	909	-298
-79	816	-235
88	486	-239
61	700	-348
32	931	-367
-100	1284	-561
-218	1176	-486
-198	831	-254
-239	858	-328
-207	868	-404
-207	1078	-473
-248	1037	-617
-465	1271	-626
-304	967	-383
-173	677	-285
-339	575	-541
-181	417	-588
-249	827	-595
-345	841	-532
-264	931	-523
-253	775	-580
-275	776	-500
-247	904	-362
-207	756	-294
-41	773	-322
-110	1025	-136
-152	943	-510
-158	1025	-532
-310	1024	-521
-115	1039	-693
99	1078	-637
-134	924	-644
-18	782	-522
453	585	-428
450	467	-557
223	487	-860
233	324	-643
590	118	-671
823	330	-1090
852	494	-1086
833	508	-948
861	727	-1034
689	365	-555
981	156	-135
1345	106	-211
1140	7	-23
938	81	-268
681	2	-445
711	-256	-571
641	-203	-735
374	-392	-673
433	-547	-640
464	-335	-1098
300	-454	-1062
405	-616	-1061
360	-452	-1130
143	-483	-872
262	-599	-892
281	-505	-987
221	-415	-1047
215	-433	-929
201	-510	-865
169	-524	-1004
122	-529	-888
102	-517	-821
111	-523	-876
126	-482	-1080
66	-409	-886
48	-397	-724
79	-417	-814
73	-454	-907
88	-540	-785
45	-558	-754
27	-573	-872
35	-638	-799
18	-597	-722
29	-594	-825
-42	-580	-770
-23	-559	-635
-115	-515	-984
-104	-522	-958
-71	-589	-967
-11	-694	-746
-148	-607	-793
-105	-573	-937
18	-525	-949
-57	-453	-755
-73	-425	-716
-50	-458	-719
1	-518	-564
-6	-649	-715
-44	-700	-688
-13	-738	-751
60	-800	-707
-84	-759	-629
-186	-689	-807
-100	-739	-772
-75	-851	-762
-126	-717	-885
-134	-698	-936
-43	-673	-989
72	-549	-893
