A_X [mg]	A_Y [mg]	A_Z [mg]
216	-252	908
238	-252	947
264	-289	926
261	-263	949
273	-289	932
270	-277	930
310	-228	938
421	-67	929
406	10	779
427	-61	587
346	-225	516
279	-526	608
260	-696	637
267	-704	709
275	-787	712
265	-720	575
274	-780	560
300	-768	505
279	-790	457
325	-892	389
396	-905	385
438	-996	328
485	-974	327
476	-971	303
480	-963	294
442	-919	246
428	-971	261
423	-953	305
418	-948	269
428	-924	305
419	-896	286
428	-870	216
442	-897	294
456	-954	283
492	-1003	339
460	-864	326
433	-949	330
380	-909	303
354	-882	374
321	-874	377
326	-886	387
308	-846	355
341	-858	390
346	-827	401
412	-796	337
402	-907	377
314	-855	320
325	-889	368
293	-935	395
326	-856	437
332	-857	438
346	-836	417
348	-853	398
321	-857	429
337	-837	439
343	-830	432
357	-826	454
355	-810	455
348	-818	455
350	-838	468
354	-790	486
361	-798	493
352	-796	477
357	-793	502
354	-799	494
359	-798	466
343	-825	423
386	-746	510
366	-843	475
343	-860	416
334	-825	430
357	-808	464
356	-826	447
339	-888	419
358	-803	446
352	-837	439
348	-847	438
351	-826	418
381	-828	449
354	-824	431
343	-840	462
357	-788	493
367	-801	486
373	-775	507
335	-819	407
351	-842	455
357	-810	503
364	-799	497
346	-787	441
393	-714	503
359	-846	428
319	-975	275
320	-922	377
333	-830	425
372	-839	376
367	-859	374
362	-840	397
351	-850	413
334	-850	391
369	-853	433
385	-769	458
345	-832	417
357	-805	460
357	-848	479
358	-828	431
335	-824	417
363	-818	437
371	-835	407
359	-830	494
340	-822	404
361	-802	426
356	-856	415
349	-906	393
342	-824	465
342	-812	445
348	-761	425
399	-757	485
423	-808	571
310	-1069	184
277	-941	76
266	-822	303
383	-865	394
362	-842	424
317	-861	487
325	-850	429
307	-904	397
373	-779	466
348	-788	446
361	-834	440
325	-832	476
294	-830	487
321	-857	357
380	-790	403
364	-827	482
293	-958	356
317	-852	440
310	-817	428
357	-808	412
377	-760	519
306	-953	377
303	-866	374
307	-859	429
359	-812	464
380	-800	460
315	-843	417
315	-852	391
314	-877	400
341	-845	457
364	-794	526
320	-820	371
338	-757	453
327	-787	478
327	-1020	187
306	-1169	46
319	-1191	56
363	-1266	420
303	-1173	665
286	-872	718
378	-526	685
417	-379	674
395	-329	725
363	-285	742
336	-236	763
321	-214	724
316	-224	779
328	-210	797
330	-196	817
331	-209	879
294	-179	851
291	-195	901
270	-222	880
289	-217	929
314	-212	932
322	-189	938
315	-183	929
308	-204	924
320	-224	939
303	-223	919
300	-217	928
295	-228	913
298	-228	917
301	-233	944
286	-220	931
293	-219	947
300	-233	930
296	-234	918
301	-238	938
288	-233	896
300	-233	931
292	-236	931
288	-240	917
291	-252	940
288	-251	920
286	-245	919
281	-250	923
283	-246	913
282	-245	916
279	-252	920
278	-250	913
285	-269	933
277	-263	913
276	-256	913
280	-249	915
302	-249	902
335	-227	813
369	-253	690
397	-389	633
414	-419	606
415	-467	543
369	-642	528
321	-868	568
226	-1019	489
186	-1074	388
158	-1150	260
107	-1151	197
162	-1096	241
221	-994	207
349	-1012	373
392	-802	386
507	-743	549
542	-808	517
387	-897	360
330	-849	485
310	-817	525
309	-808	507
350	-779	522
339	-819	520
327	-813	485
357	-771	528
337	-792	518
335	-785	512
334	-786	508
351	-789	533
336	-806	478
352	-790	548
354	-770	524
314	-807	461
349	-813	474
381	-757	492
359	-750	593
315	-883	405
307	-872	435
358	-792	507
358	-829	451
360	-795	468
332	-800	495
364	-746	504
362	-784	545
336	-833	475
326	-858	448
330	-830	481
404	-717	505
397	-761	496
330	-816	520
286	-929	403
356	-784	483
378	-767	545
356	-779	482
362	-774	518
337	-810	449
361	-819	449
336	-822	503
352	-795	483
358	-772	499
341	-808	467
344	-873	421
337	-844	451
330	-832	468
358	-771	497
374	-795	488
359	-791	469
349	-783	437
348	-795	529
317	-887	459
351	-836	466
336	-824	463
385	-782	507
344	-803	484
346	-784	483
334	-785	485
362	-828	414
348	-835	490
337	-873	445
345	-770	541
327	-826	471
364	-777	479
331	-822	455
367	-820	453
344	-760	498
354	-788	465
331	-873	462
302	-894	407
358	-812	482
340	-858	413
345	-833	439
338	-790	472
371	-790	484
368	-819	463
338	-808	499
323	-815	453
342	-813	391
383	-810	516
338	-868	395
326	-868	435
306	-836	457
363	-842	422
374	-806	458
346	-821	431
350	-782	440
363	-784	525
341	-869	428
307	-904	363
336	-819	470
348	-844	409
350	-872	393
351	-802	437
369	-820	469
352	-823	490
346	-816	454
339	-828	426
345	-830	397
359	-829	491
348	-849	417
330	-875	397
328	-842	432
358	-862	415
373	-789	428
354	-843	389
374	-742	507
340	-836	471
296	-967	282
341	-848	417
355	-830	420
346	-883	364
359	-822	432
359	-811	444
349	-829	452
356	-807	438
337	-835	376
349	-830	457
338	-883	414
336	-861	406
344	-837	433
359	-825	421
342	-840	399
371	-820	413
346	-828	477
328	-849	448
337	-814	435
376	-771	468
353	-774	450
313	-897	295
312	-992	150
331	-958	145
350	-967	159
330	-912	110
351	-965	139
345	-973	62
349	-942	81
342	-949	51
346	-932	-10
349	-956	47
352	-926	68
383	-941	60
376	-938	67
374	-945	49
380	-905	68
411	-930	147
426	-900	162
410	-901	207
403	-889	219
406	-875	245
412	-826	362
374	-826	340
377	-790	344
327	-805	440
414	-805	553
477	-734	467
527	-713	531
527	-698	490
545	-692	547
518	-655	522
547	-689	489
555	-667	471
566	-712	439
580	-677	458
599	-697	450
612	-659	428
628	-645	439
605	-674	425
598	-684	420
603	-682	410
621	-659	419
627	-664	411
623	-678	408
613	-673	405
617	-693	408
612	-682	411
616	-676	410
612	-677	400
620	-683	406
606	-690	390
612	-692	408
618	-673	405
616	-692	398
614	-676	408
610	-696	391
614	-682	400
618	-690	398
613	-679	391
614	-698	408
603	-686	395
616	-685	401
621	-683	406
615	-681	398
610	-687	396
612	-688	403
614	-693	398
610	-675	404
619	-680	404
615	-689	400
618	-684	404
607	-689	395
619	-678	413
618	-682	398
618	-686	399
612	-680	399
618	-687	399
615	-679	392
617	-686	403
617	-678	403
622	-685	398
617	-681	401
616	-682	395
614	-685	401
621	-687	409
616	-680	395
621	-684	398
617	-690	400
616	-677	398
619	-687	401
615	-679	400
617	-687	400
610	-677	403
618	-681	399
613	-682	403
618	-680	405
615	-679	393
620	-682	404
615	-681	402
618	-687	402
616	-676	401
616	-678	399
612	-683	402
617	-683	403
615	-685	401
620	-684	404
621	-675	409
618	-682	403
614	-676	396
617	-692	402
615	-678	401
624	-680	403
618	-681	399
619	-683	405
615	-690	400
617	-675	405
620	-677	400
619	-681	401
618	-682	403
616	-684	397
619	-684	404
617	-678	398
617	-680	404
617	-689	401
610	-679	398
618	-684	402
613	-682	398
618	-682	405
611	-682	400
618	-685	404
613	-685	399
618	-682	405
614	-683	402
618	-680	407
610	-684	403
613	-684	405
615	-676	405
620	-678	403
612	-688	405
611	-677	406
617	-687	407
614	-679	408
616	-685	401
611	-676	406
618	-687	406
611	-680	401
617	-675	409
609	-688	401
612	-683	408
618	-681	400
614	-687	406
614	-677	407
613	-692	405
609	-679	403
618	-685	403
613	-682	400
616	-686	401
611	-682	400
616	-685	409
610	-678	398
613	-686	409
612	-678	403
618	-688	401
614	-682	403
618	-689	402
610	-683	406
614	-683	403
612	-680	400
615	-685	400
614	-684	393
617	-680	401
620	-691	402
612	-680	398
618	-690	408
610	-684	399
615	-685	401
611	-684	397
613	-681	402
616	-690	400
612	-681	399
620	-687	400
615	-687	394
618	-682	403
612	-686	392
610	-683	399
620	-689	402
620	-683	395
618	-684	397
618	-684	398
617	-687	397
617	-685	396
614	-682	395
623	-686	395
609	-688	392
620	-684	402
616	-686	399
618	-681	403
616	-684	392
616	-682	395
621	-690	398
616	-680	394
619	-686	400
618	-686	395
618	-684	395
618	-681	396
618	-681	398
619	-684	399
615	-687	399
615	-684	404
620	-683	395
615	-685	399
614	-684	402
613	-683	397
610	-680	401
618	-687	400
614	-690	403
615	-683	405
614	-681	400
614	-687	403
616	-682	403
613	-685	397
614	-681	407
615	-685	403
614	-678	401
621	-690	405
610	-682	399
613	-682	406
614	-684	401
618	-681	408
614	-682	403
614	-689	404
610	-675	401
617	-687	400
613	-677	405
614	-690	408
612	-679	396
613	-686	403
613	-683	405
617	-680	405
612	-686	403
612	-679	405
619	-691	403
612	-680	402
620	-683	404
614	-683	401
621	-682	408
612	-687	398
616	-679	408
610	-684	396
617	-682	404
612	-683	393
620	-688	408
611	-684	398
617	-687	403
618	-679	399
616	-685	403
614	-679	394
622	-693	396
611	-678	397
625	-682	398
613	-688	403
620	-684	400
622	-687	394
617	-684	397
619	-684	399
620	-681	398
615	-685	390
616	-682	396
622	-683	397
617	-684	395
616	-679	394
619	-690	399
619	-685	398
618	-684	397
610	-688	401
614	-675	394
623	-685	401
612	-678	395
618	-685	400
611	-682	398
616	-688	399
616	-687	394
618	-684	401
616	-685	399
614	-686	401
616	-683	398
614	-689	395
615	-684	399
616	-685	399
614	-685	398
614	-686	396
616	-693	401
613	-682	401
618	-687	403
612	-682	398
614	-686	399
610	-691	396
613	-682	399
619	-686	403
615	-687	401
612	-684	397
614	-684	400
616	-690	397
614	-679	401
620	-687	400
611	-684	400
619	-685	398
614	-687	400
613	-680	400
618	-687	401
612	-684	395
618	-684	396
614	-688	401
614	-686	398
612	-684	400
615	-684	399
613	-685	400
617	-689	401
613	-683	394
618	-685	399
615	-683	395
614	-693	400
621	-687	396
614	-680	393
616	-690	401
612	-686	394
617	-686	390
618	-684	392
619	-688	393
615	-689	396
618	-687	397
616	-689	392
615	-688	397
614	-684	395
619	-692	392
615	-687	394
613	-690	395
611	-692	398
617	-683	393
617	-686	392
616	-687	394
617	-692	393
613	-688	395
612	-688	397
616	-684	393
611	-690	397
614	-690	397
615	-684	394
617	-689	399
617	-679	390
618	-682	400
614	-685	391
623	-685	399
615	-680	396
625	-685	399
615	-683	396
621	-684	396
614	-685	395
620	-681	400
616	-682	401
617	-682	400
619	-685	395
617	-683	396
619	-681	402
613	-682	397
621	-683	402
609	-685	392
620	-684	405
613	-683	397
615	-687	402
618	-688	401
613	-689	402
616	-683	401
615	-684	398
614	-686	399
614	-684	402
614	-686	399
610	-683	402
614	-690	401
615	-683	398
615	-692	405
610	-681	397
615	-688	404
609	-683	399
615	-683	405
612	-690	401
613	-687	402
610	-684	398
615	-679	409
614	-683	399
611	-688	399
613	-686	403
609	-690	397
616	-683	404
615	-681	404
609	-687	403
615	-688	404
614	-680	400
613	-679	401
613	-685	407
610	-687	400
617	-683	401
618	-684	398
613	-686	402
611	-684	406
615	-687	403
609	-684	395
617	-685	403
611	-684	397
617	-682	405
619	-690	399
613	-682	402
613	-688	407
612	-686	401
617	-687	402
613	-686	398
612	-685	403
614	-685	396
617	-685	398
610	-691	400
616	-685	404
609	-681	399
613	-687	400
615	-681	400
610	-688	394
613	-684	394
614	-687	398
613	-685	401
613	-685	400
609	-684	402
612	-688	399
612	-679	396
614	-688	402
614	-684	402
616	-683	397
619	-686	399
614	-689	398
617	-684	401
614	-686	400
617	-686	402
614	-680	403
619	-686	404
609	-681	397
619	-686	402
614	-684	399
617	-684	399
618	-685	403
610	-678	393
616	-683	404
614	-681	400
618	-686	398
620	-680	399
612	-687	398
617	-684	403
615	-685	396
618	-677	399
614	-684	400
616	-684	398
616	-689	398
618	-689	401
606	-683	398
614	-679	407
618	-692	397
613	-688	401
612	-689	400
608	-687	405
613	-680	402
617	-688	399
609	-685	401
607	-686	403
617	-690	401
608	-690	401
615	-683	402
612	-680	400
611	-691	404
609	-684	395
614	-684	409
608	-686	399
614	-685	406
614	-685	403
610	-688	402
615	-683	401
611	-690	403
613	-684	403
611	-687	404
614	-681	398
612	-688	406
607	-690	405
615	-686	406
614	-681	402
614	-683	403
614	-684	402
611	-686	397
615	-686	407
610	-683	399
616	-689	407
609	-681	393
619	-689	405
613	-684	397
618	-687	401
613	-686	398
613	-689	396
614	-684	398
617	-691	403
614	-683	395
608	-684	400
616	-690	397
610	-687	398
613	-692	400
612	-688	395
611	-700	394
616	-677	403
609	-703	388
616	-663	413
606	-741	364
656	-447	551
698	-287	653
698	-333	619
708	-274	642
720	-290	639
721	-295	664
706	-309	622
694	-317	629
716	-310	641
699	-297	634
710	-304	657
699	-307	646
705	-322	645
707	-309	625
708	-307	645
707	-292	637
698	-309	651
710	-309	650
697	-309	635
700	-296	649
705	-299	650
713	-299	638
702	-306	634
704	-311	652
697	-305	645
709	-311	646
703	-288	637
707	-315	652
707	-303	637
701	-318	648
706	-307	640
698	-304	642
702	-310	647
704	-308	645
701	-307	640
702	-316	653
708	-306	636
706	-315	641
706	-307	642
693	-315	643
706	-313	647
706	-316	638
704	-313	642
705	-313	638
702	-310	634
712	-314	631
706	-319	629
706	-319	644
707	-316	641
709	-314	631
721	-315	632
705	-322	633
704	-316	635
712	-314	630
711	-312	624
717	-317	630
719	-317	629
713	-315	627
719	-316	634
714	-309	623
714	-314	629
722	-314	629
708	-311	618
721	-310	633
726	-306	617
715	-317	624
721	-312	628
721	-306	624
718	-310	624
729	-309	624
713	-304	617
725	-315	633
720	-300	614
722	-309	617
724	-309	631
715	-313	623
720	-311	626
722	-306	619
720	-310	624
720	-301	625
724	-316	629
716	-309	619
725	-309	624
725	-306	622
718	-300	620
725	-309	633
717	-302	617
722	-308	630
729	-303	616
724	-307	618
730	-304	628
718	-306	617
727	-308	630
722	-301	617
723	-307	618
731	-300	618
729	-307	621
730	-300	615
722	-307	617
729	-306	624
734	-301	611
733	-310	611
731	-298	612
734	-305	618
728	-300	611
733	-304	616
735	-303	613
728	-302	608
739	-299	609
735	-304	610
729	-301	608
735	-300	609
739	-307	612
734	-303	606
739	-307	608
737	-304	609
728	-302	612
735	-309	614
732	-300	603
742	-304	605
735	-303	601
730	-303	605
736	-302	613
740	-303	604
742	-308	605
734	-307	610
721	-309	614
733	-320	616
746	-305	594
756	-307	600
734	-298	601
724	-292	610
730	-295	600
747	-312	595
756	-300	600
746	-304	599
743	-302	606
737	-306	603
740	-305	604
744	-300	597
749	-297	597
748	-294	594
739	-303	606
744	-312	612
742	-303	588
744	-287	592
754	-289	591
731	-317	603
739	-314	610
752	-302	600
752	-294	581
745	-295	597
735	-308	610
733	-304	602
742	-304	600
758	-298	591
750	-294	585
734	-316	614
739	-300	614
737	-305	589
750	-293	590
733	-280	588
729	-294	610
740	-307	599
750	-302	600
737	-300	598
746	-303	601
744	-299	588
743	-309	605
749	-305	603
745	-306	603
743	-301	597
747	-299	602
744	-304	598
748	-301	598
749	-295	593
737	-307	604
742	-298	600
738	-302	595
752	-304	602
741	-306	590
747	-307	605
739	-301	599
742	-301	598
750	-305	600
745	-303	590
740	-306	602
743	-303	596
740	-302	600
748	-306	597
748	-308	593
732	-309	598
749	-304	603
746	-311	596
743	-309	601
738	-306	601
746	-309	597
739	-309	590
748	-313	608
737	-308	592
742	-314	607
747	-304	599
738	-311	593
745	-303	596
738	-309	593
743	-309	602
737	-309	594
745	-311	603
747	-304	598
743	-319	609
741	-306	596
744	-296	580
743	-281	582
748	-290	603
745	-308	617
749	-307	598
744	-310	596
741	-299	586
743	-299	602
742	-301	598
743	-308	610
740	-309	601
746	-309	601
740	-305	595
741	-308	606
743	-309	606
738	-310	596
740	-310	601
740	-299	596
741	-307	605
746	-305	603
742	-312	599
745	-305	592
742	-307	597
740	-303	594
743	-302	594
747	-314	596
748	-316	597
742	-308	596
745	-307	593
746	-313	587
752	-309	589
746	-306	583
750	-315	597
748	-312	586
746	-316	596
747	-308	590
748	-312	589
753	-310	586
745	-310	585
747	-312	594
746	-309	589
753	-311	585
747	-309	593
746	-315	591
749	-308	590
752	-304	586
747	-305	586
749	-305	584
757	-306	595
749	-311	601
749	-310	592
754	-306	591
747	-303	583
746	-303	588
749	-301	591
749	-310	590
755	-308	586
749	-303	587
740	-311	596
749	-301	589
757	-305	590
756	-302	588
743	-317	595
742	-312	591
746	-309	591
748	-303	590
750	-310	594
747	-305	590
749	-315	590
748	-308	594
748	-310	593
751	-312	593
752	-307	590
745	-312	586
748	-311	593
744	-307	588
754	-305	593
746	-308	591
748	-314	593
748	-307	589
749	-310	591
750	-301	591
748	-306	591
748	-310	597
746	-309	588
752	-312	595
745	-306	591
748	-307	590
747	-307	588
747	-312	591
748	-311	591
741	-305	589
753	-313	594
747	-308	589
749	-313	591
750	-314	590
746	-308	586
752	-306	594
742	-307	585
750	-312	589
749	-310	589
747	-312	586
753	-309	596
746	-307	587
751	-309	590
745	-311	595
746	-310	587
746	-307	596
746	-302	589
745	-310	592
746	-307	587
749	-308	591
754	-307	595
744	-302	586
756	-308	595
749	-315	589
754	-311	597
746	-300	586
745	-308	587
754	-306	593
739	-311	588
756	-305	590
747	-301	583
754	-309	595
746	-304	590
747	-309	585
751	-307	590
751	-308	595
753	-304	594
746	-310	587
753	-306	588
744	-300	585
757	-303	593
751	-305	584
752	-308	593
748	-304	589
752	-310	594
751	-303	585
752	-311	587
750	-309	588
747	-312	583
752	-303	589
748	-312	586
755	-307	589
743	-316	589
753	-310	588
747	-309	585
749	-311	588
746	-310	592
744	-314	586
751	-310	585
747	-311	585
750	-309	593
743	-316	590
749	-312	589
749	-310	585
750	-313	586
746	-310	591
750	-319	595
747	-314	587
746	-311	583
749	-313	590
746	-316	597
745	-312	591
748	-312	592
747	-312	591
742	-317	594
746	-312	593
746	-315	592
750	-313	594
738	-317	593
746	-313	596
743	-311	585
746	-314	595
739	-316	592
746	-317	593
743	-317	591
748	-317	591
746	-317	592
744	-319	594
741	-315	590
743	-316	590
746	-317	594
744	-320	595
744	-316	589
747	-319	595
747	-314	589
746	-315	593
743	-314	590
743	-319	593
747	-317	587
748	-313	595
741	-320	590
743	-317	591
748	-317	592
748	-320	586
745	-317	590
739	-317	591
743	-320	593
750	-318	587
748	-316	592
744	-322	589
748	-319	591
738	-321	586
745	-320	596
743	-315	591
746	-317	590
743	-318	592
739	-317	591
744	-321	591
747	-319	591
745	-321	594
748	-313	593
739	-324	593
746	-322	595
738	-321	589
745	-318	593
742	-320	591
745	-321	596
736	-327	595
742	-329	592
740	-319	588
740	-325	594
739	-325	586
742	-332	594
740	-330	589
741	-325	589
740	-325	591
740	-329	589
740	-329	586
740	-331	591
740	-324	589
740	-327	592
740	-328	590
738	-328	591
739	-334	592
741	-319	589
745	-324	588
742	-329	592
734	-332	591
745	-331	588
743	-327	591
740	-319	582
737	-328	590
737	-331	589
738	-333	591
743	-331	597
731	-331	589
731	-337	595
738	-340	591
738	-341	591
732	-345	609
735	-331	598
728	-341	588
731	-343	588
725	-345	599
721	-350	614
723	-339	600
717	-361	598
727	-350	597
718	-354	613
713	-353	623
706	-348	615
700	-363	625
702	-365	636
677	-363	621
683	-384	637
672	-387	669
683	-389	669
692	-379	651
682	-352	639
678	-386	674
668	-343	663
714	-414	640
676	-351	705
658	-365	728
639	-379	667
612	-363	681
603	-338	670
666	-411	633
596	-436	669
606	-401	679
594	-338	700
647	-457	656
616	-422	621
602	-413	612
611	-382	630
631	-371	648
617	-382	644
630	-365	612
673	-417	660
607	-399	661
609	-390	617
675	-439	654
618	-358	667
663	-404	662
660	-378	677
630	-377	650
659	-373	686
655	-341	674
674	-380	698
614	-333	624
699	-363	697
557	-277	541
