A_X [mg]	A_Y [mg]	A_Z [mg]
-400	-1619	-185
-301	-1684	-218
-137	-1533	-293
239	-1324	-344
703	-806	-481
775	-643	-472
137	-937	-386
-215	-1265	-260
-346	-1871	-243
-466	-2024	-238
-514	-2056	-173
-565	-1887	-153
-667	-1701	-43
-693	-1655	208
-767	-1557	563
-784	-1567	772
-955	-1415	656
-922	-1178	803
-645	-1298	692
-560	-1301	404
-545	-1595	200
-486	-1922	-13
-437	-2104	-161
-342	-1882	-269
-291	-1557	-257
-404	-1473	-222
-411	-1464	-256
-345	-1398	-279
-198	-1331	-309
223	-1182	-349
561	-805	-395
473	-766	-319
143	-830	-352
-176	-1263	-186
-342	-1712	-196
-388	-1983	-252
-558	-2169	-141
-643	-2091	-203
-875	-1933	3
-974	-1859	355
-928	-1701	784
-841	-1474	881
-615	-1084	663
-562	-1158	571
-572	-1130	313
-641	-1472	147
-581	-1948	132
-495	-1906	24
-369	-1755	-140
-352	-1565	-237
-383	-1497	-243
-343	-1510	-231
-279	-1482	-258
-263	-1419	-325
-142	-1352	-379
310	-986	-354
510	-774	-368
194	-774	-294
-6	-1172	-174
-227	-1583	-177
-365	-1697	-252
-552	-1961	-72
-627	-1872	-70
-802	-1832	3
-1032	-1798	323
-948	-1621	595
-738	-1412	663
-638	-1069	545
-762	-1244	464
-739	-1084	295
-699	-1439	176
-581	-1786	85
-461	-1770	-43
-358	-1646	-92
-287	-1498	-120
-304	-1422	-140
-279	-1411	-153
-257	-1405	-180
-206	-1287	-182
-9	-1118	-228
193	-853	-304
256	-846	-274
120	-889	-246
-102	-1136	-148
-217	-1501	-99
-329	-1556	-201
-429	-1673	-108
-523	-1657	-103
-639	-1659	-148
-900	-1639	156
-963	-1600	380
-887	-1487	538
-818	-1272	481
-672	-1185	503
-662	-1200	494
-656	-1214	326
-617	-1699	181
-485	-1863	60
-306	-1776	59
-263	-1583	-34
-274	-1408	-128
-306	-1341	-173
-292	-1372	-189
-281	-1396	-209
-260	-1359	-308
-0	-1144	-338
342	-967	-340
313	-810	-342
69	-872	-246
-120	-1332	-127
-312	-1466	-161
-429	-1662	-153
-522	-1732	-38
-604	-1738	-103
-882	-1780	177
-1066	-1744	488
-910	-1551	742
-644	-1337	749
-495	-1219	638
-556	-1262	561
-574	-1243	381
-577	-1762	259
-441	-1929	159
-353	-1820	67
-311	-1613	-31
-351	-1423	-127
-355	-1371	-181
-304	-1384	-193
-232	-1342	-205
-93	-1246	-264
212	-882	-340
411	-793	-327
249	-870	-298
20	-1007	-320
-224	-1556	-187
-421	-1736	-131
-562	-1930	-32
-594	-1804	-12
-590	-1747	-73
-761	-1696	391
-881	-1639	850
-783	-1523	1025
-546	-1293	851
-366	-1214	696
-399	-1270	497
-480	-1281	317
-592	-1871	310
-566	-1992	153
-468	-1905	-45
-391	-1641	-158
-362	-1404	-192
-334	-1315	-205
-264	-1328	-217
-252	-1332	-215
-150	-1221	-202
256	-819	-208
367	-577	-237
252	-768	-199
87	-831	-233
-236	-1371	-86
-349	-1745	-60
-385	-2020	-133
-508	-2040	-88
-638	-1877	-106
-853	-1718	51
-886	-1718	280
-875	-1591	540
-917	-1388	477
-845	-1055	456
-896	-1169	468
-844	-1219	279
-723	-1619	196
-492	-1857	74
-340	-1786	53
-338	-1604	16
-395	-1481	-95
-397	-1446	-188
-350	-1451	-206
-306	-1512	-216
-190	-1522	-281
287	-1025	-324
501	-798	-270
333	-886	-167
144	-1005	-265
-162	-1392	-220
-333	-1433	-105
-493	-1717	-34
-569	-1890	-38
-737	-1969	28
-934	-1734	469
-867	-1334	987
-311	-1282	1198
-276	-1189	918
-823	-1382	674
-901	-1475	267
-634	-1682	242
-510	-2271	358
-515	-2303	2
-406	-1844	-239
-350	-1688	-251
-369	-1583	-306
-329	-1455	-339
-182	-1338	-336
-161	-1103	-410
-119	-934	-411
-42	-743	-334
-60	-719	-292
-15	-501	-304
-208	-492	16
-445	-805	458
-285	-1070	317
-76	-1546	101
-344	-2230	586
-578	-2276	632
-564	-1898	494
-498	-1408	1026
-305	-1218	1163
-612	-1275	819
-947	-1134	604
-831	-1513	511
-509	-1502	333
-464	-1666	203
-605	-1952	44
-639	-1861	-225
-448	-1610	-259
-410	-1495	-199
-470	-1405	-301
-422	-1378	-393
-352	-1329	-409
-279	-1314	-389
-219	-1261	-422
-264	-1158	-371
-118	-1037	-305
88	-639	57
-9	-527	475
270	-690	294
249	-961	116
53	-1507	261
-400	-2077	479
-394	-2399	933
-697	-1981	854
-658	-1470	863
-32	-1530	878
-236	-1335	629
-568	-1265	602
-882	-1322	395
-889	-1174	249
-846	-1584	40
-650	-1657	-190
-366	-1355	-294
-278	-1179	-225
-375	-1213	-214
-486	-1422	-283
-498	-1709	-366
-451	-1937	-551
-279	-1876	-657
-69	-1727	-403
275	-1138	-230
685	-295	-97
499	-564	112
38	-947	30
-118	-1084	128
-371	-1329	319
-171	-1506	631
-464	-1638	634
-611	-1578	462
-286	-1495	602
-266	-1563	474
-394	-1433	438
-789	-1426	384
-894	-1292	254
-688	-1311	128
-468	-1348	0
-382	-1333	-62
-328	-1108	-86
-272	-930	-104
-292	-924	-131
-341	-1140	-159
-381	-1417	-212
-419	-1686	-311
-335	-1667	-483
-138	-1603	-397
381	-1190	-317
479	-638	-216
-103	-923	-73
-38	-939	93
-169	-894	-189
-193	-1268	282
-552	-1303	711
-545	-1160	-188
-668	-1758	97
-1084	-1602	356
-966	-1378	15
-638	-1263	357
-271	-1348	581
-362	-1202	386
-501	-1420	210
-502	-1546	66
-365	-1423	45
-312	-1246	18
-294	-1133	-72
-343	-1133	-150
-356	-1263	-205
-329	-1468	-220
-283	-1408	-256
-182	-1215	-287
-61	-1121	-234
132	-935	-159
162	-666	-186
-258	-870	-134
-377	-1092	-26
-402	-1149	52
-235	-1381	39
-437	-1392	74
-654	-1598	-42
-857	-1811	181
-1148	-1439	295
-841	-1337	247
-625	-1162	415
-621	-1242	346
-651	-1162	242
-683	-1562	49
-572	-1612	-48
-381	-1480	26
-344	-1346	26
-343	-1251	-83
-383	-1281	-144
-356	-1395	-172
-281	-1507	-133
-245	-1528	-199
16	-1221	-267
391	-1042	-284
300	-852	-408
-103	-814	-251
-267	-1155	-140
-273	-1346	-121
-425	-1567	-114
-595	-1632	-34
-604	-1586	-140
-787	-1567	-151
-865	-1558	123
-804	-1501	592
-861	-1347	590
-836	-1152	391
-775	-1349	274
-605	-1297	207
-506	-1607	207
-445	-1633	171
-427	-1599	90
-400	-1442	-45
-353	-1305	-115
-314	-1253	-139
-264	-1284	-160
-240	-1323	-182
-207	-1280	-242
-122	-1167	-304
32	-1068	-308
93	-1018	-274
-16	-722	-229
-346	-975	-57
-382	-1217	36
-288	-1267	-85
-285	-1504	-67
-423	-1694	-216
-668	-1986	-166
-1261	-1862	-37
-1119	-1535	-22
-896	-1502	270
-957	-1110	402
-868	-1208	390
-757	-1071	301
-669	-1452	107
-505	-1744	-19
-300	-1707	52
-318	-1557	70
-333	-1424	-66
-379	-1382	-167
-385	-1435	-219
-335	-1562	-219
-300	-1497	-216
-161	-1217	-272
8	-1051	-245
154	-929	-292
161	-687	-269
-125	-943	-15
-205	-1168	30
-316	-1325	-23
-322	-1508	-15
-613	-1699	97
-601	-1877	-34
-918	-2028	74
-1215	-1570	290
-757	-1413	409
-701	-1182	426
-848	-1253	288
-826	-1123	172
-695	-1344	76
-529	-1555	75
