accX[g],accY[g],accZ[g]
-0.011,-0.034,-0.994
-0.011,-0.034,-0.993
-0.01,-0.034,-0.992
-0.01,-0.034,-0.992
-0.011,-0.035,-0.992
-0.011,-0.034,-0.993
-0.01,-0.034,-0.992
-0.011,-0.034,-0.994
-0.009,-0.035,-0.994
-0.01,-0.036,-0.991
-0.01,-0.034,-0.99
-0.01,-0.033,-0.994
0.282,0.037,-1.444
0.17,-0.246,-1.352
0.192,-0.72,-1.2
0.29,-0.03,-1.371
0.059,-0.147,-1.304
0.237,-0.081,-1.164
0.056,-0.034,-1.072
0.046,-0.029,-0.945
0.011,-0.041,-0.838
0.091,-0.103,-0.801
0.051,-0.157,-0.877
-0.073,-0.288,-0.964
-0.157,-0.347,-0.917
-0.299,-0.468,-0.848
-0.135,-0.428,-1.078
-0.234,-0.349,-0.891
0.006,-0.299,-0.776
-0.041,-0.142,-0.874
-0.034,-0.062,-0.749
-0.083,0.065,-0.691
-0.145,0.132,-0.884
-0.11,0.077,-1.02
-0.074,0.121,-0.883
-0.116,0.129,-0.968
-0.295,0.121,-1.31
-0.329,-0.019,-1.114
-0.363,-0.102,-1.103
-0.292,-0.09,-0.924
-0.296,-0.063,-0.79
-0.209,-0.081,-0.92
-0.189,-0.15,-0.945
0.092,-0.227,-0.986
0.119,-0.24,-1.138
0.056,-0.199,-1.031
-0.103,-0.189,-1.199
-0.085,-0.149,-0.976
-0.098,-0.03,-0.977
-0.166,0.053,-0.88
-0.054,0.002,-0.837
0.025,0.026,-0.91
-0.113,0.107,-0.952
-0.146,0.107,-0.932
0.018,0.153,-1.101
-0.027,0.101,-1.131
-0.046,0.139,-1.021
-0.213,0.159,-1.088
-0.214,0.059,-0.978
-0.366,0.06,-0.825
-0.348,-0.031,-1.027
-0.407,-0.077,-0.935
-0.305,-0.074,-0.97
-0.339,-0.08,-0.892
-0.228,-0.102,-0.971
-0.235,-0.093,-1.061
-0.115,-0.128,-1.015
0.009,-0.042,-0.944
-0.015,-0.048,-1.247
0.04,-0.186,-0.931
-0.083,-0.216,-1.048
-0.068,-0.189,-1.031
-0.115,-0.182,-0.953
-0.048,-0.127,-0.826
-0.058,-0.022,-0.902
0.017,-0.002,-1.04
-0.013,0.005,-0.995
-0.028,0.002,-1.105
-0.006,0.022,-1.07
-0.049,-0.085,-1.228
-0.25,-0.174,-0.903
-0.28,-0.157,-0.987
-0.203,-0.163,-0.917
-0.172,-0.025,-0.791
-0.091,-0.008,-0.803
-0.089,0.085,-0.814
-0.006,0.09,-0.919
-0.015,0.051,-1.027
-0.028,-0.129,-1.272
-0.159,-0.273,-1.35
-0.237,-0.379,-1.305
-0.045,-0.369,-1.081
-0.028,-0.277,-0.855
-0.084,-0.128,-0.697
-0.1,0.013,-0.609
-0.146,0.153,-0.685
-0.179,0.263,-0.815
-0.245,0.313,-1.016
-0.376,0.224,-1.254
-0.364,-0.02,-1.418
-0.36,-0.199,-1.173
-0.395,-0.2,-1.108
-0.272,-0.273,-1.092
-0.15,-0.224,-0.845
-0.062,-0.187,-0.816
0.012,-0.084,-0.825
0.14,-0.069,-0.768
0.279,-0.123,-0.935
0.274,-0.153,-1.066
0.305,-0.24,-1.203
0.202,-0.22,-1.052
0.208,-0.169,-1.076
0.143,-0.125,-0.897
-0.088,-0.043,-0.837
-0.206,0.016,-0.766
-0.334,0.164,-0.864
-0.452,0.285,-0.857
-0.558,0.362,-1.008
-0.417,0.339,-1.055
-0.411,0.339,-1.192
-0.426,0.158,-1.189
-0.409,-0.045,-1.091
-0.165,-0.184,-0.802
-0.336,-0.189,-1.005
-0.023,-0.206,-0.733
0.102,-0.164,-0.8
0.266,-0.147,-0.775
0.32,-0.123,-1.0
0.21,-0.132,-0.922
0.229,-0.057,-1.133
0.199,-0.119,-1.034
0.119,-0.144,-1.123
0.074,-0.117,-1.014
-0.037,-0.065,-0.89
-0.139,-0.033,-0.885
-0.277,0.082,-0.959
-0.329,0.102,-1.012
-0.398,0.075,-1.205
-0.207,-0.009,-0.937
-0.369,0.009,-1.179
-0.274,-0.154,-0.972
-0.326,-0.286,-0.925
-0.237,-0.31,-0.848
-0.116,-0.226,-0.777
-0.019,-0.255,-0.699
-0.092,-0.183,-0.917
0.03,-0.169,-0.906
0.025,-0.227,-0.991
-0.016,-0.146,-1.007
0.008,-0.099,-1.104
-0.098,-0.176,-0.982
0.038,-0.155,-0.971
-0.08,-0.099,-0.986
-0.095,-0.022,-0.953
-0.073,-0.027,-0.734
-0.042,-0.025,-0.755
-0.116,-0.116,-1.007
-0.134,-0.116,-0.853
-0.149,-0.192,-1.061
-0.064,-0.42,-0.947
-0.261,-0.219,-1.198
-0.293,-0.318,-0.919
-0.213,-0.161,-1.039
-0.081,-0.131,-0.983
-0.119,-0.241,-1.004
-0.137,-0.255,-1.051
-0.077,-0.232,-1.14
0.114,-0.233,-1.156
0.075,-0.101,-0.977
-0.018,0.139,-1.046
0.074,0.247,-1.008
-0.04,0.056,-0.973
-0.025,-0.051,-0.996
0.006,-0.069,-0.943
-0.013,-0.052,-0.942
-0.039,0.094,-1.065
0.033,0.175,-1.049
0.033,0.067,-1.002
-0.033,-0.036,-0.976
-0.02,-0.042,-0.959
0.015,0.051,-0.995
0.028,0.099,-1.003
0.009,0.065,-0.997
-0.009,-0.003,-0.978
-0.012,-0.003,-0.983
0.004,0.052,-0.999
0.01,0.071,-1.001
-0.002,0.033,-0.99
-0.007,0.009,-0.981
-0.001,0.028,-0.994
0.005,0.054,-0.995
0.002,0.045,-0.995
-0.004,0.024,-0.991
-0.004,0.024,-0.991
0.001,0.041,-0.995
0.262,-0.004,-0.907
-0.043,-0.021,-1.432
0.108,-0.401,-1.422
-0.088,-0.126,-1.404
-0.126,-0.119,-1.404
0.031,-0.208,-1.377
-0.129,-0.197,-1.267
-0.182,-0.024,-1.101
-0.226,0.083,-0.998
-0.095,0.115,-0.829
-0.089,0.073,-0.774
-0.297,0.021,-0.708
-0.249,0.125,-0.743
0.27,0.345,-0.674
0.279,0.306,-0.68
0.134,0.159,-0.815
0.038,0.093,-0.662
0.007,0.123,-0.798
-0.022,0.167,-0.858
0.016,0.15,-0.904
0.063,0.141,-0.9
0.055,0.208,-1.015
0.031,0.208,-0.984
-0.105,0.215,-1.048
0.036,0.222,-1.006
-0.321,0.146,-1.264
-0.45,0.188,-1.315
-0.323,0.151,-1.136
-0.209,0.266,-0.862
-0.267,0.263,-0.66
-0.376,0.295,-0.668
-0.273,0.318,-0.739
-0.215,0.186,-0.904
-0.03,0.173,-1.017
0.082,0.232,-1.132
0.131,0.137,-1.199
0.165,0.235,-1.051
0.218,0.109,-1.015
0.176,-0.01,-0.848
-0.091,0.015,-0.877
-0.081,0.059,-0.748
-0.012,0.225,-0.607
-0.157,0.375,-0.842
-0.223,0.448,-0.881
-0.322,0.554,-1.123
-0.418,0.478,-1.381
-0.353,0.188,-1.081
-0.333,0.122,-0.988
-0.36,0.038,-1.026
-0.211,-0.019,-0.824
-0.062,-0.023,-0.808
0.01,0.022,-0.825
0.102,0.01,-0.828
0.169,0.044,-0.96
0.213,0.036,-1.046
0.166,0.095,-1.136
0.209,0.021,-1.157
0.145,-0.029,-1.039
0.034,-0.025,-0.911
-0.087,0.016,-0.834
-0.124,0.089,-0.811
-0.184,0.164,-0.9
-0.226,0.236,-0.935
-0.259,0.284,-1.099
-0.301,0.312,-1.148
-0.39,0.179,-1.248
-0.332,0.132,-1.026
-0.215,-0.091,-0.85
-0.323,-0.015,-1.0
-0.035,-0.052,-0.765
-0.034,0.007,-0.831
0.025,0.044,-0.872
0.081,0.059,-0.866
0.33,0.123,-1.08
0.274,0.158,-1.113
0.148,0.11,-1.109
0.102,-0.017,-0.938
0.069,-0.001,-0.958
0.026,0.012,-0.844
-0.045,0.054,-0.85
-0.122,0.152,-0.77
-0.052,0.259,-0.809
-0.188,0.193,-1.19
-0.1,0.259,-1.053
-0.206,0.057,-0.954
-0.19,0.156,-1.14
-0.126,-0.099,-0.761
-0.126,-0.071,-0.817
-0.007,0.045,-0.856
0.001,-0.141,-0.729
0.004,0.06,-0.9
0.171,0.116,-1.039
0.008,-0.104,-1.147
0.022,0.069,-1.096
0.09,-0.345,-0.917
-0.025,-0.23,-0.928
-0.002,-0.224,-1.057
-0.036,-0.158,-1.145
-0.099,-0.078,-1.081
-0.118,-0.111,-1.18
-0.133,-0.174,-1.118
-0.028,-0.155,-1.035
-0.137,-0.175,-1.279
-0.201,-0.111,-1.41
-0.05,-0.076,-0.807
-0.075,-0.035,-1.136
-0.026,-0.056,-0.965
0.074,-0.005,-0.994
-0.003,-0.056,-0.974
-0.051,-0.053,-0.99
-0.001,-0.034,-1.004
0.035,-0.046,-0.998
-0.019,-0.057,-0.981
-0.035,-0.037,-0.987
-0.005,-0.038,-1.002
-0.018,-0.049,-1.001
-0.019,-0.048,-0.998
-0.011,-0.036,-0.983
-0.023,-0.037,-0.986
-0.004,-0.049,-0.995
0.015,-0.049,-0.999
-0.018,-0.039,-0.998
-0.023,-0.041,-0.984
0.004,-0.049,-0.985
-0.006,-0.046,-0.995
-0.02,-0.035,-0.986
-0.01,-0.042,-0.991
-0.014,-0.049,-0.997
-0.005,-0.045,-0.998
-0.001,-0.04,-0.983
0.369,-0.079,-0.952
0.022,-0.273,-1.481
-0.145,0.097,-1.456
-0.132,-0.185,-1.407
-0.292,-0.094,-1.452
-0.365,-0.095,-1.453
-0.236,0.02,-1.307
-0.196,0.305,-1.16
0.053,-0.174,-0.726
-0.09,-0.133,-0.615
-0.054,-0.071,-0.618
-0.038,0.015,-0.476
-0.083,0.093,-0.302
-0.439,0.133,-0.36
-0.08,0.341,-0.939
0.108,0.395,-0.928
0.119,0.243,-0.802
0.018,0.222,-0.854
0.085,0.151,-0.723
0.01,0.137,-0.935
0.122,0.049,-0.963
0.125,0.069,-1.089
0.095,0.118,-1.108
-0.002,0.135,-1.13
-0.068,0.164,-1.231
-0.085,0.077,-1.151
-0.171,0.011,-0.994
-0.116,0.043,-1.201
-0.258,0.02,-1.034
-0.169,-0.02,-0.913
-0.111,-0.044,-0.762
-0.031,0.048,-0.764
0.018,0.144,-0.835
0.092,0.222,-0.884
0.117,0.234,-1.076
0.29,0.216,-1.153
0.337,0.003,-1.354
0.185,-0.217,-1.114
0.137,-0.135,-0.963
0.142,-0.099,-0.904
-0.026,-0.13,-0.796
-0.111,-0.018,-0.798
-0.176,0.123,-0.857
-0.289,0.235,-0.915
-0.353,0.333,-1.084
-0.266,0.308,-1.136
-0.279,0.267,-1.182
-0.318,0.123,-1.066
-0.302,0.067,-1.069
-0.267,-0.074,-0.991
-0.112,-0.11,-0.811
0.0,-0.055,-0.779
0.08,-0.01,-0.819
0.18,0.019,-0.871
0.191,0.003,-1.117
0.23,0.025,-1.123
0.349,0.038,-1.158
0.35,-0.02,-1.022
0.328,-0.098,-1.078
0.181,-0.163,-0.932
0.074,-0.059,-0.758
0.011,0.057,-0.773
-0.086,0.158,-0.849
-0.083,0.27,-0.976
-0.123,0.304,-1.232
-0.218,0.299,-1.336
-0.3,0.155,-1.186
-0.278,0.078,-1.007
-0.242,0.036,-0.938
-0.157,-0.009,-0.755
0.005,0.005,-0.733
0.065,0.045,-0.819
0.179,0.043,-0.884
0.248,0.057,-1.124
0.227,0.014,-1.029
0.328,0.041,-1.044
0.255,0.0,-1.013
0.217,-0.059,-0.995
0.099,-0.053,-0.93
-0.001,0.007,-0.744
-0.028,0.122,-0.887
-0.054,0.215,-0.883
-0.073,0.271,-0.959
-0.188,0.271,-1.202
-0.177,0.26,-1.117
-0.222,0.176,-1.076
-0.143,0.022,-0.722
-0.107,0.101,-1.028
-0.095,-0.038,-0.654
-0.076,0.087,-0.624
0.039,-0.047,-0.73
0.03,0.116,-0.743
0.206,0.029,-0.673
0.1,0.094,-0.856
-0.002,0.007,-0.847
0.013,-0.218,-0.572
0.111,-0.101,-0.833
-0.054,-0.097,-0.846
0.005,-0.176,-0.898
-0.086,-0.148,-1.003
-0.123,-0.203,-1.062
-0.181,-0.214,-1.197
-0.172,-0.181,-1.261
-0.117,-0.133,-1.291
-0.119,-0.135,-1.388
-0.061,-0.167,-1.305
-0.097,-0.128,-1.317
-0.783,0.838,-1.677
-0.379,-1.089,0.031
0.009,-0.15,-1.0
-0.016,-0.151,-1.037
-0.004,-0.064,-0.981
-0.003,-0.003,-1.014
-0.02,-0.048,-1.002
-0.017,-0.058,-0.988
-0.009,-0.038,-0.997
-0.016,-0.066,-0.992
-0.011,-0.039,-0.997
-0.015,-0.053,-0.991
-0.011,-0.044,-0.996
-0.014,-0.048,-0.992
-0.012,-0.047,-0.992
-0.013,-0.048,-0.992
-0.014,-0.047,-0.994
-0.012,-0.048,-0.992
-0.013,-0.048,-0.994
-0.012,-0.046,-0.992
-0.013,-0.048,-0.993
-0.012,-0.048,-0.991
-0.012,-0.047,-0.994
-0.013,-0.047,-0.992
-0.012,-0.047,-0.991
-0.013,-0.049,-0.99
-0.013,-0.047,-0.993
-0.013,-0.048,-0.993
-0.013,-0.048,-0.992
-0.012,-0.048,-0.994
-0.011,-0.048,-0.992
-0.013,-0.048,-0.992
-0.523,-0.203,-1.313
0.078,-0.212,-1.686
0.172,-0.007,-1.599
-0.112,-0.237,-1.587
-0.084,-0.229,-1.385
-0.025,-0.195,-1.495
-0.054,-0.157,-1.533
-0.045,-0.189,-1.255
0.068,0.173,-0.923
0.089,0.041,-1.202
-0.097,0.172,-0.64
-0.074,0.029,-0.223
0.134,0.11,0.052
0.124,0.122,-0.292
-0.779,0.06,-0.61
0.332,-0.251,-0.811
-0.137,0.123,-0.985
-0.232,0.128,-0.972
-0.226,0.078,-0.899
-0.124,0.044,-0.888
-0.097,0.134,-0.905
-0.07,0.212,-0.97
0.044,0.183,-0.969
0.169,0.213,-0.934
0.075,0.135,-1.04
0.116,0.149,-1.045
0.074,0.143,-0.892
0.056,0.201,-0.887
0.078,0.191,-0.835
0.054,0.231,-0.909
0.019,0.231,-0.949
-0.019,0.251,-0.939
-0.081,0.302,-0.951
-0.144,0.327,-1.071
-0.187,0.32,-1.117
-0.274,0.252,-1.206
-0.303,0.12,-1.146
-0.293,0.091,-0.948
-0.199,0.084,-1.01
-0.124,-0.027,-0.88
-0.03,-0.033,-0.781
0.097,0.15,-0.84
0.017,0.088,-0.791
0.071,0.2,-0.975
0.073,0.195,-1.173
0.124,0.253,-1.138
0.217,0.14,-1.109
0.174,0.108,-0.843
0.214,0.118,-0.898
0.002,0.108,-0.836
-0.117,0.143,-0.835
-0.146,0.233,-0.885
-0.276,0.282,-0.902
-0.253,0.369,-1.008
-0.38,0.363,-1.18
-0.291,0.382,-1.003
-0.409,0.262,-1.138
-0.376,0.123,-1.064
-0.292,-0.018,-0.838
-0.129,0.039,-0.759
-0.007,0.068,-0.804
0.101,0.134,-0.883
0.062,0.152,-0.96
0.116,0.117,-1.078
0.111,0.204,-1.106
0.219,0.15,-1.138
0.142,0.103,-1.058
0.049,0.062,-0.869
0.011,0.111,-0.805
0.095,0.065,-0.985
-0.099,0.233,-0.864
-0.163,0.276,-0.889
-0.241,0.391,-1.067
-0.262,0.378,-1.085
-0.35,0.367,-1.236
-0.39,0.253,-1.086
-0.382,0.161,-1.023
-0.284,0.074,-0.93
-0.112,-0.026,-0.801
-0.005,0.047,-0.823
0.083,0.142,-0.843
0.152,0.201,-0.864
0.101,0.177,-1.079
0.169,0.221,-1.033
0.221,0.203,-1.053
0.122,0.23,-0.92
-0.005,0.237,-0.934
-0.031,0.195,-0.878
-0.119,0.217,-0.888
-0.135,0.257,-0.924
-0.207,0.253,-0.895
-0.219,0.399,-0.965
-0.249,0.383,-1.058
-0.198,0.508,-0.997
-0.207,0.219,-0.934
-0.293,0.325,-1.216
-0.253,0.092,-1.038
-0.128,-0.004,-0.934
-0.025,0.0,-0.824
-0.046,0.067,-0.933
0.0,0.015,-0.88
0.072,0.062,-0.985
0.202,0.141,-1.005
0.167,0.245,-1.15
0.138,0.184,-1.063
0.156,0.186,-1.001
0.107,0.139,-0.957
-0.011,0.13,-0.857
-0.042,0.188,-0.81
-0.116,0.242,-0.839
-0.221,0.319,-0.873
-0.281,0.381,-1.052
-0.317,0.444,-1.152
-0.385,0.333,-1.172
-0.276,0.221,-0.918
-0.352,0.21,-1.016
-0.24,0.09,-0.879
-0.119,0.121,-0.79
-0.147,0.221,-0.777
-0.154,0.252,-0.764
-0.108,0.299,-0.849
-0.177,0.272,-1.006
-0.218,0.241,-1.017
-0.408,0.21,-1.162
-0.41,0.091,-0.947
-0.421,0.195,-0.937
-0.236,0.135,-1.019
-0.236,0.127,-0.889
-0.13,0.221,-0.878
-0.26,0.28,-0.847
-0.236,0.326,-0.967
-0.23,0.311,-1.057
-0.322,0.394,-1.082
-0.32,0.339,-1.111
-0.164,0.355,-0.956
-0.099,0.248,-1.014
0.03,0.217,-0.908
0.107,0.263,-0.898
0.113,0.298,-0.948
0.089,0.165,-0.913
0.155,0.25,-1.006
0.28,0.36,-1.137
0.251,0.261,-1.047
0.194,0.197,-1.039
0.169,0.131,-0.925
0.097,0.196,-0.966
0.073,0.206,-0.827
-0.038,0.237,-0.778
-0.065,0.327,-0.742
-0.087,0.387,-0.685
-0.17,0.41,-0.794
-0.319,0.403,-0.835
-0.462,0.394,-0.928
-0.417,0.355,-0.843
-0.422,0.172,-0.859
-0.246,0.069,-0.898
-0.115,-0.033,-0.743
0.13,0.019,-0.722
0.12,0.074,-0.762
0.111,0.088,-0.923
0.233,0.197,-1.079
0.119,-0.017,-1.334
0.125,-0.08,-1.469
0.166,-0.061,-1.267
0.163,-0.103,-1.312
0.071,-0.089,-1.064
-0.042,-0.064,-0.932
-0.041,-0.012,-0.924
-0.086,-0.044,-0.9
-0.109,-0.054,-0.993
-0.235,-0.097,-1.131
-0.245,-0.18,-1.259
-0.21,-0.196,-0.968
-0.261,-0.131,-1.076
-0.183,-0.132,-1.016
0.015,-0.119,-0.911
0.041,-0.116,-0.927
0.062,-0.16,-0.908
-0.014,-0.194,-0.999
-0.087,-0.246,-1.162
-0.088,-0.264,-1.077
-0.152,-0.056,-1.053
-0.13,0.102,-1.06
-0.03,0.179,-1.069
0.028,0.217,-0.914
0.028,0.31,-0.836
-0.088,0.318,-0.848
-0.159,0.183,-0.848
-0.271,0.203,-0.977
-0.317,0.226,-1.116
-0.115,0.215,-0.904
-0.137,0.131,-1.005
-0.104,0.104,-0.97
0.086,0.049,-0.911
0.174,0.018,-0.906
0.23,-0.109,-0.94
0.222,-0.159,-1.009
0.055,-0.063,-0.976
0.173,0.198,-0.978
0.064,0.255,-1.013
-0.051,0.144,-0.864
0.099,0.139,-0.834
-0.03,0.132,-0.9
-0.009,0.197,-1.002
-0.084,0.113,-1.132
-0.245,0.139,-1.305
-0.132,0.188,-1.171
-0.218,0.19,-1.1
-0.307,0.087,-1.011
-0.31,0.084,-0.928
-0.301,0.114,-0.958
-0.171,0.094,-0.904
-0.131,0.076,-0.913
-0.139,0.057,-0.994
-0.046,0.06,-0.871
0.034,0.116,-0.895
0.07,0.215,-0.948
0.131,0.223,-0.961
0.268,0.226,-0.913
-0.008,0.013,-1.093
0.111,0.025,-1.16
-0.029,-0.021,-1.1
-0.038,-0.092,-1.041
0.108,-0.034,-0.876
0.067,0.16,-1.003
0.143,0.278,-0.843
0.083,0.242,-0.85
0.075,0.211,-0.918
0.069,0.135,-1.037
-0.031,0.143,-1.208
0.005,0.091,-1.223
0.074,0.1,-1.015
0.062,-0.002,-1.017
-0.002,0.006,-1.08
-0.038,-0.062,-0.867
0.12,0.091,-0.837
0.135,0.175,-0.887
0.175,0.117,-0.865
0.154,0.079,-0.966
0.202,0.121,-1.137
0.112,0.002,-1.113
0.122,-0.032,-1.096
0.183,-0.017,-1.031
0.15,-0.037,-0.863
0.113,0.056,-0.754
0.04,0.137,-0.784
0.0,0.27,-0.884
-0.046,0.244,-0.987
-0.147,0.065,-1.091
-0.167,0.156,-1.129
-0.289,0.012,-1.065
-0.285,0.132,-1.104
-0.201,-0.051,-0.91
-0.049,0.0,-0.873
0.132,-0.033,-0.855
0.137,-0.133,-0.813
0.269,-0.206,-0.87
0.219,-0.269,-0.802
-0.023,0.103,-0.984
-0.006,-0.096,-0.672
-0.024,-0.096,-0.513
-0.086,-0.085,-0.742
0.005,-0.005,-0.727
-0.095,-0.143,-0.728
-0.008,-0.215,-0.772
-0.275,-0.216,-1.169
-0.117,-0.286,-1.147
-0.037,-0.2,-1.271
-0.135,-0.245,-1.247
-0.113,-0.253,-1.213
-0.191,-0.307,-1.241
0.029,-0.216,-1.242
-0.04,-0.27,-1.096
-0.097,-0.216,-1.142
-0.041,-0.266,-1.069
-0.096,-0.269,-1.113
0.102,-0.122,-1.077
-0.003,-0.101,-1.072
-0.017,-0.118,-0.951
-0.004,-0.099,-1.048
0.042,0.039,-1.038
0.026,0.125,-1.126
0.015,-0.013,-1.008
-0.021,-0.02,-0.935
0.047,0.126,-1.072
0.008,0.014,-1.003
0.023,-0.092,-0.952
0.011,-0.048,-0.971
-0.011,0.029,-1.02
-0.011,0.025,-1.015
0.008,-0.021,-0.986
0.009,-0.053,-0.968
0.0,-0.009,-0.997
-0.006,0.011,-1.009
0.002,-0.012,-0.994
0.004,-0.032,-0.981
0.0,-0.012,-0.994
-0.003,-0.001,-1.0
0.001,-0.014,-0.991
0.002,-0.02,-0.988
0.0,-0.009,-0.995
-0.001,-0.007,-0.996
0.001,-0.015,-0.991
0.001,-0.013,-0.992
0.0,-0.01,-0.996
0.001,-0.013,-0.993
0.0,-0.014,-0.991
0.0,-0.011,-0.994
0.0,-0.012,-0.993
0.001,-0.014,-0.992
0.0,-0.012,-0.993
0.0,-0.012,-0.992
0.0,-0.013,-0.991
0.0,-0.013,-0.992
0.0,-0.012,-0.992
0.001,-0.013,-0.993
0.0,-0.013,-0.993
0.001,-0.013,-0.992
0.059,0.059,-1.024
-0.085,-0.079,-1.051
0.263,-0.029,-1.412
0.086,-0.1,-1.309
0.01,-0.246,-1.203
-0.061,-0.141,-1.412
0.112,-0.214,-1.361
0.075,-0.149,-1.361
0.029,-0.169,-1.152
0.067,-0.043,-1.237
0.135,0.023,-1.139
-0.016,0.016,-1.031
0.035,0.002,-0.796
0.026,0.014,-0.668
0.089,-0.084,-0.464
0.245,-0.226,-0.309
-0.09,-0.221,-0.446
-0.051,-0.118,-0.67
0.177,0.297,-1.238
0.076,0.14,-1.073
0.057,0.15,-1.142
-0.068,0.22,-1.055
-0.071,0.22,-0.98
0.089,0.056,-0.809
0.041,0.061,-0.841
-0.109,0.047,-0.931
-0.066,0.024,-0.885
-0.058,0.044,-0.993
-0.025,0.114,-1.078
0.047,0.071,-1.097
0.043,0.073,-1.137
0.114,-0.049,-0.854
0.177,0.011,-0.772
0.184,0.098,-0.869
0.081,0.096,-0.859
0.027,0.134,-0.891
0.06,0.096,-0.829
-0.058,0.216,-0.994
-0.073,0.233,-1.04
-0.078,0.217,-1.09
-0.174,0.202,-1.194
-0.214,0.11,-1.139
-0.181,0.077,-0.96
-0.259,0.055,-1.067
-0.196,-0.004,-0.877
-0.102,-0.022,-0.792
-0.029,0.026,-0.879
0.014,0.036,-0.885
0.092,0.04,-1.014
0.139,0.052,-1.108
0.161,0.13,-1.101
0.252,0.103,-1.085
0.123,0.007,-0.91
0.088,0.074,-0.95
-0.002,0.1,-0.926
-0.056,0.148,-0.944
-0.151,0.253,-0.949
-0.229,0.293,-0.932
-0.261,0.273,-0.989
-0.236,0.206,-1.08
-0.232,0.211,-1.194
-0.341,0.092,-1.099
-0.349,-0.018,-1.011
-0.317,-0.12,-1.065
-0.228,-0.161,-0.936
-0.153,-0.157,-0.829
-0.064,-0.073,-0.903
0.025,-0.047,-0.96
0.095,-0.028,-1.113
0.138,0.018,-1.282
0.151,0.003,-1.003
0.175,0.025,-0.889
0.163,0.012,-0.853
0.052,0.015,-0.865
-0.03,0.065,-0.894
-0.196,0.126,-0.976
-0.229,0.173,-0.997
-0.273,0.159,-1.127
