A_X [mg]	A_Y [mg]	A_Z [mg]
307	66	925
317	98	939
324	90	917
330	70	954
298	74	912
326	82	921
321	88	924
323	56	932
350	103	939
337	78	930
342	70	935
337	88	940
340	69	923
371	90	949
344	72	950
362	64	915
359	71	955
347	78	935
368	86	950
365	79	950
374	71	975
359	73	983
354	68	930
360	58	958
383	92	960
363	77	940
339	68	923
333	77	933
339	65	931
328	51	913
355	67	926
351	84	905
357	82	923
343	80	908
384	93	940
347	86	906
347	55	917
353	73	902
355	83	912
363	62	937
374	71	951
374	82	929
373	71	960
369	58	956
364	64	946
335	58	928
336	48	925
350	71	916
357	82	898
358	74	954
353	69	957
361	78	910
356	67	905
353	62	930
370	78	896
393	82	929
377	73	956
374	75	945
376	48	950
359	62	936
365	62	921
369	22	930
365	69	938
357	81	905
379	48	961
363	75	916
322	106	875
346	90	958
355	77	958
321	90	938
325	60	942
314	74	922
312	55	924
316	67	929
316	55	940
302	55	938
296	59	973
295	69	997
277	48	955
277	57	925
277	41	962
273	34	972
266	32	963
248	35	950
255	20	953
259	29	963
256	30	977
264	24	985
239	17	982
247	15	970
233	13	963
226	-2	960
225	-11	958
217	20	956
204	11	944
204	-3	959
200	12	954
203	19	966
201	-16	974
196	-1	977
203	6	952
219	12	977
189	-18	971
190	-8	966
194	-9	958
199	-13	955
211	-17	987
203	-24	994
206	-23	976
212	-20	991
207	-28	1001
206	-6	1005
204	-22	986
212	-22	1014
205	-16	991
213	-29	987
212	-24	979
210	-32	981
214	-29	952
197	-29	945
203	-33	952
214	-14	952
223	-20	975
220	-22	982
214	-16	990
209	-24	982
209	-19	960
213	-17	947
223	-15	963
217	-19	973
210	-21	968
211	-7	966
211	-4	974
210	-12	975
206	-14	957
214	-15	967
216	-7	967
214	-22	974
213	-21	974
206	-14	965
207	-21	950
212	-17	955
200	-17	944
220	-28	953
190	-29	949
157	-47	948
221	-5	955
183	-47	969
188	-26	1022
179	-51	961
210	-54	985
177	-57	974
171	-69	998
211	-94	964
179	-72	956
165	-94	988
177	-83	981
173	-71	984
157	-50	990
155	-78	998
163	-79	977
143	-46	971
158	-93	1002
179	-82	974
173	-56	984
154	-66	1005
154	-87	1006
172	-79	987
152	-67	992
129	-87	984
149	-110	954
154	-52	948
145	-96	964
154	-84	996
152	-73	975
134	-71	971
131	-83	981
111	-72	972
135	-45	986
119	-71	964
115	-103	988
102	-85	939
104	-67	952
86	-98	948
82	-121	942
109	-72	973
107	-82	991
137	-124	1019
127	-113	993
131	-110	1014
110	-159	1008
147	-127	1025
134	-141	1028
118	-175	1061
127	-176	1027
130	-139	1020
96	-159	990
95	-189	1016
93	-169	975
82	-174	985
112	-131	1025
67	-110	961
74	-160	966
85	-111	989
50	-134	962
64	-162	969
55	-146	966
104	-120	1015
96	-137	1020
121	-139	1038
130	-112	1001
151	-137	985
190	-108	998
219	-108	1040
226	-116	1007
186	-118	984
150	-141	993
146	-151	988
83	-156	999
64	-126	986
75	-136	998
53	-161	956
79	-119	908
131	-150	952
152	-118	1023
128	-134	1025
157	-128	1008
153	-139	980
140	-125	981
124	-111	1028
94	-107	977
96	-78	980
87	-135	1035
74	-120	1066
93	-117	1024
107	-111	1046
94	-103	1001
105	-101	1016
122	-122	994
116	-116	1003
101	-105	935
106	-115	921
107	-110	901
99	-102	925
87	-103	938
106	-93	971
49	-81	953
34	-128	944
51	-124	983
57	-113	953
84	-109	952
103	-118	1020
97	-147	974
129	-138	985
108	-122	989
126	-131	978
142	-133	1013
125	-87	1027
78	-147	1025
85	-174	1029
71	-118	1015
75	-105	1037
72	-116	1035
90	-121	997
115	-69	995
97	-52	998
110	-106	990
134	-111	978
124	-50	975
121	-71	973
114	-102	979
96	-89	963
73	-71	971
54	-89	973
45	-86	960
39	-54	924
59	-57	950
77	-72	994
78	-73	986
88	-66	950
112	-83	977
116	-73	1000
113	-83	981
92	-90	979
81	-99	999
56	-97	986
60	-86	971
56	-89	1002
57	-90	1007
69	-102	1021
75	-90	1006
102	-74	1027
99	-92	1021
119	-87	1002
118	-62	996
111	-83	995
106	-74	1004
86	-83	1007
73	-65	1003
53	-71	969
83	-64	955
88	-38	998
71	-53	1003
73	-61	990
76	-46	995
82	-68	981
101	-77	992
102	-54	983
115	-57	1003
121	-65	1015
116	-85	1026
96	-57	1024
91	-86	1007
91	-79	1005
83	-73	994
73	-74	993
95	-81	995
103	-34	1002
96	-42	990
98	-83	1010
96	-46	973
111	-31	992
103	-59	1010
92	-81	998
85	-44	975
88	-49	985
92	-66	989
83	-54	980
80	-67	1031
89	-65	997
92	-72	984
122	-59	999
123	-65	1000
102	-87	972
119	-66	956
124	-65	971
119	-89	1003
128	-82	1005
123	-40	1007
101	-75	1016
104	-94	1035
100	-60	1003
83	-59	1009
87	-67	979
111	-66	987
100	-44	973
105	-33	964
115	-44	984
119	-36	988
115	-22	1001
99	-49	979
107	-45	969
118	-19	997
125	-46	1020
110	-47	1008
90	-39	987
102	-49	995
109	-42	989
109	-37	991
104	-41	1001
121	-47	991
148	-21	984
131	-23	1001
118	-50	1007
106	-55	963
127	-36	979
111	-13	989
114	-28	980
123	-17	978
104	-32	993
96	-21	976
112	-12	986
105	-10	991
99	-23	975
123	-3	967
124	2	974
124	-15	1008
120	-14	996
116	-19	987
103	9	964
125	-32	988
135	8	1009
113	-9	984
129	-3	990
133	9	1001
115	-15	1018
127	2	969
127	0	960
130	-3	985
137	-12	1013
134	6	982
127	-20	1004
97	-7	963
136	4	964
134	-5	990
129	10	981
122	1	988
141	10	959
139	19	982
116	-28	965
132	-14	953
126	-6	996
128	-29	1007
143	-10	1008
131	10	1000
133	-7	1000
128	-13	1001
123	24	976
128	-10	1010
109	-5	992
103	-21	955
122	7	960
135	11	957
138	-0	965
127	-3	973
131	-6	954
137	2	960
125	14	958
142	2	992
146	4	993
108	18	963
120	-4	995
116	-29	986
115	25	956
134	29	1000
125	7	956
124	-9	972
118	-18	958
129	-1	982
118	-18	970
127	-1	984
106	9	981
113	-2	968
131	6	982
125	13	988
120	-12	990
136	1	969
151	14	961
142	18	990
126	16	949
133	7	973
135	14	986
131	21	982
120	-16	978
128	-8	992
124	-1	976
144	9	974
128	-21	990
124	7	971
132	15	965
147	-19	1015
127	-5	983
131	12	977
117	-26	966
147	20	971
131	23	954
130	19	984
143	7	970
138	10	985
137	-8	1005
156	5	1012
161	10	1008
151	-1	982
150	6	986
156	33	974
163	17	1008
145	-3	1000
166	60	974
164	12	1029
159	35	982
178	-14	986
165	30	966
136	4	1038
149	-23	971
117	24	932
164	-29	1010
131	22	969
155	32	953
171	22	1002
175	13	992
155	16	1034
161	74	950
196	-16	1033
146	71	958
173	-2	968
161	45	962
