A_X [mg]	A_Y [mg]	A_Z [mg]
-412	-1651	-191
-297	-1672	-210
-165	-1556	-294
195	-1352	-327
627	-901	-470
838	-602	-478
285	-888	-416
-162	-1126	-283
-307	-1716	-241
-429	-2007	-244
-505	-2052	-202
-531	-1987	-153
-626	-1762	-122
-683	-1678	76
-723	-1609	354
-778	-1547	706
-824	-1551	727
-1001	-1302	679
-828	-1193	825
-606	-1315	600
-554	-1325	360
-540	-1679	152
-474	-1953	-36
-432	-2110	-180
-332	-1847	-270
-294	-1552	-258
-404	-1474	-218
-414	-1461	-259
-350	-1413	-271
-230	-1325	-313
149	-1242	-330
525	-848	-407
526	-769	-319
237	-780	-358
-88	-1105	-241
-309	-1577	-160
-363	-1893	-259
-479	-2104	-180
-614	-2168	-165
-729	-1990	-155
-972	-1908	173
-937	-1792	520
-927	-1641	903
-751	-1326	790
-586	-1057	640
-556	-1183	512
-589	-1137	257
-641	-1602	138
-565	-1961	126
-484	-1894	4
-359	-1739	-150
-357	-1560	-239
-380	-1499	-243
-349	-1506	-230
-279	-1493	-255
-269	-1416	-315
-177	-1388	-377
205	-1056	-358
534	-805	-363
276	-743	-330
52	-1012	-199
-156	-1485	-161
-314	-1650	-235
-472	-1848	-174
-609	-1970	-20
-679	-1799	-98
-937	-1867	163
-1029	-1698	432
-870	-1586	673
-674	-1252	610
-666	-1098	532
-777	-1239	417
-721	-1083	264
-690	-1560	156
-554	-1781	69
-454	-1773	-57
-347	-1624	-91
-289	-1500	-123
-303	-1419	-138
-282	-1412	-154
-258	-1410	-176
-219	-1302	-184
-46	-1155	-211
162	-893	-301
256	-828	-279
175	-882	-260
-42	-1014	-181
-186	-1413	-97
-281	-1543	-160
-392	-1620	-179
-477	-1685	-58
-571	-1641	-173
-747	-1667	-22
-974	-1612	264
-920	-1582	454
-880	-1406	539
-765	-1228	463
-659	-1188	524
-663	-1191	457
-652	-1269	299
-604	-1774	156
-463	-1845	56
-297	-1775	57
-264	-1569	-40
-273	-1411	-127
-307	-1343	-173
-293	-1364	-187
-283	-1404	-204
-270	-1362	-290
-77	-1211	-343
291	-974	-330
352	-885	-355
150	-758	-278
-68	-1219	-165
-229	-1408	-121
-402	-1594	-195
-466	-1703	-62
-570	-1749	-83
-689	-1737	-19
-1020	-1802	329
-1018	-1665	586
-834	-1489	789
-560	-1267	699
-511	-1239	630
-559	-1241	519
-582	-1303	354
-563	-1840	241
-425	-1909	149
-350	-1818	59
-310	-1598	-35
-352	-1427	-127
-357	-1371	-179
-308	-1382	-193
-244	-1354	-202
-121	-1267	-251
141	-971	-329
404	-751	-337
305	-894	-296
95	-881	-322
-146	-1405	-244
-348	-1672	-133
-516	-1871	-97
-591	-1888	24
-584	-1751	-89
-644	-1738	90
-843	-1661	619
-859	-1618	953
-716	-1441	997
-465	-1243	782
-363	-1232	664
-414	-1258	432
-503	-1350	315
-600	-1954	296
-554	-1965	129
-462	-1907	-58
-388	-1620	-159
-363	-1408	-193
-336	-1319	-202
-270	-1318	-219
-250	-1349	-212
-190	-1235	-208
177	-938	-197
385	-545	-242
272	-761	-199
168	-750	-233
-139	-1184	-150
-328	-1614	-34
-365	-1930	-121
-440	-2056	-105
-574	-1979	-100
-727	-1777	-59
-909	-1717	146
-854	-1683	386
-909	-1536	564
-888	-1279	432
-853	-1037	488
-897	-1206	423
-824	-1243	259
-695	-1705	178
-464	-1842	65
-338	-1788	53
-338	-1588	12
-396	-1486	-95
-399	-1446	-185
-353	-1447	-208
-313	-1507	-209
-225	-1539	-273
177	-1153	-316
518	-770	-299
364	-904	-174
234	-895	-231
-80	-1314	-261
-260	-1398	-139
-447	-1593	-63
-522	-1821	-20
-650	-1954	-46
-823	-1906	194
-978	-1548	700
-671	-1276	1129
-191	-1266	1134
-434	-1197	830
-912	-1454	586
-843	-1465	194
-594	-1799	297
-507	-2323	320
-511	-2263	-39
-395	-1813	-247
-353	-1689	-249
-367	-1582	-306
-336	-1457	-339
-188	-1356	-332
-162	-1125	-401
-131	-966	-418
-52	-767	-348
-54	-728	-292
-30	-578	-311
-104	-433	-133
-413	-705	352
-374	-956	438
-139	-1306	122
-153	-1927	311
-529	-2369	734
-555	-2097	475
-578	-1717	693
-391	-1245	1161
-358	-1278	1067
-746	-1201	718
-963	-1206	585
-753	-1564	473
-472	-1483	303
-482	-1733	185
-618	-1952	15
-631	-1849	-239
-440	-1598	-254
-410	-1498	-200
-471	-1407	-294
-424	-1377	-390
-365	-1342	-406
-285	-1305	-393
-232	-1294	-410
-244	-1160	-398
-203	-1114	-317
79	-748	-118
-3	-529	408
146	-603	392
315	-835	166
151	-1210	155
-156	-1825	369
-478	-2265	665
-412	-2338	1006
-854	-1696	761
-376	-1479	954
-38	-1499	760
-320	-1280	638
-657	-1292	553
-903	-1293	369
-880	-1194	218
-837	-1638	15
-624	-1629	-205
-361	-1352	-293
-275	-1174	-223
-373	-1213	-213
-477	-1397	-275
-504	-1679	-354
-458	-1913	-514
-330	-1910	-667
-106	-1762	-472
139	-1384	-255
615	-463	-157
619	-375	62
207	-859	80
-86	-1012	42
-237	-1218	241
-347	-1422	450
-159	-1581	720
-688	-1638	506
-421	-1526	524
-300	-1519	578
-240	-1542	443
-520	-1409	437
-830	-1419	354
-886	-1264	231
-635	-1334	106
-460	-1340	-10
-373	-1332	-65
-329	-1093	-86
-269	-932	-104
-293	-924	-130
-334	-1111	-156
-381	-1399	-203
-413	-1635	-291
-367	-1720	-454
-197	-1578	-445
213	-1417	-311
578	-669	-279
56	-845	-104
-106	-939	30
-71	-918	-11
-211	-1013	-141
-305	-1438	744
-667	-1100	269
-464	-1439	-217
-906	-1777	307
-1056	-1501	234
-912	-1330	33
-495	-1275	490
-269	-1339	540
-389	-1191	356
-516	-1480	178
-487	-1524	61
-357	-1421	43
-312	-1233	17
-293	-1136	-73
