A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-264	500	829
-314	633	743
-315	621	727
-130	468	710
-262	497	761
-224	417	766
-250	471	781
-256	505	772
-240	433	761
-217	527	724
-218	781	585
-294	534	529
-351	231	548
-399	-119	619
-471	-366	742
-528	-519	814
-611	-625	874
-627	-583	940
-586	-376	795
-416	63	768
-455	163	997
-410	-153	975
-299	-345	962
-110	10	984
-127	-611	1076
-118	-490	1060
-48	-394	962
-172	-309	1000
-289	-206	1085
-348	-141	1063
-387	-253	973
-337	-121	834
-293	-56	700
-207	-294	813
-187	-423	855
-163	-428	833
-165	-340	893
-178	-214	927
-187	-235	917
-181	-339	886
-188	-378	872
-198	-360	892
-199	-334	898
-183	-334	891
-167	-318	884
-175	-313	896
-195	-302	894
-210	-312	902
-211	-311	899
-208	-312	894
-203	-312	894
-203	-313	894
-203	-316	896
-204	-311	896
-200	-316	894
-199	-323	891
-200	-319	890
-204	-334	896
-201	-331	886
-203	-333	888
-198	-336	887
-192	-337	893
-195	-327	894
-184	-334	903
-188	-331	896
-198	-340	886
-211	-366	883
-197	-345	856
-200	-320	893
-191	-310	899
-181	-298	905
-190	-289	920
-176	-292	867
-201	-295	908
-201	-287	910
-171	-296	923
-147	-361	890
-122	-470	860
-126	-399	867
-160	-370	894
-154	-399	871
-106	-369	838
-138	-390	874
-209	-459	824
-180	-379	851
-193	-329	874
-124	-487	830
-216	-575	821
-252	-333	919
-229	-274	824
-273	-502	848
-224	-548	852
-283	-544	910
-212	-504	802
-176	-445	877
-248	-357	903
-235	-502	874
-155	-457	783
-212	-426	798
-310	-520	792
-417	-385	777
-233	-546	760
-255	-592	812
-255	-587	814
-199	-466	811
-314	-454	862
0	-595	801
-82	-289	883
-80	-320	877
-184	-492	819
-390	-411	879
-372	-211	819
-344	-297	788
-229	-459	845
-172	-542	852
-198	-511	906
-226	-439	869
-134	-556	872
-51	-518	858
45	-505	830
19	-580	920
-24	-329	844
-95	-222	843
-181	-260	879
-194	-389	874
-242	-404	925
-209	-358	936
-139	-320	920
-116	-373	868
-107	-438	882
-88	-430	864
-96	-437	866
-114	-406	850
-144	-403	879
-215	-365	868
-220	-392	920
-176	-274	881
-112	-255	864
-75	-256	894
-159	-374	860
-187	-433	838
-279	-597	858
-264	-554	862
-200	-438	879
-147	-389	872
-191	-410	840
-264	-469	844
-280	-442	851
-284	-377	848
-275	-381	856
-220	-370	805
-228	-462	857
-288	-308	848
-258	-284	902
-242	-328	870
-226	-374	892
-210	-294	904
-216	-217	935
-319	-134	1061
