A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
159	32	691
161	30	677
114	-22	684
161	9	766
123	43	807
143	46	879
168	70	937
243	109	1003
272	140	1075
296	126	1157
253	183	1205
262	205	1158
270	201	1106
228	181	1045
113	84	1073
188	97	1165
229	147	1327
280	117	1458
323	213	1487
349	238	1496
286	266	1427
250	206	1367
281	211	1382
269	101	1192
172	102	1129
248	95	1118
150	209	872
237	-58	1189
313	248	795
184	-135	1010
282	6	888
158	58	737
206	-84	844
67	118	626
82	-56	703
11	-90	599
6	-103	803
15	48	775
19	-6	874
25	-22	870
55	18	893
53	-20	866
83	45	810
36	92	745
48	5	715
47	62	642
97	-26	646
131	-47	691
198	30	754
254	-17	790
319	-33	809
243	15	869
142	-61	918
202	84	905
158	39	1038
147	-28	1118
214	155	1118
219	141	1262
196	5	1308
295	167	1358
333	171	1441
253	139	1425
248	114	1504
288	206	1495
292	122	1467
232	71	1445
272	126	1430
312	28	1189
261	0	1063
209	-105	1079
201	190	764
297	-92	1013
269	81	800
192	9	745
256	-119	835
-82	-258	553
97	-109	895
-80	-5	641
10	-132	827
-17	-38	741
51	-74	756
19	-62	749
28	-48	734
21	10	743
30	28	769
56	97	718
121	50	735
137	-16	797
185	141	752
227	1	740
212	-44	765
187	16	768
155	-19	795
154	-22	800
43	-13	769
-104	23	905
-55	77	1077
-30	100	1201
152	151	1453
241	147	1470
331	-29	1504
386	-118	1489
346	-48	1525
304	-3	1514
377	-10	1616
394	4	1569
412	-14	1429
284	-73	1352
277	-29	1210
263	-9	1097
348	-56	1010
218	-106	1046
247	17	814
267	-18	849
129	-2	609
125	-186	596
67	27	542
-56	-53	612
20	33	671
19	-2	717
30	-54	757
23	-29	789
33	-5	770
3	-30	789
-6	15	763
6	-9	734
-20	-57	722
-4	-27	701
12	-66	674
71	-64	759
78	-22	776
136	-30	895
161	33	875
138	-5	858
184	26	872
152	97	690
89	86	875
101	144	952
140	82	1060
249	39	1261
234	29	1306
284	-35	1405
413	49	1488
331	76	1470
401	43	1600
441	164	1563
451	-44	1562
445	-97	1572
422	22	1462
372	-112	1351
389	-35	1245
323	-1	1120
304	-49	1081
320	7	745
282	-156	830
208	-111	743
186	-16	692
174	3	601
32	14	497
145	-218	585
-9	-87	652
-46	-13	753
-99	12	757
-16	98	773
45	67	808
61	-31	854
67	25	779
103	79	831
80	33	807
92	38	767
97	21	748
74	-10	811
48	97	752
65	-102	812
149	-14	786
127	1	867
163	-27	936
114	133	940
129	114	1030
129	178	1072
23	20	1097
157	170	1190
147	192	1109
102	-3	1175
217	187	1310
191	141	1419
170	80	1634
259	183	1681
263	87	1512
223	9	1547
172	110	1514
