accX[mg]	accY[mg]	accZ[mg] 
218.868	-259.616	924.516
236.68	-245.464	941.596
261.08	-295.24	927.444
264.496	-257.908	947.208
265.472	-292.556	934.52
278.16	-274.5	930.372
280.844	-257.176	933.056
408.212	-104.92	942.572
406.992	-4.392	837.652
425.78	-15.616	647.576
385.276	-158.356	518.744
298.656	-377.712	563.884
264.984	-669.048	633.912
261.324	-679.784	657.824
273.524	-760.304	742.004
271.816	-758.352	648.064
263.276	-729.56	560.224
285.968	-792.024	549.488
296.216	-755.18	486.292
280.6	-823.256	441.64
345.016	-896.456	379.664
403.088	-917.684	382.836
447.252	-1003.82	317.932
486.536	-967.704	331.596
474.58	-973.804	296.46
480.68	-961.604	297.924
440.42	-915.976	241.804
429.196	-974.78	262.788
422.852	-948.428	301.34
418.948	-957.7	277.428
425.536	-917.44	289.14
423.34	-916.22	310.856
419.924	-856.196	207.888
444.08	-905.728	284.26
443.592	-908.168	280.112
488	-1029.68	322.568
473.116	-892.552	334.524
446.032	-909.388	328.424
404.552	-942.328	313.296
363.56	-885.72	326.716
339.404	-878.888	393.572
317.932	-877.18	368.684
323.3	-878.4	389.668
309.636	-836.432	343.308
351.116	-866.444	418.46
349.896	-800.076	370.88
431.148	-822.036	348.676
377.956	-910.12	369.416
314.028	-846.436	317.932
322.324	-902.068	376.004
292.556	-930.128	394.06
328.18	-854.244	440.908
331.352	-857.416	435.54
345.504	-836.188	420.168
349.896	-850.828	396.256
321.836	-858.88	426.756
334.768	-840.336	439.444
341.844	-830.088	433.1
354.044	-828.868	446.52
357.948	-813.984	459.696
348.188	-810.324	449.204
349.652	-836.676	467.016
351.604	-811.3	473.36
359.168	-783.728	498.736
356.972	-806.908	477.264
353.068	-784.948	490.684
357.216	-804.956	500.444
355.264	-788.12	488
353.8	-819.84	440.664
349.652	-797.88	443.104
394.06	-754.204	523.38
351.36	-870.836	446.52
344.772	-842.776	419.192
331.352	-827.404	432.856
364.048	-800.808	468.968
350.384	-837.896	439.2
341.844	-884.988	421.388
357.46	-801.296	445.788
352.58	-836.92	438.956
347.7	-848.632	438.468
349.408	-825.452	418.948
