#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
39963120,10.29,-0.28,-2.31,0.998,0.082,-0.006
39963140,17.36,-0.49,-4.2,0.996,0.077,0
39963160,27.58,-1.68,-7.35,0.997,0.083,-0.007
39963180,34.51,-1.68,-9.17,0.997,0.095,-0.005
39963200,34.51,-1.68,-9.17,0.997,0.095,-0.005
39963220,36.4,-2.8,-8.61,0.995,0.092,-0.009
39963240,38.36,-3.57,-9.17,1,0.098,-0.01
39963260,38.78,-4.2,-9.59,0.994,0.101,-0.026
39963270,32.06,-2.1,-8.75,0.99,0.114,-0.023
39963290,29.4,-1.61,-5.74,0.989,0.109,-0.011
39963310,33.88,-3.43,-5.11,0.994,0.101,-0.023
39963330,37.73,-3.36,-6.51,0.992,0.105,-0.026
39963350,39.48,-3.15,-7.14,0.993,0.113,-0.027
39963370,36.68,-1.54,-6.37,0.993,0.106,-0.048
39963390,30.59,2.45,-6.93,0.995,0.122,-0.015
39963410,29.33,-1.12,-5.18,0.992,0.114,-0.028
39963430,32.41,-1.4,-5.74,0.995,0.109,-0.029
39963450,39.27,-2.52,-8.12,0.992,0.113,-0.024
39963470,47.04,-4.27,-10.36,0.991,0.113,-0.051
39963490,48.02,-0.84,-12.39,0.991,0.132,-0.036
39963500,49.56,-2.94,-9.38,0.984,0.138,-0.028
39963520,54.88,-5.53,-6.44,0.991,0.127,-0.056
39963540,52.92,-2.45,-7,0.988,0.12,-0.062
39963560,47.53,-0.07,-8.05,0.993,0.142,-0.045
39963580,45.85,-2.38,-4.69,0.989,0.132,-0.051
39963600,46.83,-2.52,-3.92,0.989,0.13,-0.058
39963620,48.3,-2.66,-4.27,0.99,0.132,-0.058
39963640,46.9,-2.73,-4.41,0.987,0.123,-0.077
39963660,43.4,1.12,-6.72,0.992,0.136,-0.065
39963680,37.52,0.63,-4.27,0.985,0.146,-0.058
39963700,38.08,-1.33,-1.61,0.988,0.126,-0.069
39963720,37.03,-1.61,-2.87,0.987,0.135,-0.071
39963730,34.02,-1.61,-1.89,0.991,0.132,-0.07
39963750,34.16,-1.89,-1.96,0.988,0.131,-0.071
39963770,37.45,-2.17,-2.52,0.986,0.124,-0.083
39963790,40.53,-0.28,-5.18,0.994,0.126,-0.081
39963810,39.41,-0.21,-5.39,0.987,0.144,-0.072
39963830,42.84,-1.54,-2.66,0.986,0.132,-0.08
39963850,46.06,-1.96,-2.59,0.991,0.128,-0.086
39963870,45.29,-1.19,-3.29,0.985,0.122,-0.101
39963890,46.9,2.31,-6.16,0.991,0.131,-0.085
39963910,49.42,1.19,-5.11,0.987,0.145,-0.086
39963930,49.42,1.19,-5.11,0.991,0.145,-0.086
39963940,50.54,0.84,-2.59,0.991,0.124,-0.103
39963960,49.21,2.87,-3.36,0.986,0.132,-0.091
