#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40077830,-19.04,-1.89,1.12,1,-0.022,-0.06
40077850,-22.89,-1.19,1.89,1,-0.023,-0.064
40077870,-25.76,-0.42,2.38,0.999,-0.023,-0.055
40077890,-26.95,-2.1,3.01,0.999,-0.018,-0.052
40077910,-26.67,-4.62,3.43,0.999,-0.031,-0.059
40077920,-27.72,-5.11,1.47,0.997,-0.023,-0.07
40077940,-28.7,-3.5,1.68,1,-0.025,-0.064
40077960,-31.15,-2.94,0.56,0.998,-0.033,-0.07
40077980,-29.54,-1.54,-0.7,1.002,-0.015,-0.062
40078000,-26.18,-2.24,0.63,1,-0.026,-0.062
40078020,-21.77,-3.08,0.14,1,-0.017,-0.063
40078040,-19.46,-3.57,0.63,0.997,-0.027,-0.072
40078060,-19.11,-2.59,-0.28,0.998,-0.017,-0.072
40078080,-19.25,-1.82,0.63,1,-0.025,-0.073
40078100,-21.84,-1.82,0.42,0.997,-0.018,-0.065
40078120,-21.14,-2.31,1.19,0.999,-0.021,-0.077
40078140,-21.49,-1.12,0.98,0.999,-0.02,-0.07
40078160,-22.82,-1.4,1.47,0.997,-0.016,-0.078
40078170,-25.48,-0.07,3.08,0.999,-0.018,-0.067
40078190,-29.33,-1.47,3.85,0.997,-0.027,-0.078
40078210,-33.53,0.35,2.73,1,-0.026,-0.08
40078230,-38.99,2.73,1.75,1.001,-0.028,-0.069
40078250,-40.88,1.61,0.77,0.999,-0.018,-0.061
40078270,-39.76,0.28,1.61,1.001,-0.021,-0.076
40078290,-42.35,2.8,1.4,0.997,-0.022,-0.075
40078310,-38.78,3.5,2.31,0.997,-0.008,-0.048
40078330,-32.76,-0.91,3.22,1.003,-0.045,-0.072
40078350,-35.77,0.49,-1.68,1.001,-0.019,-0.067
40078370,-39.76,0.14,-0.84,0.993,-0.004,-0.069
40078390,-40.46,0.42,2.94,0.999,-0.007,-0.065
40078410,-40.46,0.42,2.94,0.999,-0.007,-0.065
40078420,-43.89,0.21,5.46,0.997,-0.02,-0.066
40078440,-41.65,0.42,5.95,1.001,-0.018,-0.061
40078460,-38.15,-0.77,6.09,1.007,-0.04,-0.051
40078480,-39.13,-4.13,2.24,0.998,-0.024,-0.073
40078500,-38.85,-2.59,0.91,0.993,-0.008,-0.066
40078520,-33.32,-2.52,3.64,0.999,-0.022,-0.066
40078540,-31.99,-3.43,2.66,1.002,-0.031,-0.06
40078560,-34.23,-6.51,1.12,0.998,-0.015,-0.066
