#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39750410,-0.07,-0.84,-0.28,1.001,0,0,
39750430,-0.21,-0.77,-0.28,1.002,-0.001,-0.001,
39750450,0,-0.56,-0.14,1.001,0,-0.001,
39750470,0.14,-0.7,0,1.001,-0.001,-0.001,
39750490,0,-0.77,-0.14,1.001,-0.001,-0.001,
39750510,-0.07,-0.63,-0.28,1.001,-0.001,0,
39750530,-0.21,-0.7,-0.21,1.001,-0.001,0,
39750550,-0.28,-0.98,-0.21,1.001,0,-0.001,
39750570,0,-1.12,-0.14,1.002,-0.001,-0.001,
39750580,0.07,-0.63,-0.14,1.001,-0.001,0,
39750600,0.07,-0.14,-0.28,1.002,-0.002,0,
39750620,0,-0.21,-0.35,1.001,-0.001,-0.001,
39750640,0.21,-0.42,-0.28,1.001,-0.002,0,
39750660,0.21,-0.84,-0.21,1.001,-0.001,0,
39750680,0.07,-0.63,-0.07,1.001,-0.001,0,
39750700,0,-0.35,-0.14,0.999,-0.001,0,
39750720,0.14,-0.49,-0.21,1.001,-0.002,0,
39750740,0.07,-0.84,-0.21,1,-0.002,0,
39750760,-0.07,-1.12,-0.28,1.001,-0.001,0,
39750780,0,-0.91,-0.07,1,-0.002,0,
39750800,0.14,-0.77,0,1.003,-0.002,0,
39750820,0.21,-0.49,-0.14,1.001,-0.001,0,
39750830,0.07,-0.35,-0.28,1.001,-0.001,0,
39750850,0.07,-0.28,-0.14,1.001,-0.001,0,
39750870,0.14,-0.7,-0.14,1.001,-0.003,0,
39750890,0.14,-0.7,-0.28,1.001,-0.001,0,
39750910,0,-1.05,-0.42,1.001,-0.002,-0.001,
39750930,0.14,-0.98,-0.35,1,-0.002,0,
39750950,0.28,-0.98,-0.28,1.001,-0.002,0,
39750970,0.28,-1.19,-0.28,1.001,-0.002,0,
39750990,0.21,-1.4,-0.28,1.001,-0.002,0,
39751010,0.28,-0.98,-0.28,1,-0.002,0,
39751030,0.28,-0.98,-0.28,1,-0.002,0,
39751050,0.07,-1.26,-0.35,1.001,-0.001,0,
39751070,0,-1.26,-0.42,1.001,-0.001,0,
39751080,0.07,-1.26,-0.42,1.002,-0.002,-0.001,
39751100,0.21,-1.26,-0.35,1.001,-0.002,0,
39751120,0.14,-1.19,-0.42,1.001,-0.002,-0.001,
39751140,0.14,-0.84,-0.42,1.002,-0.002,-0.001,
39751160,0.21,-0.28,-0.42,1.002,-0.001,-0.001,
39751180,0.07,-0.42,-0.35,1.001,-0.001,0,
39751200,0,-0.77,-0.21,1.002,-0.002,0,
39751220,0.07,-0.84,-0.14,1.001,-0.001,0,
39751240,0.07,-0.84,-0.21,1.001,-0.001,0,
39751260,0.07,-0.98,-0.28,1.002,-0.002,-0.001,
39751280,0.14,-0.91,-0.28,1.001,-0.001,0,
39751300,-0.07,-1.05,-0.14,1.001,-0.002,-0.001,
39751320,-0.14,-1.19,-0.21,1.001,-0.002,-0.001,
39751330,0.21,-1.05,-0.21,1.001,-0.002,-0.002,
39751350,0.49,-0.49,-0.21,1.002,-0.001,-0.001,
39751370,0.35,0,-0.21,0.999,-0.001,0.001,
39751390,-0.21,-0.77,-0.49,1.001,-0.002,0,
39751410,-0.14,-0.91,-0.77,1.001,-0.003,0,
39751430,0.07,-0.84,-1.26,1.001,0,0,
39751450,0.07,-0.63,-0.7,1,0,-0.001,
39751470,0.35,-0.42,-0.35,1.003,-0.002,-0.003,
39751490,0.84,0.56,-0.49,1.003,-0.001,0,
39751510,0.63,1.33,-1.26,1.002,-0.002,0.002,
39751530,0.07,1.4,-1.68,0.998,0,0.001,
39751550,-0.14,1.47,-1.12,1.001,0,0.003,
39751570,-0.21,1.33,-0.84,1.002,0,0.001,
39751580,-0.14,1.75,-0.77,1.001,0.001,0.005,
39751600,-0.49,1.47,-0.42,0.999,0,0.005,
39751620,-0.56,0.77,-0.28,1.001,0,0.003,
39751640,-0.07,0.28,0.07,1.001,0,0.003,
39751660,0.28,-0.28,0.35,1,0,0.007,
39751680,0.14,-1.19,0.35,1,0,0.004,
39751700,0.14,-1.4,0.21,1,0,0.005,
39751720,0.14,-1.61,0.14,1,0,0.005,
39751740,0.07,-1.75,0.07,1.001,0,0.006,
39751760,-0.14,-2.17,0.14,1.002,-0.001,0.003,
39751780,-0.14,-2.17,0.14,1.002,-0.001,0.003,
39751800,-0.14,-2.03,-0.14,1,0,0.004,
39751810,-0.49,-2.45,-0.42,1.001,0,0.004,
39751830,-0.63,-2.52,-0.42,1.002,-0.001,0.001,
39751850,-0.21,-2.38,0.07,1.002,0,0.001,
39751870,0.07,-2.38,0.56,1.001,-0.001,0.001,
39751890,0,-2.45,0.49,1.001,-0.002,0.001,
39751910,-0.14,-2.52,0.07,1.002,-0.002,0.001,
39751930,-0.21,-2.31,-0.14,1.001,-0.002,-0.001,
39751950,0,-1.75,-0.14,1.002,-0.001,0,
39751970,-0.07,-1.68,-0.07,1,-0.001,0,
39751990,-0.35,-2.03,-0.07,1,-0.001,0,
39752010,-0.28,-2.03,0,1.003,-0.002,-0.002,
39752030,-0.07,-1.61,0.07,1.002,-0.002,-0.001,
39752040,-0.07,-1.96,-0.07,1,-0.002,0,
39752060,-0.21,-2.17,-0.07,1.001,-0.002,-0.003,
39752080,0,-1.75,0,1.002,-0.002,-0.003,
39752100,0.21,-1.05,0.14,1.002,-0.002,-0.003,
39752120,0.35,-0.42,0.14,1.001,-0.002,-0.002,
39752140,0.21,-0.49,0.07,1,-0.003,-0.003,
39752160,0.21,-0.63,-0.14,1.002,-0.003,-0.003,
39752180,0.28,-0.49,-0.35,1.001,-0.004,-0.003,
39752200,0.35,-0.35,-0.49,1.002,-0.002,-0.002,
39752220,0.28,0,-0.49,1.001,-0.003,-0.002,
39752240,0.42,-0.14,-0.42,1.001,-0.003,-0.003,
39752260,0.56,0.14,-0.49,1.002,-0.001,0,
39752270,0.35,0.07,-0.56,1.001,-0.002,-0.002,
39752290,0.28,0,-0.42,1.001,-0.002,0,
39752310,0.14,-0.21,-0.21,1.001,-0.003,-0.001,
39752330,0.42,-0.21,-0.07,1.002,-0.003,-0.001,
39752350,0.63,-0.28,-0.14,1.001,-0.003,-0.001,
39752370,0.56,-0.35,-0.28,1.001,-0.001,0.001,
39752390,0.21,-0.35,-0.49,1.001,-0.001,0,
39752410,-0.07,-0.21,-0.56,1.001,-0.002,0,
39752430,-0.07,-0.35,-0.42,1.002,-0.002,0,
39752450,0.21,-0.35,-0.21,1.001,-0.002,0,
39752470,0.49,-0.63,-0.14,1,-0.002,0.001,
39752480,0.28,-1.47,-0.14,0.999,-0.003,0.001,
39752500,-0.14,-1.96,-0.42,1.002,-0.002,-0.001,
39752520,-0.14,-1.96,-0.42,1.002,-0.002,-0.001,
