STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-1075	-381	752
-1040	-342	718
-920	-437	723
-870	-380	813
-710	-430	754
-681	-499	817
-575	-303	766
-477	-411	732
-385	-322	645
-257	-275	636
-169	-266	483
14	-323	533
61	-285	563
158	-168	465
221	-188	574
240	67	636
336	-124	683
309	-22	777
319	-129	823
323	-74	819
342	-146	823
307	-163	857
349	-150	835
343	-186	859
316	-130	889
346	-187	936
293	-183	973
307	-194	1005
297	-178	963
312	-193	1003
314	-197	958
300	-214	933
304	-225	924
325	-243	900
303	-208	876
305	-202	844
310	-237	812
271	-149	768
301	-234	677
221	-215	632
224	-144	644
163	-161	574
130	-286	587
-60	-152	588
-33	-80	606
-200	-263	529
-315	-305	533
-442	-173	473
-702	-458	664
-673	-434	719
-966	-211	469
-1006	-561	838
-1144	-334	602
-1084	-530	784
-1350	-392	853
-1138	-366	762
-1368	-472	812
-1219	-439	790
-1104	-387	652
-1149	-356	614
-1113	-547	580
-1469	470	2106
-848	-813	433
-1076	-706	240
-913	-176	-116
-875	-138	-207
-933	-357	-113
-967	-292	-51
-958	-288	-28
-955	-270	62
-926	-228	74
-956	-208	52
-984	-243	127
-973	-199	146
-950	-314	142
-1010	-253	246
-955	-190	233
-982	-388	355
-1042	-294	507
-1042	-326	501
-1085	-362	597
-1054	-320	610
-1097	-356	634
-1179	-366	639
-1165	-384	655
-1145	-385	696
-1143	-348	709
-1036	-443	701
-1001	-373	785
-959	-443	733
-892	-298	729
-771	-280	681
-648	-349	708
-532	-234	686
-468	-186	628
-292	-294	599
-239	-267	686
-124	-244	631
-12	-348	574
24	-243	587
177	-325	505
152	-277	536
251	-335	605
214	-265	761
227	-264	851
227	-337	999
247	-122	942
225	-309	981
262	-186	991
250	-101	933
278	-246	921
265	-88	847
295	-93	819
321	-155	760
297	-217	804
303	-152	797
303	-268	879
281	-185	861
252	-252	964
279	-197	1040
244	-290	953
246	-145	1076
256	-199	1036
278	-229	989
242	-105	965
273	-238	957
264	-147	929
270	-185	965
272	-159	884
248	-246	902
253	-171	888
246	-322	877
246	-201	905
241	-216	882
252	-229	830
233	-171	702
199	-156	630
135	-213	531
105	-200	476
32	-212	447
-107	-241	517
-201	-253	465
-380	-183	501
-456	-348	644
-708	-185	536
-875	-108	710
-1009	-279	623
-1142	-277	813
-1138	-191	706
-1258	-412	845
-1229	-348	808
-1329	-285	817
-1323	-363	732
-1232	-366	813
-1184	-207	739
-1081	-500	668
-916	1516	2368
-921	-934	867
-989	-790	242
-908	-223	-94
-931	-70	-111
-891	-310	-22
-1010	-322	0
-1002	-331	6
-949	-234	90
-891	-246	118
-928	-284	137
-955	-231	135
-967	-241	139
-981	-230	149
-955	-244	172
-948	-256	184
-966	-201	213
-956	-269	256
-1007	-281	417
-1020	-236	506
-983	-197	513
-1066	-281	655
-1058	-271	645
-1122	-323	732
-1171	-331	748
-1090	-272	675
-1080	-412	701
-1073	-413	710
-1062	-408	705
-1029	-426	796
-889	-429	894
-892	-534	922
-868	-194	764
-695	-364	770
-594	-325	682
-472	-168	692
-359	-277	614
-198	-163	574
-113	-96	550
25	-285	500
114	-120	484
175	-246	534
222	-190	472
263	-259	578
272	-153	611
293	-280	718
274	-172	852
252	-278	931
252	-220	985
270	-148	1006
221	-223	937
265	-238	1010
271	-201	942
260	-250	927
240	-183	917
274	-214	876
233	-306	887
265	-225	875
237	-244	783
247	-241	763
230	-250	676
182	-242	659
151	-177	618
69	-227	663
69	-255	692
-35	-251	734
-113	-221	702
-271	-232	697
-313	-126	673
-434	-298	649
-450	-431	741
-704	-136	480
-666	-438	753
-835	-303	757
-1051	-189	587
-961	-551	931
-1025	-209	653
-1162	-459	744
-1126	-501	1013
-1166	-60	734
-1124	-331	944
-1022	-506	871
-1047	-400	589
-995	-320	426
-941	-221	439
-1053	90	343
-960	-21	222
-1042	-61	495
-1067	-333	378
-963	-226	162
-936	-289	112
-924	-286	82
-944	-233	129
-951	-280	114
-943	-279	107
-994	-228	126
-931	-258	110
-947	-305	187
-929	-183	205
-975	-275	260
-977	-200	368
-1008	-209	430
-1045	-217	620
-1064	-192	583
-1044	-231	675
-1057	-246	632
-1129	-262	674
-1194	-381	709
-1119	-312	774
-1063	-308	733
-1042	-292	719
-1042	-245	670
-958	-329	653
-881	-200	617
-756	-305	707
-633	-322	736
-570	-196	716
-459	-296	679
-402	-341	789
-292	-348	787
-175	-466	771
-162	-208	687
-61	-308	581
52	-327	499
88	-315	509
154	-373	560
160	-294	544
191	-288	647
188	-321	763
224	-178	738
138	-189	934
207	-246	861
137	-386	1004
172	-333	1024
173	-415	961
173	-359	956
182	-407	933
173	-396	871
184	-385	874
157	-324	849
205	-402	829
167	-303	835
117	-260	740
141	-256	700
92	-319	629
55	-337	552
38	-289	536
-145	-304	365
-55	-367	536
-435	-195	153
-349	-511	497
-657	-409	544
-800	-240	557
-827	-535	771
-929	-338	649
-937	-608	864
-1179	-427	748
-1038	-521	699
-1193	-681	829
-1203	-444	555
-1196	-627	682
-1119	-472	745
-1109	-328	517
-1071	-462	582
-1037	-278	504
-1113	1659	1391
-1072	-768	595
-949	-436	46
-1018	-222	-114
-964	-237	-100
-921	-281	-48
-994	-243	-35
-944	-235	38
-986	-203	66
-959	-193	84
-985	-183	139
-988	-150	189
-1008	-59	258
-983	-212	167
-1044	-225	376
-968	-107	312
-998	-239	423
-1024	-271	433
-1029	-293	557
-1048	-315	547
-1051	-337	629
-1064	-328	593
-1071	-355	625
-1050	-323	606
-1044	-389	628
-965	-414	624
-951	-388	663
-836	-360	578
-809	-323	658
-691	-454	689
-606	-406	669
-492	-357	688
-443	-371	687
-336	-413	586
-346	-552	686
-228	-471	585
-146	-429	600
-70	-457	589
26	-448	482
-49	-369	348
28	-406	420
81	-507	437
94	-678	543
72	-564	643
124	-687	688
31	-779	812
73	-635	795
17	-721	863
22	-705	831
33	-683	775
14	-735	795
-4	-643	774
40	-616	715
20	-652	738
28	-594	715
8	-596	743
21	-660	793
4	-571	818
20	-618	869
-10	-594	889
16	-615	938
11	-547	920
16	-651	891
38	-606	864
21	-523	819
31	-562	745
37	-496	662
39	-508	643
59	-528	583
34	-526	572
-13	-391	536
-60	-295	457
-71	-466	520
-197	-403	407
-216	-440	515
-329	-447	604
-551	-270	476
-468	-587	520
-686	-338	599
