A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
80	931	-354	0.665	-5.075	-5.01375
65	931	-352	-0.02625	-7.72625	-8.575
4	949	-344	-1.40875	-12.8713	-11.515
50	960	-343	-4.66375	-23.8613	-15.54
174	933	-341	-7.81375	-25.025	-11.7075
160	861	-335	-4.97875	-9.8175	5.81875
151	906	-339	1.65375	-1.085	3.9725
119	908	-330	2.38	-0.06125	-9.5725
68	922	-322	1.785	-5.3375	-18.55
1	900	-325	-0.665	-18.0863	-33.3725
26	878	-330	-1.82875	-35.6125	-61.2238
-27	879	-320	-2.14375	-47.1188	-85.9163
-171	805	-328	-1.6625	-57.9688	-111.361
-312	917	-364	-0.7875	-68.005	-137.174
-312	993	-356	-9.16125	-61.0225	-130.401
-613	906	-322	-16.5113	-31.6488	-67.76
-671	887	-301	-8.61875	-15.1375	-6.90375
-512	962	-294	-3.50875	-0.35875	28.8225
-418	922	-303	-4.9	22.225	64.5225
-335	877	-288	-2.555	41.3088	97.5888
-231	870	-279	3.15	51.1	117.644
-135	906	-282	7.245	55.5888	129.194
-44	907	-290	9.33625	55.65	132.764
51	921	-297	9.94875	50.4	126.464
111	918	-305	7.49	41.9213	108.92
196	904	-311	3.15875	29.6188	79.1263
290	877	-301	0.1225	17.6575	49.91
298	865	-296	-0.35875	9.63375	30.0213
310	867	-304	-0.2275	1.995	10.9813
297	873	-298	-0.06125	-4.10375	-4.025
279	890	-303	-0.98875	-11.2963	-18.9
249	889	-310	-2.37125	-19.5913	-36.75
188	906	-305	-3.40375	-29.61	-58.2488
204	913	-315	-6.64125	-42.07	-87.5613
113	873	-299	-9.54625	-48.1688	-111.589
17	856	-282	-9.63375	-56.4638	-140.473
-88	879	-277	-11.305	-60.55	-165.48
-270	868	-261	-15.26	-55.2213	-162.934
-520	970	-272	-14.245	-43.1025	-135.284
-666	950	-271	-12.5213	-25.6813	-72.5638
-611	958	-256	-5.8975	-4.2	2.75625
-504	905	-252	0.56	16.8175	53.1388
-378	896	-252	7.41125	33.25	84.8225
-321	882	-258	13.6588	45.0975	104.965
-217	907	-266	17.9988	49.2363	112.166
-148	894	-281	20.4488	49.49	114.205
-3	926	-307	20.5275	44.4413	108.465
31	929	-326	17.675	41.8775	100.293
94	920	-335	13.685	36.2863	87.0275
143	895	-338	10.3425	29.7325	71.3913
181	891	-338	8.8725	21.3675	55.8513
217	892	-346	6.755	11.865	40.8713
280	890	-355	2.96625	3.5175	26.39
302	880	-355	-0.23625	-0.385	15.9513
280	878	-347	-1.4	-3.05375	4.96125
268	882	-346	-2.94	-6.8075	-7.09625
240	899	-348	-4.8825	-11.9263	-20.9038
238	892	-344	-8.0325	-19.3725	-41.1163
195	891	-331	-11.69	-26.7488	-58.3975
142	892	-326	-15.4263	-37.8613	-83.3438
95	888	-313	-18.2263	-50.61	-115.736
-22	859	-291	-20.685	-59.955	-142.03
-178	942	-274	-24.0538	-64.26	-159.11
-287	879	-261	-26.4163	-56.4725	-137.34
-558	981	-252	-19.81	-39.9088	-98.6038
-535	969	-246	-14.9275	-22.6713	-45.5438
-513	930	-224	-7.665	2.30125	13.0025
-415	922	-222	1.86375	21.3588	52.0625
-342	907	-228	9.6075	36.5312	83.6238
-261	901	-243	16.03	45.9813	105.98
-164	910	-252	21.49	50.1288	118.536
-69	929	-271	23.2663	49.8225	120.138
7	921	-289	22.2513	45.2725	109.174
104	934	-304	18.235	38.0975	89.1188
116	920	-313	14.5513	32.8038	74.4275
174	915	-320	11.8038	23.485	57.3825
224	905	-324	9.03	16.03	45.5613
246	889	-326	7.0175	9.87	38.78
277	872	-331	6.04625	4.235	33.1975
304	881	-339	5.6	1.09375	28.1663
327	875	-345	4.61125	0.0175	21.4025
331	864	-348	4.05125	-0.07875	14.6738
349	867	-356	2.695	-1.54	4.12125
358	871	-357	0.2275	-4.97875	-11.655
320	871	-355	-3.2725	-8.9425	-28.2975
292	876	-352	-7.3325	-15.3738	-47.3375
238	886	-338	-11.97	-23.3713	-68.355
164	901	-330	-16.7125	-34.965	-98.0438
113	862	-317	-20.3088	-47.39	-132.16
10	814	-286	-20.8425	-55.2913	-156.783
-194	935	-277	-22.7763	-56.7263	-170.109
-288	905	-274	-26.9763	-51.0038	-153.335
-528	964	-251	-25.9875	-31.7713	-101.465
-653	939	-238	-18.4713	-15.6713	-45.7975
-549	949	-215	-7.7175	-0.5425	6.95625
-478	901	-211	2.415	17.045	50.9863
-371	905	-217	13.7463	30.0825	87.7013
-276	898	-238	21.525	38.85	115.553
-153	903	-260	26.5825	43.2513	131.845
-39	919	-277	27.2213	44.2313	134.435
28	908	-291	25.9613	41.9213	128.686
128	897	-316	22.9775	32.48	106.348
218	902	-341	18.1213	23.065	78.1725
248	894	-350	13.1425	17.8588	57.6625
267	900	-355	8.68	12.8275	42.7875
286	888	-358	4.0075	6.72875	26.4775
315	870	-355	0.35	1.2775	11.7338
304	867	-353	-2.28375	-2.4675	-0.97125
292	878	-350	-4.57625	-7.77875	-17.955
281	882	-343	-6.615	-13.9475	-35.84
231	892	-338	-9.02125	-20.0988	-50.295
185	904	-335	-12.5038	-28.5338	-69.475
139	886	-325	-16.6338	-38.0275	-95.8563
60	871	-307	-18.9963	-46.7425	-120.75
-40	841	-286	-20.1338	-55.3263	-143.631
-196	908	-258	-21.9713	-61.5388	-165.148
