A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
40	978	-281	0.42	0.65625	3.15
13	937	-280	-0.315	2.73	3.14125
23	936	-272	3.15875	-0.37625	3.85875
54	943	-257	6.46625	-3.85875	2.00375
107	914	-275	7.48125	-5.425	1.3125
94	937	-302	9.68625	-4.3225	-1.19
82	973	-342	6.86	-2.19625	-7.93625
58	1006	-360	-1.4175	0.27125	-3.1675
174	1097	-410	-15.4088	7.6825	1.3475
276	1045	-416	-41.23	38.36	-4.68125
235	879	-328	-58.3188	75.075	-8.82875
332	826	-303	-51.0388	106.925	-14.1313
526	936	-398	-38.9113	157.168	-24.7275
47	762	-342	-33.9238	227.22	-36.015
-765	745	-27	-2.26625	216.195	-36.8375
-564	996	35	40.075	102.918	-14.1225
-517	1005	-24	52.5088	9.59	12.2063
-468	989	-131	55.5625	-72.5288	35.35
-416	887	-312	56.2888	-150.526	62.8075
-305	854	-527	56.0263	-223.983	83.72
-116	863	-746	46.8475	-275.993	102.183
135	867	-832	24.7363	-286.396	107.651
604	901	-825	4.87375	-266.752	89.8625
717	865	-685	-9.12625	-169.286	62.7025
458	890	-557	-16.345	-68.9062	22.8725
399	868	-494	-18.6725	-1.6975	-0.97125
220	890	-460	-17.9288	48.4138	-17.0538
203	916	-444	-18.6025	75.67	-27.195
230	894	-455	-20.7375	101.115	-33.075
217	909	-443	-20.6325	129.719	-39.7425
287	921	-467	-23.065	159.294	-47.5563
338	805	-533	-22.8375	201.478	-55.9475
266	811	-571	-13.44	248.176	-60.9263
72	735	-587	-2.75625	280.928	-69.2125
-427	733	-407	17.1588	279.519	-75.6963
-810	974	-209	40.565	213.203	-65.6775
-1007	1174	-97	41.9388	74.0338	-21.0613
-682	1043	-219	21.4025	-82.0925	32.8825
-677	940	-427	10.255	-196.648	59.8238
-370	816	-724	5.83625	-277.008	89.5213
-135	815	-875	-0.5425	-286.685	100.835
133	844	-896	-10.8413	-286.685	106.916
351	784	-816	-22.4	-286.361	103.32
443	880	-665	-25.2788	-257.294	85.645
694	916	-559	-32.2788	-179.611	52.6488
658	742	-423	-26.0313	-63.9888	20.2825
310	880	-372	-5.075	33.74	-14.245
