A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
145	942	-285	-0.41125	0.95375	1.91625
144	947	-283	-0.2275	1.18125	2.485
147	951	-280	-0.28875	0.90125	1.67125
138	937	-279	0.67375	0.49875	-0.14875
138	938	-281	2.21375	0.07875	-0.5075
146	940	-283	2.415	0.14	1.74125
148	937	-288	1.7675	0.49875	3.7275
156	951	-293	1.8375	0.595	3.7275
151	954	-290	1.35625	1.2075	1.88125
146	935	-289	1.3825	1.07625	0.79625
164	923	-291	3.42125	0.315	0.76125
201	934	-291	5.2675	2.26625	1.30375
193	918	-288	5.87125	6.41375	1.12
179	895	-299	7.525	7.18375	-0.175
174	922	-307	10.0713	5.635	-3.01
175	924	-317	9.66875	5.0225	-6.16
158	926	-328	8.72375	5.6	-7.37625
155	962	-327	6.58	5.25	-7.7175
141	926	-318	2.42375	5.71375	-9.07375
146	924	-317	1.8025	5.46875	-6.6675
122	926	-318	2.17875	4.40125	-4.305
140	920	-331	2.5725	1.53125	-4.05125
135	937	-333	3.85	0.0175	-2.94
145	940	-343	2.14375	-0.49	-1.785
134	945	-331	1.25125	0.2975	-3.0975
137	933	-325	0.13125	1.33	-4.2
124	911	-329	0.49875	2.35375	-0.11375
135	932	-332	2.00375	1.295	1.32125
145	916	-336	1.12875	1.02375	1.54
141	924	-337	1.925	1.26875	0.13125
137	933	-335	1.86375	2.07375	-2.6425
126	927	-331	1.4	3.0975	-3.26375
123	930	-332	1.505	3.115	-1.4175
112	941	-332	1.33	1.58375	0.35875
125	936	-335	0.4025	-0.91875	0.3325
130	947	-328	-0.69125	-1.5225	0.945
122	943	-316	-2.345	-1.68875	0.93625
122	915	-311	-2.3275	-2.4675	1.4175
132	918	-313	0.49	-3.2025	2.695
146	931	-319	2.00375	-2.9925	3.28125
143	918	-327	2.28375	-2.1525	2.5025
141	932	-332	3.5875	-2.05625	1.23375
132	935	-340	2.82625	-2.37125	0.4375
132	935	-341	1.26	-3.12375	-0.25375
132	924	-339	-0.30625	-3.22	-0.46375
139	926	-338	-0.4725	-3.5	-0.25375
140	925	-336	-0.83125	-2.8875	-0.42
142	919	-336	-0.62125	-1.53125	-0.95375
135	932	-335	0.07875	0.175	-0.525
126	929	-330	-0.1925	0.77	-0.76125
123	929	-330	-0.25375	0.27125	-0.97125
129	932	-328	-0.1925	-0.0525	-0.175
130	930	-325	-0.37625	0.0875	0.4725
125	928	-325	-0.245	-0.28875	0.14875
128	928	-324	0.21875	-1.085	0.4375
130	926	-324	0.665	-1.54875	0.595
134	925	-328	1.2775	-1.28625	0.65625
135	928	-329	1.82875	-0.37625	1.155
135	930	-334	1.6275	0.2275	1.505
126	932	-336	1.82875	0.07	1.225
131	929	-338	1.4525	-0.58625	0.5425
135	928	-337	0.6475	-0.56875	1.32125
138	927	-334	0.105	-0.245	1.19875
135	927	-332	-0.0175	0.06125	0.21
134	925	-331	0.18375	0.035	0.245
130	925	-333	0.74375	-0.4375	1.04125
133	929	-335	1.05875	-0.81375	1.32125
134	924	-336	0.93625	-0.9975	1.2075
135	927	-336	1.0675	-1.3125	1.04125
136	927	-337	1.0325	-1.4	1.23375
140	920	-335	1.015	-1.505	0.70875
146	918	-335	1.54875	-1.26875	-0.77875
135	925	-340	2.205	-0.035	-1.63625
129	933	-342	2.03875	1.0675	-0.7175
131	929	-341	1.11125	1.435	0.49
135	932	-339	0.525	1.07625	0.97125
133	926	-338	-0.2625	0.69125	0.245
129	925	-338	0.2275	-0.07	-0.5775
133	928	-340	0.53375	-0.5425	-0.37625
136	925	-338	0.18375	-0.3675	0.8225
139	921	-336	0.04375	0.105	1.19875
137	921	-334	0.4375	0.385	0.62125
140	924	-336	0.805	0.39375	-0.06125
127	927	-338	1.19875	0.13125	-0.44625
132	931	-341	1.05875	-0.91875	-0.4375
131	928	-342	0.28	-0.98	0.315
133	925	-339	0.175	-0.98875	0.8925
132	924	-339	0.2625	-1.19	1.12
133	926	-338	0.30625	-1.75875	1.085
140	922	-338	0.27125	-2.0125	0.4375
134	926	-338	0.35	-1.7325	-0.4725
132	925	-337	0.23625	-2.02125	-0.39375
141	922	-340	0.2275	-2.17875	0.44625
140	925	-340	0.5075	-1.26	0.67375
136	926	-342	0.105	-0.65625	0.14875
135	928	-343	0.035	-0.63875	0.04375
132	927	-341	-0.13125	-0.315	-0.1925
130	926	-338	-0.245	-0.04375	0.07
