A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
241	914	-117	0.385	-1.58375	0.8575
251	900	-119	4.06	-3.38625	1.72375
259	907	-132	8.0675	-4.9525	4.66375
271	907	-145	9.0125	-6.65875	6.15125
276	904	-162	8.96875	-7.63	4.10375
280	915	-166	9.38875	-7.7	-0.04375
263	908	-163	9.72125	-6.69375	-1.61
260	882	-171	11.8825	-6.9475	0.945
225	869	-165	16.66	-8.4175	3.465
224	863	-181	24.1675	-14.28	3.43
228	860	-210	31.4038	-19.95	4.59375
161	835	-228	38.6488	-27.2475	5.95
223	851	-275	46.9525	-40.635	6.69375
204	813	-330	51.275	-47.6	8.56625
231	834	-386	56.6125	-55.2388	10.9375
257	837	-441	57.7675	-57.3125	11.0513
243	812	-495	56.3675	-53.9088	11.5063
257	846	-543	54.25	-49.0875	14.98
214	842	-576	46.5413	-42.7088	17.15
298	816	-626	37.2138	-37.9838	19.215
271	881	-693	25.5325	-23.4325	18.7775
314	938	-737	3.85	-7.8575	13.2563
337	885	-722	-23.1613	13.6588	8.68
345	842	-664	-43.4525	37.5375	4.5325
291	811	-585	-58.1875	56.7963	3.40375
275	794	-511	-66.6138	65.4413	4.68125
262	808	-429	-69.3788	68.2938	4.7075
325	827	-371	-69.8775	66.3863	3.84125
360	820	-317	-68.9588	69.4138	2.8175
363	850	-247	-65.52	72.6513	1.53125
365	848	-188	-63.8663	74.9263	-3.21125
382	864	-140	-61.8975	76.3875	-3.22
364	887	-92	-61.5475	77.9888	3.29
392	887	-38	-63.315	78.855	5.50375
345	857	28	-64.3563	80.8763	4.90875
286	835	112	-61.6525	73.6313	7.42
262	800	225	-53.6113	57.7675	3.5
201	758	312	-40.425	34.8338	0.5425
252	725	357	-19.81	7.97125	-0.91875
237	739	345	6.44875	-11.6813	-1.8375
275	768	273	30.7213	-32.62	1.32125
349	831	182	48.5188	-47.95	5.52125
335	843	117	56.28	-52.885	4.78625
408	822	37	61.8625	-59.115	4.03375
378	820	-25	66.9463	-57.3475	3.885
400	873	-112	72.0388	-61.145	3.87625
390	897	-166	67.7425	-61.3288	3.78875
348	862	-223	60.725	-63.77	1.74125
392	842	-268	58.1088	-68.7663	3.3775
358	838	-312	57.1375	-69.4225	4.29625
431	833	-364	54.4075	-68.1538	2.8525
322	758	-400	54.565	-59.1675	3.91125
362	770	-450	61.425	-61.2675	6.01125
358	782	-495	61.95	-58.9925	5.24125
279	746	-535	57.4963	-55.3088	2.38
317	765	-598	54.88	-60.0863	4.2
352	790	-684	47.355	-55.405	4.12125
297	896	-741	31.22	-41.09	-1.015
346	871	-782	3.21125	-27.9388	-3.535
362	851	-786	-20.7463	-3.50875	-4.22625
283	823	-710	-40.705	21.84	-2.73
303	750	-633	-53.6638	35.7263	1.51375
297	761	-567	-56.4988	48.9563	2.765
274	793	-516	-57.9163	56.35	1.5575
312	810	-464	-60.7775	58.1788	1.12
322	806	-409	-63.63	59.955	2.30125
384	820	-364	-63.7525	61.145	1.995
371	814	-305	-62.37	67.8388	-1.015
404	843	-252	-59.4913	71.8725	-3.185
368	840	-196	-58.3538	77.9625	-1.155
352	852	-129	-55.4575	76.2563	4.3925
378	886	-82	-52.815	72.905	4.48
408	884	-38	-54.6875	73.7538	3.00125
408	865	22	-56.6388	76.7113	5.99375
403	841	67	-55.4225	78.645	11.2
271	802	172	-48.6938	76.1075	9.28375
225	773	268	-37.0913	52.3338	4.865
264	741	309	-19.3288	24.78	0.7
215	759	320	2.3975	-1.40875	0.35
305	758	261	22.5138	-30.4238	-2.28375
344	814	189	39.2	-47.0313	-2.82625
312	837	134	47.6613	-58.135	-3.47375
458	843	56	53.3838	-66.5175	-6.9825
376	816	-1	58.1613	-58.905	-11.165
381	859	-81	65.0563	-62.055	-4.0775
362	917	-140	64.1025	-64.085	5.81875
364	877	-200	57.8988	-66.6925	2.77375
445	855	-250	55.4225	-64.54	0.3325
361	845	-295	54.04	-57.155	1.75
395	845	-326	51.9925	-57.3738	5.3375
377	793	-355	50.3038	-53.025	4.4275
348	736	-396	55.9038	-49.315	0.875
298	744	-442	65.4413	-50.4	0.0175
412	789	-515	69.0638	-53.2875	4.92625
334	768	-569	63.56	-41.9738	8.67125
267	770	-605	57.3825	-39.725	5.8275
278	784	-636	47.4513	-43.7675	2.87875
290	778	-688	33.2763	-44.4938	2.96625
307	782	-744	18.9438	-40.32	3.815
362	796	-780	3.08	-26.6963	1.6625
296	806	-756	-14.3413	-4.13875	0.14
326	763	-726	-29.8375	12.8188	-0.28
308	763	-671	-39.3925	30.6338	0.9275
322	755	-631	-46.6463	43.2425	2.0475
311	761	-578	-51.0563	55.0025	-0.23625
313	770	-522	-53.6375	61.4863	-0.63875
320	789	-475	-55.3613	63.4988	0.98
314	777	-425	-56.2013	62.6763	3.045
364	801	-369	-53.6813	60.9263	1.9425
341	792	-312	-51.6688	60.6988	0.42875
410	824	-274	-47.67	56.665	1.715
379	819	-235	-44.1525	58.3975	4.655
454	879	-209	-41.6238	57.7238	3.9725
378	836	-161	-45.4213	62.2825	1.86375
426	877	-107	-46.3663	55.475	4.1825
452	883	-78	-49.8575	53.9788	2.345
439	850	-34	-55.3	55.9738	0.0525
435	827	34	-56.4725	53.725	2.03875
434	826	85	-53.3313	50.925	2.42375
415	828	141	-50.5575	46.7688	2.40625
382	775	211	-46.2175	40.495	-1.40875
324	747	287	-32.1038	29.2688	-6.4225
276	742	331	-13.5538	9.51125	-5.94125
358	731	304	7.595	-10.4913	-3.98125
330	774	259	27.9038	-21.28	0.44625
359	803	194	42.385	-35.0613	2.5025
406	827	131	51.4675	-44.9838	1.23375
423	834	70	54.9063	-48.685	1.9425
429	823	5	57.365	-51.0475	2.135
473	859	-71	60.41	-49.8838	2.14375
388	881	-123	58.0388	-47.8713	3.17625
480	891	-163	51.6688	-51.9488	1.575
409	821	-186	45.535	-45.5613	-2.26625
401	788	-222	50.2163	-46.76	-3.255
403	816	-275	57.0238	-48.7638	1.8025
386	828	-310	57.68	-51.2313	6.02
412	779	-361	56.2888	-52.43	5.71375
358	721	-409	60.305	-50.19	5.81875
407	736	-462	68.4688	-53.1913	7
392	732	-533	70.6825	-49.6125	8.6625
342	787	-588	65.8525	-48.02	9.73875
429	796	-636	52.5438	-48.2038	10.9725
377	741	-676	37.9138	-38.3163	10.5788
369	741	-704	25.6113	-31.5788	7.55125
399	750	-722	11.9788	-22.365	4.13
359	733	-729	-1.82875	-8.44375	1.365
415	771	-749	-14.98	3.955	-1.12
401	808	-722	-31.5	24.0275	-4.9875
380	766	-664	-48.5713	40.4163	-4.75125
394	741	-609	-59.1588	52.71	-4.1125
327	716	-533	-64.2338	60.69	-5.0925
359	745	-471	-64.4613	57.4963	-4.73375
372	766	-413	-64.0938	56.0788	-3.31625
377	781	-361	-62.9038	52.5088	0.42875
448	799	-303	-59.8413	49.91	-0.09625
418	776	-254	-56.9188	52.9375	-2.73
454	822	-212	-51.8525	51.8613	-6.11625
423	816	-165	-50.3563	53.1388	-5.425
469	862	-125	-48.51	51.2225	-2.9925
466	861	-94	-50.6538	55.5538	-6.4225
445	851	-53	-53.7775	58.2575	-8.4525
463	857	9	-54.9675	57.9688	-10.1063
511	848	28	-55.9738	61.95	-8.75875
290	781	105	-53.2875	68.8888	-3.605
297	771	236	-39.655	50.015	-7.0525
295	759	284	-24.22	29.5488	-5.985
315	808	282	-7.39375	11.5325	-2.3625
290	834	274	3.6225	-2.8175	0.3325
330	814	258	11.4275	-18.4538	2.63375
348	813	220	21.14	-29.4263	4.59375
370	794	168	31.465	-38.9113	6.32625
388	814	128	41.7638	-46.2088	5.0225
405	795	67	49.2975	-52.885	0.77
482	825	0	56.3325	-55.055	-1.54
379	819	-54	60.0775	-50.3738	-3.0625
392	856	-121	64.925	-56.5513	-4.40125
362	850	-180	64.8463	-61.2325	-6.60625
387	852	-241	64.7238	-66.6925	-7.65625
372	843	-291	63.315	-67.445	-4.2525
366	857	-347	61.4163	-67.8213	-1.88125
415	843	-399	57.5225	-62.6413	2.5375
272	806	-427	54.8188	-53.8213	9.37125
378	804	-473	54.1713	-60.0513	16.5725
356	749	-505	50.6363	-55.5888	22.715
275	742	-541	49.525	-55.0025	23.765
404	754	-599	46.1125	-60.8388	24.01
351	756	-649	38.08	-50.4175	20.8163
345	807	-698	25.1913	-44.6163	15.2688
439	761	-747	8.015	-33.4338	8.5225
364	763	-730	-4.73375	-8.11125	0.805
399	759	-739	-16.2575	9.87	-4.05125
387	797	-709	-27.7988	33.9588	-8.6975
350	754	-648	-40.705	51.94	-7.385
