A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
12	959	-265	-1.5925	-11.5238	9.7475
9	957	-265	-18.9263	-8.74125	-8.05875
12	961	-266	-31.0975	-10.5438	-15.5313
4	955	-264	-31.1238	-14	-5.71375
11	959	-262	-21.8575	-21.7263	5.95
8	961	-259	-13.0025	-28.1838	13.2388
0	954	-259	-8.68875	-30.24	18.3838
7	957	-260	-8.21625	-29.7413	18.7075
6	958	-265	-9.2575	-29.5925	12.6788
16	963	-268	-10.36	-28.6213	8.91625
12	955	-267	-14.0088	-25.8038	6.64125
6	952	-269	-16.03	-24.815	2.6425
-1	950	-276	-16.0738	-25.3225	-1.89
4	951	-283	-17.3075	-26.5825	-6.58875
10	953	-290	-18.8388	-25.0863	-2.17875
4	959	-294	-13.3175	-27.9563	10.8325
8	964	-294	-1.25125	-37.31	18.235
3	953	-292	5.6875	-50.5838	1.25125
2	950	-286	4.78625	-57.61	-23.5463
-2	949	-275	4.62875	-51.5463	-31.0538
-10	956	-258	8.6625	-38.185	-18.1213
-21	975	-231	11.9438	-28.315	-3.955
17	1010	-206	9.31	-22.2075	2.835
22	988	-162	5.50375	-17.955	6.37875
10	956	-130	4.43625	-16.0038	7.27125
-2	958	-108	6.125	-11.1825	8.8725
-12	983	-94	7.98	-5.0575	10.8063
-42	984	-87	6.85125	-1.2425	9.91375
-63	974	-89	7	0.98875	6.44875
-26	954	-118	8.33875	1.70625	2.52
28	1002	-165	11.865	-1.4175	4.10375
34	990	-198	9.94	-2.52	13.0375
40	965	-233	-1.6975	1.77625	11.445
25	947	-268	-17.7538	6.08125	-6.34375
67	957	-297	-29.4875	9.40625	-18.725
36	957	-314	-30.94	9.2575	-12.3025
-16	944	-325	-24.5088	4.36625	1.30375
-17	947	-330	-17.2375	-2.3275	10.885
-10	946	-334	-11.69	-6.46625	14.7875
-1	934	-335	-9.1875	-7.00875	14.5338
18	942	-336	-8.365	-5.80125	13.72
13	933	-333	-7.385	-5.145	13.9038
34	918	-330	-8.8375	-6.5975	13.02
30	912	-336	-12.1713	-7.4025	11.4363
48	931	-345	-13.7463	-8.4525	9.0475
49	937	-356	-12.8538	-12.3288	4.06
32	937	-358	-10.3163	-12.7838	9.415
17	904	-372	-8.19	-6.755	25.515
50	935	-386	-6.825	-4.3225	29.0588
58	955	-375	-3.9025	-12.8888	7.56875
71	966	-365	3.605	-21.49	-16.5988
96	970	-343	13.3875	-21.0263	-25.515
92	943	-312	19.2588	-13.9563	-18.8475
65	908	-274	19.0838	-4.8125	-7.13125
56	882	-253	14.4638	-0.51625	-0.83125
77	904	-250	9.65125	0.6475	3.21125
42	964	-255	7.72625	2.555	5.6525
-19	967	-263	8.84625	3.21125	6.67625
-104	956	-267	13.055	2.1175	9.065
-111	983	-273	16.4325	-1.46125	8.42625
-124	988	-273	18.55	-5.3725	4.48875
-129	1063	-252	15.54	-4.80375	2.52875
-48	1002	-234	17.22	-5.80125	1.51375
-30	937	-214	23.4325	-6.5975	6.7725
54	969	-214	15.9075	-0.4025	5.48625
98	972	-214	-3.0975	5.24125	-13.6325
72	986	-203	-24.185	10.8413	-26.0138
12	964	-201	-35.0788	13.0375	-17.5
89	935	-216	-30.4938	7.35875	-2.2575
35	957	-225	-21.0175	-0.63875	10.4825
