Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	
5107	2105	-386	-531	1027.240	-188.368	-259.128	-1426	-1604	226	-99.820	-112.280	15.820	1602	31.258	
15429	2086	-345	-607	1017.968	-168.360	-296.216	-1399	-1580	241	-97.930	-110.600	16.870	1602	31.258	
25752	2039	-326	-634	995.032	-159.088	-309.392	-1369	-1551	257	-95.830	-108.570	17.990	1597	31.238	
36074	2026	-298	-655	988.688	-145.424	-319.640	-1334	-1516	267	-93.380	-106.120	18.690	1597	31.238	
46397	2079	-274	-728	1014.552	-133.712	-355.264	-1291	-1473	272	-90.370	-103.110	19.040	1591	31.215	
56719	2074	-238	-771	1012.112	-116.144	-376.248	-1242	-1426	275	-86.940	-99.820	19.250	1591	31.215	
67041	2039	-215	-804	995.032	-104.920	-392.352	-1187	-1372	271	-83.090	-96.040	18.970	1594	31.227	
77363	1997	-207	-842	974.536	-101.016	-410.896	-1128	-1313	257	-78.960	-91.910	17.990	1594	31.227	
87685	1951	-195	-868	952.088	-95.160	-423.584	-1066	-1249	241	-74.620	-87.430	16.870	1600	31.250	
98007	1921	-175	-903	937.448	-85.400	-440.664	-1004	-1184	232	-70.280	-82.880	16.240	1600	31.250	
108329	1907	-166	-933	930.616	-81.008	-455.304	-943	-1119	239	-66.010	-78.330	16.730	1600	31.250	
118651	1874	-160	-956	914.512	-78.080	-466.528	-882	-1054	256	-61.740	-73.780	17.920	1600	31.250	
128973	1835	-151	-965	895.480	-73.688	-470.920	-822	-987	288	-57.540	-69.090	20.160	1606	31.273	
139295	1811	-138	-980	883.768	-67.344	-478.240	-764	-918	335	-53.480	-64.260	23.450	1606	31.273	
149617	1805	-118	-1009	880.840	-57.584	-492.392	-708	-850	394	-49.560	-59.500	27.580	1593	31.223	
159940	1800	-106	-1044	878.400	-51.728	-509.472	-655	-785	449	-45.850	-54.950	31.430	1593	31.223	
170262	1763	-127	-1030	860.344	-61.976	-502.640	-606	-725	483	-42.420	-50.750	33.810	1595	31.230	
180585	1744	-146	-996	851.072	-71.248	-486.048	-564	-671	486	-39.480	-46.970	34.020	1595	31.230	
190907	1745	-143	-1018	851.560	-69.784	-496.784	-527	-623	469	-36.890	-43.610	32.830	1598	31.242	
201229	1749	-141	-1034	853.512	-68.808	-504.592	-495	-582	438	-34.650	-40.740	30.660	1598	31.242	
211551	1770	-151	-1020	863.760	-73.688	-497.760	-467	-548	396	-32.690	-38.360	27.720	1605	31.270	
221873	1781	-177	-1012	869.128	-86.376	-493.856	-441	-521	343	-30.870	-36.470	24.010	1605	31.270	
232195	1802	-175	-983	879.376	-85.400	-479.704	-418	-499	291	-29.260	-34.930	20.370	1593	31.223	
242517	1850	-191	-958	902.800	-93.208	-467.504	-397	-482	251	-27.790	-33.740	17.570	1593	31.223	
252839	1868	-198	-928	911.584	-96.624	-452.864	-378	-471	223	-26.460	-32.970	15.610	1599	31.246	
263161	1863	-219	-924	909.144	-106.872	-450.912	-360	-462	204	-25.200	-32.340	14.280	1599	31.246	
273483	1848	-234	-951	901.824	-114.192	-464.088	-343	-451	195	-24.010	-31.570	13.650	1602	31.258	
283805	1820	-238	-967	888.160	-116.144	-471.896	-325	-436	203	-22.750	-30.520	14.210	1602	31.258	
294128	1790	-232	-965	873.520	-113.216	-470.920	-307	-416	230	-21.490	-29.120	16.100	1595	31.230	
304450	1797	-238	-987	876.936	-116.144	-481.656	-286	-391	272	-20.020	-27.370	19.040	1595	31.230	
314773	1790	-236	-986	873.520	-115.168	-481.168	-265	-366	319	-18.550	-25.620	22.330	1606	31.273	
325095	1767	-211	-959	862.296	-102.968	-467.992	-242	-340	363	-16.940	-23.800	25.410	1606	31.273	
335417	1760	-187	-975	858.880	-91.256	-475.800	-216	-311	394	-15.120	-21.770	27.580	1597	31.238	
345739	1756	-161	-1014	856.928	-78.568	-494.832	-189	-282	410	-13.230	-19.740	28.700	1597	31.238	
356061	1739	-133	-1003	848.632	-64.904	-489.464	-158	-251	411	-11.060	-17.570	28.770	1597	31.238	
366383	1742	-109	-993	850.096	-53.192	-484.584	-124	-221	403	-8.680	-15.470	28.210	1597	31.238	
376705	1743	-87	-993	850.584	-42.456	-484.584	-89	-193	386	-6.230	-13.510	27.020	1596	31.234	
387027	1733	-84	-990	845.704	-40.992	-483.120	-51	-165	362	-3.570	-11.550	25.340	1596	31.234	
397349	1725	-82	-993	841.800	-40.016	-484.584	-14	-139	330	-0.980	-9.730	23.100	1601	31.254	
407671	1726	-82	-1010	842.288	-40.016	-492.880	23	-112	296	1.610	-7.840	20.720	1601	31.254	
417993	1724	-74	-1012	841.312	-36.112	-493.856	61	-87	264	4.270	-6.090	18.480	1597	31.238	
428316	1720	-91	-1023	839.360	-44.408	-499.224	99	-63	234	6.930	-4.410	16.380	1597	31.238	
438638	1730	-112	-1034	844.240	-54.656	-504.592	136	-40	210	9.520	-2.800	14.700	1596	31.234	
448961	1762	-123	-1046	859.856	-60.024	-510.448	171	-20	197	11.970	-1.400	13.790	1596	31.234	
459283	1784	-121	-1036	870.592	-59.048	-505.568	207	-3	201	14.490	-0.210	14.070	1595	31.230	
469605	1788	-139	-1041	872.544	-67.832	-508.008	241	11	220	16.870	0.770	15.400	1595	31.230	
479927	1774	-160	-1051	865.712	-78.080	-512.888	274	25	244	19.180	1.750	17.080	1594	31.227	
490249	1750	-174	-1057	854.000	-84.912	-515.816	305	38	264	21.350	2.660	18.480	1594	31.227	
500571	1741	-182	-1061	849.608	-88.816	-517.768	334	53	278	23.380	3.710	19.460	1602	31.258	
510893	1731	-205	-1068	844.728	-100.040	-521.184	361	67	289	25.270	4.690	20.230	1602	31.258	
521215	1725	-239	-1096	841.800	-116.632	-534.848	389	81	305	27.230	5.670	21.350	1604	31.266	
531537	1721	-248	-1124	839.848	-121.024	-548.512	415	97	336	29.050	6.790	23.520	1604	31.266	
