Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	
7195	-177	1715	1075	-86.376	836.920	524.600	-13	38	41	-0.910	2.660	2.870	1589	31.207	
17517	-191	1723	1077	-93.208	840.824	525.576	-14	37	47	-0.980	2.590	3.290	1589	31.207	
27839	-190	1724	1069	-92.720	841.312	521.672	-13	37	57	-0.910	2.590	3.990	1603	31.262	
38161	-193	1718	1076	-94.184	838.384	525.088	-11	36	65	-0.770	2.520	4.550	1603	31.262	
48483	-197	1721	1080	-96.136	839.848	527.040	-10	35	79	-0.700	2.450	5.530	1585	31.191	
58805	-192	1724	1085	-93.696	841.312	529.480	-8	33	91	-0.560	2.310	6.370	1585	31.191	
69128	-183	1726	1087	-89.304	842.288	530.456	-7	29	100	-0.490	2.030	7.000	1600	31.250	
79450	-183	1719	1086	-89.304	838.872	529.968	-6	25	108	-0.420	1.750	7.560	1600	31.250	
89773	-176	1712	1076	-85.888	835.456	525.088	-7	20	115	-0.490	1.400	8.050	1586	31.195	
100095	-180	1696	1071	-87.840	827.648	522.648	-10	14	116	-0.700	0.980	8.120	1586	31.195	
110417	-165	1664	1072	-80.520	812.032	523.136	-16	8	108	-1.120	0.560	7.560	1594	31.227	
120739	-154	1648	1080	-75.152	804.224	527.040	-26	3	99	-1.820	0.210	6.930	1594	31.227	
131061	-144	1640	1071	-70.272	800.320	522.648	-36	-2	106	-2.520	-0.140	7.420	1600	31.250	
141383	-149	1641	1068	-72.712	800.808	521.184	-48	-7	122	-3.360	-0.490	8.540	1600	31.250	
151705	-149	1647	1059	-72.712	803.736	516.792	-55	-12	135	-3.850	-0.840	9.450	1592	31.219	
162027	-146	1650	1060	-71.248	805.200	517.280	-60	-18	141	-4.200	-1.260	9.870	1592	31.219	
172349	-146	1683	1066	-71.248	821.304	520.208	-61	-22	151	-4.270	-1.540	10.570	1589	31.207	
182671	-160	1731	1083	-78.080	844.728	528.504	-56	-23	173	-3.920	-1.610	12.110	1589	31.207	
192993	-165	1787	1094	-80.520	872.056	533.872	-47	-24	198	-3.290	-1.680	13.860	1601	31.254	
203315	-192	1818	1120	-93.696	887.184	546.560	-32	-23	219	-2.240	-1.610	15.330	1601	31.254	
213637	-220	1886	1146	-107.360	920.368	559.248	-15	-18	236	-1.050	-1.260	16.520	1586	31.195	
223960	-249	1947	1172	-121.512	950.136	571.936	6	-11	243	0.420	-0.770	17.010	1586	31.195	
234282	-296	1994	1168	-144.448	973.072	569.984	29	0	219	2.030	0.000	15.330	1596	31.234	
