Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	
2250	1028	1674	-575	501.664	816.912	-280.600	12	22	-21	0.840	1.540	-1.470	1547	31.043	
12572	1021	1679	-581	498.248	819.352	-283.528	7	22	-13	0.490	1.540	-0.910	1554	31.070	
22894	1017	1680	-580	496.296	819.840	-283.040	3	23	-2	0.210	1.610	-0.140	1554	31.070	
33216	1014	1688	-573	494.832	823.744	-279.624	0	23	9	0.000	1.610	0.630	1556	31.078	
43538	1029	1695	-576	502.152	827.160	-281.088	-1	23	18	-0.070	1.610	1.260	1556	31.078	
53860	1031	1710	-574	503.128	834.480	-280.112	-2	19	24	-0.140	1.330	1.680	1539	31.012	
64182	1035	1718	-568	505.080	838.384	-277.184	-2	15	29	-0.140	1.050	2.030	1539	31.012	
74504	1025	1722	-562	500.200	840.336	-274.256	1	12	31	0.070	0.840	2.170	1554	31.070	
84826	1014	1727	-561	494.832	842.776	-273.768	2	9	32	0.140	0.630	2.240	1554	31.070	
95149	1013	1738	-571	494.344	848.144	-278.648	5	10	34	0.350	0.700	2.380	1552	31.063	
105471	1011	1729	-568	493.368	843.752	-277.184	7	12	35	0.490	0.840	2.450	1552	31.063	
115793	1004	1724	-566	489.952	841.312	-276.208	8	14	35	0.560	0.980	2.450	1549	31.051	
126115	995	1712	-559	485.560	835.456	-272.792	9	17	33	0.630	1.190	2.310	1549	31.051	
136437	983	1703	-569	479.704	831.064	-277.672	7	21	28	0.490	1.470	1.960	1546	31.039	
146759	973	1691	-568	474.824	825.208	-277.184	5	24	22	0.350	1.680	1.540	1546	31.039	
157081	969	1682	-567	472.872	820.816	-276.696	3	28	17	0.210	1.960	1.190	1548	31.047	
167403	980	1695	-573	478.240	827.160	-279.624	2	31	9	0.140	2.170	0.630	1548	31.047	
177725	988	1693	-572	482.144	826.184	-279.136	1	32	-2	0.070	2.240	-0.140	1548	31.047	
188047	1006	1701	-569	490.928	830.088	-277.672	1	33	-15	0.070	2.310	-1.050	1548	31.047	
198369	1012	1701	-569	493.856	830.088	-277.672	2	33	-24	0.140	2.310	-1.680	1548	31.047	
208691	1020	1699	-567	497.760	829.112	-276.696	4	32	-28	0.280	2.240	-1.960	1548	31.047	
219014	1024	1700	-576	499.712	829.600	-281.088	6	31	-27	0.420	2.170	-1.890	1540	31.016	
229336	1026	1686	-581	500.688	822.768	-283.528	6	30	-21	0.420	2.100	-1.470	1540	31.016	
239658	1022	1678	-566	498.736	818.864	-276.208	6	31	-8	0.420	2.170	-0.560	1555	31.074	
249980	1022	1676	-573	498.736	817.888	-279.624	6	31	8	0.420	2.170	0.560	1555	31.074	
260302	1019	1668	-584	497.272	813.984	-284.992	7	31	20	0.490	2.170	1.400	1546	31.039	
270625	1022	1660	-571	498.736	810.080	-278.648	6	31	24	0.420	2.170	1.680	1546	31.039	
280947	1022	1665	-572	498.736	812.520	-279.136	4	31	24	0.280	2.170	1.680	1546	31.039	
291269	1027	1666	-577	501.176	813.008	-281.576	3	31	18	0.210	2.170	1.260	1546	31.039	
301591	1028	1672	-577	501.664	815.936	-281.576	2	31	8	0.140	2.170	0.560	1548	31.047	
311913	1037	1672	-579	506.056	815.936	-282.552	2	30	-3	0.140	2.100	-0.210	1548	31.047	
322235	1047	1680	-582	510.936	819.840	-284.016	2	29	-11	0.140	2.030	-0.770	1540	31.016	
332557	1050	1694	-572	512.400	826.672	-279.136	3	28	-13	0.210	1.960	-0.910	1540	31.016	
342879	1056	1703	-576	515.328	831.064	-281.088	4	27	-4	0.280	1.890	-0.280	1544	31.031	
353201	1054	1694	-587	514.352	826.672	-286.456	8	26	8	0.560	1.820	0.560	1544	31.031	
363523	1055	1693	-567	514.840	826.184	-276.696	9	25	26	0.630	1.750	1.820	1550	31.055	
373845	1061	1706	-569	517.768	832.528	-277.672	12	24	46	0.840	1.680	3.220	1550	31.055	
384167	1054	1704	-573	514.352	831.552	-279.624	14	22	62	0.980	1.540	4.340	1548	31.047	
394490	1040	1699	-578	507.520	829.112	-282.064	16	20	71	1.120	1.400	4.970	1548	31.047	
404812	1029	1683	-587	502.152	821.304	-286.456	17	20	71	1.190	1.400	4.970	1547	31.043	
415134	1015	1678	-590	495.320	818.864	-287.920	18	21	64	1.260	1.470	4.480	1547	31.043	
425456	1014	1672	-591	494.832	815.936	-288.408	19	23	52	1.330	1.610	3.640	1543	31.027	
