Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	
2811	1940	-88	479	946.720	-42.944	233.752	-418	134	265	-29.260	9.380	18.550	1701	31.645	
13134	1943	-99	481	948.184	-48.312	234.728	-406	136	298	-28.420	9.520	20.860	1701	31.645	
23456	1933	-120	502	943.304	-58.560	244.976	-397	138	317	-27.790	9.660	22.190	1697	31.629	
33778	1930	-124	525	941.840	-60.512	256.200	-387	141	313	-27.090	9.870	21.910	1697	31.629	
44100	1937	-115	548	945.256	-56.120	267.424	-379	145	290	-26.530	10.150	20.300	1690	31.602	
54422	1952	-97	562	952.576	-47.336	274.256	-369	148	259	-25.830	10.360	18.130	1690	31.602	
64745	1962	-78	549	957.456	-38.064	267.912	-356	153	234	-24.920	10.710	16.380	1694	31.617	
75067	1981	-70	539	966.728	-34.160	263.032	-341	157	217	-23.870	10.990	15.190	1694	31.617	
85390	1997	-60	528	974.536	-29.280	257.664	-324	160	205	-22.680	11.200	14.350	1695	31.621	
95712	2014	-57	513	982.832	-27.816	250.344	-305	162	192	-21.350	11.340	13.440	1695	31.621	
106034	2009	-45	505	980.392	-21.960	246.440	-282	161	177	-19.740	11.270	12.390	1690	31.602	
116356	2010	-30	505	980.880	-14.640	246.440	-259	159	157	-18.130	11.130	10.990	1690	31.602	
126678	2019	-25	502	985.272	-12.200	244.976	-231	154	138	-16.170	10.780	9.660	1688	31.594	
137001	2015	-27	500	983.320	-13.176	244.000	-203	148	118	-14.210	10.360	8.260	1688	31.594	
147323	2005	-28	499	978.440	-13.664	243.512	-173	140	99	-12.110	9.800	6.930	1699	31.637	
157646	2025	-45	497	988.200	-21.960	242.536	-141	131	85	-9.870	9.170	5.950	1699	31.637	
167968	2028	-65	498	989.664	-31.720	243.024	-108	121	79	-7.560	8.470	5.530	1690	31.602	
178290	2022	-60	517	986.736	-29.280	252.296	-77	110	83	-5.390	7.700	5.810	1690	31.602	
188612	2030	-67	535	990.640	-32.696	261.080	-44	99	94	-3.080	6.930	6.580	1693	31.613	
198934	2016	-100	549	983.808	-48.800	267.912	-12	89	101	-0.840	6.230	7.070	1693	31.613	
209257	1994	-133	561	973.072	-64.904	273.768	17	80	100	1.190	5.600	7.000	1698	31.633	
