Timestamp [us]	A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [LSB]	G_Y [LSB]	G_Z [LSB]	G_X [dps]	G_Y [dps]	G_Z [dps]	T [LSB]	T [degC]	
7911	525	1860	691	256.200	907.680	337.208	59	142	45	4.130	9.940	3.150	1806	32.055	
18233	549	1882	714	267.912	918.416	348.432	72	146	50	5.040	10.220	3.500	1806	32.055	
28555	562	1882	748	274.256	918.416	365.024	85	148	46	5.950	10.360	3.220	1801	32.035	
38877	558	1872	788	272.304	913.536	384.544	93	148	44	6.510	10.360	3.080	1801	32.035	
49200	567	1877	818	276.696	915.976	399.184	97	148	49	6.790	10.360	3.430	1793	32.004	
59522	565	1882	848	275.720	918.416	413.824	97	148	54	6.790	10.360	3.780	1793	32.004	
69844	588	1882	857	286.944	918.416	418.216	95	148	56	6.650	10.360	3.920	1807	32.059	
80167	592	1870	861	288.896	912.560	420.168	89	146	50	6.230	10.220	3.500	1807	32.059	
90489	591	1841	867	288.408	898.408	423.096	80	144	34	5.600	10.080	2.380	1800	32.031	
100811	595	1814	847	290.360	885.232	413.336	65	140	10	4.550	9.800	0.700	1800	32.031	
111134	597	1788	839	291.336	872.544	409.432	48	135	-20	3.360	9.450	-1.400	1796	32.016	
121457	596	1770	831	290.848	863.760	405.528	29	130	-44	2.030	9.100	-3.080	1796	32.016	
131779	594	1747	829	289.872	852.536	404.552	7	124	-62	0.490	8.680	-4.340	1796	32.016	
142101	587	1727	820	286.456	842.776	400.160	-14	118	-80	-0.980	8.260	-5.600	1796	32.016	
152424	593	1718	797	289.384	838.384	388.936	-32	111	-102	-2.240	7.770	-7.140	1797	32.020	
162746	593	1716	773	289.384	837.408	377.224	-50	102	-118	-3.500	7.140	-8.260	1797	32.020	
173068	581	1710	758	283.528	834.480	369.904	-65	92	-118	-4.550	6.440	-8.260	1800	32.031	
183391	581	1718	752	283.528	838.384	366.976	-76	82	-102	-5.320	5.740	-7.140	1800	32.031	
193713	603	1743	742	294.264	850.584	362.096	-83	72	-76	-5.810	5.040	-5.320	1794	32.008	
204035	602	1766	743	293.776	861.808	362.584	-83	60	-46	-5.810	4.200	-3.220	1794	32.008	
214358	590	1792	747	287.920	874.496	364.536	-79	48	-16	-5.530	3.360	-1.120	1802	32.039	
224680	589	1812	736	287.432	884.256	359.168	-71	36	11	-4.970	2.520	0.770	1802	32.039	
235002	602	1830	732	293.776	893.040	357.216	-60	23	33	-4.200	1.610	2.310	1799	32.027	
245325	599	1845	735	292.312	900.360	358.680	-47	11	56	-3.290	0.770	3.920	1799	32.027	
255648	594	1862	725	289.872	908.656	353.800	-31	-1	83	-2.170	-0.070	5.810	1804	32.047	
265970	596	1880	725	290.848	917.440	353.800	-15	-10	111	-1.050	-0.700	7.770	1804	32.047	
276292	585	1892	716	285.480	923.296	349.408	1	-17	134	0.070	-1.190	9.380	1805	32.051	
286615	585	1897	702	285.480	925.736	342.576	16	-21	151	1.120	-1.470	10.570	1805	32.051	
296937	572	1905	705	279.136	929.640	344.040	30	-23	160	2.100	-1.610	11.200	1811	32.074	
307259	565	1902	696	275.720	928.176	339.648	43	-22	159	3.010	-1.540	11.130	1811	32.074	
317582	559	1894	683	272.792	924.272	333.304	55	-19	144	3.850	-1.330	10.080	1806	32.055	
327904	553	1884	680	269.864	919.392	331.840	64	-14	120	4.480	-0.980	8.400	1806	32.055	
338226	559	1887	664	272.792	920.856	324.032	70	-6	95	4.900	-0.420	6.650	1802	32.039	
348549	566	1877	647	276.208	915.976	315.736	75	1	71	5.250	0.070	4.970	1802	32.039	
358872	564	1869	646	275.232	912.072	315.248	78	8	54	5.460	0.560	3.780	1806	32.055	
369194	573	1877	643	279.624	915.976	313.784	80	15	46	5.600	1.050	3.220	1806	32.055	
379516	580	1877	636	283.040	915.976	310.368	82	20	45	5.740	1.400	3.150	1816	32.094	
389839	579	1876	629	282.552	915.488	306.952	87	22	45	6.090	1.540	3.150	1816	32.094	
400161	583	1876	631	284.504	915.488	307.928	91	21	44	6.370	1.470	3.080	1807	32.059	
410483	591	1868	628	288.408	911.584	306.464	96	18	43	6.720	1.260	3.010	1807	32.059	
420806	597	1855	631	291.336	905.240	307.928	97	13	44	6.790	0.910	3.080	1800	32.031	
431128	605	1856	634	295.240	905.728	309.392	99	6	48	6.930	0.420	3.360	1800	32.031	
441450	616	1852	638	300.608	903.776	311.344	97	-3	54	6.790	-0.210	3.780	1805	32.051	
451773	618	1855	648	301.584	905.240	316.224	96	-14	61	6.720	-0.980	4.270	1805	32.051	
462096	619	1849	646	302.072	902.312	315.248	94	-26	69	6.580	-1.820	4.830	1809	32.066	
472418	631	1856	649	307.928	905.728	316.712	91	-38	80	6.370	-2.660	5.600	1809	32.066	
482740	626	1845	666	305.488	900.360	325.008	87	-51	93	6.090	-3.570	6.510	1812	32.078	
493063	626	1848	676	305.488	901.824	329.888	81	-62	110	5.670	-4.340	7.700	1812	32.078	
503385	619	1847	693	302.072	901.336	338.184	73	-74	127	5.110	-5.180	8.890	1807	32.059	
513707	624	1845	696	304.512	900.360	339.648	65	-84	133	4.550	-5.880	9.310	1807	32.059	
524030	619	1834	693	302.072	894.992	338.184	55	-95	124	3.850	-6.650	8.680	1803	32.043	
534352	621	1822	693	303.048	889.136	338.184	43	-106	106	3.010	-7.420	7.420	1803	32.043	
544674	617	1815	684	301.096	885.720	333.792	32	-115	89	2.240	-8.050	6.230	1809	32.066	
554997	609	1794	676	297.192	875.472	329.888	18	-122	79	1.260	-8.540	5.530	1809	32.066	
565319	606	1779	671	295.728	868.152	327.448	5	-127	74	0.350	-8.890	5.180	1813	32.082	
575641	602	1774	670	293.776	865.712	326.960	-9	-132	68	-0.630	-9.240	4.760	1813	32.082	
585964	609	1771	661	297.192	864.248	322.568	-24	-137	60	-1.680	-9.590	4.200	1811	32.074	
596287	622	1774	660	303.536	865.712	322.080	-37	-143	52	-2.590	-10.010	3.640	1811	32.074	
606609	626	1771	669	305.488	864.248	326.472	-53	-149	52	-3.710	-10.430	3.640	1806	32.055	
616931	622	1761	670	303.536	859.368	326.960	-67	-156	63	-4.690	-10.920	4.410	1806	32.055	
627254	624	1766	661	304.512	861.808	322.568	-83	-163	83	-5.810	-11.410	5.810	1808	32.063	
637576	636	1761	672	310.368	859.368	327.936	-101	-171	106	-7.070	-11.970	7.420	1808	32.063	
647898	641	1767	683	312.808	862.296	333.304	-121	-180	129	-8.470	-12.600	9.030	1802	32.039	
658221	645	1773	695	314.760	865.224	339.160	-140	-190	145	-9.800	-13.300	10.150	1802	32.039	
668543	630	1776	699	307.440	866.688	341.112	-160	-201	146	-11.200	-14.070	10.220	1807	32.059	
678865	617	1766	684	301.096	861.808	333.792	-179	-212	134	-12.530	-14.840	9.380	1807	32.059	
689188	605	1747	671	295.240	852.536	327.448	-202	-222	115	-14.140	-15.540	8.050	1813	32.082	
699511	618	1708	666	301.584	833.504	325.008	-230	-230	97	-16.100	-16.100	6.790	1813	32.082	
709833	635	1696	653	309.880	827.648	318.664	-262	-239	87	-18.340	-16.730	6.090	1805	32.051	
720155	638	1690	666	311.344	824.720	325.008	-298	-248	90	-20.860	-17.360	6.300	1805	32.051	
730478	650	1692	664	317.200	825.696	324.032	-334	-257	107	-23.380	-17.990	7.490	1808	32.063	
740800	658	1706	680	321.104	832.528	331.840	-368	-267	133	-25.760	-18.690	9.310	1808	32.063	
751122	680	1729	694	331.840	843.752	338.672	-399	-278	163	-27.930	-19.460	11.410	1815	32.090	
761445	698	1754	728	340.624	855.952	355.264	-426	-290	191	-29.820	-20.300	13.370	1815	32.090	
771767	690	1772	755	336.720	864.736	368.440	-447	-303	216	-31.290	-21.210	15.120	1820	32.109	
782089	688	1783	756	335.744	870.104	368.928	-465	-315	231	-32.550	-22.050	16.170	1820	32.109	
792411	713	1817	767	347.944	886.696	374.296	-478	-326	229	-33.460	-22.820	16.030	1817	32.098	
802734	734	1861	777	358.192	908.168	379.176	-484	-336	214	-33.880	-23.520	14.980	1817	32.098	
813056	742	1902	801	362.096	928.176	390.888	-481	-345	199	-33.670	-24.150	13.930	1809	32.066	
823378	749	1932	832	365.512	942.816	406.016	-470	-353	190	-32.900	-24.710	13.300	1809	32.066	
833701	761	1953	857	371.368	953.064	418.216	-450	-361	178	-31.500	-25.270	12.460	1811	32.074	
844023	760	1946	872	370.880	949.648	425.536	-424	-369	154	-29.680	-25.830	10.780	1811	32.074	
854345	768	1923	862	374.784	938.424	420.656	-397	-376	117	-27.790	-26.320	8.190	1806	32.055	
864668	786	1904	849	383.568	929.152	414.312	-370	-381	73	-25.900	-26.670	5.110	1806	32.055	
874991	803	1896	849	391.864	925.248	414.312	-343	-386	33	-24.010	-27.020	2.310	1813	32.082	
885313	814	1884	845	397.232	919.392	412.360	-316	-391	4	-22.120	-27.370	0.280	1813	32.082	
895635	827	1874	859	403.576	914.512	419.192	-288	-393	-10	-20.160	-27.510	-0.700	1812	32.078	
905958	823	1853	858	401.624	904.264	418.704	-260	-396	-16	-18.200	-27.720	-1.120	1812	32.078	
916280	824	1844	850	402.112	899.872	414.800	-233	-397	-15	-16.310	-27.790	-1.050	1810	32.070	
926602	803	1822	827	391.864	889.136	403.576	-207	-397	-13	-14.490	-27.790	-0.910	1810	32.070	
936925	796	1802	792	388.448	879.376	386.496	-184	-394	-19	-12.880	-27.580	-1.330	1812	32.078	
947247	791	1780	773	386.008	868.640	377.224	-163	-388	-33	-11.410	-27.160	-2.310	1812	32.078	
957569	794	1755	751	387.472	856.440	366.488	-144	-381	-47	-10.080	-26.670	-3.290	1819	32.105	
967892	788	1735	748	384.544	846.680	365.024	-131	-370	-48	-9.170	-25.900	-3.360	1819	32.105	
978215	781	1729	755	381.128	843.752	368.440	-120	-356	-35	-8.400	-24.920	-2.450	1808	32.063	
988537	784	1714	740	382.592	836.432	361.120	-111	-341	-16	-7.770	-23.870	-1.120	1808	32.063	
998859	775	1704	738	378.200	831.552	360.144	-105	-323	-3	-7.350	-22.610	-0.210	1813	32.082	
1009182	777	1692	737	379.176	825.696	359.656	-102	-306	-8	-7.140	-21.420	-0.560	1813	32.082	
1019504	787	1691	739	384.056	825.208	360.632	-99	-288	-25	-6.930	-20.160	-1.750	1819	32.105	
1029826	801	1681	756	390.888	820.328	368.928	-97	-271	-48	-6.790	-18.970	-3.360	1819	32.105	
1040149	805	1683	775	392.840	821.304	378.200	-97	-254	-66	-6.790	-17.780	-4.620	1814	32.086	
1050471	811	1686	786	395.768	822.768	383.568	-95	-239	-74	-6.650	-16.730	-5.180	1814	32.086	
1060793	827	1690	799	403.576	824.720	389.912	-93	-226	-78	-6.510	-15.820	-5.460	1802	32.039	
1071116	836	1699	808	407.968	829.112	394.304	-91	-215	-78	-6.370	-15.050	-5.460	1802	32.039	
1081439	841	1711	820	410.408	834.968	400.160	-86	-208	-78	-6.020	-14.560	-5.460	1807	32.059	
1091761	835	1709	822	407.480	833.992	401.136	-80	-202	-77	-5.600	-14.140	-5.390	1807	32.059	
1102083	841	1713	841	410.408	835.944	410.408	-72	-198	-76	-5.040	-13.860	-5.320	1811	32.074	
1112406	842	1724	855	410.896	841.312	417.240	-64	-196	-80	-4.480	-13.720	-5.600	1811	32.074	
1122728	832	1727	848	406.016	842.776	413.824	-55	-197	-89	-3.850	-13.790	-6.230	1808	32.063	
1133050	839	1714	852	409.432	836.432	415.776	-47	-198	-104	-3.290	-13.860	-7.280	1808	32.063	
1143373	852	1710	853	415.776	834.480	416.264	-39	-202	-125	-2.730	-14.140	-8.750	1821	32.113	
1153696	845	1693	839	412.360	826.184	409.432	-35	-207	-146	-2.450	-14.490	-10.220	1821	32.113	
1164018	832	1687	841	406.016	823.256	410.408	-32	-214	-156	-2.240	-14.980	-10.920	1796	32.016	
1174340	838	1672	849	408.944	815.936	414.312	-32	-222	-152	-2.240	-15.540	-10.640	1796	32.016	
1184663	856	1657	856	417.728	808.616	417.728	-32	-233	-138	-2.240	-16.310	-9.660	1818	32.102	
1194985	866	1652	887	422.608	806.176	432.856	-33	-247	-119	-2.310	-17.290	-8.330	1818	32.102	
1205307	844	1632	894	411.872	796.416	436.272	-39	-265	-102	-2.730	-18.550	-7.140	1819	32.105	
1215630	839	1638	880	409.432	799.344	429.440	-47	-283	-98	-3.290	-19.810	-6.860	1819	32.105	
1225952	868	1704	870	423.584	831.552	424.560	-55	-304	-115	-3.850	-21.280	-8.050	1820	32.109	
1236274	838	1679	903	408.944	819.352	440.664	-61	-326	-139	-4.270	-22.820	-9.730	1820	32.109	
1246597	838	1650	892	408.944	805.200	435.296	-69	-347	-162	-4.830	-24.290	-11.340	1805	32.051	
1256920	821	1646	865	400.648	803.248	422.120	-81	-365	-184	-5.670	-25.550	-12.880	1805	32.051	
1267242	861	1642	849	420.168	801.296	414.312	-95	-382	-207	-6.650	-26.740	-14.490	1808	32.063	
1277564	877	1654	809	427.976	807.152	394.792	-110	-399	-231	-7.700	-27.930	-16.170	1808	32.063	
1287887	833	1648	808	406.504	804.224	394.304	-125	-417	-239	-8.750	-29.190	-16.730	1815	32.090	
1298209	763	1619	791	372.344	790.072	386.008	-142	-431	-222	-9.940	-30.170	-15.540	1815	32.090	
1308531	762	1666	880	371.856	813.008	429.440	-160	-436	-176	-11.200	-30.520	-12.320	1809	32.066	
1318854	817	1674	793	398.696	816.912	386.984	-174	-443	-157	-12.180	-31.010	-10.990	1809	32.066	
1329176	787	1699	786	384.056	829.112	383.568	-187	-453	-183	-13.090	-31.710	-12.810	1804	32.047	
1339498	760	1705	807	370.880	832.040	393.816	-197	-461	-240	-13.790	-32.270	-16.800	1804	32.047	
