A_X [mg]	A_Y [mg]	A_Z [mg]
-319	35	-25
-532	250	-7
-257	379	248
-185	357	264
-48	167	301
-36	-568	378
-2490	-2331	-1122
-2295	-2801	-1521
-803	-1799	-608
-248	-1254	-329
-72	-800	-339
338	-450	-179
508	-251	-249
919	-31	-502
531	-62	-379
355	-1168	-572
-848	-3238	-1297
-1980	-3494	-1242
-1405	-1718	-670
-566	-399	132
-447	-77	246
-341	182	166
-483	358	147
-53	460	357
-188	355	382
488	118	416
-1048	-1352	-515
-2722	-3141	-1201
-1391	-2583	-876
-222	-1495	-226
115	-923	-174
208	-508	-224
356	-316	-255
472	-287	-253
591	-228	-618
303	-461	-585
405	-1596	-909
-600	-2961	-1010
-1402	-2967	-775
-815	-1540	-549
-405	-548	160
-220	-40	276
-380	284	122
-376	417	233
-138	467	412
-203	279	327
149	-398	55
-1621	-2137	-799
-2132	-3184	-1091
-868	-2251	-790
79	-1273	-396
226	-718	-231
396	-405	-180
410	-267	-195
692	-184	-462
331	-436	-424
59	-1390	-583
-166	-2674	-1094
-1201	-3108	-578
-1106	-1945	-295
-309	-599	104
-217	-99	202
-261	190	158
-506	315	177
-145	371	281
-356	261	200
67	-142	237
-420	-1287	-230
-2533	-2897	-881
-1522	-2537	-706
-298	-1597	-92
-165	-1224	-165
-100	-732	-242
181	-373	-208
519	-216	-267
833	-181	-422
367	-362	-302
381	-1321	-636
-419	-2893	-1350
-1427	-3271	-884
-1125	-1866	-618
-501	-533	39
-308	-13	183
-343	260	128
-491	360	223
-194	395	313
-291	243	175
218	-214	274
-1061	-1592	-579
-2448	-3064	-940
-1469	-2591	-208
-312	-1551	57
-41	-940	-96
282	-556	-127
254	-509	-143
545	-367	-474
570	-152	-628
384	-430	-244
295	-1780	-743
-859	-3368	-819
-1465	-3061	-701
-936	-1369	-347
-281	-254	202
-233	182	163
-436	429	120
-265	495	306
-130	426	384
-121	129	311
82	-702	-34
-1950	-2377	-710
-2308	-3059	-846
-895	-2060	-400
-161	-1209	-127
77	-610	-95
403	-337	-158
510	-382	-291
754	-400	-418
528	-393	-533
157	-1518	-853
-952	-3140	-1207
-1585	-3132	-1323
-1180	-1607	-825
-541	-394	98
-324	104	41
-430	288	96
-624	316	259
-270	319	422
-332	259	153
10	-189	308
-558	-1338	-120
-2361	-2702	-1516
-1497	-2380	-1396
-288	-1514	-351
0	-1046	-183
92	-610	-223
303	-349	-65
514	-310	-187
599	-268	-366
345	-664	-405
-77	-1999	-960
-937	-3001	-1285
-1115	-2489	-1005
-617	-1216	-182
-222	-417	258
-147	32	40
-481	274	90
-423	373	265
-152	381	248
-329	128	277
235	-551	185
-1865	-2129	-867
-2373	-3004	-1030
-881	-2100	-492
-148	-1273	-170
117	-683	-181
346	-384	-202
518	-308	-307
788	-232	-495
412	-396	-347
220	-1477	-621
-708	-2813	-1240
-1280	-2961	-1045
-843	-1786	-649
-431	-735	145
-291	-136	78
-300	210	48
-530	366	94
-134	424	300
-387	294	85
-6	-258	110
-640	-1606	-248
-2334	-3004	-1061
-1344	-2418	-853
-124	-1386	-163
95	-899	-166
172	-501	-156
298	-328	-53
482	-330	-268
490	-362	-421
342	-735	-320
145	-2076	-892
-1058	-3252	-952
-1452	-2670	-541
-608	-1081	52
-298	-243	291
-116	188	130
-423	389	83
-271	465	307
-172	390	221
84	55	307
-570	-1089	-235
-2276	-2783	-992
-1631	-2836	-641
-666	-1817	-221
10	-942	-13
195	-457	-53
243	-214	-159
485	-174	-260
776	-259	-461
294	-522	-352
311	-1707	-826
-685	-3204	-1175
-1692	-3255	-418
-956	-1681	-600
-368	-462	55
-353	-16	212
-402	298	84
-469	413	160
-109	395	418
-385	243	221
323	-124	371
-598	-1349	-167
-2699	-2973	-956
-1650	-2656	-782
-347	-1589	-243
54	-926	-24
331	-431	-23
480	-247	-112
738	-299	-349
667	-354	-498
218	-1050	-594
-315	-2420	-1090
-1174	-3086	-801
-1095	-2285	-668
-461	-1032	-127
-305	-378	305
-219	61	162
-416	314	163
-367	423	318
-159	409	334
-399	50	46
172	-899	121
-1470	-2454	-424
-2126	-2847	-1196
-593	-1806	-603
-80	-1244	104
-129	-829	-115
128	-484	-109
423	-320	-221
780	-254	-510
486	-301	-516
357	-1164	-468
-198	-2550	-1256
-1080	-3218	-901
-1146	-2317	-622
-561	-864	-13
-397	-144	290
-359	240	151
-485	416	204
-76	426	396
-294	319	203
-132	-180	159
-247	-1358	11
-2374	-2953	-614
-1642	-2565	-880
-93	-1451	-233
-42	-1062	3
95	-591	-142
333	-383	-120
534	-345	-398
685	-321	-711
306	-677	-491
-54	-1940	-803
-834	-2962	-893
-1036	-2697	-788
-651	-1501	-464
-494	-601	187
-347	-22	223
-421	256	127
-496	334	195
-229	377	269
-365	179	153
224	-363	321
-1192	-1863	-511
-2257	-3063	-960
-944	-2298	-468
-92	-1422	-233
-40	-922	-187
187	-491	-162
333	-347	-214
637	-296	-393
451	-221	-473
453	-812	-348
-14	-2366	-952
-1284	-3336	-697
-1209	-2385	-304
-349	-937	135
-304	-276	286
-271	163	201
-550	357	248
-199	411	365
-305	267	170
-41	-147	142
-100	-1017	-22
-1815	-2451	-684
-1697	-2764	-449
-454	-1857	-21
-34	-1213	-103
-8	-800	-146
295	-449	-238
606	-417	-396
741	-376	-635
456	-521	-446
98	-1797	-700
-851	-3138	-1065
-1516	-3072	-853
-1044	-1448	-205
-330	-252	289
-228	115	99
-304	338	51
-331	327	142
-117	302	226
-383	123	149
140	-394	99
-1316	-1896	-320
-2222	-2962	-592
-1081	-2188	-479
-160	-1370	-85
-71	-887	-81
165	-523	-186
346	-401	-353
697	-323	-553
472	-258	-517
290	-990	-460
-313	-2524	-1041
-1529	-3481	-787
-1723	-2441	-339
-758	-730	90
-424	3	67
-374	266	155
-492	358	139
-152	414	274
-195	359	294
-135	-62	268
-228	-1064	16
-2192	-2592	-699
-1810	-2649	-503
-582	-1729	-227
-158	-1202	-40
169	-761	-56
343	-527	-305
589	-346	-365
617	-206	-535
204	-528	-349
22	-1822	-778
-749	-2921	-938
-1141	-2624	-520
-600	-1280	-163
-122	-388	220
-127	-11	101
-368	255	20
-442	316	71
-71	279	331
-380	45	250
172	-657	7
-1709	-2248	-607
-2498	-2995	-898
-750	-1845	-432
8	-1039	-94
14	-655	-174
318	-368	-125
570	-310	-236
770	-272	-555
439	-367	-550
88	-1472	-640
-665	-2920	-912
-1423	-3051	-892
-1049	-1722	-429
-226	-551	236
-197	-170	269
-204	97	220
-556	245	104
-141	333	291
-386	195	200
106	-258	208
-912	-1595	-546
-2458	-3056	-1066
-1195	-2389	-489
-109	-1340	-95
86	-879	-157
286	-528	-194
302	-363	-359
656	-274	-464
610	-241	-600
272	-701	-335
183	-2199	-914
-941	-3433	-1023
-1578	-2709	-666
-647	-890	-131
-181	-95	331
-136	155	174
-410	302	30
-264	310	184
-194	246	283
-249	1	198
305	-741	57
-1847	-2337	-624
-1986	-2812	-887
-696	-1945	-303
-196	-1333	-37
38	-813	-147
370	-485	-104
543	-328	-219
797	-213	-258
477	-448	-145
-24	-1838	-838
-1022	-3311	-971
-1677	-3030	-491
-890	-1218	-330
-142	-260	184
-176	-107	297
-242	148	131
-446	276	105
-44	388	263
-286	240	163
342	-260	215
-1036	-1683	-272
-2183	-2933	-704
-1240	-2435	-403
-311	-1519	149
18	-928	-4
88	-535	-98
255	-300	-100
615	-238	-336
640	-171	-670
527	-534	-450
142	-2057	-917
-1308	-3428	-1036
-1768	-2776	-674
-593	-1062	-33
-241	-399	391
-176	-48	240
-381	227	83
-376	357	127
-120	363	211
-155	134	228
517	-422	327
-1566	-2106	-592
-2346	-3172	-990
-804	-2241	-280
-57	-1320	106
138	-700	-121
399	-365	-177
407	-264	-402
806	-112	-685
525	-138	-485
609	-779	-219
-27	-2523	-1252
-1618	-3660	-1024
-1169	-2488	-547
-360	-990	-94
-257	-324	421
-126	178	239
-415	430	79
-166	487	312
-213	460	300
8	128	298
-166	-931	36
-2275	-2945	-663
-2046	-3230	-739
-409	-1800	-330
192	-913	51
436	-440	-93
428	-345	-231
554	-389	-418
661	-334	-713
245	-656	-410
76	-1896	-785
-872	-3114	-1204
-1251	-2787	-824
-492	-1313	-72
-286	-438	325
-210	34	123
-375	304	127
-492	414	250
-133	384	257
-271	124	135
210	-593	187
-1314	-2140	-409
-2314	-3074	-716
-915	-2160	-333
-61	-1353	-41
-130	-967	-204
163	-542	-108
386	-331	-251
866	-280	-493
648	-185	-532
560	-737	-379
53	-2320	-917
-1252	-3498	-884
-1556	-2687	-822
-652	-997	-91
-399	-182	236
-234	229	109
-461	402	136
-182	459	356
-245	345	216
252	-47	346
-429	-1176	12
-2340	-2928	-753
-1585	-2748	-513
-404	-1548	-128
27	-909	-1
79	-520	-47
238	-344	-183
577	-391	-377
608	-389	-666
454	-522	-459
286	-1694	-748
-791	-2996	-757
-1584	-2937	-604
-836	-1270	-204
-174	-335	228
-215	-112	121
-304	94	199
-527	192	208
-164	255	340
-474	157	197
292	-221	353
-684	-1464	-125
-2401	-2711	-883
-1206	-2097	-634
-352	-1463	-16
-358	-1243	-58
-294	-822	-151
401	-340	-74
989	-424	-526
1067	-352	-642
510	-800	-738
168	-2557	-1418
-1272	-3827	-973
-1604	-2751	-1074
-647	-1126	36
-714	-206	264
-554	455	-185
-659	594	76
-117	603	439
-363	390	108
-63	-83	273
-510	-1358	59
-2471	-3160	-661
-1329	-2762	110
-104	-1497	276
11	-961	-153
263	-577	-154
373	-490	-331
911	-405	-752
680	-370	-593
345	-1014	-542
-350	-2840	-961
-1895	-3797	-447
-1421	-2159	-281
-457	-494	226
-78	35	333
-83	253	127
-559	303	35
-220	421	249
-346	346	107
-253	-31	153
53	-1010	125
-2189	-2960	-718
-1939	-3019	-541
-212	-1578	100
52	-1016	15
125	-624	-92
340	-421	-187
670	-372	-509
862	-280	-692
199	-536	-301
382	-1628	-776
-622	-3234	-1165
