A_X [mg]	A_Y [mg]	A_Z [mg]
9	913	-379
-575	481	-172
-956	461	-61
-894	430	32
-698	696	99
726	1022	117
2667	2202	-471
3658	1930	-180
1897	667	-208
768	-402	-295
436	-772	131
572	-1025	400
563	-1123	350
777	-636	178
2097	-239	-214
4016	1768	-524
2726	1908	-544
1033	1349	-643
114	868	-373
-473	586	-234
-952	506	-67
-1037	428	26
-725	758	84
284	869	3
2673	2171	-392
4021	2299	-85
2058	770	-20
825	-190	-124
431	-698	228
472	-1082	490
372	-1296	317
625	-797	212
2067	-346	-101
4314	2654	-614
2811	2056	-500
1144	1496	-612
34	854	-284
-564	439	-167
-1099	501	-54
-1082	519	40
-850	720	-78
5	980	80
2188	1979	-506
4320	2592	-239
2580	1036	-53
825	56	-112
361	-638	203
442	-932	458
405	-1327	287
515	-971	245
1692	-503	-77
4312	1218	-326
3398	2669	-482
1269	1758	-676
47	1046	-457
-585	514	-226
-1208	412	-127
-1217	556	0
-823	802	-68
67	999	35
2227	2062	-593
3860	2486	-329
2533	1212	-160
1012	-30	-162
637	-580	140
706	-922	448
470	-1326	356
603	-855	250
1769	-355	-113
3935	1380	-593
3026	2342	-540
1327	1643	-740
251	992	-462
-512	564	-273
-1116	484	-127
-1174	507	-40
-835	716	-72
215	1115	85
2300	1992	-470
3978	2405	-119
2474	1088	-103
861	-8	-121
510	-499	-30
553	-761	169
385	-1227	311
478	-1030	374
1203	-551	61
2871	-152	-977
3888	2659	-488
1773	1723	-732
326	1157	-505
-380	605	-265
-948	404	-173
-1044	427	-40
-843	592	-164
-310	960	51
1295	1526	-257
3472	2563	-355
3302	1731	-99
1346	491	-75
635	-297	-22
738	-673	238
645	-1104	315
583	-1044	426
823	-532	279
2325	-139	36
4494	2402	-330
2702	2106	-490
734	1596	-667
-119	942	-516
-1060	703	-280
-1732	563	-65
-1417	772	-129
-699	988	5
533	1372	-164
3216	3172	-814
4163	2555	-102
1979	951	-18
824	-232	23
656	-596	381
609	-1034	418
488	-1069	457
757	-486	383
1886	-252	13
4458	2152	-566
3118	2622	-811
937	2000	-997
-224	1207	-676
-962	594	-383
-1519	411	-154
-1323	578	-69
-733	865	-11
322	1284	53
2524	2720	-572
4055	2597	-164
2125	1001	-66
855	-244	-118
814	-709	301
804	-1046	475
537	-1193	437
749	-633	341
1726	-189	-43
4039	1954	-513
3266	2759	-710
1153	1992	-733
-129	1173	-539
-884	480	-211
-1414	373	-49
-1259	516	42
-717	746	-41
309	1220	9
2446	2480	-557
3779	2495	-409
2270	1204	-40
944	-75	-63
800	-578	228
728	-898	365
615	-1216	349
781	-750	386
1370	-304	132
3561	1035	-487
3300	2727	-483
1349	1690	-799
182	995	-544
-434	439	-296
-871	357	-113
-908	465	34
-770	593	-30
-188	1011	105
1516	1657	-348
3620	2529	-277
2967	1553	42
1277	261	-50
721	-464	48
657	-750	308
377	-1130	324
438	-964	346
838	-514	240
2506	-1	-111
3988	2362	-315
2200	1510	-539
657	1115	-458
-174	560	-269
-598	453	-192
-876	529	54
-791	558	43
-476	831	150
915	1106	-129
3107	2364	-471
3579	2009	215
1716	582	-128
719	-412	-171
544	-738	284
440	-1054	370
368	-1194	324
892	-615	248
2358	-133	-18
4021	2301	-285
