A_X [mg]	A_Y [mg]	A_Z [mg]
219	-260	925
237	-245	942
261	-295	927
264	-258	947
265	-293	935
278	-274	930
281	-257	933
408	-105	943
407	-4	838
426	-16	648
385	-158	519
299	-378	564
265	-669	634
261	-680	658
274	-760	742
272	-758	648
263	-730	560
286	-792	549
296	-755	486
281	-823	442
345	-896	380
403	-918	383
447	-1004	318
487	-968	332
475	-974	296
481	-962	298
440	-916	242
429	-975	263
423	-948	301
419	-958	277
426	-917	289
423	-916	311
420	-856	208
444	-906	284
444	-908	280
488	-1030	323
473	-893	335
446	-909	328
405	-942	313
364	-886	327
339	-879	394
318	-877	369
323	-878	390
310	-836	343
351	-866	418
350	-800	371
431	-822	349
378	-910	369
314	-846	318
322	-902	376
293	-930	394
328	-854	441
331	-857	436
346	-836	420
350	-851	396
322	-859	427
335	-840	439
342	-830	433
354	-829	447
358	-814	460
348	-810	449
350	-837	467
352	-811	473
359	-784	499
357	-807	477
353	-785	491
357	-805	500
355	-788	488
354	-820	441
350	-798	443
394	-754	523
351	-871	447
345	-843	419
331	-827	433
364	-801	469
350	-838	439
342	-885	421
357	-801	446
353	-837	439
348	-849	438
349	-825	419
379	-831	444
361	-820	438
340	-844	445
356	-797	500
361	-795	475
379	-786	519
345	-790	435
340	-851	422
358	-815	492
361	-808	506
356	-792	467
358	-758	455
400	-729	511
328	-931	343
326	-959	293
314	-901	408
350	-811	415
371	-857	369
368	-849	379
360	-845	401
350	-848	412
335	-852	391
370	-852	435
386	-765	460
344	-835	414
358	-803	460
354	-846	476
363	-833	446
335	-822	404
357	-821	450
370	-826	395
366	-840	482
342	-818	439
352	-815	401
362	-812	439
350	-910	384
347	-859	433
339	-818	465
345	-791	433
358	-756	430
424	-756	541
394	-881	498
290	-1090	85
274	-877	133
277	-840	326
398	-857	404
348	-847	426
320	-858	492
323	-851	423
307	-907	398
372	-780	464
350	-786	449
359	-829	439
335	-838	468
293	-823	498
314	-859	386
362	-810	364
387	-793	488
304	-928	393
308	-914	386
313	-800	466
327	-840	383
381	-751	488
346	-851	469
294	-952	344
308	-832	406
314	-870	436
381	-780	475
361	-826	444
310	-835	413
316	-865	387
315	-871	407
347	-843	468
362	-790	522
319	-824	366
339	-754	452
327	-785	488
327	-997	203
310	-1166	61
310	-1179	28
362	-1260	345
321	-1211	632
277	-973	715
346	-613	699
416	-413	668
403	-342	705
380	-308	738
344	-255	755
331	-223	748
314	-215	731
323	-226	806
327	-198	785
334	-205	852
320	-202	867
290	-176	862
290	-204	902
267	-222	881
296	-217	938
315	-211	928
323	-187	941
314	-183	926
308	-204	925
320	-224	939
304	-224	919
301	-216	928
295	-228	916
296	-227	913
301	-233	940
290	-224	935
287	-216	939
301	-230	945
295	-234	910
302	-236	939
293	-236	913
292	-231	905
300	-235	943
286	-236	917
291	-245	928
289	-254	936
289	-249	915
284	-246	923
282	-251	921
283	-245	913
282	-246	917
278	-252	920
278	-250	914
285	-270	935
276	-263	912
276	-257	914
279	-250	915
299	-250	906
329	-232	833
364	-238	709
389	-359	641
413	-424	614
415	-433	566
392	-576	518
336	-777	562
276	-977	533
184	-1045	433
190	-1117	329
117	-1157	209
130	-1138	222
176	-1048	224
265	-997	246
370	-976	403
410	-746	396
537	-766	592
517	-816	463
369	-909	374
329	-833	494
308	-824	525
311	-802	507
348	-783	521
342	-815	523
324	-819	482
359	-770	527
338	-790	520
338	-787	513
329	-786	506
351	-787	532
338	-802	495
345	-800	507
358	-772	566
331	-787	461
319	-820	483
378	-788	456
369	-737	564
347	-798	531
298	-911	372
329	-828	486
360	-802	487
359	-825	451
354	-792	474
333	-796	499
370	-741	508
357	-794	546
336	-834	466
325	-859	453
330	-833	477
402	-715	508
401	-761	491
339	-800	527
286	-928	416
338	-818	452
385	-750	553
355	-792	488
366	-758	510
340	-810	482
352	-805	428
351	-835	492
335	-798	491
366	-792	489
345	-765	494
345	-854	440
341	-858	427
335	-846	460
333	-811	475
368	-771	500
370	-800	483
358	-787	462
348	-783	444
346	-801	535
315	-892	449
355	-831	470
333	-827	461
387	-783	504
346	-800	492
344	-793	471
337	-773	505
352	-831	404
362	-821	489
327	-882	444
355	-793	517
319	-799	508
360	-812	458
340	-775	485
349	-855	430
363	-767	494
340	-778	475
357	-806	473
307	-913	433
321	-851	427
359	-824	480
336	-859	396
347	-822	460
338	-785	468
377	-795	488
362	-820	459
337	-807	505
322	-817	447
341	-812	390
385	-811	518
339	-861	401
329	-877	423
305	-831	464
350	-851	420
380	-804	452
349	-826	443
348	-790	423
358	-780	502
357	-823	490
314	-917	355
320	-850	428
346	-821	456
348	-866	382
349	-849	416
357	-791	446
368	-836	484
346	-811	480
348	-825	448
336	-824	414
351	-833	409
357	-827	497
347	-855	402
329	-873	405
329	-840	428
358	-865	418
373	-787	426
356	-844	392
370	-753	484
354	-802	509
293	-969	285
334	-874	387
351	-822	433
352	-869	376
346	-857	393
370	-791	463
342	-841	427
363	-801	476
339	-831	379
346	-822	421
343	-856	447
338	-881	402
334	-850	415
352	-832	435
354	-828	412
346	-840	398
374	-816	424
338	-834	481
330	-847	441
338	-812	439
378	-768	466
353	-775	454
313	-890	298
313	-994	161
326	-958	135
353	-971	172
329	-919	105
348	-946	146
346	-985	77
348	-942	73
345	-952	71
343	-933	6
349	-949	10
347	-943	76
367	-926	54
386	-946	72
370	-937	54
378	-937	52
385	-900	89
423	-937	164
420	-885	163
410	-910	223
401	-879	212
409	-875	264
409	-818	367
372	-829	334
379	-787	350
323	-804	434
415	-811	561
468	-733	461
530	-722	534
520	-689	488
551	-709	540
516	-644	531
543	-697	498
550	-657	475
566	-710	453
568	-683	440
597	-693	470
599	-679	424
628	-647	443
616	-654	426
602	-685	429
596	-681	409
611	-679	417
622	-652	415
628	-673	412
620	-674	406
614	-677	407
617	-693	407
612	-680	412
617	-677	409
611	-676	399
621	-685	407
606	-687	390
612	-696	407
618	-670	407
618	-695	397
613	-673	408
611	-696	395
610	-684	395
620	-689	404
613	-682	389
616	-689	404
607	-696	402
608	-680	395
621	-690	407
618	-677	402
614	-687	396
609	-684	398
615	-693	403
612	-687	397
612	-674	407
619	-683	401
615	-689	402
618	-684	402
606	-690	396
621	-677	414
616	-683	397
619	-687	400
611	-679	399
619	-688	400
614	-679	392
618	-686	401
616	-679	405
622	-683	398
618	-684	401
617	-679	396
614	-686	397
618	-685	408
619	-685	401
617	-677	394
622	-693	401
613	-681	398
620	-682	400
615	-685	400
617	-680	400
614	-687	401
612	-675	403
618	-684	398
613	-680	406
619	-681	403
615	-679	394
621	-683	405
614	-681	402
619	-688	403
615	-675	401
617	-680	399
611	-681	401
618	-686	404
614	-681	400
620	-689	404
620	-672	407
621	-685	409
612	-673	395
618	-690	402
613	-683	399
621	-678	405
621	-680	399
618	-681	403
618	-687	403
614	-687	401
619	-671	405
619	-681	398
619	-680	403
618	-684	401
617	-683	398
619	-684	404
617	-677	397
617	-681	405
617	-689	401
610	-679	397
620	-684	403
612	-683	397
620	-681	406
610	-683	399
619	-683	405
611	-688	398
619	-680	405
614	-685	402
618	-678	407
612	-684	405
611	-683	404
613	-682	405
618	-671	405
617	-688	403
609	-681	407
615	-681	405
615	-685	408
614	-680	406
615	-685	401
612	-675	407
618	-689	405
610	-676	402
618	-678	409
607	-688	400
614	-683	409
617	-680	399
615	-689	407
613	-674	407
615	-694	407
607	-679	402
619	-685	404
613	-681	399
617	-687	402
610	-682	398
616	-686	408
611	-679	402
612	-684	403
612	-682	410
615	-681	398
617	-689	405
614	-681	400
617	-691	405
609	-678	405
616	-686	402
610	-677	399
618	-689	399
612	-680	393
619	-684	403
618	-690	401
613	-681	398
618	-690	408
610	-684	399
615	-685	402
611	-684	397
612	-681	401
617	-689	401
611	-684	397
619	-683	402
616	-691	394
617	-680	401
615	-688	397
609	-681	392
616	-689	405
622	-684	396
618	-684	396
618	-682	396
617	-686	399
618	-687	395
615	-684	397
617	-682	394
621	-688	395
608	-687	392
623	-684	403
614	-686	397
620	-681	404
615	-685	391
617	-682	396
621	-690	398
617	-680	394
619	-686	400
618	-687	395
618	-685	395
618	-682	396
617	-680	397
620	-683	399
616	-686	398
615	-686	403
618	-682	399
619	-685	394
612	-684	404
615	-685	398
609	-681	399
615	-682	400
617	-689	401
614	-688	404
615	-681	404
613	-683	399
615	-686	405
616	-682	401
613	-686	398
615	-681	407
616	-686	403
614	-677	401
622	-692	406
609	-681	397
613	-683	407
613	-682	399
619	-685	409
613	-677	402
616	-694	407
608	-673	399
618	-687	403
613	-677	399
616	-686	413
610	-684	396
614	-681	402
611	-687	402
617	-679	408
614	-684	401
611	-683	406
614	-682	403
619	-691	403
611	-677	402
621	-686	404
613	-681	401
623	-684	408
610	-686	397
618	-679	409
608	-683	394
620	-682	406
610	-682	391
622	-689	409
610	-683	397
618	-689	404
616	-679	399
619	-686	402
610	-678	397
624	-690	394
611	-685	397
620	-676	396
620	-690	402
612	-683	402
624	-687	397
617	-685	394
619	-685	399
618	-682	399
620	-682	396
613	-685	389
619	-681	398
621	-684	395
617	-682	396
617	-680	394
619	-691	400
619	-685	398
618	-684	397
611	-689	402
613	-674	394
624	-685	402
612	-678	395
618	-685	399
613	-682	398
614	-686	399
618	-689	395
616	-684	398
620	-685	402
612	-685	397
618	-685	403
613	-685	393
616	-689	400
614	-682	397
618	-688	401
611	-682	394
618	-691	399
613	-689	400
616	-682	402
617	-688	402
612	-681	398
614	-688	399
609	-691	396
614	-682	399
619	-686	403
615	-686	402
612	-684	397
613	-683	401
617	-691	396
614	-680	401
619	-685	399
614	-686	401
615	-682	397
619	-689	400
609	-681	398
620	-684	403
612	-686	396
617	-682	396
615	-686	397
616	-688	401
611	-685	397
614	-684	402
614	-683	397
615	-687	403
617	-688	397
613	-683	395
619	-685	398
614	-684	395
615	-694	400
621	-685	395
614	-680	394
616	-690	401
611	-687	395
617	-687	390
617	-684	392
619	-688	393
615	-690	395
618	-687	397
617	-689	394
615	-688	394
614	-685	398
