A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-423.096 	 894.992 	 -104.432 	1.47 	 -1.75 	 -0.21 	
-402.112 	 921.832 	 -115.656 	2.52 	 -4.06 	 0.14 	
-377.712 	 934.032 	 -112.24 	1.05 	 -3.78 	 1.4 	
-370.88 	 919.392 	 -106.384 	-1.75 	 -0.14 	 1.54 	
-387.472 	 908.168 	 -101.016 	-2.94 	 2.45 	 0.28 	
-402.6 	 904.264 	 -97.112 	-2.38 	 2.24 	 -0.28 	
-407.968 	 908.656 	 -94.672 	-0.56 	 0.7 	 -0.07 	
-401.136 	 914.512 	 -99.552 	1.05 	 -0.63 	 1.33 	
-398.208 	 937.448 	 -101.504 	0.98 	 -1.33 	 5.04 	
-386.008 	 939.4 	 -99.552 	0.14 	 -0.7 	 13.79 	
-363.072 	 927.688 	 -104.92 	0.63 	 0.07 	 36.12 	
-349.896 	 956.48 	 -102.968 	2.52 	 3.71 	 70.84 	
-331.352 	 964.288 	 -107.848 	2.38 	 5.67 	 87.36 	
-243.512 	 959.408 	 -111.264 	-1.4 	 5.32 	 73.85 	
-170.312 	 926.712 	 -103.944 	-4.2 	 4.06 	 42.14 	
-145.912 	 955.504 	 -101.992 	-7.91 	 3.15 	 -1.96 	
-167.384 	 941.84 	 -90.28 	-10.5 	 2.52 	 -53.9 	
-303.048 	 903.776 	 -71.248 	-12.53 	 -1.33 	 -108.78 	
-338.672 	 925.736 	 -83.936 	-12.46 	 -6.23 	 -129.99 	
-353.312 	 1037 	 -77.592 	-8.82 	 -8.75 	 -72.87 	
-486.048 	 907.68 	 -57.584 	-3.71 	 -4.41 	 9.52 	
-366.976 	 875.472 	 -67.344 	7.35 	 0.07 	 56.21 	
-232.288 	 965.752 	 -58.56 	19.25 	 10.92 	 96.39 	
-341.112 	 955.992 	 -70.272 	19.6 	 16.94 	 106.26 	
-218.136 	 928.664 	 -92.72 	15.33 	 8.33 	 83.65 	
-152.256 	 972.096 	 -101.992 	7.21 	 0.63 	 38.08 	
-159.576 	 1010.65 	 -112.24 	-5.81 	 -5.25 	 -26.39 	
-248.392 	 995.032 	 -109.312 	-18.27 	 -8.61 	 -77.35 	
-242.536 	 875.472 	 -116.632 	-21.14 	 -13.93 	 -106.75 	
-203.496 	 1030.66 	 -81.984 	-12.74 	 -0.77 	 -66.36 	
-372.344 	 936.96 	 -81.984 	-3.36 	 17.22 	 -1.68 	
-336.232 	 951.6 	 -87.352 	9.24 	 16.52 	 71.68 	
-366.488 	 1010.16 	 -75.152 	14.28 	 12.25 	 114.17 	
-213.256 	 936.472 	 -88.816 	8.82 	 4.34 	 98.56 	
-98.576 	 938.912 	 -95.16 	2.31 	 -1.82 	 43.47 	
-87.352 	 923.296 	 -108.336 	-3.85 	 -5.53 	 -28.21 	
-137.128 	 975.512 	 -99.552 	-9.45 	 -7.42 	 -83.79 	
-185.44 	 934.52 	 -95.16 	-13.65 	 -8.47 	 -125.72 	
-206.912 	 946.72 	 -100.528 	-11.9 	 -0.63 	 -122.99 	
-378.2 	 998.448 	 -73.2 	-3.22 	 15.33 	 -47.88 	
-523.136 	 937.936 	 -81.008 	3.64 	 19.32 	 10.57 	
-399.184 	 959.896 	 -81.984 	7.07 	 17.5 	 41.23 	
-410.896 	 939.888 	 -95.16 	4.06 	 19.53 	 48.44 	
