A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
40.016 	 964.288 	 -162.016 	4.13 	 5.32 	 -0.7 	
30.744 	 973.072 	 -181.048 	4.9 	 3.22 	 -2.1 	
61 	 1000.89 	 -183.976 	4.69 	 0.91 	 -0.77 	
71.736 	 971.608 	 -174.704 	2.59 	 1.4 	 0.07 	
61.488 	 965.264 	 -164.944 	1.96 	 2.87 	 1.12 	
56.608 	 993.568 	 -148.84 	1.26 	 2.24 	 -0.21 	
50.752 	 994.056 	 -150.304 	-1.19 	 1.82 	 -1.26 	
48.8 	 991.128 	 -147.376 	-3.08 	 0.56 	 -1.96 	
41.968 	 969.656 	 -141.52 	-3.71 	 -0.14 	 -2.87 	
53.68 	 962.824 	 -142.496 	-2.66 	 -0.28 	 -3.78 	
78.08 	 982.832 	 -155.184 	-1.4 	 1.75 	 -2.52 	
86.864 	 971.12 	 -154.696 	-0.91 	 7.77 	 -0.56 	
81.008 	 975.024 	 -150.792 	-0.28 	 12.81 	 0 	
64.416 	 976.488 	 -152.256 	0.77 	 15.89 	 -1.33 	
19.032 	 978.44 	 -148.84 	1.47 	 15.19 	 -3.78 	
26.352 	 976.976 	 -147.864 	1.96 	 11.34 	 -3.92 	
28.792 	 990.64 	 -154.696 	2.38 	 7.7 	 -2.73 	
47.824 	 973.072 	 -149.816 	1.96 	 6.86 	 -2.87 	
48.8 	 975.024 	 -153.232 	2.17 	 6.72 	 -2.45 	
35.624 	 985.76 	 -148.84 	2.66 	 5.95 	 -1.82 	
26.84 	 994.056 	 -151.768 	1.19 	 4.2 	 -2.52 	
32.696 	 994.544 	 -141.032 	-0.21 	 1.61 	 -1.68 	
39.04 	 971.608 	 -146.4 	-1.26 	 0 	 -0.21 	
47.824 	 969.168 	 -142.008 	-0.21 	 -1.4 	 0.28 	
36.112 	 981.368 	 -141.52 	1.33 	 -1.33 	 -0.35 	
43.432 	 982.344 	 -142.008 	1.75 	 -1.4 	 -1.12 	
235.704 	 939.4 	 -164.456 	4.34 	 10.01 	 -3.01 	
262.544 	 900.848 	 -183.488 	14.07 	 42.14 	 -7.07 	
160.064 	 890.112 	 -238.144 	24.22 	 76.79 	 -19.25 	
-168.848 	 1087.75 	 -196.176 	29.05 	 76.58 	 -19.81 	
-464.576 	 1191.7 	 -164.456 	8.33 	 30.87 	 -3.5 	
-469.456 	 1086.29 	 -161.04 	-20.93 	 -56.7 	 14.77 	
-127.368 	 950.136 	 -218.624 	-37.1 	 -122.43 	 23.52 	
98.088 	 934.032 	 -221.552 	-36.19 	 -146.23 	 30.1 	
345.992 	 901.336 	 -203.008 	-28.14 	 -130.06 	 28.98 	
770.552 	 796.416 	 -196.664 	-9.03 	 -55.93 	 10.43 	
659.288 	 810.08 	 -254.736 	21.77 	 59.99 	 -18.9 	
452.376 	 902.8 	 -338.184 	41.79 	 155.19 	 -34.86 	
423.096 	 904.264 	 -476.288 	48.86 	 228.97 	 -46.13 	
118.584 	 834.48 	 -596.336 	54.32 	 284.76 	 -52.92 	
-428.464 	 927.688 	 -525.576 	59.29 	 280.91 	 -49 	
-1000.89 	 1240.5 	 -242.048 	41.16 	 175.42 	 -31.36 	
-851.56 	 1253.67 	 -160.064 	-3.36 	 4.27 	 -4.97 	
-626.104 	 1014.55 	 -293.288 	-38.08 	 -144.41 	 16.73 	
-269.376 	 939.4 	 -438.224 	-51.38 	 -248.92 	 37.94 	
55.632 	 908.656 	 -488.976 	-57.05 	 -289.87 	 49.42 	
509.472 	 851.56 	 -427.488 	-53.13 	 -259.21 	 45.85 	
883.28 	 815.936 	 -303.536 	-34.93 	 -158.9 	 33.53 	
749.08 	 810.568 	 -225.944 	-3.01 	 -16.94 	 6.51 	
566.568 	 875.472 	 -273.768 	25.13 	 101.64 	 -22.05 	
242.536 	 882.304 	 -340.624 	39.34 	 178.92 	 -38.15 	
-249.368 	 926.224 	 -354.776 	44.24 	 196.42 	 -38.64 	
-786.168 	 1193.65 	 -175.192 	34.65 	 125.86 	 -20.72 	
-471.408 	 1175.1 	 -137.128 	3.15 	 9.45 	 -1.05 	
