A_X [mg]	A_Y [mg]	A_Z [mg]
-7	38	1022
-10	40	1065
-9	38	972
-8	42	1053
-7	39	988
-7	39	1036
-8	37	1014
-8	37	1022
-8	37	1020
-7	37	1016
-6	38	1019
-4	40	1017
-5	42	1014
-6	42	1014
-6	40	1018
-5	40	1020
-5	41	1018
-6	40	1015
-7	37	1013
-8	37	1014
-7	40	1013
-4	42	1013
-4	43	1018
-6	42	1020
-7	40	1017
-7	38	1015
-5	38	1017
-4	40	1016
-5	41	1015
-7	40	1018
-9	38	1021
-8	41	1018
-8	41	1015
-9	38	1018
-8	39	1019
-5	41	1015
-4	39	1013
-6	38	1016
-7	41	1018
-7	42	1017
-7	39	1013
-7	36	1014
-7	37	1018
-6	38	1020
-6	39	1019
-6	40	1015
-7	40	1011
-7	40	1011
-6	41	1013
-6	41	1016
-6	41	1018
-6	42	1019
-5	43	1021
-5	43	1022
-6	42	1022
-7	41	1019
-8	39	1014
-8	39	1012
-8	40	1013
-7	40	1014
-4	38	1014
-3	37	1012
-4	38	1012
-5	39	1015
-4	38	1016
-3	38	1017
-4	38	1017
-5	38	1019
-3	37	1019
-3	38	1018
-4	38	1017
-6	38	1016
-6	39	1016
-6	40	1016
-6	40	1017
-7	38	1020
-6	38	1020
-4	38	1020
-4	37	1022
-5	37	1020
-7	38	1017
-7	38	1016
-6	39	1018
-6	40	1018
-6	40	1015
-5	40	1014
-5	40	1019
-7	41	1021
-9	39	1019
-9	37	1016
-7	37	1016
-9	37	1016
-10	36	1016
-8	37	1015
-6	39	1016
-5	39	1018
-7	38	1019
-7	39	1017
-4	40	1015
-4	38	1013
-5	38	1014
-7	40	1016
-5	41	1015
-3	41	1015
-5	39	1019
-8	38	1022
-8	38	1020
-5	38	1016
-6	39	1016
-10	39	1019
-10	37	1019
-6	36	1016
-6	38	1017
-10	43	1020
-10	43	1021
-9	41	1022
-9	39	1024
-8	39	1026
-4	39	1022
-4	37	1017
-6	36	1015
-6	37	1013
-6	37	1013
-6	38	1013
-8	40	1014
-8	42	1014
-7	42	1012
-7	41	1011
-6	42	1014
-5	42	1018
-4	41	1020
-4	39	1020
-6	39	1020
-7	38	1018
-7	38	1013
-5	39	1011
-4	38	1012
-5	36	1012
-5	36	1010
-5	37	1009
-4	36	1014
-3	36	1016
-3	39	1015
-4	42	1017
-4	41	1020
-4	40	1018
-4	39	1013
-6	40	1014
-9	40	1017
-10	39	1018
-8	39	1020
-4	40	1019
-4	40	1014
-7	40	1012
-8	38	1015
-5	38	1017
-3	38	1017
-4	38	1015
-6	39	1017
-5	40	1019
-4	41	1019
-5	41	1017
-8	41	1014
-9	40	1013
-8	39	1017
-7	37	1020
-6	36	1017
-6	37	1015
-6	37	1016
-6	37	1015
-6	36	1013
-5	35	1016
-3	36	1018
-3	38	1017
-4	40	1015
-7	43	1018
-9	43	1021
-7	43	1017
-6	41	1012
-7	38	1014
-10	35	1020
-9	36	1022
-3	39	1019
-2	38	1016
-5	36	1016
-6	36	1016
-4	38	1017
-2	40	1017
-5	41	1016
-9	41	1017
-11	40	1019
-8	38	1020
-5	37	1017
-4	39	1014
-4	40	1014
-5	42	1014
-5	42	1013
-4	41	1016
-5	41	1018
-7	41	1017
-8	40	1015
-8	39	1016
-9	37	1018
-10	36	1018
-8	37	1019
-5	38	1018
-6	39	1014
-8	37	1013
-8	36	1014
-9	39	1014
-8	42	1014
-6	41	1014
-7	39	1015
-8	39	1016
-8	39	1015
-7	40	1012
-6	40	1010
-6	39	1012
-4	39	1016
-2	40	1016
-2	40	1011
-4	37	1013
-6	35	1017
-8	36	1016
-9	38	1014
-7	39	1016
-5	39	1015
-6	40	1014
-6	41	1018
-6	42	1021
-6	42	1020
-6	39	1016
-6	38	1017
-5	39	1018
-4	40	1017
-4	40	1013
-7	38	1013
-9	39	1015
-7	40	1014
-4	40	1013
-4	39	1016
-7	37	1017
-7	35	1017
-6	36	1018
-6	39	1020
-5	42	1020
-2	40	1019
-1	38	1020
-3	37	1020
-5	38	1018
-6	38	1015
-6	38	1016
-6	40	1020
-7	40	1020
-8	38	1014
-8	37	1011
-6	40	1013
-5	42	1013
-6	41	1011
-8	39	1011
-9	38	1013
-6	38	1014
-4	38	1012
-4	38	1012
-5	37	1016
-5	36	1019
-5	37	1018
-6	39	1016
-4	40	1017
-2	39	1019
-4	40	1021
-7	42	1019
-6	42	1018
-5	40	1016
-5	38	1017
-7	38	1021
-8	39	1020
-9	41	1015
-8	41	1011
-6	40	1014
-4	38	1017
-5	38	1015
-7	40	1013
-7	40	1014
-6	40	1019
-7	39	1023
-8	40	1021
-7	42	1017
-5	44	1016
-7	43	1017
-8	39	1018
-6	37	1017
-6	38	1014
-10	39	1013
-10	37	1017
-8	35	1021
-6	35	1018
-6	37	1014
-7	39	1016
-7	43	1020
-6	46	1024
-5	45	1023
-5	41	1020
-5	38	1018
-7	38	1016
-10	40	1014
-10	41	1014
-7	41	1012
-7	40	1013
-9	40	1015
-9	39	1016
-6	38	1017
-4	38	1017
-6	38	1019
-7	39	1021
-6	40	1022
-6	41	1018
-8	42	1012
-10	39	1011
-7	45	1010
-12	34	1019
-22	12	1029
-20	16	1024
-18	16	1024
-19	16	1024
-19	15	1020
-17	13	1019
-17	15	1018
-22	15	1019
-23	16	1020
-18	18	1020
-13	19	1019
-13	18	1020
-17	18	1019
-19	18	1017
-17	17	1017
-17	16	1018
-18	16	1020
-18	17	1020
-16	15	1019
-16	14	1017
-18	16	1018
-16	17	1023
-15	14	1026
-17	14	1025
-19	16	1020
-17	15	1017
-16	14	1018
-17	14	1018
-18	12	1015
-17	12	1016
-16	15	1020
-15	16	1021
-16	15	1019
-17	14	1016
-17	15	1017
