accX[g],accY[g],accZ[g]
-0.096,0.109,-1.065
-0.071,0.18,-0.967
-0.065,0.392,-1.103
-0.293,0.489,-1.401
1.912,1.841,-0.512
0.057,-0.728,0.843
0.179,-0.327,0.412
0.482,1.444,-1.182
1.286,-0.211,-0.973
-0.482,-1.204,-1.987
0.019,0.781,0.081
0.255,1.997,0.636
0.488,0.254,-0.486
-0.236,-1.998,-1.997
0.156,-0.027,-1.631
-0.034,1.997,0.589
0.219,1.632,0.809
-1.023,-0.919,-1.959
-0.438,-1.998,-1.21
0.238,1.414,-0.702
0.107,1.898,0.652
-0.345,0.705,-1.095
-0.184,-1.998,-1.714
-0.108,-1.457,-0.381
0.412,1.997,0.132
0.218,1.466,0.664
-0.709,-1.066,-1.954
-0.461,-1.998,-1.09
0.172,1.35,-0.562
0.112,1.997,0.406
-0.245,0.8,-0.933
-0.079,-1.998,-1.93
-0.286,-1.442,-0.979
1.386,1.981,0.132
0.74,1.814,0.781
0.947,0.87,-0.449
-0.334,-1.998,-1.997
0.372,-1.789,-1.149
0.621,0.798,-0.427
0.433,1.885,1.189
0.416,1.199,0.017
-0.132,-1.998,-1.957
-0.233,-1.998,-1.944
0.218,0.081,-0.782
0.626,1.499,0.498
0.181,1.764,0.56
0.658,0.28,-0.885
-0.238,-1.998,-1.997
0.208,-1.162,-1.038
-0.204,0.926,-0.395
-0.217,1.647,0.377
0.271,0.469,-1.018
-1.021,-1.998,-1.984
-0.511,-0.824,-0.734
0.713,1.995,0.281
0.017,1.997,0.207
-0.168,1.158,-0.52
-1.512,-1.977,-1.657
-0.806,-1.86,-0.951
-0.594,0.279,-0.268
0.107,1.997,-0.283
0.009,1.51,-0.647
-1.597,-0.777,-0.907
-1.535,-1.998,-0.549
-1.25,-0.336,-0.855
-0.531,0.834,-0.561
0.037,1.997,-0.568
-0.66,0.627,-0.272
-1.93,-1.998,0.122
-1.435,-1.234,0.01
-0.708,0.848,0.117
-0.511,1.997,-0.332
-1.131,0.622,-0.15
-1.1,-1.982,0.385
-1.13,-1.475,0.364
-0.729,0.998,0.11
-0.527,1.997,-0.152
-1.209,1.028,-0.423
-1.105,-1.998,0.371
-0.951,-1.335,0.216
-0.823,1.108,0.101
-1.046,1.997,-0.175
