accX[g],accY[g],accZ[g]
-0.013,-0.054,-0.994
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.994
-0.012,-0.055,-0.993
-0.013,-0.054,-0.992
-0.013,-0.055,-0.993
-0.012,-0.054,-0.992
-0.013,-0.055,-0.993
-0.014,-0.055,-0.994
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.992
-0.012,-0.055,-0.993
-0.013,-0.054,-0.992
-0.012,-0.054,-0.993
-0.012,-0.054,-0.992
-0.012,-0.055,-0.993
-0.014,-0.054,-0.993
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.992
-0.013,-0.054,-0.994
-0.013,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.054,-0.994
-0.013,-0.054,-0.993
-0.014,-0.054,-0.994
-0.013,-0.054,-0.992
-0.012,-0.055,-0.993
-0.012,-0.055,-0.991
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.014,-0.054,-0.992
-0.013,-0.054,-0.991
-0.013,-0.055,-0.992
-0.013,-0.054,-0.992
-0.013,-0.054,-0.993
-0.012,-0.055,-0.992
-0.013,-0.054,-0.993
-0.012,-0.053,-0.994
-0.013,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.053,-0.993
-0.012,-0.055,-0.993
-0.012,-0.055,-0.993
-0.012,-0.054,-0.993
-0.012,-0.055,-0.992
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.055,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.992
-0.012,-0.055,-0.993
-0.012,-0.055,-0.992
-0.013,-0.054,-0.994
-0.013,-0.053,-0.993
-0.013,-0.055,-0.992
-0.012,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.055,-0.993
-0.013,-0.055,-0.993
-0.012,-0.055,-0.993
-0.012,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.053,-0.992
-0.013,-0.054,-0.994
-0.013,-0.055,-0.992
-0.012,-0.055,-0.993
-0.012,-0.054,-0.993
-0.012,-0.055,-0.992
-0.012,-0.055,-0.993
-0.012,-0.054,-0.994
-0.012,-0.055,-0.992
-0.013,-0.054,-0.994
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.055,-0.992
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.012,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.994
-0.014,-0.053,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.012,-0.055,-0.993
-0.013,-0.054,-0.994
-0.012,-0.053,-0.993
-0.013,-0.054,-0.992
-0.014,-0.054,-0.993
-0.013,-0.054,-0.992
-0.012,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.994
-0.013,-0.054,-0.993
-0.012,-0.054,-0.992
-0.012,-0.055,-0.993
-0.012,-0.055,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.991
-0.013,-0.055,-0.994
-0.013,-0.055,-0.994
-0.011,-0.054,-0.992
-0.012,-0.055,-0.994
-0.013,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.014,-0.054,-0.992
-0.013,-0.054,-0.994
-0.012,-0.054,-0.992
-0.014,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.012,-0.055,-0.993
-0.013,-0.055,-0.992
-0.013,-0.053,-0.993
-0.013,-0.055,-0.994
-0.013,-0.055,-0.993
-0.014,-0.054,-0.992
-0.013,-0.055,-0.994
-0.013,-0.054,-0.992
-0.012,-0.053,-0.993
-0.013,-0.054,-0.992
-0.014,-0.054,-0.993
-0.012,-0.055,-0.991
-0.014,-0.054,-0.992
-0.012,-0.055,-0.992
-0.013,-0.055,-0.993
-0.013,-0.055,-0.991
-0.012,-0.053,-0.993
-0.012,-0.054,-0.993
-0.014,-0.053,-0.994
-0.012,-0.054,-0.992
-0.013,-0.055,-0.992
-0.011,-0.052,-0.994
-0.012,-0.056,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.994
-0.014,-0.055,-0.993
-0.012,-0.054,-0.994
-0.013,-0.054,-0.992
-0.013,-0.055,-0.992
-0.012,-0.055,-0.994
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.053,-0.992
-0.014,-0.055,-0.994
-0.013,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.055,-0.994
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.993
-0.014,-0.054,-0.994
-0.013,-0.055,-0.992
-0.012,-0.055,-0.993
-0.012,-0.054,-0.993
-0.013,-0.053,-0.992
-0.014,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.055,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.992
-0.014,-0.055,-0.993
-0.012,-0.053,-0.992
-0.013,-0.055,-0.992
-0.014,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.056,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.012,-0.055,-0.994
-0.011,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.992
-0.014,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.992
-0.014,-0.055,-0.993
-0.013,-0.054,-0.993
-0.012,-0.055,-0.994
-0.013,-0.055,-0.992
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.014,-0.054,-0.993
-0.013,-0.053,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.055,-0.993
-0.012,-0.055,-0.993
-0.014,-0.054,-0.993
-0.014,-0.054,-0.993
-0.013,-0.055,-0.993
-0.012,-0.055,-0.992
-0.013,-0.054,-0.994
-0.013,-0.053,-0.992
-0.013,-0.055,-0.993
-0.013,-0.055,-0.993
-0.014,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.054,-0.991
-0.013,-0.054,-0.993
-0.013,-0.055,-0.995
-0.013,-0.055,-0.991
-0.014,-0.054,-0.992
-0.013,-0.056,-0.994
-0.013,-0.054,-0.993
-0.014,-0.054,-0.994
-0.012,-0.055,-0.992
-0.014,-0.056,-0.993
-0.013,-0.054,-0.992
-0.014,-0.053,-0.992
-0.011,-0.055,-0.992
-0.012,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.055,-0.994
-0.012,-0.054,-0.993
-0.012,-0.055,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.994
-0.013,-0.054,-0.992
-0.012,-0.054,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.994
-0.014,-0.054,-0.993
-0.012,-0.053,-0.993
-0.013,-0.054,-0.992
-0.012,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.994
-0.013,-0.055,-0.994
-0.012,-0.054,-0.993
-0.013,-0.055,-0.995
-0.012,-0.055,-0.993
-0.012,-0.054,-0.992
-0.013,-0.055,-0.994
-0.014,-0.054,-0.991
-0.014,-0.054,-0.992
-0.011,-0.055,-0.993
-0.013,-0.054,-0.992
-0.012,-0.053,-0.993
-0.015,-0.053,-0.992
-0.012,-0.055,-0.992
-0.012,-0.054,-0.993
-0.011,-0.053,-0.994
-0.012,-0.054,-0.992
-0.013,-0.053,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.055,-0.994
-0.013,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.053,-0.992
-0.013,-0.054,-0.994
-0.012,-0.054,-0.992
-0.014,-0.054,-0.994
-0.013,-0.053,-0.993
-0.012,-0.053,-0.992
-0.012,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.992
-0.012,-0.054,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.994
-0.013,-0.055,-0.993
-0.013,-0.054,-0.992
-0.013,-0.056,-0.994
-0.013,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.053,-0.992
-0.012,-0.054,-0.993
-0.012,-0.054,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.014,-0.055,-0.993
-0.013,-0.054,-0.993
-0.014,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.012,-0.054,-0.992
-0.014,-0.054,-0.993
-0.012,-0.054,-0.993
-0.013,-0.054,-0.994
-0.012,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.992
-0.012,-0.054,-0.992
-0.013,-0.053,-0.992
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.014,-0.053,-0.993
-0.013,-0.053,-0.992
-0.013,-0.055,-0.992
-0.012,-0.054,-0.992
-0.013,-0.054,-0.992
-0.013,-0.055,-0.992
-0.014,-0.053,-0.992
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.014,-0.053,-0.992
-0.013,-0.054,-0.994
-0.014,-0.054,-0.993
-0.012,-0.055,-0.993
-0.013,-0.054,-0.993
-0.014,-0.054,-0.993
-0.012,-0.054,-0.992
-0.013,-0.054,-0.992
-0.012,-0.055,-0.993
-0.013,-0.054,-0.992
-0.012,-0.054,-0.993
-0.014,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.013,-0.053,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.054,-0.993
-0.014,-0.054,-0.993
-0.012,-0.055,-0.993
-0.013,-0.054,-0.992
-0.013,-0.054,-0.992
-0.012,-0.054,-0.993
-0.013,-0.055,-0.993
-0.014,-0.055,-0.992
-0.012,-0.054,-0.993
-0.013,-0.054,-0.992
-0.013,-0.053,-0.992
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.994
-0.013,-0.055,-0.993
-0.013,-0.055,-0.993
-0.013,-0.054,-0.993
-0.012,-0.054,-0.994
-0.013,-0.054,-0.993
-0.013,-0.055,-0.993
-0.013,-0.055,-0.992
