STEVAL-MKI227A (LSM6DSV16X)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-1075	-381	752
-1101	-355	761
-888	-394	660
-949	-442	835
-757	-347	752
-712	-501	790
-659	-455	805
-569	-302	766
-484	-405	739
-404	-357	650
-300	-263	653
-210	-288	555
-106	-259	469
49	-354	566
62	-252	547
158	-168	465
226	-215	555
215	39	633
315	-42	651
326	-107	732
310	-21	796
319	-148	828
325	-67	817
343	-134	820
312	-185	857
327	-123	839
363	-199	845
319	-148	869
328	-145	902
342	-189	940
293	-183	973
304	-194	1007
303	-181	968
299	-185	986
321	-197	995
306	-199	940
301	-219	934
305	-225	922
324	-242	902
312	-223	881
292	-183	857
324	-243	823
283	-194	802
283	-159	744
294	-243	667
221	-215	632
225	-152	644
180	-137	600
152	-250	560
50	-256	608
-84	-94	576
-29	-105	613
-221	-275	519
-320	-314	525
-372	-176	508
-675	-332	518
-650	-547	836
-790	-273	513
-992	-293	587
-1022	-568	825
-1144	-334	602
-1076	-481	757
-1292	-509	843
-1261	-256	835
-1155	-516	705
-1441	-387	904
-1120	-496	694
-1126	-353	679
-1172	-312	663
-1027	-687	348
-1479	309	1848
-1124	-67	1423
-851	-1080	35
-1113	-461	315
-871	-172	-217
-875	-138	-207
-939	-319	-83
-944	-357	-126
-983	-233	30
-940	-329	-56
-959	-224	132
-918	-238	34
-962	-204	64
-985	-238	130
-974	-216	131
-956	-244	157
-975	-349	170
-1010	-161	279
-937	-260	220
-999	-385	395
-1042	-294	507
-1035	-316	489
-1084	-362	585
-1063	-339	599
-1063	-322	629
-1125	-374	630
-1187	-359	645
-1161	-389	655
-1143	-391	691
-1155	-335	719
-1070	-429	684
-1009	-404	758
-989	-392	771
-944	-434	727
-879	-274	726
-771	-280	681
-665	-355	702
-557	-265	703
-498	-189	647
-396	-222	607
-250	-319	617
-237	-240	697
-110	-254	621
-11	-351	571
-4	-253	600
149	-295	520
160	-314	517
187	-279	550
256	-346	648
208	-244	774
227	-264	851
228	-354	987
242	-155	968
236	-208	940
235	-326	1015
268	-93	959
248	-147	936
281	-240	916
268	-95	849
279	-85	830
328	-123	770
300	-214	780
303	-178	804
300	-178	809
305	-268	887
281	-185	861
249	-242	936
279	-217	1057
258	-237	961
242	-271	1008
247	-95	1083
263	-250	1021
277	-211	987
243	-96	966
265	-239	962
274	-160	930
258	-180	953
280	-156	942
263	-194	872
248	-235	909
253	-171	888
246	-313	871
247	-242	907
242	-187	888
246	-235	872
250	-217	786
226	-154	685
196	-162	624
140	-215	537
106	-191	485
74	-227	448
-52	-192	478
-136	-294	522
-248	-197	441
-395	-213	531
-456	-348	644
-667	-202	536
-855	-127	668
-932	-154	673
-1102	-383	669
-1132	-158	842
-1160	-272	675
-1261	-401	867
-1230	-336	830
-1301	-359	759
-1354	-190	859
-1261	-603	615
-1219	-24	1001
-1160	-547	486
-1063	-212	908
-916	1516	2368
-904	-574	1131
-997	-1201	225
-928	-186	137
-922	-267	-241
-914	-9	-7
-904	-409	-51
-1016	-297	11
-1007	-312	13
-957	-306	48
-909	-156	149
-896	-350	92
-951	-207	170
-952	-266	112
-972	-225	151
-981	-230	149
-958	-251	160
-947	-244	196
-959	-238	181
-964	-201	245
-961	-302	280
-1022	-265	462
-1016	-234	501
-980	-198	503
-1052	-260	642
-1067	-289	644
-1073	-276	685
-1163	-354	755
-1152	-303	731
-1083	-281	669
-1080	-412	701
-1076	-426	717
-1062	-384	689
-1056	-454	765
-967	-379	830
-865	-509	935
-905	-475	889
-857	-186	761
-704	-347	772
-616	-371	697
-509	-186	685
-419	-215	663
-291	-283	584
-171	-95	571
-99	-131	545
25	-285	500
106	-127	477
159	-215	535
204	-217	488
244	-220	507
267	-234	603
276	-159	618
293	-284	729
276	-180	845
256	-238	919
245	-287	965
271	-136	1014
250	-189	972
223	-228	948
271	-237	1013
271	-201	942
262	-242	922
242	-217	930
260	-162	885
264	-288	877
229	-279	893
273	-222	858
232	-245	780
242	-242	765
250	-245	694
178	-256	657
190	-202	643
98	-184	618
78	-244	682
55	-254	692
-35	-251	734
-92	-224	714
-245	-232	680
-285	-177	713
-381	-140	619
-430	-413	711
-489	-368	698
-714	-137	476
-672	-416	726
-766	-390	821
-1026	-119	560
-1009	-440	791
-956	-459	892
-1072	-178	582
-1164	-525	811
-1126	-501	1013
-1158	-76	751
-1153	-232	867
-1050	-477	972
-1023	-483	720
-1051	-345	526
-968	-328	410
-948	-198	443
-1052	84	360
-979	3	205
-991	-33	409
-1090	-205	497
-1020	-341	261
-950	-197	146
-935	-312	104
-924	-286	82
-939	-223	125
-958	-282	121
-932	-271	105
-977	-274	117
-978	-206	123
-927	-289	114
-948	-296	194
-929	-183	208
-963	-262	229
-983	-237	357
-983	-182	369
-1029	-229	526
-1050	-204	618
-1064	-195	589
-1044	-231	675
-1051	-247	639
-1105	-246	655
-1181	-336	696
-1172	-377	742
-1090	-281	771
-1059	-325	726
-1041	-283	717
-1043	-238	673
-981	-335	658
-900	-233	620
-830	-231	656
-690	-346	731
-621	-286	735
-555	-192	708
-459	-296	679
-410	-353	776
-328	-309	798
-211	-468	775
-161	-348	745
-148	-196	648
-28	-338	562
54	-321	496
83	-310	506
149	-370	552
153	-331	556
184	-261	564
182	-328	730
205	-282	740
215	-172	761
138	-189	934
199	-227	869
166	-370	948
133	-350	1054
199	-367	979
153	-409	961
187	-357	953
178	-410	930
169	-397	874
194	-393	871
149	-332	863
193	-367	831
194	-383	834
156	-277	822
112	-259	724
141	-256	700
112	-311	652
33	-336	540
98	-322	591
-93	-260	407
-95	-360	437
-109	-326	490
-449	-201	142
-357	-490	459
-554	-483	605
-834	-216	456
-750	-419	755
-922	-496	687
-892	-337	703
-978	-649	869
-1179	-427	748
-1047	-438	688
-1140	-777	812
-1227	-407	705
-1189	-624	499
-1185	-515	813
-1103	-511	654
-1111	-289	532
-1078	-394	604
-1029	-649	403
-1092	1430	1183
-1112	557	1149
-1016	-1137	223
-948	-124	26
-1028	-303	-139
-964	-237	-100
-909	-226	-40
-995	-337	-57
-953	-146	18
-967	-305	54
-978	-134	67
-962	-229	97
-985	-171	140
-986	-145	180
-1012	-92	271
-980	-105	164
-1022	-307	282
-1024	-120	373
-959	-152	318
-1007	-242	435
-1024	-271	433
-1026	-297	541
-1044	-295	557
-1052	-348	586
-1052	-316	633
-1074	-348	586
-1064	-346	632
-1051	-325	604
-1048	-384	626
-974	-416	623
-964	-395	656
-890	-380	622
-818	-332	584
-790	-347	685
-675	-465	684
-606	-406	669
-506	-352	682
-454	-379	705
-382	-368	608
-323	-496	627
-338	-542	678
-191	-453	566
-147	-429	605
-82	-454	595
33	-462	506
-40	-385	383
-12	-381	362
50	-429	449
96	-563	439
86	-678	569
72	-564	643
128	-652	670
49	-799	797
51	-675	799
61	-657	822
3	-741	870
30	-687	814
32	-688	775
16	-736	793
-6	-664	786
27	-611	727
35	-638	723
18	-643	737
27	-574	710
7	-611	753
21	-660	793
6	-576	811
15	-605	860
7	-607	878
-10	-603	913
27	-599	942
4	-549	911
19	-659	890
39	-618	867
21	-517	828
28	-564	777
34	-524	691
38	-493	654
43	-514	630
60	-531	577
34	-526	572
-7	-416	548
-50	-290	463
-65	-393	497
-113	-478	488
-233	-368	393
-207	-479	565
-351	-428	595
-551	-261	478
-465	-544	505
-611	-469	584
-706	-257	541
-748	-471	468
-972	-442	744
-875	-336	528
-962	-437	497
-990	-552	770
-828	-354	531
-1143	-359	624
-1365	-610	648
-1315	-373	749
-1178	-524	567
-1270	-464	563
-1150	-289	519
-935	-352	283
-1469	429	1659
-1279	31	1245
-814	-740	-65
-1006	-325	206
-931	-259	-109
-941	-157	-82
-947	-201	-23
-903	-365	-70
-932	-290	59
-905	-377	-53
-984	-327	103
-966	-251	139
-913	-230	84
-936	-292	131
-981	-220	293
-967	-190	239
-981	-385	318
-1009	-275	488
-1000	-237	389
-1049	-303	493
-1067	-231	525
-1055	-327	577
-1024	-427	678
-1039	-395	670
-1082	-370	646
-1121	-350	628
-1108	-329	603
-1053	-434	617
-1027	-414	631
-919	-397	516
-867	-527	601
-826	-464	586
-720	-534	501
-658	-570	602
-634	-492	662
-557	-513	707
-428	-505	772
-486	-484	993
-442	-254	922
-322	-221	675
-317	-272	576
-122	-220	411
-30	-335	399
-13	-429	384
49	-468	390
54	-307	492
153	-357	514
130	-481	564
143	-419	636
167	-554	667
74	-630	726
126	-551	841
111	-499	850
66	-629	901
57	-559	1010
59	-460	973
93	-620	970
58	-522	928
59	-472	846
52	-569	822
72	-541	767
106	-460	700
68	-463	659
65	-512	668
86	-485	576
32	-447	559
-1	-451	617
-11	-450	571
-63	-455	575
-84	-576	568
-180	-407	665
-202	-254	586
-274	-505	471
-429	-470	711
-474	-203	640
-509	-254	484
-511	-511	663
-724	-504	690
-739	-464	580
-753	-478	634
-992	-379	551
-924	-405	554
-1022	-503	758
-1069	-402	576
-1132	-383	605
-1206	-643	742
-1042	-339	591
-1148	-236	512
-1128	-429	452
-1104	-374	559
-1080	-418	409
-944	368	583
-1088	106	1201
-1057	-889	735
-931	-492	-18
-960	-332	-127
-914	-225	-182
-896	-199	-190
-958	-403	-137
-947	-261	-105
-930	-215	32
-1007	-123	174
-1009	-233	216
-963	-300	143
-975	-262	76
-952	-304	53
-933	-281	27
-986	-307	115
-994	-225	101
-992	-288	124
-1003	-263	271
-974	-135	243
-1006	-293	335
-1020	-298	476
-1017	-266	499
-1071	-352	552
-1088	-328	584
-1104	-310	567
-1115	-361	554
-1121	-392	586
-1101	-405	539
-1054	-462	525
-1052	-433	546
-983	-444	542
-922	-496	583
-890	-432	546
-816	-455	593
-756	-501	660
-672	-465	619
-609	-406	649
-519	-460	643
-440	-519	649
-344	-409	691
-222	-469	597
-233	-604	662
-167	-437	729
-78	-382	521
-79	-654	641
-35	-648	791
21	-528	593
30	-564	652
28	-485	707
81	-427	621
104	-374	673
117	-370	692
138	-394	703
169	-396	712
192	-379	749
176	-373	761
192	-460	754
200	-408	842
228	-464	830
200	-505	821
217	-415	842
262	-503	830
167	-472	853
200	-438	782
197	-439	756
161	-424	783
208	-452	695
132	-351	577
156	-408	584
136	-468	578
-1	-354	482
74	-414	581
-16	-402	534
-210	-276	509
-120	-357	673
-255	-421	542
-437	-314	638
-432	-230	552
-598	-367	396
-682	-474	765
-826	-271	567
-969	-383	544
-926	-497	818
-1114	-292	567
-1158	-492	769
-1065	-390	893
-1240	-360	667
-1215	-608	862
-1043	-297	926
-1084	-251	671
-1108	-270	567
-1037	-651	560
-1033	-555	561
-1157	507	886
-1155	27	1006
-949	-571	451
-916	-316	57
-960	-293	-20
-919	-219	-65
-941	-398	24
-935	-325	40
-915	-275	14
-946	-388	93
-946	-202	122
-955	-205	153
-977	-268	203
-954	-280	187
-967	-200	254
-964	-142	213
-953	-303	180
-998	-286	363
-952	-162	326
-972	-293	348
-1023	-299	476
-996	-158	478
-1033	-249	582
-1036	-321	582
-1050	-285	593
-1063	-196	657
-1048	-182	631
-1069	-303	640
-1042	-317	641
-1006	-241	651
-1032	-267	702
-991	-374	675
-886	-346	673
-877	-294	758
-831	-328	670
-764	-282	707
-670	-159	751
-580	-242	655
-553	-371	830
-431	-221	829
-351	-239	776
-279	-346	874
-268	-235	827
-226	-203	782
-128	-307	773
-123	-290	702
-24	-219	548
-24	-327	549
84	-317	556
188	-339	615
80	-373	794
119	-209	781
130	-241	857
145	-170	905
134	-117	837
117	-261	906
155	-171	911
125	-151	901
151	-222	1004
148	-192	980
151	-213	955
149	-195	1040
139	-199	978
164	-256	950
139	-233	952
158	-263	887
163	-297	863
153	-282	845
161	-249	829
138	-219	777
145	-264	746
118	-208	668
45	-244	629
73	-325	601
15	-274	530
-176	-257	519
-158	-256	455
-209	-359	603
-413	-265	652
-423	-182	554
-491	-347	719
-625	-223	637
-704	-241	614
-808	-481	900
-893	-312	769
-991	-287	559
-1051	-536	889
-1102	-315	904
-1099	-204	558
-1107	-481	862
-1179	-428	886
-1127	-251	584
-1123	-344	699
-1124	-416	639
-1046	-251	632
-1038	-213	560
-1186	73	764
-1289	206	1092
-1018	-430	473
-871	-513	61
-938	-283	5
-897	-354	-102
-935	-328	25
-931	-323	3
-917	-316	56
-958	-322	155
-970	-204	239
-982	-203	272
-947	-300	177
-952	-273	200
-951	-270	241
-941	-207	235
-995	-266	252
-994	-252	329
-976	-185	361
-994	-267	419
-1008	-223	485
-995	-195	484
-1000	-263	563
-1042	-285	559
-1038	-262	584
-1052	-221	679
-1054	-236	620
-1026	-328	616
-1042	-316	680
-987	-207	651
-959	-258	648
