A_X [mg]	A_Y [mg]	A_Z [mg]
313	68	943
328	95	977
304	98	873
346	77	977
309	70	919
304	75	924
324	81	914
326	93	929
314	60	926
341	76	939
347	108	935
336	69	930
342	70	935
339	90	939
335	70	930
357	81	928
369	87	962
340	69	940
362	64	915
365	69	951
341	75	945
363	83	936
365	86	956
368	77	949
375	72	976
360	71	990
356	73	942
352	58	937
370	67	966
384	95	957
361	76	940
346	66	928
327	77	922
344	72	944
330	60	916
332	51	917
358	67	929
346	84	901
364	81	925
340	83	908
359	80	921
382	97	938
346	87	904
345	55	914
353	66	911
352	80	899
358	80	924
364	59	938
374	72	951
375	84	931
373	74	943
372	66	971
368	55	945
362	66	948
334	58	927
333	47	922
348	63	927
352	79	896
360	81	915
356	72	961
353	69	958
360	78	917
359	72	899
352	62	921
356	66	923
375	81	893
393	82	928
381	73	961
370	77	941
380	62	955
369	45	941
358	68	935
365	62	921
369	23	921
368	47	951
358	88	909
362	67	923
381	48	962
363	75	916
325	103	871
332	100	928
360	77	975
344	84	943
319	87	941
326	58	941
316	74	923
310	62	923
316	57	924
316	69	934
315	51	940
302	58	938
295	55	966
299	71	994
284	57	983
276	49	935
277	58	928
276	40	964
275	37	971
268	29	969
259	37	954
244	28	951
258	20	953
259	30	962
252	30	977
268	27	981
249	19	989
241	17	976
247	15	969
233	13	963
226	3	959
225	-14	958
222	4	957
213	24	952
202	6	944
205	-2	961
200	7	954
201	24	960
203	-0	972
199	-16	976
196	3	975
202	4	951
220	15	974
200	-10	977
183	-17	964
194	-4	967
193	-11	954
199	-11	956
211	-17	982
206	-21	998
203	-26	983
209	-19	977
212	-22	994
207	-28	1001
206	-8	1005
205	-13	992
206	-28	995
213	-17	1019
203	-18	983
214	-29	988
215	-24	983
205	-28	974
217	-34	978
207	-27	937
197	-31	953
203	-33	950
212	-17	948
221	-15	971
222	-24	977
218	-18	987
213	-17	990
209	-24	984
209	-20	965
210	-18	948
219	-15	953
223	-16	969
215	-20	972
210	-20	968
210	-12	966
212	0	971
210	-12	978
209	-10	968
205	-17	956
214	-15	967
218	-5	968
212	-19	970
216	-22	979
209	-19	969
207	-13	964
207	-21	949
211	-20	953
204	-12	950
205	-28	941
223	-24	959
178	-33	946
156	-49	948
218	-4	959
199	-33	950
179	-43	1008
190	-23	1007
178	-59	957
212	-50	988
187	-58	976
159	-61	988
200	-86	994
204	-89	947
174	-71	965
165	-95	988
174	-86	980
179	-73	986
162	-61	982
156	-51	998
156	-86	994
162	-79	976
148	-44	971
144	-77	989
178	-97	1001
174	-70	962
174	-55	994
153	-65	1003
149	-85	1003
172	-84	999
164	-71	978
144	-68	1002
128	-94	974
150	-112	955
155	-55	948
146	-76	953
148	-103	985
156	-71	994
150	-77	972
133	-69	970
135	-81	986
113	-81	968
122	-54	986
135	-48	975
115	-78	966
116	-104	990
105	-88	946
100	-71	941
102	-75	959
