A_X [mg]	A_Y [mg]	A_Z [mg]
9	914	-379
-475	555	-210
-943	421	-77
-889	443	4
-920	537	37
-340	749	172
1088	1220	9
2801	2256	-485
3693	2007	-210
2312	910	-142
982	-86	-346
544	-709	-84
459	-804	281
590	-1153	411
570	-1046	332
778	-636	178
1806	-404	-150
3738	1264	-489
3563	2143	-525
1776	1568	-612
692	1233	-587
-32	757	-321
-507	589	-229
-928	525	-82
-1059	384	28
-876	694	41
-327	741	118
1079	1272	-190
3354	2469	-374
3890	2123	-36
2059	771	-20
910	-85	-139
489	-630	113
454	-844	438
415	-1378	446
421	-1030	251
740	-865	200
2250	-182	-145
4271	2527	-605
3290	2382	-519
1554	1502	-580
532	1302	-495
-269	532	-162
-710	480	-185
-1136	493	-11
-1083	519	40
-905	691	-102
-309	889	114
1090	1443	-277
3542	2555	-508
4101	2190	-89
2089	753	-83
767	8	-102
368	-604	175
432	-873	451
405	-1235	347
463	-1220	262
690	-796	159
2450	-228	-177
4446	1529	-340
3400	2671	-482
1494	1913	-668
299	1182	-554
-360	717	-270
-891	399	-212
-1304	449	-42
-1152	607	-33
-789	812	-53
-28	966	57
1712	1806	-495
3635	2575	-509
3407	1909	-146
1788	643	-202
810	-251	-101
652	-610	191
706	-923	448
485	-1331	383
537	-995	267
1045	-630	109
2940	312	-411
4009	1950	-589
2623	2270	-565
1244	1590	-743
313	1029	-492
-374	625	-275
-958	483	-219
-1211	494	-6
-1097	557	-122
-636	809	25
423	1195	25
2302	1993	-470
3935	2463	-186
3072	1513	-40
1312	309	-172
605	-260	-51
514	-620	-6
546	-810	234
372	-1265	305
449	-1097	358
1011	-491	256
2190	-678	-774
3799	1505	-789
3270	2710	-463
1194	1354	-791
237	1153	-430
-380	605	-265
-907	372	-212
-1049	472	-19
-957	434	-158
-661	818	-56
60	1039	13
1767	1773	-332
3562	2577	-339
3409	1831	-111
1694	682	-63
703	-56	-79
682	-568	131
743	-778	276
592	-1240	350
607	-927	422
824	-532	279
1982	-369	80
4217	1844	-248
3795	2539	-435
1528	1729	-584
435	1466	-660
-305	808	-463
-1121	710	-265
-1715	581	-74
-1551	659	-100
-936	1033	-95
-214	946	72
1494	2128	-524
3847	3314	-722
3972	2323	-16
1980	952	-18
887	-107	-28
664	-574	325
669	-769	412
491	-1261	441
586	-776	449
813	-527	345
2064	-145	-28
4377	2007	-539
3654	2736	-769
1493	2177	-968
260	1638	-885
-559	874	-516
-1141	534	-339
-1544	401	-119
-1324	578	-69
-830	853	-50
-38	1051	136
1483	2153	-370
3645	2982	-498
3667	2103	-16
1701	700	-121
834	-301	-96
807	-698	276
850	-943	468
577	-1279	453
634	-851	408
913	-570	226
2366	249	-180
4174	2222	-558
3268	2761	-710
1385	2099	-736
146	1406	-626
-617	689	-317
-1180	380	-137
-1449	398	13
-1165	570	16
-673	758	-34
207	1156	26
1961	2254	-448
3665	2709	-578
3188	1869	-129
1558	632	-62
833	-291	-8
811	-608	264
728	-899	365
596	-1214	354
772	-927	365
904	-448	334
2387	63	-214
3889	1810	-515
2914	2694	-520
1242	1604	-810
235	1019	-577
-323	563	-309
-768	287	-213
-925	472	29
-882	451	-26
-673	715	25
-50	1059	75
1517	1658	-348
3461	2500	-334
3403	1960	7
1854	684	-1
881	-119	-51
706	-615	146
613	-788	331
365	-1162	322
421	-1021	343
714	-485	293
1749	-502	-0
3667	1429	-232
3540	2357	-405
1640	1221	-564
533	1110	-423
-174	560	-269
-559	403	-215
-824	585	-2
-863	452	74
-700	751	56
-176	823	165
1345	1328	-273
3228	2418	-441
3650	2098	189
2102	838	-2
890	-130	-286
593	-690	108
522	-769	353
383	-1225	362
408	-1094	317
893	-615	248
2069	-357	28
3848	1772	-237
3333	2385	-363
1460	1546	-524
517	1346	-487
-103	653	-242
-467	493	-137
-790	467	-33
-903	407	-24
-739	670	56
-51	720	201
1520	1107	5
3082	1901	-202
3147	1676	64
1938	597	111
1014	-242	-228
666	-578	-1
429	-694	312
253	-1132	286
374	-1016	329
686	-654	269
1957	-378	-3
3846	1143	-178
3632	2148	-196
1836	1604	-361
601	1003	-487
110	628	-340
-178	448	-304
-629	550	-144
-856	496	-4
-705	542	-47
-208	795	231
1222	980	-147
2595	1567	-79
2929	1705	359
2318	816	-25
1200	-73	-193
790	-618	-127
830	-774	178
681	-952	332
636	-1249	275
596	-649	185
1587	-502	-39
3442	350	-98
3443	2096	-109
1875	1364	-308
836	864	-443
296	825	-357
-218	464	-352
-712	622	-155
