A_X [mg]	A_Y [mg]	A_Z [mg]
219	-260	925
243	-251	980
244	-279	887
278	-280	975
252	-263	920
280	-296	946
270	-272	924
288	-252	936
403	-116	946
413	-15	869
414	6	712
422	-85	562
345	-226	516
286	-466	592
263	-686	635
261	-680	658
272	-745	737
274	-779	689
265	-720	574
269	-766	562
295	-786	527
291	-755	479
282	-832	437
339	-896	381
396	-905	388
428	-982	336
477	-997	321
482	-955	322
477	-984	293
478	-950	294
441	-917	242
429	-972	255
426	-954	297
419	-958	293
421	-936	266
428	-921	314
420	-902	289
422	-858	208
444	-905	279
440	-896	286
474	-1003	298
489	-978	343
459	-861	325
439	-938	331
397	-933	308
364	-886	327
344	-881	392
317	-873	371
327	-886	387
310	-854	365
324	-843	357
351	-864	426
353	-795	364
427	-814	345
402	-907	377
318	-868	324
324	-856	345
307	-936	388
297	-908	403
332	-851	445
332	-858	436
341	-839	423
356	-842	400
329	-862	409
325	-850	439
339	-836	436
343	-829	434
355	-829	448
359	-816	460
349	-808	449
349	-828	462
350	-833	468
354	-790	485
361	-791	497
356	-806	475
353	-785	491
358	-803	502
353	-795	492
360	-797	466
343	-831	421
368	-764	478
391	-773	519
349	-875	441
345	-847	419
332	-826	429
351	-815	458
366	-801	463
339	-876	421
348	-865	430
357	-797	446
353	-837	439
349	-854	440
346	-825	423
368	-833	428
379	-820	452
347	-830	427
343	-841	461
357	-794	500
360	-793	474
378	-794	515
360	-774	474
333	-832	402
351	-841	455
357	-810	499
362	-806	506
356	-793	467
352	-769	447
400	-711	513
358	-847	427
318	-972	281
326	-942	331
314	-882	421
353	-810	411
372	-853	371
368	-858	375
363	-836	393
355	-857	411
343	-837	404
337	-866	393
378	-838	445
386	-766	461
346	-828	415
354	-814	446
355	-818	473
360	-855	472
355	-820	421
334	-826	414
359	-820	449
371	-824	396
369	-843	462
350	-821	477
341	-822	393
361	-802	427
358	-836	426
349	-915	383
347	-860	433
340	-818	468
343	-806	439
348	-759	427
385	-759	461
435	-764	582
368	-940	420
288	-1088	69
275	-894	117
264	-824	299
363	-869	387
395	-836	413
317	-864	454
330	-845	490
317	-862	409
307	-908	399
367	-796	460
360	-768	457
348	-819	438
360	-835	447
313	-832	485
294	-827	488
316	-861	377
357	-816	357
393	-781	476
331	-880	442
293	-957	352
318	-852	439
309	-806	447
335	-837	384
381	-751	488
356	-821	489
298	-964	357
303	-864	375
306	-849	424
333	-849	450
389	-774	475
356	-831	442
311	-836	415
315	-856	389
315	-874	398
325	-862	428
364	-814	510
349	-796	491
318	-822	355
339	-754	453
330	-768	512
324	-932	274
322	-1124	104
299	-1174	17
330	-1202	96
363	-1268	423
316	-1201	642
277	-995	713
326	-680	708
403	-456	671
414	-367	681
394	-328	724
