STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
2.26625 	 0.2975 	 -1.04125 	
1.4875 	 -0.04375 	 -0.97125 	
1.785 	 -0.875 	 -0.58625 	
2.1175 	 -2.10875 	 0.28875 	
2.17875 	 -1.47 	 -0.63 	
1.75 	 -0.72625 	 -1.645 	
1.9775 	 0.105 	 -1.18125 	
1.5225 	 0.67375 	 -0.5775 	
1.54 	 -0.2975 	 -0.48125 	
2.00375 	 -1.60125 	 -0.3325 	
4.795 	 -2.345 	 -0.81375 	
6.71125 	 -2.56375 	 -1.32125 	
9.0475 	 -1.32125 	 -2.23125 	
9.47625 	 0.105 	 -2.03875 	
9.23125 	 -0.56875 	 -2.33625 	
13.825 	 -0.1225 	 -3.87625 	
14.945 	 0.98 	 -3.29875 	
19.4863 	 1.12 	 -3.36 	
28.315 	 2.24 	 -5.145 	
21.9275 	 4.66375 	 -4.865 	
19.67 	 5.53 	 -4.45375 	
16.3625 	 1.25125 	 -4.08625 	
12.285 	 -5.0225 	 -5.3725 	
14.0613 	 -7.105 	 -5.94125 	
17.0625 	 -5.15375 	 -5.005 	
19.845 	 -1.81125 	 -5.2675 	
27.37 	 -3.31625 	 -4.75125 	
32.3575 	 -4.94375 	 -3.10625 	
30.17 	 -2.58125 	 -4.85625 	
29.5225 	 -1.46125 	 -6.11625 	
32.97 	 -2.8525 	 -3.78875 	
38.3688 	 -2.73875 	 -1.04125 	
52.4388 	 -1.365 	 -0.9975 	
57.8463 	 0.98875 	 0.97125 	
52.3863 	 -0.32375 	 5.62625 	
51.7388 	 -2.54625 	 6.23 	
51.38 	 -3.75375 	 3.71 	
51.7738 	 -6.39625 	 2.35375 	
61.4425 	 -10.4213 	 1.98625 	
74.1738 	 -14.07 	 5.2675 	
83.4138 	 -17.4388 	 9.625 	
98.8313 	 -18.795 	 6.545 	
105.429 	 -18.1913 	 2.3625 	
101.771 	 -17.325 	 -0.18375 	
103.241 	 -17.5438 	 -0.9975 	
110.819 	 -17.1325 	 0.25375 	
125.02 	 -15.4263 	 -0.67375 	
138.206 	 -15.3125 	 -5.6175 	
155.488 	 -17.9025 	 -11.2175 	
184.258 	 -21.1663 	 -15.33 	
217.009 	 -23.87 	 -19.8013 	
234.5 	 -25.6288 	 -19.53 	
238.683 	 -26.7488 	 -15.9863 	
256.646 	 -30.6425 	 -15.505 	
265.379 	 -33.2675 	 -13.02 	
245.936 	 -29.5663 	 -4.59375 	
199.859 	 -23.6338 	 4.2875 	
161.613 	 -19.985 	 7.00875 	
139.991 	 -17.0713 	 6.02875 	
122.719 	 -13.615 	 5.005 	
112.403 	 -11.6725 	 4.36625 	
100.59 	 -8.96875 	 2.98375 	
100.275 	 -5.25875 	 0.58625 	
95.1475 	 -4.29625 	 0.37625 	
92.5925 	 -3.325 	 2.555 	
97.1863 	 -4.82125 	 3.38625 	
93.3538 	 -6.58 	 2.40625 	
98.3763 	 -8.40875 	 -0.07875 	
102.209 	 -11.7863 	 -1.02375 	
95.27 	 -14.3413 	 -0.37625 	
94.57 	 -13.1775 	 2.8875 	
97.3175 	 -15.6188 	 4.13875 	
95.9875 	 -16.9138 	 1.89875 	
104.134 	 -15.6188 	 2.135 	
111.563 	 -15.6188 	 5.2325 	
111.344 	 -15.6713 	 6.11625 	
113.068 	 -16.3625 	 5.52125 	
116.156 	 -13.9475 	 1.75875 	
119.823 	 -9.275 	 -0.46375 	
123.559 	 -7.1225 	 -0.72625 	
122.448 	 -12.8275 	 1.54875 	
124.276 	 -16.9138 	 2.82625 	
126.875 	 -16.3888 	 1.2775 	
123.436 	 -13.6063 	 -1.35625 	
117.46 	 -8.9425 	 -4.54125 	
113.671 	 -6.93875 	 -6.6675 	
105.131 	 -5.53875 	 -5.635 	
96.4775 	 -5.53 	 -5.7575 	
96.2238 	 -6.405 	 -7.79625 	
102.953 	 -8.1025 	 -11.1825 	
104.169 	 -7.6475 	 -13.1425 	
106.794 	 -8.225 	 -14.595 	
105.858 	 -12.5388 	 -11.9088 	
92.5225 	 -14.8925 	 -11.0075 	
85.8988 	 -17.29 	 -11.06 	
88.3138 	 -18.095 	 -8.2075 	
96.9763 	 -18.2175 	 -6.53625 	
107.1 	 -14.1225 	 -8.4 	
107.083 	 -9.23125 	 -9.14375 	
104.694 	 -7.84 	 -6.01125 	
111.668 	 -9.84375 	 -5.50375 	
118.388 	 -12.1625 	 -4.6375 	
112.543 	 -10.535 	 -7.8575 	
113.234 	 -6.78125 	 -7.735 	
127.146 	 -4.64625 	 -4.66375 	
135.363 	 -3.8325 	 -1.72375 	
130.296 	 -4.0075 	 -1.75 	
132.125 	 -5.46 	 -5.11 	
126.385 	 -6.04625 	 -6.60625 	
115.999 	 -4.9875 	 -5.2325 	
119.096 	 -5.17125 	 -2.5725 	
121.713 	 -5.5125 	 -0.60375 	
104.256 	 -1.75875 	 0.385 	
101.64 	 -0.56 	 -3.07125 	
128.678 	 -3.71 	 -10.0538 	
126.761 	 -3.08875 	 -9.3975 	
107.73 	 -2.42375 	 -4.2175 	
88.9263 	 0.2975 	 -1.30375 	
81.7513 	 2.12625 	 -4.4275 	
82.3813 	 0.60375 	 -9.38875 	
83.0463 	 -0.37625 	 -10.1588 	
79.9838 	 -3.21125 	 -6.34375 	
67.5675 	 -0.9975 	 -4.655 	
65.0738 	 1.30375 	 -5.94125 	
78.1288 	 2.09125 	 -8.47875 	
90.4138 	 1.23375 	 -10.2988 	
92.3388 	 0.88375 	 -8.47 	
85.9863 	 0.83125 	 -5.9675 	
94.0538 	 -1.18125 	 -6.8775 	
104.431 	 -1.015 	 -8.225 	
99.33 	 -0.315 	 -8.70625 	
94.6488 	 1.07625 	 -8.435 	
94.9813 	 0.805 	 -7.86625 	
101.019 	 -1.07625 	 -9.21375 	
104.335 	 -0.53375 	 -9.73875 	
99.925 	 1.91625 	 -9.14375 	
96.6438 	 2.9575 	 -7.44625 	
89.4863 	 1.0325 	 -6.53625 	
93.6338 	 -2.3975 	 -7.62125 	
100.459 	 -4.165 	 -9.485 	
103.154 	 -1.82 	 -10.5438 	
98.8313 	 -3.29 	 -10.1588 	
89.6613 	 -9.00375 	 -7.93625 	
84.5863 	 -9.38 	 -4.3925 	
81.1388 	 -2.1 	 -3.3775 	
84.4375 	 -0.805 	 -4.94375 	
95.2263 	 -1.8375 	 -6.5275 	
107.126 	 -3.45625 	 -7.2275 	
112.263 	 -4.095 	 -5.78375 	
110.574 	 -5.985 	 -1.75875 	
97.4925 	 -10.2638 	 2.8 	
94.4913 	 -12.18 	 5.25875 	
104.151 	 -9.16125 	 1.95125 	
119.026 	 -6.18625 	 -3.745 	
126.289 	 -8.30375 	 -4.24375 	
122.509 	 -8.155 	 -4.0775 	
116.235 	 -10.6925 	 2.415 	
106.181 	 -18.0338 	 5.64375 	
103.119 	 -23.4238 	 -2.52875 	
123.69 	 -17.255 	 -17.6138 	
145.495 	 -8.77625 	 -26.8713 	
144.996 	 -3.57875 	 -25.6638 	
132.773 	 -2.98375 	 -25.165 	
124.416 	 -3.7975 	 -27.5363 	
123.323 	 -4.515 	 -31.9375 	
124.075 	 -4.1825 	 -31.8325 	
128.564 	 -3.71875 	 -27.8075 	
123.646 	 0.18375 	 -23.065 	
118.904 	 2.205 	 -24.3075 	
113.505 	 1.18125 	 -24.2025 	
118.291 	 0.93625 	 -21.8225 	
122.64 	 0.4375 	 -12.8275 	
128.8 	 4.1125 	 -8.5225 	
130.944 	 4.01625 	 -9.24 	
127.383 	 0.6125 	 -16.695 	
127.663 	 -3.05375 	 -21.6388 	
126.21 	 -2.8525 	 -17.5525 	
119.761 	 1.085 	 -11.6288 	
112.306 	 4.1125 	 -2.73875 	
110.548 	 1.4875 	 7.88375 	
125.869 	 -0.6125 	 6.95625 	
140.665 	 -1.74125 	 -6.44875 	
144.235 	 4.78625 	 -24.0625 	
