STEVAL-MKI251A (LSM6DSV320X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-58.8875 	 -6.29125 	 -6.64125 	
-68.3025 	 -13.1338 	 -0.2975 	
-73.7625 	 -11.6025 	 4.59375 	
-59.2725 	 -7.035 	 7.41125 	
-44.5025 	 1.3125 	 6.2475 	
-35.42 	 7.53375 	 6.335 	
-34.79 	 8.28625 	 6.11625 	
-44.1875 	 6.30875 	 6.37875 	
-52.36 	 -1.77625 	 7.53375 	
-55.2738 	 -3.00125 	 6.195 	
-38.57 	 0.7175 	 3.61375 	
-28.7875 	 5.1625 	 0.5425 	
-29.5575 	 6.30875 	 -0.1225 	
-35.945 	 3.99 	 -0.0175 	
-42.07 	 0.5775 	 0.245 	
-51.7738 	 -3.07125 	 -0.21875 	
-54.7663 	 -3.4825 	 -1.74125 	
-49.0175 	 1.96 	 -1.7675 	
-35.5425 	 6.8775 	 0.875 	
-23.345 	 5.3725 	 4.375 	
-29.8638 	 4.43625 	 5.41625 	
-38.6225 	 2.40625 	 1.39125 	
-42.8663 	 0.6125 	 1.07625 	
-46.6725 	 2.94875 	 2.485 	
-39.4363 	 4.6025 	 3.49125 	
-38.6225 	 7 	 3.7625 	
-35.0788 	 8.23375 	 3.87625 	
-42.7088 	 9.0475 	 3.08 	
-61.7575 	 9.345 	 1.23375 	
-77.3238 	 7.9625 	 2.03 	
-80.395 	 6.57125 	 4.13 	
-65.94 	 5.34625 	 5.15375 	
-51.2925 	 4.095 	 3.99875 	
-60.4713 	 6.51875 	 3.85 	
-72.5813 	 11.0163 	 6.4225 	
-74.3488 	 11.5413 	 7.72625 	
-79.1263 	 9.9225 	 6.5975 	
-83.3525 	 9.42375 	 10.5 	
-76.3875 	 6.16875 	 11.585 	
-71.9075 	 2.47625 	 11.5763 	
-66.9988 	 2.45875 	 9.72125 	
-67.9525 	 7.65625 	 7.49 	
-85.0763 	 12.495 	 8.51375 	
-108.456 	 12.6963 	 10.71 	
-118.851 	 10.9638 	 10.7538 	
-101.588 	 6.55375 	 12.4075 	
-88.235 	 6.06375 	 11.2 	
-102.568 	 10.9725 	 9.9575 	
-116.611 	 10.2463 	 9.9225 	
-122.658 	 10.7188 	 7.8925 	
-110.924 	 11.2613 	 10.9988 	
-113.076 	 11.6463 	 11.8738 	
-122.806 	 9.79125 	 11.0775 	
-124.661 	 8.02375 	 8.44375 	
-109.848 	 6.57125 	 7.0875 	
-91 	 8.54875 	 9.2225 	
-81.1125 	 6.79875 	 12.3638 	
-74.6025 	 3.465 	 10.3075 	
-71.12 	 -0.70875 	 11.3138 	
-71.925 	 -0.79625 	 10.5788 	
-80.4563 	 0.18375 	 8.645 	
-88.8475 	 3.59625 	 9.5725 	
-91.3238 	 6.72 	 11.5063 	
-107.424 	 6.88625 	 11.935 	
-119.753 	 3.85 	 16.1525 	
-114.52 	 -4.4275 	 18.4625 	
-106.321 	 -7.91 	 19.2063 	
-106.033 	 -7.23625 	 19.7575 	
-115.78 	 -2.3275 	 20.475 	
-130.804 	 2.86125 	 15.4963 	
-128.389 	 -5.88875 	 10.465 	
-126.779 	 -18.7425 	 10.9113 	
-142.223 	 -7.90125 	 16.3888 	
-147.131 	 1.9425 	 16.59 	
-120.838 	 2.10875 	 11.235 	
-89.3725 	 0.595 	 3.92875 	
-91.735 	 7.35875 	 0.35 	
-109.699 	 12.3375 	 2.33625 	
-119.088 	 4.87375 	 0.81375 	
-114.608 	 5.97625 	 0.02625 	
-104.878 	 10.7625 	 1.84625 	
-107.039 	 15.4613 	 5.15375 	
-106.881 	 14.9975 	 2.9575 	
-87.1938 	 8.9425 	 -1.855 	
-84.0525 	 10.1325 	 -2.38875 	
-77.6125 	 10.535 	 2.86125 	
-78.6363 	 12.4863 	 4.34 	
-90.1425 	 12.1188 	 0.98875 	
-109.988 	 13.4575 	 2.9225 	
-123.786 	 12.145 	 9.31 	
-128.048 	 11.8125 	 10.4475 	
-119.28 	 6.53625 	 7.95375 	
-115.903 	 3.68375 	 8.39125 	
-110.504 	 1.91625 	 10.185 	
-99.9863 	 -1.95125 	 10.8063 	
-87.465 	 -6.0375 	 9.49375 	
-88.6113 	 -5.215 	 9.19625 	
-93.6513 	 -0.97125 	 10.0975 	
-90.8075 	 0.84875 	 8.47 	
-88.4713 	 -0.1575 	 9.345 	
-101.92 	 3.21125 	 10.3425 	
-113.584 	 5.11875 	 12.6788 	
-115.666 	 3.71875 	 15.0413 	
-117.11 	 1.9425 	 17.5175 	
-125.965 	 4.10375 	 15.68 	
-143.448 	 8.91625 	 14.455 	
-158.62 	 11.83 	 16.2838 	
-157.868 	 11.4188 	 17.0975 	
-151.961 	 9.91375 	 17.7538 	
-155.733 	 10.7975 	 18.6375 	
-154.595 	 10.9288 	 23.6688 	
-151.191 	 10.6488 	 25.4275 	
-143.631 	 11.06 	 24.8588 	
-135.38 	 11.795 	 22.6013 	
-122.448 	 11.6813 	 21.1313 	
-103.653 	 11.6463 	 23.9838 	
-99.3825 	 12.67 	 26.7488 	
-103.32 	 12.6875 	 25.5675 	
-95.4275 	 7.93625 	 20.5625 	
-88.2963 	 7.1575 	 16.3013 	
-92.4525 	 11.3838 	 18.1213 	
-104.353 	 13.0813 	 22.785 	
-104.248 	 8.3125 	 24.5875 	
-96.0838 	 5.075 	 22.1113 	
-97.7288 	 7.95375 	 18.6463 	
-96.5563 	 9.42375 	 16.835 	
-95.8738 	 7.32375 	 14.7875 	
-97.6413 	 7.30625 	 14.2013 	
-102.585 	 5.41625 	 14.525 	
-106.304 	 6.30875 	 16.4763 	
-107.424 	 5.9675 	 15.6538 	
-111.09 	 8.3825 	 13.4225 	
-108.491 	 11.4538 	 12.3288 	
-90.7988 	 9.42375 	 11.095 	
-83.0113 	 7.035 	 12.0838 	
-82.7838 	 8.5925 	 14.7 	
-77.9713 	 7.665 	 13.09 	
-78.3913 	 5.8275 	 8.5225 	
-76.02 	 9.45875 	 8.74125 	
-75.6788 	 6.93875 	 10.9725 	
-79.0738 	 6.83375 	 15.645 	
-76.0813 	 7.93625 	 14.9188 	
-78.47 	 6.39625 	 13.8338 	
-96.2063 	 9.3975 	 18.375 	
-91.14 	 8.56625 	 18.1913 	
-78.995 	 5.5125 	 12.5475 	
-93.9838 	 7.51625 	 8.505 	
-106.181 	 9.26625 	 10.9113 	
-103.145 	 8.00625 	 13.2388 	
-113.435 	 10.78 	 13.7988 	
-114.826 	 8.16375 	 11.6638 	
-101.29 	 2.66 	 8.0325 	
-102.34 	 3.7975 	 6.90375 	
-105.333 	 4.68125 	 8.4 	
-115.929 	 5.6875 	 13.2213 	
-121.03 	 6.2125 	 17.2463 	
-122.404 	 5.7575 	 15.1988 	
-116.953 	 4.9875 	 13.4575 	
-116.865 	 3.4125 	 7.6125 	
-119.228 	 0.39375 	 4.99625 	
-114.065 	 0.2625 	 6.3875 	
-119.324 	 3.045 	 12.0313 	
-110.373 	 0.7 	 7.665 	
-107.433 	 -2.7825 	 -1.2075 	
