STEVAL-MKI251A (LSM6DSV320X)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-264	500	829
-309	633	787
-340	634	687
-187	529	752
-165	461	696
-283	493	794
-209	403	752
-256	480	787
-260	510	778
-236	440	751
-234	464	762
-201	683	640
-247	752	556
-312	427	524
-356	200	556
-399	-119	619
-464	-355	724
-507	-456	805
-585	-629	839
-620	-588	921
-632	-573	914
-551	-274	760
-412	78	781
-451	163	987
-430	-42	993
-342	-412	953
-197	-65	975
-84	-190	1010
-148	-685	1095
-102	-443	1043
-48	-394	962
-151	-336	990
-267	-215	1066
-324	-167	1091
-376	-170	1019
-376	-263	940
-328	-68	794
-289	-70	701
-212	-281	804
-186	-404	861
-175	-445	830
-156	-384	861
-174	-292	914
-179	-195	927
-188	-252	914
-181	-339	886
-185	-374	871
-198	-373	887
-198	-335	898
-196	-339	896
-174	-326	887
-168	-318	886
-176	-312	896
-193	-302	894
-209	-311	900
-211	-311	902
-211	-312	895
-205	-312	894
-203	-312	894
-203	-313	894
-203	-316	896
-204	-312	896
-201	-312	894
-199	-323	893
-199	-319	889
-201	-324	893
-204	-335	895
-201	-331	886
-203	-333	888
-200	-335	887
-192	-338	890
-195	-331	894
-191	-328	896
-183	-335	905
-189	-330	893
-198	-340	886
-210	-365	886
-202	-354	859
-195	-326	873
-201	-316	906
-183	-305	893
-184	-296	914
-189	-288	917
-176	-291	868
-195	-297	897
-207	-287	916
-185	-291	911
-161	-307	923
-141	-397	873
-120	-471	862
-126	-399	867
-157	-365	888
-161	-398	892
-126	-383	830
-102	-365	868
-172	-418	855
-206	-457	825
-180	-370	853
-194	-325	873
-135	-447	849
-165	-581	794
-267	-472	897
-223	-249	884
-250	-334	821
-266	-520	849
-224	-548	852
-278	-547	911
-242	-515	828
-170	-479	824
-208	-388	912
-261	-385	891
-216	-524	862
-154	-446	778
-206	-417	794
-285	-528	802
-403	-415	774
-343	-442	773
-188	-601	765
-295	-579	830
-229	-587	805
-199	-466	811
-329	-427	866
-74	-605	809
-5	-420	840
-122	-239	906
-66	-396	845
-243	-497	827
-392	-397	881
-373	-218	826
-358	-258	780
-267	-419	833
-189	-507	845
-171	-553	874
-215	-479	906
-218	-447	863
-134	-556	872
-63	-535	867
25	-479	820
45	-584	891
-9	-485	903
-36	-260	820
-119	-226	859
-183	-265	877
-192	-380	871
-235	-416	919
-231	-365	932
-168	-343	938
-124	-317	892
-115	-406	870
-104	-434	881
-88	-430	864
-94	-443	868
-109	-403	849
-127	-419	870
-175	-369	873
-230	-385	881
-210	-373	923
-174	-269	876
-118	-256	862
-68	-245	893
-134	-337	876
-173	-401	840
-219	-494	846
-292	-615	860
-254	-534	864
-200	-438	879
-152	-392	875
-166	-398	849
-245	-446	834
-273	-476	856
-284	-408	842
-283	-380	856
-273	-378	852
-224	-364	804
-214	-460	850
-280	-369	849
-274	-267	875
-251	-304	900
-236	-342	864
-226	-372	898
-210	-294	904
-206	-225	925
-298	-165	1020
-337	-11	1140
-438	225	1052
-633	10	756
-585	-347	547
-425	-407	424
-399	-1069	439
-262	-1434	280
-60	-885	27
-185	-571	320
-347	-561	579
-273	-1020	395
-197	-1509	254
-268	-1383	248
-456	-1203	342
-576	-973	458
-615	-690	552
-610	-571	669
-605	-558	683
-596	-588	595
-526	-577	559
-494	-615	592
-445	-626	590
-381	-607	566
-352	-628	567
-318	-617	561
-305	-641	551
-306	-678	546
-320	-708	553
-338	-752	543
-361	-771	534
-382	-769	547
-390	-763	545
-394	-750	547
-385	-739	535
-367	-731	538
-356	-732	547
-351	-734	540
-328	-758	571
-346	-743	541
-360	-673	510
-326	-728	547
-335	-746	528
-327	-765	526
-306	-887	522
-329	-856	508
-346	-817	567
-367	-731	515
-367	-657	432
-373	-761	495
-388	-789	517
-385	-772	541
-403	-722	592
-383	-698	561
-360	-734	559
-351	-697	553
-310	-732	537
-309	-799	537
-331	-781	503
-339	-773	500
-349	-777	518
-359	-735	553
-368	-699	580
-364	-698	574
-353	-703	577
-347	-718	573
-350	-720	580
-355	-711	585
-358	-708	585
-364	-697	595
-371	-684	601
-374	-669	607
-373	-653	610
-375	-647	619
-367	-652	625
-352	-668	623
-343	-695	614
-330	-706	604
-326	-703	598
-327	-705	591
-326	-709	596
-335	-710	598
-338	-704	600
-335	-698	608
-331	-700	602
-322	-707	600
-316	-712	596
-310	-717	588
-305	-727	585
-301	-733	580
-297	-735	582
-296	-735	582
-294	-735	583
-295	-734	585
-292	-732	583
-291	-736	588
-294	-738	586
-287	-740	582
-282	-743	584
-281	-743	583
-280	-739	583
-282	-741	583
-277	-745	582
-268	-748	578
-263	-753	577
-265	-752	577
-267	-753	580
-265	-750	581
-262	-745	580
-261	-748	583
-260	-747	581
-260	-749	580
-262	-746	581
-270	-737	583
-284	-731	592
-287	-724	593
-293	-725	601
-302	-720	612
-303	-705	608
-307	-709	608
-305	-717	603
-302	-718	597
-299	-723	600
-296	-724	597
-294	-730	595
-286	-732	591
-286	-726	590
-293	-728	593
-294	-727	590
-295	-729	594
-299	-728	597
-306	-721	596
-307	-720	600
-301	-722	597
-295	-725	594
-291	-727	596
-292	-726	595
-293	-728	593
-290	-728	590
-288	-725	591
-292	-724	594
-296	-727	593
-295	-727	595
-296	-725	595
-298	-723	596
-297	-724	598
-294	-722	596
-293	-721	595
-295	-726	594
-294	-727	594
-294	-726	595
-295	-726	597
-293	-728	594
-294	-725	595
-296	-723	600
-296	-724	597
-298	-726	598
-298	-727	601
-297	-723	596
-293	-722	596
-288	-724	594
-288	-726	591
-292	-728	597
-295	-726	600
-293	-727	599
-287	-723	599
-285	-715	598
-286	-719	600
-285	-724	598
-282	-726	596
-287	-728	596
-292	-726	597
-294	-724	601
-294	-723	601
-290	-721	601
-287	-723	601
-287	-725	598
-286	-726	599
-287	-726	597
-286	-726	597
-287	-723	601
-288	-720	601
-288	-721	603
-289	-722	601
-289	-724	600
-289	-724	600
-286	-724	599
-283	-726	598
-283	-725	594
-287	-725	602
-290	-723	602
-289	-724	597
-288	-726	602
-289	-724	596
-293	-724	598
-295	-721	603
-291	-723	596
-289	-725	599
-288	-720	597
-290	-721	597
-291	-727	597
-290	-724	596
-290	-725	598
-293	-726	596
-296	-726	601
-298	-725	597
-297	-723	599
-298	-724	600
-298	-725	597
-294	-725	599
-292	-726	592
-291	-727	598
-294	-726	593
-289	-726	598
-291	-724	595
-291	-727	597
-294	-732	599
-292	-727	594
-298	-760	609
-313	-784	593
-304	-771	608
-335	-852	594
-341	-946	602
-339	-1025	623
-353	-1097	622
-241	-1069	599
-133	-1289	483
-41	-1335	419
109	-1176	324
249	-1450	208
379	-1365	92
395	-1170	195
326	-899	207
285	-593	114
223	-658	351
250	-266	203
396	-554	351
351	-205	559
348	448	385
553	-1022	424
718	-1053	112
919	-521	-1
840	-961	-159
596	-350	-134
693	-234	44
863	-10	-262
978	53	14
1021	-662	147
970	-438	118
951	-373	256
942	-458	225
967	-288	276
971	-402	103
934	-387	74
912	-446	96
906	-438	8
901	-443	29
879	-537	31
894	-395	-24
849	-435	102
796	-635	207
832	-475	-140
825	-252	-76
840	-388	85
953	-574	-158
960	-495	-71
845	-498	-15
861	-770	-59
812	-665	30
730	-728	30
617	-780	49
558	-641	4
634	-1174	-3
537	-996	-3
709	-896	-112
735	-752	-135
791	367	-139
555	873	688
134	414	1350
928	-1660	1033
833	-1756	884
247	0	534
176	-487	828
-65	-385	767
-59	-284	566
-146	-589	798
-7	-298	205
-824	-1079	1895
-865	-804	2131
194	-291	29
-168	-845	836
