A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
171.288 	 1014.06 	 -120.536 	5.6 	 8.96 	 6.02 	
78.568 	 1019.43 	 -129.32 	1.82 	 10.5 	 -1.61 	
70.76 	 986.736 	 -145.912 	0.63 	 8.26 	 -6.51 	
107.36 	 973.072 	 -124.44 	1.89 	 9.8 	 -2.38 	
114.68 	 943.792 	 -115.168 	2.87 	 14.56 	 2.24 	
137.128 	 937.448 	 -111.264 	4.69 	 17.15 	 2.59 	
143.96 	 966.728 	 -119.072 	6.3 	 18.83 	 -0.91 	
133.712 	 966.24 	 -133.224 	7.56 	 19.67 	 -6.58 	
103.456 	 978.44 	 -127.856 	10.01 	 17.29 	 -9.8 	
45.384 	 963.312 	 -173.728 	13.37 	 20.16 	 -12.18 	
-260.592 	 1214.63 	 -141.52 	3.92 	 -6.65 	 -6.3 	
-337.696 	 1192.18 	 -133.712 	-31.15 	 -65.31 	 12.67 	
-214.232 	 1062.38 	 -165.432 	-62.86 	 -127.4 	 27.16 	
49.776 	 937.936 	 -182.024 	-75.25 	 -166.88 	 35.56 	
450.424 	 790.072 	 -153.72 	-64.68 	 -153.02 	 30.8 	
826.672 	 703.208 	 -109.312 	-29.33 	 -80.71 	 12.46 	
635.864 	 783.728 	 -120.536 	18.27 	 29.4 	 -10.71 	
538.264 	 873.52 	 -206.912 	52.01 	 119.42 	 -22.89 	
356.728 	 859.856 	 -312.808 	68.88 	 185.36 	 -33.88 	
138.104 	 896.944 	 -390.4 	79.8 	 222.81 	 -40.53 	
-148.84 	 967.216 	 -352.336 	81.41 	 221.27 	 -41.79 	
-215.208 	 1069.21 	 -315.736 	73.15 	 189.56 	 -35.98 	
-552.416 	 1174.62 	 -192.272 	53.2 	 125.44 	 -28.63 	
-480.68 	 1301.5 	 -183 	13.65 	 31.36 	 -12.88 	
-496.784 	 1219.02 	 -226.432 	-38.29 	 -75.81 	 10.22 	
-308.904 	 1117.03 	 -271.816 	-76.93 	 -161.91 	 23.87 	
-69.296 	 974.048 	 -314.76 	-96.6 	 -213.22 	 40.04 	
175.68 	 822.768 	 -262.056 	-92.4 	 -224.21 	 51.87 	
603.656 	 767.624 	 -178.12 	-65.31 	 -180.32 	 42.84 	
728.096 	 714.92 	 -135.176 	-23.38 	 -88.9 	 25.2 	
743.712 	 759.328 	 -134.2 	21.07 	 20.44 	 4.62 	
611.464 	 827.16 	 -236.68 	57.33 	 123.55 	 -13.37 	
386.008 	 810.568 	 -355.264 	81.41 	 196.56 	 -26.46 	
77.104 	 926.712 	 -422.608 	95.97 	 235.27 	 -27.51 	
-291.824 	 1128.74 	 -355.264 	90.65 	 215.74 	 -24.08 	
-480.68 	 1263.92 	 -188.368 	56.7 	 136.43 	 -15.61 	
-264.008 	 1220.98 	 -149.328 	8.12 	 43.05 	 -2.52 	
-27.328 	 1043.83 	 -162.016 	-27.65 	 -25.13 	 9.59 	
245.464 	 862.784 	 -158.112 	-34.65 	 -50.54 	 14.77 	
340.136 	 818.864 	 -144.448 	-16.31 	 -34.23 	 11.9 	
293.288 	 915.976 	 -156.16 	0.28 	 -10.71 	 4.83 	
232.288 	 944.28 	 -169.336 	6.16 	 4.69 	 -0.63 	
175.192 	 971.608 	 -163.48 	5.39 	 9.31 	 -2.45 	
152.744 	 975.024 	 -161.04 	4.27 	 4.76 	 -2.38 	
162.016 	 958.432 	 -162.504 	3.78 	 -0.28 	 -0.49 	
170.8 	 978.44 	 -186.904 	3.15 	 -4.69 	 0.35 	
193.736 	 986.736 	 -192.76 	0.63 	 -6.3 	 3.08 	
326.96 	 928.664 	 -197.152 	0.21 	 0.77 	 6.65 	
543.632 	 806.176 	 -239.608 	12.04 	 39.41 	 11.55 	
511.912 	 814.96 	 -296.704 	36.68 	 99.75 	 8.82 	
296.704 	 903.776 	 -328.912 	51.38 	 143.85 	 -1.26 	
-327.936 	 1120.45 	 -205.936 	50.19 	 128.59 	 -14 	
-628.056 	 1422.03 	 -101.016 	7.07 	 16.45 	 -3.78 	
-357.216 	 1234.64 	 -206.912 	-55.58 	 -118.44 	 15.82 	
-42.456 	 994.544 	 -346.48 	-98 	 -213.43 	 35 	
837.896 	 632.936 	 -328.912 	-96.81 	 -220.15 	 47.25 	
1185.84 	 508.984 	 -254.248 	-35.91 	 -86.1 	 27.3 	
809.104 	 701.256 	 -250.832 	29.47 	 56.07 	 -2.03 	
604.144 	 761.28 	 -354.288 	64.89 	 154.07 	 -28.14 	
105.408 	 880.84 	 -350.872 	81.9 	 191.52 	 -41.65 	
-514.84 	 1342.49 	 -178.608 	69.93 	 141.61 	 -35.98 	
-754.448 	 1450.34 	 -111.752 	1.61 	 -0.14 	 -5.81 	
-13.664 	 1094.1 	 -244.488 	-63 	 -127.47 	 13.02 	
650.504 	 740.296 	 -249.856 	-74.97 	 -152.81 	 24.64 	
1066.28 	 548.024 	 -248.88 	-27.93 	 -53.13 	 12.95 	
673.928 	 720.288 	 -254.248 	28.07 	 71.89 	 -8.33 	
195.688 	 878.888 	 -267.912 	57.05 	 136.36 	 -27.72 	
-476.288 	 1311.26 	 -115.656 	46.97 	 102.06 	 -26.04 	
-539.24 	 1297.59 	 -73.688 	-6.65 	 -25.41 	 -1.33 	
252.784 	 911.096 	 -189.344 	-43.4 	 -110.25 	 19.04 	
739.808 	 712.48 	 -229.36 	-30.31 	 -83.3 	 22.19 	
530.944 	 822.768 	 -218.136 	-0.84 	 -1.96 	 8.4 	
297.192 	 945.744 	 -180.072 	13.65 	 40.95 	 -8.12 	
81.496 	 1003.33 	 -118.096 	11.06 	 38.57 	 -10.57 	
60.512 	 988.2 	 -101.016 	3.78 	 10.99 	 -6.16 	
128.344 	 985.76 	 -130.296 	-2.17 	 -15.19 	 -0.35 	
86.864 	 1029.19 	 -142.496 	-8.75 	 -35.77 	 4.97 	
40.504 	 1042.37 	 -163.48 	-21.28 	 -61.6 	 12.95 	
54.656 	 1073.6 	 -173.24 	-39.97 	 -97.58 	 24.43 	
325.984 	 941.84 	 -189.344 	-53.62 	 -114.31 	 31.36 	
371.856 	 857.904 	 -152.256 	-49.91 	 -100.1 	 33.04 	
463.112 	 825.208 	 -121.024 	-34.16 	 -74.06 	 28 	
413.336 	 854.488 	 -103.456 	-13.79 	 -40.95 	 16.87 	
365.024 	 912.072 	 -111.264 	-0.49 	 -18.97 	 6.79 	
352.824 	 932.08 	 -120.048 	4.41 	 -5.74 	 0.07 	
373.808 	 930.128 	 -140.544 	5.53 	 7.56 	 -5.46 	
570.472 	 869.128 	 -210.816 	5.95 	 37.17 	 -10.64 	
-41.968 	 1128.74 	 -138.592 	6.51 	 52.85 	 -6.16 	
-330.376 	 1220.49 	 4.392 	-30.66 	 -15.12 	 5.25 	
64.416 	 936.472 	 -21.472 	-59.78 	 -96.95 	 13.58 	
787.144 	 630.984 	 -82.472 	-44.45 	 -105.91 	 11.48 	
927.688 	 640.744 	 -150.304 	9.17 	 -12.6 	 -12.67 	
593.896 	 842.776 	 -212.28 	50.75 	 81.62 	 -29.96 	
139.568 	 1045.78 	 -256.688 	59.29 	 127.61 	 -29.54 	
-691.008 	 1412.27 	 -1.952 	15.33 	 62.79 	 -10.22 	
