A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-118.584 	 992.104 	 -71.248 	-0.07 	 -0.49 	 0.21 	
-111.264 	 988.688 	 -70.272 	0.07 	 -0.07 	 0.21 	
-99.552 	 983.808 	 -73.688 	0.35 	 0.77 	 0.42 	
-126.392 	 990.152 	 -75.64 	0.49 	 0.35 	 -0.35 	
-130.784 	 986.248 	 -74.664 	0.49 	 -0.56 	 -0.42 	
-112.728 	 987.712 	 -75.152 	0.49 	 -1.12 	 0.77 	
-104.432 	 978.928 	 -77.592 	1.61 	 0.14 	 7.28 	
-78.08 	 987.224 	 -83.448 	6.65 	 4.27 	 29.54 	
-74.664 	 995.52 	 -79.544 	13.16 	 8.33 	 54.25 	
-62.464 	 1009.67 	 -93.696 	15.54 	 11.48 	 66.22 	
-7.808 	 994.056 	 -100.528 	13.16 	 10.36 	 57.12 	
37.088 	 991.128 	 -120.536 	7.7 	 7.14 	 35.91 	
90.768 	 1009.67 	 -117.12 	-0.98 	 5.74 	 5.67 	
60.024 	 947.208 	 -121.512 	-7.21 	 6.44 	 -33.32 	
-49.288 	 974.048 	 -90.28 	-11.9 	 5.53 	 -80.57 	
-96.136 	 972.096 	 -85.4 	-14.35 	 1.89 	 -114.45 	
-47.824 	 1005.77 	 -97.112 	-13.86 	 0.63 	 -93.73 	
-160.064 	 1012.6 	 -93.208 	-9.87 	 0.14 	 -31.99 	
-160.552 	 962.336 	 -67.344 	0 	 -1.61 	 18.97 	
-107.36 	 979.904 	 -77.592 	13.79 	 -3.92 	 69.86 	
-72.224 	 1038.46 	 -79.056 	19.32 	 -0.35 	 114.59 	
-13.664 	 997.96 	 -95.16 	14.63 	 1.89 	 99.4 	
35.136 	 955.016 	 -90.768 	5.39 	 2.38 	 46.34 	
101.016 	 974.048 	 -103.944 	-3.36 	 3.43 	 -8.19 	
-24.4 	 962.824 	 -85.888 	-8.19 	 7.56 	 -49.7 	
-26.84 	 969.168 	 -72.712 	-10.36 	 3.85 	 -92.12 	
-58.56 	 1040.9 	 -91.256 	-13.09 	 0.49 	 -94.85 	
-90.28 	 1000.89 	 -102.48 	-8.12 	 -1.61 	 -32.62 	
-166.408 	 982.344 	 -73.2 	1.68 	 -1.75 	 32.06 	
-70.272 	 997.96 	 -78.568 	9.73 	 -4.76 	 66.5 	
39.528 	 1028.22 	 -98.576 	11.9 	 -2.59 	 95.9 	
47.824 	 985.76 	 -101.504 	7.7 	 0.49 	 92.61 	
81.496 	 959.896 	 -91.256 	0.91 	 4.27 	 48.09 	
146.888 	 909.144 	 -87.352 	-6.72 	 5.81 	 -25.41 	
45.384 	 936.472 	 -54.168 	-7.63 	 7.77 	 -81.69 	
48.312 	 965.752 	 -72.712 	-8.96 	 8.61 	 -109.27 	
-54.656 	 1014.06 	 -89.792 	-6.72 	 8.33 	 -77.63 	
-187.88 	 1051.15 	 -67.832 	1.26 	 8.12 	 7.07 	
-131.76 	 1009.67 	 -74.176 	8.61 	 2.17 	 52.5 	
40.992 	 986.736 	 -87.352 	14.63 	 7.42 	 70 	
104.92 	 963.312 	 -100.528 	17.36 	 18.41 	 64.12 	
175.68 	 925.248 	 -126.88 	16.73 	 30.1 	 46.83 	
120.048 	 942.328 	 -130.296 	16.8 	 37.45 	 25.48 	
118.584 	 979.416 	 -136.64 	15.61 	 39.83 	 9.38 	
69.784 	 1004.79 	 -142.008 	12.25 	 35.63 	 -3.64 	
84.912 	 999.424 	 -144.448 	8.89 	 29.96 	 -9.45 	
68.32 	 1000.4 	 -133.224 	6.58 	 25.2 	 -9.24 	
77.104 	 996.496 	 -138.104 	5.04 	 19.67 	 -5.6 	
80.032 	 1009.67 	 -139.568 	1.75 	 15.54 	 2.17 	
128.344 	 987.224 	 -126.88 	0 	 11.55 	 11.55 	
163.48 	 986.736 	 -122.976 	0.7 	 11.62 	 33.18 	
102.48 	 1000.89 	 -117.12 	2.94 	 12.25 	 56.14 	
177.144 	 971.12 	 -123.952 	3.85 	 11.48 	 53.62 	
232.288 	 946.72 	 -125.904 	1.89 	 10.43 	 29.82 	
252.784 	 998.448 	 -141.52 	-5.11 	 13.51 	 -5.74 	
167.872 	 981.368 	 -125.416 	-10.57 	 10.22 	 -46.48 	
151.768 	 975.024 	 -112.24 	-21.07 	 3.15 	 -90.79 	
