A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-12.2 	 977.952 	 -186.904 	0.91 	 -1.12 	 0.28 	
1.464 	 986.736 	 -188.368 	0.35 	 -1.26 	 0.28 	
4.392 	 978.928 	 -181.536 	-0.21 	 -0.07 	 0.49 	
-9.76 	 972.584 	 -177.144 	0 	 0.21 	 -0.14 	
5.856 	 979.416 	 -181.048 	0.42 	 -0.07 	 0 	
-6.832 	 981.368 	 -182.512 	0.56 	 -0.21 	 0.07 	
-3.416 	 973.072 	 -175.68 	0.35 	 -0.56 	 -0.14 	
0.488 	 980.88 	 -178.12 	0.42 	 -0.63 	 -0.07 	
5.856 	 973.56 	 -182.512 	0.63 	 -0.14 	 0.14 	
-8.296 	 983.808 	 -177.144 	0.56 	 -0.14 	 -0.77 	
-10.736 	 964.776 	 -180.56 	0.49 	 -0.84 	 -0.91 	
-10.736 	 980.88 	 -184.464 	0.91 	 -1.68 	 -0.07 	
9.272 	 981.368 	 -186.904 	0.77 	 -0.42 	 0.84 	
3.416 	 977.952 	 -184.464 	0.98 	 1.26 	 0.14 	
9.76 	 973.56 	 -186.904 	0.84 	 2.31 	 -0.42 	
2.44 	 973.56 	 -185.44 	0.98 	 2.73 	 -1.26 	
-24.4 	 977.952 	 -178.12 	0.56 	 1.54 	 -1.19 	
-110.288 	 955.016 	 -165.432 	0.21 	 -6.09 	 1.82 	
-211.792 	 1042.86 	 -142.984 	-4.48 	 -29.61 	 11.62 	
-204.472 	 1009.18 	 -152.744 	-8.89 	 -62.58 	 23.52 	
8.296 	 976.488 	 -200.568 	-12.67 	 -87.43 	 29.05 	
293.776 	 919.88 	 -229.848 	-13.23 	 -75.53 	 21.63 	
637.816 	 872.056 	 -261.568 	-2.17 	 -14.77 	 0.77 	
481.656 	 875.472 	 -300.608 	13.79 	 80.15 	 -30.24 	
344.528 	 897.432 	 -373.32 	24.15 	 155.82 	 -54.53 	
107.36 	 895.968 	 -428.952 	29.19 	 207.34 	 -63.91 	
-221.064 	 906.704 	 -406.504 	32.83 	 221.76 	 -62.79 	
-558.272 	 970.632 	 -298.656 	31.92 	 185.57 	 -51.1 	
-1125.33 	 1335.17 	 -89.792 	3.43 	 67.62 	 -19.95 	
-879.864 	 1009.67 	 -178.12 	-26.53 	 -94.43 	 15.75 	
-521.184 	 935.496 	 -333.792 	-37.38 	 -216.16 	 42.49 	
-130.296 	 871.08 	 -437.248 	-33.53 	 -275.1 	 62.72 	
500.2 	 833.992 	 -450.912 	-23.8 	 -255.08 	 63 	
1072.62 	 826.184 	 -376.248 	-8.26 	 -130.27 	 29.54 	
679.784 	 829.112 	 -313.784 	11.48 	 37.52 	 -17.5 	
