A_X [mg]	A_Y [mg]	A_Z [mg]
-319	35	-25
-527	222	-21
-373	357	167
-110	392	326
-277	281	191
202	44	444
-433	-876	178
-2605	-2434	-1220
-2404	-2842	-1565
-1026	-1993	-767
-344	-1383	-344
-185	-1032	-354
111	-622	-282
375	-400	-159
569	-219	-285
920	-31	-502
585	-22	-410
426	-713	-421
-211	-2459	-1055
-1556	-3712	-1370
-1962	-3008	-1100
-1178	-1353	-498
-549	-358	164
-461	-91	252
-311	132	184
-521	309	119
-208	432	273
-123	437	364
-47	322	427
480	25	351
-1049	-1353	-515
-2701	-3022	-1172
-1867	-2909	-1044
-544	-1847	-434
-7	-1202	-147
149	-764	-193
239	-452	-241
361	-311	-249
457	-288	-237
615	-242	-565
367	-298	-612
376	-961	-694
178	-2198	-1046
-962	-3153	-930
-1375	-2823	-765
-816	-1541	-549
-434	-633	79
-263	-165	316
-252	191	161
-493	352	137
-220	454	317
-196	449	408
-166	257	321
187	-320	95
-1212	-1747	-630
-2283	-3082	-1099
-1510	-2826	-958
-380	-1782	-628
161	-1105	-321
245	-660	-226
396	-405	-180
394	-284	-177
635	-193	-389
564	-263	-501
110	-795	-378
71	-1827	-822
-341	-2875	-1052
-1252	-3078	-543
-1164	-2053	-310
-404	-795	21
-226	-208	221
-194	61	168
-399	268	153
-445	326	211
-126	376	277
-356	261	200
-41	-70	245
33	-854	-42
-1892	-2384	-673
-2430	-2991	-932
-931	-2151	-469
-233	-1505	-53
-164	-1197	-180
-113	-765	-246
127	-425	-207
370	-254	-236
784	-184	-352
673	-206	-420
324	-516	-277
358	-1523	-765
-419	-2895	-1351
-1363	-3345	-953
-1308	-2322	-696
-688	-950	-246
-395	-228	207
-264	95	142
-410	293	136
-472	364	236
-195	397	321
-323	293	173
102	-1	295
-177	-803	-74
-1862	-2326	-913
-2381	-3131	-782
-1261	-2435	-125
-312	-1552	57
-76	-1012	-81
219	-621	-126
280	-511	-127
334	-476	-237
642	-279	-626
503	-148	-538
391	-483	-251
334	-1660	-707
-597	-3151	-860
-1422	-3417	-718
-1265	-2179	-592
-628	-801	-82
-209	-102	244
-258	225	140
-436	429	120
-320	493	282
-85	465	382
-252	280	356
173	-146	208
-431	-1207	-253
-2291	-2674	-807
-2230	-3028	-826
-979	-2137	-430
-235	-1344	-156
-17	-793	-92
279	-409	-119
439	-333	-205
587	-409	-330
750	-383	-431
528	-393	-533
243	-1294	-797
-623	-2796	-1139
-1477	-3398	-1302
-1487	-2490	-1222
-941	-1107	-463
-466	-251	155
-320	123	30
-410	281	84
-635	320	221
-390	309	406
-254	324	298
-293	133	143
95	-402	345
-823	-1553	-298
-2363	-2704	-1517
-1724	-2506	-1523
