A_X [mg]	A_Y [mg]	A_Z [mg]
56	824	-591
-676	1615	-657
-973	1513	-180
69	828	315
743	411	591
484	626	457
243	818	204
184	821	-56
-136	1420	-192
-463	1759	361
-18	1217	963
82	1385	531
-195	1733	-765
267	1500	-472
482	1453	439
330	1096	-230
231	523	-352
-140	329	-204
13	244	-367
79	56	-297
308	101	262
1155	1034	1209
1188	1742	1286
952	1337	449
808	1058	-367
391	757	-671
60	954	-491
-438	1552	-220
-732	1472	-302
-207	1008	-124
240	602	375
328	641	409
392	696	324
261	658	99
74	935	-145
-399	1611	122
-357	1621	629
153	1263	747
8	1617	-217
334	1620	-837
599	1441	199
165	1173	228
144	643	-477
-7	343	-239
-104	317	-283
108	230	-348
183	26	176
1004	734	971
1107	1472	1104
582	850	172
1073	797	-489
817	1597	-368
-228	1325	-361
-478	1041	-411
-644	1352	-320
-550	1088	-170
315	700	305
574	739	512
366	649	234
168	1004	-157
-410	1706	126
-321	1470	849
275	1071	619
104	1258	583
8	1511	-205
393	1460	-908
246	1604	226
96	1558	306
239	763	-444
45	404	-302
33	308	-281
69	134	-281
325	-40	342
1075	588	860
1045	1541	913
833	1260	392
1144	936	-268
609	1000	-362
-79	1051	-349
-428	1297	-445
-674	1431	-299
-319	1052	-3
312	649	322
598	710	410
378	679	322
232	677	124
-167	1358	-393
-378	1729	284
16	1284	1165
146	1110	750
-12	1502	157
-90	1746	-722
123	1535	-657
451	1494	266
452	1198	-10
69	674	-423
-221	349	-281
-64	221	-471
185	29	-272
643	40	503
1298	1322	1101
906	1330	848
668	615	46
890	1376	-370
265	1402	-457
-211	925	-511
-531	1227	-443
-731	1220	-149
-54	873	308
670	728	481
571	702	381
289	768	241
30	1037	-238
-324	1514	-166
-190	1438	852
188	1100	1078
43	1300	446
-199	1650	-369
181	1528	-940
623	1435	-244
456	1356	378
240	838	-144
167	537	-306
-143	352	-245
25	294	-330
89	113	-164
400	210	393
1183	1096	1206
918	1256	1015
821	1022	37
847	1246	-385
301	1002	-443
-124	879	-270
-449	1265	-177
-498	1227	-279
-106	930	75
315	723	326
481	714	364
262	662	327
123	776	34
-147	1441	-472
-334	1682	349
1	1302	1471
104	1303	746
158	1453	-68
169	1517	-670
332	1622	-422
607	1376	292
483	873	-23
1	591	-299
-287	395	-248
-95	185	-262
88	-35	18
657	-29	731
1309	1212	1079
689	1303	832
509	646	160
1051	1393	-405
247	1173	-394
-399	917	-469
-450	1352	-460
-487	1068	-39
186	712	422
543	747	457
335	664	293
286	828	-78
-198	1389	-280
-449	1529	723
72	1181	1097
255	933	406
207	1423	127
37	1853	-595
73	1578	-678
574	1367	279
267	1005	-94
-112	574	-354
-41	299	-212
45	206	-402
190	-72	-1
794	485	831
1187	1537	1223
715	1030	510
862	989	-234
650	1370	-481
27	921	-459
-268	1047	-447
-685	1449	-472
-436	1100	66
368	693	527
671	736	354
335	714	299
285	621	-12
-141	1198	-137
-453	1527	871
6	1272	1085
96	1435	188
160	1487	-393
298	1462	-711
474	1382	25
308	1213	218
86	938	-339
-17	567	-192
-81	380	-281
154	233	-303
27	76	-95
470	179	497
1176	1111	1290
795	1403	1005
736	1166	-50
710	1270	-504
86	777	-448
37	853	-466
-523	1487	-420
-701	1258	-17
459	673	495
745	663	401
257	693	249
191	741	-85
-110	1406	-475
-457	1600	591
-100	1097	1224
317	1354	447
239	1817	-478
113	1554	-755
295	1419	-98
429	1386	193
66	856	-251
-263	368	-368
77	193	-266
92	-56	-216
441	73	350
1159	970	1225
987	1553	1149
884	1253	62
701	903	-576
196	829	-525
-138	1098	-319
-643	1520	-468
-539	1227	-172
389	648	551
594	711	402
243	761	218
177	753	78
-33	1359	-392
-508	1708	169
-135	1210	1230
392	1201	851
88	1779	-329
-73	1808	-892
204	1566	-456
699	1311	348
443	982	6
-229	556	-335
-62	327	-174
73	225	-364
227	-110	91
881	325	865
1037	1382	1082
1111	1550	507
806	1245	-320
-19	791	-503
-136	701	-464
-470	1448	-563
-672	1331	-33
423	641	567
712	697	349
184	735	162
190	658	57
-20	1331	-398
-431	1612	494
-183	1192	1463
345	1503	300
163	1783	-516
69	1504	-614
499	1531	-51
445	1485	229
185	897	-258
-33	410	-166
-196	297	-359
143	169	-350
148	14	-109
517	173	433
1219	1083	1198
1002	1390	956
803	1032	-64
721	1143	-604
74	998	-332
-500	1203	-220
-696	1416	-536
-302	913	-2
447	615	586
740	755	476
437	844	425
143	676	313
116	948	-110
-314	1657	-459
-186	1374	1125
295	1274	1307
114	1827	-496
-43	1728	-862
218	1527	-569
674	1297	105
607	1041	131
94	672	-89
-278	311	-192
5	186	-318
205	82	-117
261	-42	209
1009	608	945
1115	1521	1221
695	1051	443
787	1042	-410
365	1210	-356
-178	925	-196
-403	1434	-639
-620	1310	-359
