A_X [mg]	A_Y [mg]	A_Z [mg]
-412	-1652	-191
-327	-1743	-208
-201	-1527	-271
18	-1507	-311
402	-1139	-387
758	-754	-496
783	-625	-467
240	-908	-410
-147	-1103	-292
-280	-1589	-240
-392	-1974	-247
-478	-2027	-230
-515	-2058	-174
-548	-1928	-153
-640	-1741	-105
-683	-1679	76
-713	-1623	310
-775	-1549	625
-782	-1565	773
-920	-1466	663
-989	-1214	741
-769	-1223	812
-599	-1315	580
-555	-1315	373
-547	-1600	197
-497	-1879	19
-451	-2065	-116
-402	-2059	-226
-304	-1741	-279
-304	-1536	-249
-404	-1475	-218
-421	-1459	-256
-364	-1443	-263
-302	-1338	-304
-82	-1325	-311
300	-1117	-365
560	-799	-398
513	-770	-316
260	-775	-356
-27	-1009	-282
-255	-1434	-153
-350	-1765	-219
-388	-1984	-251
-529	-2147	-151
-621	-2153	-178
-729	-1991	-155
-954	-1915	128
-959	-1835	415
-929	-1698	785
-876	-1535	910
-673	-1183	714
-577	-1075	628
-555	-1183	497
-584	-1131	272
-643	-1476	146
-595	-1911	136
-526	-1943	76
-433	-1843	-62
-343	-1684	-182
-363	-1546	-244
-380	-1500	-243
-357	-1502	-230
-293	-1510	-246
-270	-1433	-286
-249	-1421	-352
-87	-1308	-378
306	-983	-354
533	-797	-365
299	-741	-337
85	-923	-223
-79	-1347	-160
-256	-1609	-192
-364	-1697	-251
-524	-1923	-111
-615	-1949	-28
-679	-1800	-98
-902	-1864	119
-1039	-1759	365
-947	-1618	597
-774	-1481	680
-638	-1121	571
-695	-1146	520
-778	-1229	406
-725	-1076	273
-701	-1447	173
-608	-1768	105
-491	-1778	-3
-418	-1736	-81
-319	-1575	-97
-290	-1491	-127
-303	-1420	-138
-287	-1407	-151
-261	-1424	-170
-246	-1348	-185
-155	-1246	-184
30	-1073	-245
193	-853	-306
257	-833	-277
187	-881	-262
2	-958	-203
-151	-1285	-115
-232	-1523	-111
-329	-1555	-200
-415	-1655	-138
-490	-1679	-63
-571	-1642	-173
-713	-1669	-64
-938	-1625	203
-962	-1601	379
-892	-1517	525
-860	-1338	514
-733	-1205	465
-658	-1192	528
-663	-1197	468
-657	-1207	327
-626	-1617	208
-544	-1872	84
-385	-1813	57
-277	-1740	42
-264	-1537	-56
-273	-1412	-127
-304	-1351	-168
-300	-1344	-187
-283	-1404	-191
-283	-1383	-237
-238	-1341	-322
-2	-1150	-339
308	-969	-332
360	-899	-356
200	-736	-299
-7	-1048	-205
-147	-1367	-117
-310	-1461	-160
-421	-1642	-177
-480	-1710	-47
-570	-1750	-83
-657	-1734	-54
-944	-1793	241
-1065	-1743	487
-942	-1578	706
-745	-1421	787
-524	-1234	675
-516	-1246	628
-559	-1250	531
-575	-1238	382
-588	-1674	276
-491	-1942	191
-386	-1868	114
-336	-1778	35
-310	-1564	-48
-352	-1428	-127
-362	-1376	-175
-320	-1374	-192
-275	-1378	-196
-195	-1317	-219
-55	-1206	-278
211	-888	-340
409	-759	-334
319	-894	-297
139	-849	-317
-64	-1205	-292
-260	-1605	-165
-420	-1732	-130
-547	-1918	-60
-594	-1865	23
-584	-1752	-89
-623	-1744	31
-797	-1679	486
-880	-1641	849
-809	-1553	1021
-637	-1368	933
-424	-1218	752
-364	-1240	654
-410	-1265	449
-480	-1272	318
-580	-1779	317
-592	-2027	222
-516	-1929	46
-439	-1866	-93
-382	-1573	-168
-363	-1409	-193
-342	-1333	-199
-288	-1296	-219
-247	-1363	-213
-251	-1294	-215
-96	-1185	-198
255	-827	-207
382	-546	-242
279	-751	-201
203	-743	-224
-26	-987	-204
-272	-1452	-60
-348	-1740	-60
-375	-1994	-133
-458	-2055	-97
-574	-1980	-100
-699	-1803	-78
-883	-1712	90
-886	-1720	278
-861	-1613	510
