STEVAL-MKI247A (LSM6DSV80X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
0.455 	 -0.28 	 -0.0875 	
0.41125 	 -0.20125 	 -0.07875 	
0.4375 	 -0.1225 	 -0.0175 	
0.3675 	 -0.11375 	 -0.06125 	
0.39375 	 -0.1925 	 -0.11375 	
0.42875 	 -0.175 	 -0.0525 	
0.4025 	 -0.13125 	 -0.06125 	
0.3675 	 -0.18375 	 -0.07875 	
0.39375 	 -0.13125 	 -0.0525 	
0.32375 	 0.0175 	 -0.0875 	
0.32375 	 0.07875 	 -0.0525 	
0.455 	 0.0175 	 -0.0175 	
0.3325 	 -0.04375 	 -0.09625 	
0.455 	 -0.06125 	 -0.11375 	
0.46375 	 -0.21 	 -0.0175 	
0.35875 	 -0.07875 	 -0.11375 	
0.455 	 -0.13125 	 -0.04375 	
0.46375 	 -0.23625 	 -0.04375 	
0.42 	 -0.245 	 -0.035 	
0.5425 	 -0.21875 	 -0.0525 	
0.49 	 -0.245 	 -0.02625 	
0.49875 	 -0.175 	 -0.0525 	
0.56875 	 -0.1575 	 -0.0875 	
0.4025 	 -0.11375 	 -0.0875 	
0.3675 	 -0.04375 	 -0.0175 	
0.455 	 -0.02625 	 -0.035 	
0.46375 	 -0.06125 	 -0.07875 	
0.48125 	 -0.07875 	 -0.09625 	
0.5075 	 -0.14 	 -0.09625 	
0.49875 	 -0.23625 	 -0.105 	
0.5075 	 -0.23625 	 0 	
0.42 	 -0.14875 	 -0.02625 	
0.46375 	 -0.21875 	 -0.04375 	
0.49 	 -0.245 	 0 	
0.4725 	 -0.175 	 0 	
0.58625 	 -0.18375 	 -0.07875 	
0.4725 	 -0.25375 	 -0.04375 	
0.42 	 -0.21 	 -0.11375 	
0.41125 	 -0.18375 	 -0.06125 	
0.4025 	 -0.07 	 -0.0175 	
0.4025 	 -0.20125 	 -0.09625 	
0.39375 	 -0.13125 	 -0.0875 	
0.39375 	 -0.14 	 0 	
0.315 	 -0.25375 	 -0.035 	
0.4025 	 -0.21875 	 -0.06125 	
0.49 	 -0.20125 	 -0.04375 	
0.4375 	 -0.0525 	 -0.035 	
0.385 	 -0.02625 	 -0.07 	
0.49875 	 -0.09625 	 -0.07 	
0.455 	 -0.25375 	 -0.06125 	
0.3675 	 -0.18375 	 -0.13125 	
0.4025 	 -0.25375 	 -0.11375 	
0.35875 	 -0.21 	 -0.04375 	
0.42875 	 -0.245 	 0.00875 	
0.385 	 -0.13125 	 -0.07 	
0.3675 	 -0.0875 	 -0.02625 	
0.44625 	 -0.20125 	 -0.00875 	
0.51625 	 -0.02625 	 -0.07875 	
0.4725 	 -0.245 	 -0.09625 	
0.49875 	 -0.28875 	 0.035 	
0.41125 	 -0.14 	 -0.035 	
0.385 	 -0.175 	 -0.07875 	
0.42 	 -0.1575 	 -0.1225 	
0.455 	 -0.06125 	 -0.11375 	
0.4725 	 -0.14875 	 -0.0175 	
0.56 	 -0.28 	 -0.00875 	
0.5075 	 -0.30625 	 -0.0175 	
0.51625 	 -0.20125 	 -0.11375 	
0.4375 	 -0.2625 	 -0.04375 	
0.455 	 -0.11375 	 0 	
0.39375 	 -0.21875 	 -0.0875 	
0.42875 	 -0.2275 	 -0.105 	
0.49875 	 -0.21 	 -0.105 	
0.48125 	 -0.16625 	 -0.0875 	
0.3325 	 -0.16625 	 -0.06125 	
0.4375 	 -0.28875 	 -0.06125 	
0.42 	 -0.23625 	 -0.04375 	
0.46375 	 -0.28 	 -0.02625 	
0.46375 	 -0.18375 	 -0.0175 	
0.4725 	 -0.18375 	 -0.0525 	
0.39375 	 -0.06125 	 -0.06125 	
0.4025 	 -0.14 	 -0.1225 	
0.42875 	 -0.2975 	 0.00875 	
0.4375 	 -0.27125 	 -0.02625 	
0.41125 	 -0.27125 	 -0.105 	
0.46375 	 -0.1925 	 -0.0875 	
