STEVAL-MKI247A (LSM6DSV80X)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
159	32	691
175	35	711
106	-11	637
155	-16	767
141	36	761
127	39	845
145	52	883
173	71	944
240	104	1001
266	143	1054
296	121	1137
273	157	1186
251	195	1201
265	208	1137
271	198	1101
228	181	1045
119	100	1060
158	67	1143
225	158	1245
243	109	1413
301	156	1464
328	215	1497
349	244	1492
292	271	1431
248	202	1377
271	234	1373
289	132	1324
226	115	1098
176	73	1179
253	125	1066
150	209	872
201	-55	1178
347	182	912
192	84	832
250	-207	1088
243	136	737
160	-19	797
203	-66	826
75	121	625
72	-29	710
49	-78	605
-14	-120	705
21	-40	815
11	55	781
21	-18	887
25	-22	870
52	17	886
53	-9	886
73	-3	827
68	97	782
29	56	730
52	10	706
47	62	638
92	-18	642
127	-59	684
169	12	729
234	21	783
278	-45	792
322	-10	822
220	6	879
142	-61	918
197	62	902
178	84	990
134	-42	1113
180	52	1103
224	188	1157
212	104	1285
198	7	1308
286	155	1350
344	190	1437
272	134	1423
246	134	1464
256	126	1515
303	227	1484
281	91	1464
232	71	1445
266	143	1440
303	22	1274
300	59	1057
217	-116	1116
214	12	969
200	166	766
308	-102	1029
285	63	833
162	61	677
307	-104	916
35	-177	591
-33	-264	704
88	-28	865
-95	-30	630
10	-132	827
-4	-44	770
15	-63	718
61	-71	787
-5	-58	715
46	-31	751
11	18	740
34	30	771
55	92	724
104	79	714
142	-31	796
147	79	771
216	120	743
223	-43	743
210	-32	768
187	16	768
157	-15	789
155	-24	809
113	-17	771
-52	-2	807
-95	44	976
-52	83	1094
-22	102	1217
140	147	1441
230	161	1478
297	41	1483
371	-109	1508
383	-92	1489
323	-34	1534
312	1	1514
377	-10	1616
389	-3	1597
424	10	1441
332	-71	1409
270	-46	1265
269	-29	1192
277	-1	1055
348	-66	1018
228	-114	1058
220	13	838
295	-23	847
184	25	738
114	-96	565
126	-154	601
46	41	535
-56	-53	612
8	11	671
30	39	695
16	-64	751
36	-32	768
19	-28	792
36	-2	766
-1	-32	791
-9	10	767
12	11	734
-19	-60	730
-10	-33	711
-4	-40	685
28	-73	687
75	-58	768
78	-22	776
125	-31	874
166	16	910
139	26	825
157	-18	910
187	66	793
135	92	703
88	89	888
100	143	951
126	101	1021
214	41	1206
262	43	1300
221	0	1324
334	-31	1448
409	65	1481
331	76	1470
386	33	1589
442	149	1582
442	73	1549
455	-131	1577
437	-33	1550
414	4	1431
370	-116	1348
388	-45	1258
345	12	1123
289	-52	1133
330	-6	891
298	-39	730
275	-184	851
192	-85	717
186	-16	692
196	-11	631
38	49	489
111	-145	560
96	-197	601
-45	-33	698
-49	-17	754
-101	18	759
-26	95	774
45	85	790
51	-9	862
69	-19	803
75	61	795
108	72	833
74	27	802
92	38	767
102	33	742
74	-27	806
67	78	773
35	23	770
102	-125	817
148	24	785
128	-10	877
162	-38	937
129	122	931
106	110	997
157	164	1065
73	126	1070
39	15	1126
174	203	1189
147	192	1109
93	-2	1152
193	132	1286
217	202	1360
165	75	1517
195	120	1684
271	181	1652
260	77	1506
225	7	1541
185	88	1542
154	133	1395
168	75	1257
113	51	1168
144	69	1141
148	60	959
96	17	945
180	136	983
141	191	747
118	32	801
110	40	769
28	-7	599
77	-18	694
22	89	665
-39	39	685
12	98	702
4	74	650
-4	-23	719
-53	32	686
-78	47	695
-67	39	755
-81	31	758
-35	82	796
13	47	786
8	-68	768
21	-45	758
67	-46	730
38	-65	704
6	-35	692
47	-3	754
48	62	749
32	39	776
46	-9	897
89	40	846
131	-42	896
143	-9	1054
89	296	1089
54	328	1183
97	252	1320
93	353	1376
134	253	1332
188	82	1381
186	198	1435
194	217	1435
215	72	1505
227	197	1547
231	179	1645
270	108	1599
232	341	1453
182	194	1424
130	-47	1272
124	-59	1100
163	-95	1109
106	52	1117
196	66	997
168	8	942
64	40	898
107	3	787
14	37	721
66	-23	676
105	-67	617
21	-51	586
46	-3	665
-4	124	654
-0	24	651
28	-13	753
15	115	728
58	120	746
18	82	781
-21	53	792
19	75	802
25	16	786
46	-21	799
65	12	706
-2	-90	697
-9	-54	724
22	71	656
2	11	737
40	-6	796
67	63	765
105	-36	852
126	-115	983
63	-8	1022
128	66	1123
218	152	1239
182	173	1199
153	137	1272
199	171	1343
203	114	1348
191	90	1436
271	162	1447
273	132	1470
208	110	1404
227	214	1395
288	169	1557
291	40	1513
260	101	1445
257	150	1384
210	32	1230
143	-44	1117
187	-23	1084
244	-31	969
130	-54	784
171	-132	899
218	-1	760
60	42	591
124	-56	829
96	182	639
38	-7	585
119	-148	754
50	72	701
68	0	797
79	19	758
73	-66	796
96	-88	887
73	-12	855
125	-65	899
122	-51	828
96	-95	798
101	-85	785
93	-52	679
120	-23	638
90	-59	664
14	-38	671
27	8	713
66	-6	804
93	49	821
161	-116	844
180	-76	886
147	159	919
123	211	1009
154	264	1106
211	133	1156
154	25	1233
139	75	1248
242	44	1247
193	17	1286
153	153	1222
260	317	1319
222	194	1415
209	75	1382
281	269	1418
241	244	1425
255	79	1444
310	211	1390
349	82	1323
328	-78	1193
227	56	1038
195	-130	1097
244	-20	1125
282	293	1003
256	-79	972
255	-175	999
195	72	741
125	-78	663
157	-34	754
86	47	630
42	-105	720
77	-25	729
39	-4	693
20	-83	757
20	11	715
21	19	786
38	-7	784
72	46	814
81	39	851
59	-11	812
47	-20	830
39	32	752
56	-14	760
29	-93	755
50	16	771
102	54	817
110	-60	817
272	20	907
306	158	783
151	-44	857
84	-156	1045
42	143	974
116	109	1083
111	-141	1075
12	-58	1052
94	-17	1174
108	-64	1168
77	-86	1211
90	13	1286
32	150	1356
119	88	1529
253	155	1558
172	203	1394
83	15	1438
133	17	1466
193	221	1411
202	198	1435
235	27	1344
242	20	1252
200	39	1134
183	2	1072
226	21	1033
225	49	941
119	-64	964
214	57	906
162	147	663
-11	-242	605
137	-124	731
-2	101	550
-112	-133	534
-20	34	706
-98	153	596
-34	1	696
-73	41	816
-118	32	790
-45	12	821
-30	108	846
17	80	854
31	-7	783
50	23	792
58	11	727
33	27	605
-24	38	636
12	-34	643
85	16	711
34	-1	805
66	-50	820
118	38	882
31	57	898
-15	-72	856
80	-52	943
87	166	1075
84	43	1097
132	-40	1185
86	167	1349
168	133	1385
227	-5	1350
251	-28	1361
329	55	1435
224	-61	1511
193	-64	1600
275	175	1701
285	54	1698
283	-39	1642
252	58	1545
200	83	1464
153	-9	1443
192	-83	1290
231	13	1116
164	-3	985
84	-136	808
73	-171	774
122	-39	732
97	-9	667
45	4	741
-4	111	633
-23	5	535
41	-29	636
29	11	603
6	22	596
-45	63	655
-122	43	677
-101	110	715
-93	124	725
-54	131	807
-59	153	808
-65	50	726
52	34	737
67	-23	724
69	-60	687
49	86	617
-67	78	604
-43	-18	659
1	58	685
-63	133	691
-25	89	774
38	147	926
-37	140	905
66	-24	1121
187	71	1268
29	105	1109
100	68	1392
299	268	1496
221	248	1428
191	134	1570
274	107	1488
258	59	1528
268	76	1625
336	87	1585
301	89	1558
307	100	1558
347	141	1536
265	71	1396
232	49	1287
214	85	1166
132	-42	1061
123	32	1045
164	145	909
142	41	782
110	-68	826
122	-22	760
45	52	583
20	-37	623
31	-25	662
-42	-16	568
-30	-7	619
-37	87	719
-52	65	725
-73	88	719
-101	40	754
-84	-5	760
-90	87	737
-116	31	722
-128	-31	714
10	14	725
19	7	661
40	-35	690
88	-12	759
-8	39	744
28	37	786
-89	8	788
5	-9	813
127	53	780
10	81	800
91	5	941
63	47	1017
64	120	1135
98	82	1122
161	135	1164
138	260	1255
92	228	1296
245	151	1396
172	198	1406
220	266	1577
319	312	1638
230	157	1568
219	22	1592
244	196	1491
249	157	1488
220	64	1449
211	133	1338
175	122	1254
156	53	1133
152	-75	1089
197	64	839
122	-21	677
77	-274	892
201	94	820
51	197	647
25	-33	744
65	31	694
-25	36	585
1	-58	637
-43	-55	709
-77	-0	713
-72	1	716
-67	59	794
-101	33	790
-86	-44	770
-34	31	762
-30	-25	715
32	-62	750
38	-35	711
73	-67	668
106	-59	684
21	-166	593
-53	-166	577
-52	-68	608
-28	-107	680
0	-20	895
85	96	995
182	135	1026
283	143	1167
270	14	1214
198	-20	1191
214	28	1255
226	-20	1273
211	12	1302
200	62	1390
238	-14	1398
259	-76	1471
297	-74	1588
366	-19	1639
407	3	1709
422	-64	1714
357	-22	1629
333	-1	1508
348	-67	1411
269	-22	1225
177	-55	983
211	-90	969
201	-29	882
97	-104	722
138	-98	752
119	88	680
17	99	593
29	-17	651
13	22	656
-7	64	597
43	7	648
47	2	687
-2	-42	658
-1	-21	717
-26	37	695
-74	-40	705
-67	-5	737
-65	-2	666
-39	-64	705
9	-54	706
61	-46	680
100	22	704
93	15	742
98	48	760
125	22	736
132	-132	848
84	-125	907
76	-96	918
51	-116	1016
20	-113	1075
124	55	1114
103	84	1115
51	-85	1180
91	-52	1214
116	-10	1236
201	-25	1322
216	-23	1355
238	36	1456
178	-35	1543
125	15	1828
395	211	1977
469	-254	1572
258	-583	1282
141	-197	1180
128	182	1143
140	135	1148
152	-133	1159
199	-20	1097
140	-30	939
96	-204	997
116	-96	999
145	-10	960
256	68	920
185	-49	829
113	-70	851
151	83	759
89	106	739
28	143	683
-34	-82	558
-10	-114	628
20	33	635
-37	-118	600
-41	-91	603
-55	-20	665
-71	12	710
-62	13	676
-20	-53	703
14	-44	701
84	-35	708
83	86	734
-50	21	763
2	-92	769
-13	-13	703
76	-53	812
309	19	895
70	57	907
18	41	1159
190	175	1240
111	208	1091
120	262	1179
112	264	1316
123	131	1219
179	98	1189
163	157	1285
52	109	1305
29	45	1459
215	247	1562
240	310	1472
243	51	1569
319	51	1549
341	184	1362
273	89	1356
163	77	1240
186	62	1213
184	89	1230
215	185	1077
234	-50	1142
216	-76	1157
260	155	987
241	204	805
169	181	792
59	47	718
-7	-149	473
-20	-247	596
38	-52	669
57	36	582
7	-33	627
1	49	715
-103	5	687
-185	-56	672
-221	-74	789
-243	-84	737
-160	-174	1028
-59	-169	752
