A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-106.872 	 971.12 	 -153.72 	1.68 	 -0.42 	 3.64 	
-96.136 	 983.808 	 -160.552 	1.61 	 -1.05 	 4.62 	
-83.448 	 974.536 	 -165.92 	1.75 	 -0.98 	 5.46 	
-73.2 	 976.976 	 -167.384 	1.61 	 -0.35 	 5.6 	
-68.32 	 970.144 	 -163.968 	1.12 	 0.63 	 4.9 	
-70.76 	 981.856 	 -162.992 	0.98 	 0.84 	 3.64 	
-68.32 	 976.976 	 -161.04 	0.14 	 0.56 	 2.17 	
-68.808 	 978.44 	 -162.016 	-0.91 	 0.84 	 1.75 	
-61.976 	 973.56 	 -156.648 	-0.98 	 1.47 	 1.05 	
-55.144 	 971.12 	 -158.112 	-0.91 	 2.17 	 0.84 	
-81.496 	 982.832 	 -154.208 	-0.28 	 1.89 	 0.14 	
-82.472 	 966.728 	 -153.232 	-0.07 	 1.19 	 -0.77 	
-76.128 	 976 	 -153.72 	0.28 	 -0.42 	 -1.4 	
-69.296 	 981.856 	 -158.6 	0 	 -0.91 	 -1.26 	
-61.976 	 983.808 	 -160.064 	-0.21 	 -0.7 	 -1.19 	
-60.512 	 983.32 	 -156.648 	-0.7 	 0.28 	 -0.91 	
-82.96 	 980.392 	 -150.792 	-0.35 	 1.05 	 -0.14 	
-66.368 	 981.856 	 -159.576 	-0.56 	 0.7 	 0.35 	
-59.048 	 968.68 	 -153.72 	0.28 	 1.47 	 3.57 	
-40.992 	 984.784 	 -164.944 	3.64 	 2.38 	 16.03 	
-67.344 	 986.248 	 -158.112 	6.02 	 2.59 	 28.84 	
-8.784 	 977.464 	 -164.456 	6.16 	 1.96 	 33.74 	
-5.368 	 973.072 	 -167.384 	5.11 	 3.08 	 29.05 	
11.712 	 1037.98 	 -165.92 	-0.84 	 5.04 	 10.15 	
-7.808 	 864.248 	 -159.088 	-12.67 	 4.48 	 -42.35 	
-116.144 	 959.408 	 -112.24 	-19.04 	 3.15 	 -90.37 	
-85.888 	 974.536 	 -151.28 	-20.86 	 -0.77 	 -98.98 	
-88.328 	 1046.27 	 -158.6 	-2.59 	 2.24 	 -24.57 	
-244 	 1002.35 	 -124.44 	17.64 	 1.89 	 67.55 	
-143.96 	 1024.8 	 -104.92 	21.49 	 2.59 	 96.53 	
-25.864 	 922.808 	 -154.696 	3.22 	 2.52 	 32.2 	
137.128 	 935.496 	 -190.32 	-10.5 	 2.31 	 -41.16 	
57.096 	 941.84 	 -212.28 	-13.44 	 2.8 	 -62.23 	
-138.592 	 998.936 	 -148.84 	2.1 	 3.78 	 15.47 	
-69.296 	 1043.34 	 -125.904 	12.32 	 7 	 72.66 	
-93.208 	 990.64 	 -117.608 	3.85 	 7.98 	 49.07 	
64.416 	 923.296 	 -152.744 	-8.19 	 5.11 	 -18.13 	
24.4 	 958.92 	 -155.184 	-13.72 	 7.42 	 -59.01 	
50.752 	 1014.06 	 -167.872 	-6.44 	 11.62 	 -35.21 	
-191.296 	 1027.73 	 -116.144 	4.83 	 12.67 	 22.61 	
-108.336 	 1019.92 	 -116.144 	5.6 	 10.01 	 41.65 	
-0.976 	 979.904 	 -131.272 	0 	 4.97 	 21.35 	
9.272 	 956.968 	 -141.032 	-2.59 	 4.55 	 1.75 	
9.76 	 946.72 	 -134.2 	-1.82 	 3.71 	 -8.4 	
-1.464 	 971.12 	 -139.08 	-0.84 	 4.34 	 -9.1 	
89.304 	 990.152 	 -147.864 	-0.28 	 12.53 	 -4.27 	
93.696 	 991.616 	 -152.256 	1.26 	 30.52 	 -2.31 	
167.384 	 960.384 	 -189.344 	3.5 	 55.3 	 -5.25 	
69.296 	 963.312 	 -191.784 	9.45 	 80.29 	 -6.02 	
30.256 	 972.584 	 -205.936 	12.11 	 95.76 	 -4.97 	
-55.632 	 980.88 	 -192.76 	12.18 	 95.76 	 -3.64 	
-100.528 	 1012.6 	 -179.096 	8.4 	 84.77 	 -3.99 	
-67.344 	 1015.53 	 -165.92 	4.27 	 64.96 	 -3.64 	
-71.248 	 1007.23 	 -146.888 	0.35 	 46.41 	 -2.87 	
-14.64 	 976 	 -147.376 	-1.82 	 31.92 	 -0.7 	
0.488 	 974.536 	 -150.304 	-1.26 	 23.66 	 4.06 	
15.616 	 990.64 	 -145.912 	-0.7 	 18.34 	 8.82 	
43.432 	 985.76 	 -150.304 	-0.14 	 14.28 	 12.18 	
21.472 	 977.952 	 -141.032 	-0.21 	 11.62 	 12.67 	
71.736 	 975.512 	 -141.52 	0.14 	 8.4 	 12.32 	
62.464 	 977.464 	 -139.568 	0.28 	 5.95 	 10.71 	
85.4 	 976.488 	 -137.616 	-0.7 	 3.08 	 6.79 	
93.696 	 984.296 	 -146.888 	-3.08 	 0.77 	 -0.56 	
18.544 	 989.664 	 -137.128 	-7.7 	 -1.26 	 -16.45 	
-101.504 	 983.808 	 -112.24 	-21.49 	 -14.35 	 -58.03 	
-24.888 	 952.088 	 -128.832 	-24.5 	 -36.4 	 -100.1 	
340.624 	 988.688 	 -183.488 	-17.15 	 -32.06 	 -67.34 	
62.952 	 985.76 	 -138.592 	5.11 	 15.05 	 34.51 	
-199.104 	 1042.37 	 -75.152 	16.31 	 33.11 	 91.14 	
-150.304 	 1008.7 	 -81.008 	4.55 	 26.67 	 52.29 	
5.368 	 870.104 	 -98.088 	-10.57 	 -0.07 	 -25.69 	
68.808 	 954.04 	 -95.16 	-16.52 	 -20.86 	 -73.22 	
284.016 	 1016.5 	 -134.688 	-6.37 	 -15.05 	 -50.33 	
-87.84 	 1032.12 	 -83.936 	12.11 	 14.63 	 41.09 	
-185.44 	 1051.15 	 -56.608 	16.73 	 23.03 	 72.38 	
-68.32 	 1033.1 	 -87.352 	-1.19 	 9.03 	 13.37 	
-1.952 	 924.272 	 -99.064 	-9.38 	 -14.21 	 -49.49 	
80.52 	 858.392 	 -103.944 	-11.13 	 -33.81 	 -77.42 	
-4.392 	 1089.7 	 -106.872 	0.42 	 -13.72 	 5.25 	
-126.392 	 1046.27 	 -77.104 	13.58 	 0.21 	 72.38 	
-177.632 	 1061.4 	 -44.896 	11.41 	 -6.3 	 59.36 	
-35.624 	 951.6 	 -100.04 	-0.49 	 -21.21 	 10.01 	
15.128 	 985.272 	 -113.216 	-9.38 	 -44.1 	 -34.65 	
55.144 	 949.16 	 -119.072 	-10.78 	 -58.1 	 -41.23 	
-44.408 	 990.64 	 -94.672 	-8.26 	 -56.14 	 -13.79 	
-44.896 	 1012.6 	 -86.864 	-5.25 	 -54.81 	 3.08 	
