STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
5 	 -23 	 1013 	
6 	 -24 	 1014 	
6 	 -24 	 1013 	
6 	 -23 	 1013 	
5 	 -24 	 1013 	
5 	 -23 	 1013 	
5 	 -24 	 1013 	
5 	 -24 	 1013 	
6 	 -24 	 1013 	
5 	 -24 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1013 	
5 	 -23 	 1013 	
5 	 -24 	 1011 	
5 	 -24 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1013 	
5 	 -23 	 1013 	
6 	 -24 	 1013 	
5 	 -24 	 1014 	
5 	 -24 	 1013 	
5 	 -24 	 1013 	
5 	 -23 	 1013 	
5 	 -24 	 1014 	
6 	 -23 	 1013 	
5 	 -24 	 1013 	
5 	 -24 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1014 	
5 	 -24 	 1013 	
5 	 -24 	 1013 	
6 	 -24 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1014 	
5 	 -24 	 1013 	
6 	 -23 	 1014 	
5 	 -24 	 1013 	
5 	 -24 	 1014 	
5 	 -24 	 1013 	
5 	 -23 	 1014 	
5 	 -24 	 1013 	
5 	 -24 	 1014 	
5 	 -24 	 1013 	
6 	 -23 	 1014 	
5 	 -23 	 1013 	
6 	 -23 	 1014 	
5 	 -23 	 1013 	
5 	 -24 	 1014 	
5 	 -23 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1013 	
5 	 -24 	 1014 	
6 	 -24 	 1013 	
6 	 -24 	 1014 	
5 	 -23 	 1013 	
5 	 -23 	 1014 	
5 	 -23 	 1013 	
5 	 -23 	 1014 	
6 	 -24 	 1013 	
5 	 -24 	 1014 	
5 	 -23 	 1013 	
5 	 -24 	 1014 	
5 	 -23 	 1013 	
5 	 -24 	 1015 	
5 	 -24 	 1013 	
6 	 -24 	 1014 	
5 	 -24 	 1013 	
6 	 -24 	 1015 	
5 	 -23 	 1012 	
6 	 -24 	 1014 	
5 	 -24 	 1013 	
7 	 -24 	 1014 	
4 	 -23 	 1013 	
4 	 -23 	 1015 	
1 	 -28 	 1014 	
8 	 -24 	 1014 	
3 	 -31 	 1014 	
16 	 -14 	 1014 	
8 	 -25 	 1015 	
12 	 -29 	 1014 	
2 	 -35 	 1015 	
9 	 -21 	 1014 	
17 	 -37 	 1014 	
7 	 -35 	 1014 	
0 	 -45 	 1017 	
5 	 -39 	 1014 	
15 	 -53 	 1004 	
8 	 -42 	 1018 	
0 	 -27 	 1012 	
5 	 -45 	 1016 	
8 	 -43 	 1012 	
8 	 -48 	 1013 	
7 	 -42 	 1015 	
8 	 -43 	 1012 	
6 	 -43 	 1013 	
6 	 -43 	 1013 	
5 	 -44 	 1014 	
9 	 -48 	 1014 	
5 	 -40 	 1012 	
8 	 -44 	 1011 	
3 	 -44 	 1015 	
0 	 -38 	 1014 	
4 	 -37 	 1013 	
8 	 -44 	 1015 	
2 	 -52 	 1013 	
1 	 -33 	 1015 	
8 	 -38 	 1016 	
14 	 -33 	 1010 	
7 	 -43 	 1016 	
-15 	 -45 	 1010 	
1 	 -26 	 1019 	
-18 	 -34 	 1009 	
2 	 -35 	 1017 	
1 	 -24 	 1018 	
-9 	 -30 	 1008 	
-43 	 -30 	 1014 	
-43 	 -38 	 1009 	
-24 	 -37 	 1014 	
-51 	 -35 	 1011 	
-29 	 -35 	 1019 	
-29 	 -39 	 1011 	
-41 	 -33 	 1014 	
-52 	 -25 	 1028 	
-47 	 -42 	 1018 	
-30 	 -35 	 1025 	
-42 	 -34 	 1010 	
-85 	 -24 	 1033 	
-64 	 -44 	 1004 	
-67 	 -16 	 1029 	
-96 	 -36 	 1000 	
-54 	 -32 	 1001 	
-109 	 -8 	 1027 	
-71 	 -37 	 986 	
-90 	 -11 	 1008 	
-107 	 -14 	 1015 	
-72 	 -41 	 969 	
-101 	 -3 	 1021 	
-112 	 -25 	 1003 	
