@relation 'MLC'

@attribute F1_MEAN_on_ACC_Z numeric
@attribute F2_MEAN_on_filter_DIFF_on_ACC_V numeric
@attribute F3_VAR_on_ACC_V numeric
@attribute class {face_up, face_down, shaking}

@data
1.01465, 0.0194855, 0, face_up
1.01563, 3.76105e-05, 0, face_up
1.01563, -1.87755e-05, 0, face_up
1.0166, 3.76105e-05, 0, face_up
1.0166, -0.000206709, 0.00195313, face_up
1.00684, 0.000432253, 0, face_up
1, -0.000751495, 0, face_up
0.982422, 0.000394583, 0, face_up
0.960938, -9.39369e-05, 0.000976563, face_up
0.948242, 0.000451088, 0, face_up
0.96582, -0.000601292, 0, face_up
0.963379, 0.000356913, 0, face_up
0.958496, -7.51615e-05, 0, face_up
0.962891, 0.000225544, 0, face_up
0.984863, -0.000262976, 0, face_up
1.00879, 0.000394583, 0.00195313, face_up
1.00879, -0.000394583, 0, face_up
1.00879, -0.000131488, 0, face_up
1.00488, 0.000563622, 0, face_up
0.984863, 0, 0, face_up
0.986328, -0.000507355, 0, face_up
0.995605, 0.000169158, 0, face_up
0.989746, 0.000131488, 0.00195313, face_up
0.975098, 1.87755e-05, 0, face_up
0.953125, -0.000319481, 0, face_up
0.939941, 0.000150323, 0, face_up
0.928223, -3.76105e-05, 0, face_up
0.922852, 1.87755e-05, 0, face_up
0.908691, 5.6386e-05, 0, face_up
0.905762, 9.39369e-05, 0, face_up
0.955078, -0.000394583, 0, face_up
0.987305, 0.000225544, 0, face_up
0.990234, 0, 0.000976563, face_up
0.989746, -0.000150323, 0, face_up
0.976074, -0.00130558, 0.00195313, face_up
0.958008, 0.00136185, 0, face_up
0.954102, -9.39369e-05, 0, face_up
0.945801, 0.000713825, 0, face_up
0.924316, -0.000356913, 0, face_up
0.921387, -0.000319481, 0, face_up
0.918945, -3.76105e-05, 0, face_up
0.951172, -0.000667095, 0, face_up
0.976563, 0.000573158, 0, face_up
0.987793, 0.000375748, 0, face_up
0.990723, -0.000131488, 0, face_up
0.990723, -7.51615e-05, 0.000976563, face_up
0.989746, 0.000150323, 0, face_up
0.98291, -5.6386e-05, 0, face_up
0.975098, 1.87755e-05, 0, face_up
0.969727, 0.000206709, 0, face_up
0.951172, -7.51615e-05, 0.000976563, face_up
0.929199, 0.000131488, 0, face_up
0.90918, 0.000262976, 0, face_up
0.897949, -0.000948906, 0, face_up
0.913574, 0.00138092, 0, face_up
0.937012, -0.000601292, 0.00195313, face_up
0.995117, -0.000948906, 0, face_up
1.01367, 0.000986099, 0.000976563, face_up
1.01367, -0.000545025, 0, face_up
1.01367, 0.000187874, 0, face_up
1.00488, 0.000225544, 0.000976563, face_up
0.992676, -0.000262976, 0, face_up
0.987305, -0.000253677, 0, face_up
0.97168, 0.000328779, 0, face_up
0.961426, -0.000187874, 0.00292969, face_up
0.951172, 0.000187874, 0, face_up
0.97168, -0.000366449, 0.00292969, face_up
0.969727, -0.000385284, 0, face_up
0.974609, 0.000601292, 0, face_up
0.964355, 0.000225544, 0, face_up
0.971191, 5.6386e-05, 0, face_up
0.972656, 0.000131488, 0, face_up
0.956055, -0.000902176, 0, face_up
-1.03027, 0.0193329, 0, face_down
-0.994141, -3.76105e-05, 0, face_down
-0.990723, -0.000291348, 0, face_down
-0.98291, 2.8193e-05, 0, face_down
-0.972656, 2.8193e-05, 0, face_down
-0.962891, -0.000140905, 0, face_down
-0.955566, 0.000216126, 0, face_down
-0.947266, 7.51615e-05, 0, face_down
-0.939453, -1.87755e-05, 0, face_down
-0.937012, 3.76105e-05, 0, face_down
-0.923828, -3.76105e-05, 0, face_down
-0.924316, 1.87755e-05, 0, face_down
-0.935059, -0.000131488, 0, face_down
-0.973633, -0.00113678, 0, face_down
-0.958984, 0.000930309, 0.000976563, face_down
-0.914063, 0.000225544, 0, face_down
-0.901367, -0.000253677, 0.000488281, face_down
-0.863281, 0.000375748, 0, face_down
-0.879883, 0.000225544, 0, face_down
-0.84668, -0.000385284, 0.000976563, face_down
-0.851563, 0.000347614, 0.000488281, face_down
-0.870117, -0.000356913, 0.00195313, face_down
-0.87793, 0.000103354, 0, face_down
-0.902344, -0.00149345, 0, face_down
-0.953613, 0.00136185, 0.00146484, face_down
-0.960449, -0.000197291, 0, face_down
-0.959473, 0.000338316, 0, face_down
-0.958008, -0.000582695, 0, face_down
-0.950684, 0.000507355, 0, face_down
-0.94873, 0.000103354, 0, face_down
-0.9375, -9.39369e-05, 0, face_down
-0.953613, -6.57439e-05, 0, face_down
-0.947754, 0.000300646, 0, face_down
-0.933594, -0.000197291, 0, face_down
-0.912109, 3.76105e-05, 0, face_down
-0.902344, -1.87755e-05, 0.000488281, face_down
-0.910156, -0.000789165, 0, face_down
-0.9375, 0.000657558, 0, face_down
-0.9375, 7.51615e-05, 0, face_down
-0.931641, -0.000234842, 0, face_down
-0.902344, 0.000216126, 0.000488281, face_down
-0.859863, -0.000187874, 0.000488281, face_down
-0.844238, 0.000178456, 0, face_down
-0.856445, -2.8193e-05, 0, face_down
-0.868652, -4.69685e-05, 0, face_down
-0.87793, -0.000131488, 0.000976563, face_down
-0.887695, 0.000187874, 0, face_down
-0.901855, -0.000262976, 0, face_down
-0.939941, 0.000178456, 0.000976563, face_down
-0.966309, 0.000150323, 0, face_down
-0.972656, -7.51615e-05, 0, face_down
-0.97168, 2.8193e-05, 0, face_down
-0.971191, -8.4579e-05, 0, face_down
-0.954102, 0.000385284, 0, face_down
-0.924805, -0.000516891, 0, face_down
-0.911133, -0.000272512, 0.00292969, face_down
-0.91748, 0.000554085, 0, face_down
-0.927734, 0.000234842, 0.00195313, face_down
-0.930664, -7.51615e-05, 0.000976563, face_down
-0.943359, -1.87755e-05, 0, face_down
-0.9375, 0.000169158, 0, face_down
-0.92041, 0, 0, face_down
-0.911621, -0.000225544, 0, face_down
-0.909668, 0.000187874, 0.000976563, face_down
-0.914063, -0.000131488, 0, face_down
-0.926758, -0.000441551, 0, face_down
0.961426, 0.00660324, 0.416992, shaking
0.880859, 0.0165558, 0.438477, shaking
1.06152, -0.00592041, 0.0498047, shaking
1.0127, 0.000451088, 0.0683594, shaking
1.02246, 0.00227356, 0.143555, shaking
1.02539, 0.0089798, 0.0839844, shaking
1.00684, 0.00621033, 0.160156, shaking
1.04297, -0.0103149, 0.118164, shaking
1.06348, 0.0178986, 0.183594, shaking
1.03809, -0.028595, 0.125, shaking
0.882813, 0.0133057, 0.554688, shaking
0.911133, -0.0091629, 0.609375, shaking
1.11621, 0.0240936, 0.208984, shaking
1.09766, -0.0220947, 0.203125, shaking
1.10742, 0.0132294, 0.201172, shaking
1.05664, -0.0111771, 0.0917969, shaking
1.06445, -0.0037117, 0.0722656, shaking
1.11328, 0.00892639, 0.0859375, shaking
1.06641, -0.00985718, 0.118164, shaking
0.911621, -0.0119705, 0.429688, shaking
0.662109, 0.0233765, 0.202148, shaking
0.267822, -0.00130558, 0.25, shaking
0.255371, 0.024704, 0.517578, shaking
0.569824, -0.045166, 0.683594, shaking
0.665527, 0.009758, 0.770508, shaking
0.503418, 0.00788116, 0.69043, shaking
0.18335, 0.0119629, 0.359375, shaking
0.580566, -0.0154419, 0.286133, shaking
0.629395, 0.0180054, 0.342773, shaking
0.837402, -0.0260925, 0.459961, shaking
0.717773, 0.0197906, 0.585938, shaking
0.76416, -0.00881195, 0.253906, shaking
1.01074, -0.00222588, 0.110352, shaking
1.08496, -0.00447083, 0.0996094, shaking
