@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
0.524902, 0.015274, 0.850098, boat
0.521973, 0.00871277, 0.850098, boat
0.501465, 0.0125885, 0.871582, boat
0.501465, 0.0122223, 0.86084, boat
0.499512, 0.0119095, 0.863281, boat
0.496826, -0.0039444, 0.863281, boat
0.48584, -0.00190735, 0.876953, boat
0.485107, -0.0172882, 0.864746, boat
0.474121, -0.0217285, 0.880371, boat
0.471924, -0.0209045, 0.88623, boat
0.467529, -0.021698, 0.880859, boat
0.469238, -0.0270691, 0.886719, boat
0.466797, -0.0172577, 0.878906, boat
0.48584, 0.00763702, 0.867676, boat
0.494385, -0.0184937, 0.873535, boat
0.499512, -0.0132675, 0.856934, boat
0.470215, -0.0352173, 0.891113, boat
0.474609, -0.0609741, 0.878418, boat
0.455811, -0.0568542, 0.896484, boat
0.455078, -0.0772095, 0.875977, boat
0.362061, 0.00791931, 0.94873, boat
0.349121, -0.00197983, 0.934082, boat
0.338867, -0.00556564, 0.943848, boat
0.331543, -0.000836849, 0.943359, boat
0.340332, -0.0141602, 0.9375, boat
0.341553, 0.00576401, 0.939453, boat
0.344971, -0.015564, 0.935547, boat
0.342773, -0.0317993, 0.943359, boat
0.341553, -0.050293, 0.938477, boat
0.333252, -0.0558777, 0.941895, boat
0.334961, -0.0605774, 0.937988, boat
0.330078, -0.06073, 0.935547, boat
0.321533, -0.0768433, 0.956055, boat
0.326904, -0.0828857, 0.937988, boat
0.32373, -0.107544, 0.936035, boat
0.31665, -0.115479, 0.95459, boat
0.313232, -0.116089, 0.943848, boat
0.796875, 0.127563, 0.618652, bow
0.776367, 0.111816, 0.617188, bow
0.773926, 0.11438, 0.618652, bow
0.773438, 0.111877, 0.621094, bow
0.770996, 0.103699, 0.623535, bow
0.772461, 0.103088, 0.624023, bow
0.774414, 0.0927734, 0.623047, bow
0.776855, 0.0934448, 0.620117, bow
0.774414, 0.0960083, 0.621094, bow
0.773926, 0.0905151, 0.622559, bow
0.776367, 0.0967407, 0.620117, bow
0.774414, 0.0923462, 0.623047, bow
0.776855, 0.0895386, 0.621094, bow
0.775879, 0.0925903, 0.622559, bow
0.773438, 0.0938721, 0.624023, bow
0.771973, 0.0901489, 0.624023, bow
0.77002, 0.0897217, 0.627441, bow
0.773926, 0.0936279, 0.623535, bow
0.774902, 0.0899658, 0.623047, bow
0.776855, 0.0925903, 0.620605, bow
0.773438, 0.0930786, 0.624023, bow
0.771484, 0.0934448, 0.623535, bow
0.774414, 0.0967407, 0.623535, bow
0.776367, 0.0957642, 0.621094, bow
0.776855, 0.0971069, 0.62207, bow
0.771484, 0.0969849, 0.622559, bow
0.773438, 0.098938, 0.623535, bow
0.770996, 0.0933228, 0.625488, bow
0.774902, 0.0888672, 0.625, bow
0.777344, 0.0916748, 0.619629, bow
0.799805, -0.191772, 0.600098, bow
0.782715, -0.1875, 0.592285, bow
0.785156, -0.181396, 0.588867, bow
0.790039, -0.180542, 0.586914, bow
0.785156, -0.178833, 0.592285, bow
0.783691, -0.178589, 0.593262, bow
0.782715, -0.182007, 0.592773, bow
0.782227, -0.17981, 0.594238, bow
0.785156, -0.175903, 0.592773, bow
0.78418, -0.174561, 0.591309, bow
0.783691, -0.176636, 0.592285, bow
0.781738, -0.179199, 0.595703, bow
0.78125, -0.181274, 0.597656, bow
0.781738, -0.181274, 0.597656, bow
0.781738, -0.180542, 0.595703, bow
0.78418, -0.17688, 0.593262, bow
0.781738, -0.180542, 0.596191, bow
0.781738, -0.179688, 0.594238, bow
0.781738, -0.178345, 0.596191, bow
0.781738, -0.180664, 0.598145, bow
0.781738, -0.176392, 0.595703, bow
0.782715, -0.17749, 0.592773, bow
0.782227, -0.182007, 0.594238, bow
0.78125, -0.18811, 0.596191, bow
0.78125, -0.188477, 0.596191, bow
0.78125, -0.188232, 0.595703, bow
-1.0127, -0.0619202, 0.143555, bridge
-0.991211, -0.0736084, 0.146851, bridge
-0.98877, -0.0794678, 0.147095, bridge
-0.989746, -0.0814819, 0.150757, bridge
-0.992188, -0.0687866, 0.150024, bridge
-0.989746, -0.0880127, 0.155518, bridge
-0.990234, -0.0883179, 0.156006, bridge
-0.989746, -0.0797119, 0.157593, bridge
-0.990234, -0.0800781, 0.155884, bridge
-0.990723, -0.0834961, 0.153809, bridge
-0.987305, -0.0849609, 0.153931, bridge
-0.989746, -0.0870361, 0.153564, bridge
-0.987793, -0.0828857, 0.154053, bridge
-0.987305, -0.0889893, 0.151001, bridge
-0.989746, -0.0870972, 0.151123, bridge
-0.991211, -0.0757446, 0.150269, bridge
-0.990723, -0.0758667, 0.150024, bridge
-0.990723, -0.0717773, 0.150635, bridge
-0.991211, -0.0717773, 0.149292, bridge
-0.987793, -0.0919189, 0.239746, bridge
-0.969727, -0.0822144, 0.233765, bridge
-0.970215, -0.0805054, 0.233398, bridge
-0.969238, -0.0977173, 0.241333, bridge
-0.967285, -0.0876465, 0.241577, bridge
-0.970215, -0.0982056, 0.241089, bridge
-0.963867, -0.122559, 0.249146, bridge
-0.969238, -0.0923462, 0.241577, bridge
-0.967285, -0.114685, 0.245239, bridge
-0.967773, -0.101257, 0.243164, bridge
-0.967773, -0.0970459, 0.241333, bridge
-0.969238, -0.100647, 0.241211, bridge
-0.96875, -0.0967407, 0.239868, bridge
-0.969238, -0.0965576, 0.241577, bridge
-0.967285, -0.100647, 0.241943, bridge
-0.96875, -0.0939331, 0.242432, bridge
-0.969238, -0.097229, 0.243286, bridge
-0.96875, -0.0936279, 0.244507, bridge
-0.96875, -0.0936279, 0.244873, bridge
-0.967773, -0.0969849, 0.249023, bridge
